,aprezià,apreziaziun,grassieevole,grat,gratitud,gratitud,grassie,grassieevole,grat,gratitud,debitur,debít,obligazión,costrett,obligaa,obligazión,dévee,debent,in debítt,gha de pagà,scusant,scüse,scusàs,scüs,scusèm,pardonèm,desgrazia,scusa
aprezià,0.9999999999999998,0.9947036669383634,0.995704048933675,0.9951906613609202,0.9933861411585132,0.9933861411585132,0.9963842985451171,0.995704048933675,0.9951906613609195,0.9933861411585126,0.9938401601716134,0.9652219009634869,0.9933153263098271,0.9928102941627532,0.9926419182168357,0.9933153263098271,0.9949900331656798,0.9932728263167852,0.9937649750518149,0.9959062873923942,0.9954036079780152,0.9953220314380539,0.9900757553174057,0.989611913690081,0.9934463443015711,0.9925277608717188,0.9952187322982587,0.994068355504283
apreziaziun,0.9947036669383634,1.0000000000000002,0.990668881552975,0.9910028148955787,0.9911458886866514,0.9911458886866514,0.9923742680474997,0.990668881552975,0.9910028148955786,0.9911458886866511,0.9918857767662533,0.9640131390662879,0.9900312156679473,0.9891529500059748,0.9900755803023655,0.9900312156679473,0.9914108365326101,0.9893927507081687,0.9905494959995845,0.9912157583971593,0.9910974294363991,0.992227830610877,0.9876413821641297,0.9855371237943259,0.989917828963898,0.9887271567198995,0.9936253727217286,0.9905173456371588
grassieevole,0.995704048933675,0.990668881552975,0.9999999999999991,0.9940728966872584,0.992533690005807,0.992533690005807,0.9966012337798712,0.9999999999999991,0.9940728966872577,0.9925336900058059,0.9932778186523733,0.9663632622216017,0.9921714079466878,0.9916861702458336,0.991693830978077,0.9921714079466878,0.9937379897400266,0.9926578116849931,0.9932640330472102,0.9933002153693806,0.995222755664109,0.9944302480641913,0.9883472570340675,0.9886456159285465,0.9921817184130497,0.9916033984076049,0.9926424177474962,0.9932345980170803
grat,0.9951906613609202,0.9910028148955787,0.9940728966872584,0.9999999999999991,0.9932151356277903,0.9932151356277903,0.9941597576253939,0.9940728966872584,0.9999999999999997,0.9932151356277911,0.994026728759642,0.967532652503563,0.993130358264841,0.991869456296191,0.9926176487502091,0.993130358264841,0.9959621935849717,0.9942044847010315,0.9950195549641905,0.9936957882358449,0.9970194463465581,0.9954433540526445,0.9910593121737272,0.9930285642084908,0.9947023404471745,0.9916940706329676,0.9923147429238657,0.9943366234421739
gratitud,0.9933861411585132,0.9911458886866514,0.992533690005807,0.9932151356277903,0.9999999999999998,0.9999999999999998,0.9918132727986874,0.992533690005807,0.9932151356277911,1.0000000000000004,0.9930111979916654,0.9662813567451682,0.990470873151997,0.9904170896660398,0.9926153982851511,0.990470873151997,0.9929764493489085,0.9919160450900988,0.9928967118786153,0.9920966519768059,0.9934660033255728,0.9931674575228348,0.9881803090905118,0.9875509788958989,0.9918238108699048,0.9910033722411213,0.9913987983286223,0.9919041338366017
gratitud,0.9933861411585132,0.9911458886866514,0.992533690005807,0.9932151356277903,0.9999999999999998,0.9999999999999998,0.9918132727986874,0.992533690005807,0.9932151356277911,1.0000000000000004,0.9930111979916654,0.9662813567451682,0.990470873151997,0.9904170896660398,0.9926153982851511,0.990470873151997,0.9929764493489085,0.9919160450900988,0.9928967118786153,0.9920966519768059,0.9934660033255728,0.9931674575228348,0.9881803090905118,0.9875509788958989,0.9918238108699048,0.9910033722411213,0.9913987983286223,0.9919041338366017
grassie,0.9963842985451171,0.9923742680474997,0.9966012337798712,0.9941597576253939,0.9918132727986874,0.9918132727986874,0.9999999999999993,0.9966012337798712,0.9941597576253945,0.9918132727986876,0.9941496578455394,0.9663812492178024,0.9923750894951597,0.9921944527156753,0.991554067292287,0.9923750894951597,0.9942258754811155,0.9932836011594584,0.992283322705866,0.9944805454522887,0.9951058610204899,0.995650603993231,0.9902476308446264,0.989526040016439,0.9936579339794179,0.9918604446560891,0.9940791708472309,0.9942355175987154
grassieevole,0.995704048933675,0.990668881552975,0.9999999999999991,0.9940728966872584,0.992533690005807,0.992533690005807,0.9966012337798712,0.9999999999999991,0.9940728966872577,0.9925336900058059,0.9932778186523733,0.9663632622216017,0.9921714079466878,0.9916861702458336,0.991693830978077,0.9921714079466878,0.9937379897400266,0.9926578116849931,0.9932640330472102,0.9933002153693806,0.995222755664109,0.9944302480641913,0.9883472570340675,0.9886456159285465,0.9921817184130497,0.9916033984076049,0.9926424177474962,0.9932345980170803
grat,0.9951906613609195,0.9910028148955786,0.9940728966872577,0.9999999999999997,0.9932151356277911,0.9932151356277911,0.9941597576253945,0.9940728966872577,0.9999999999999991,0.9932151356277903,0.9940267287596425,0.9675326525035619,0.9931303582648412,0.9918694562961918,0.992617648750209,0.9931303582648412,0.9959621935849717,0.9942044847010315,0.9950195549641905,0.9936957882358449,0.9970194463465581,0.9954433540526445,0.9910593121737272,0.9930285642084908,0.9947023404471745,0.9916940706329676,0.9923147429238657,0.9943366234421739
gratitud,0.9933861411585126,0.9911458886866511,0.9925336900058059,0.9932151356277911,1.0000000000000004,1.0000000000000004,0.9918132727986876,0.9925336900058059,0.9932151356277903,0.9999999999999998,0.9930111979916652,0.9662813567451679,0.9904708731519969,0.9904170896660394,0.9926153982851502,0.9904708731519969,0.9929764493489085,0.9919160450900988,0.9928967118786153,0.9920966519768059,0.9934660033255728,0.9931674575228348,0.9881803090905118,0.9875509788958989,0.9918238108699048,0.9910033722411213,0.9913987983286223,0.9919041338366017
debitur,0.9938401601716134,0.9918857767662533,0.9932778186523733,0.994026728759642,0.9930111979916654,0.9930111979916654,0.9941496578455394,0.9932778186523733,0.9940267287596425,0.9930111979916652,0.9999999999999997,0.9758398993888783,0.9933392779227279,0.9919819334106474,0.9922428062407468,0.9933392779227279,0.9934649238377486,0.9943378510148334,0.9945432588952304,0.9936314446951109,0.9942403407057516,0.9954283561735694,0.9917937479137283,0.9895114182603336,0.9935163032658502,0.9923929822145663,0.9930248411724887,0.9947708786092424
debít,0.9652219009634869,0.9640131390662879,0.9663632622216017,0.967532652503563,0.9662813567451682,0.9662813567451682,0.9663812492178024,0.9663632622216017,0.9675326525035619,0.9662813567451679,0.9758398993888783,0.9999999999999997,0.9674476130745254,0.9643171912012842,0.9654659104647845,0.9674476130745254,0.9658394343666877,0.9699799454919522,0.9701170777989819,0.9653554804824367,0.9686172350127649,0.967331462886777,0.964508905126698,0.9633713463973688,0.9667160291525625,0.9664936436740911,0.9652195196530845,0.9668724186697479
