,weertschaten,weertschatting,dankbaar,dankbaarkeit,dankbaarkeit,dank,dankbaar,dankbaarkeit,schuldig,schuldigkeit,verpflichtung,verpliggen,verpflichtet,verpliggt,verpflichtung,schuldich,schuld hebben,schuldig wesen,schuldig wesen,verschoelend,verschoelingen,verschoelen,verschoeling,leed,sorry,excuseer mi,vergeev mi
weertschaten,0.9999999999999997,0.9824851871724742,0.9514891992045041,0.9459428458201614,0.9459428458201614,0.9464123193818706,0.9514891992045041,0.9459428458201614,0.9514297109051428,0.9530335339902669,0.9552914055118026,0.9559187652904889,0.9430730820532012,0.9522353240073429,0.9552914055118026,0.9505682658556522,0.9501317337174124,0.9514138500687105,0.9514138500687105,0.944928217473203,0.9493453077351909,0.9386206137130694,0.9452914062401052,0.9570016485311936,0.9442687069096067,0.9485795934185018,0.9473537300047329
weertschatting,0.9824851871724742,0.9999999999999992,0.978299349501989,0.973784691316692,0.973784691316692,0.9736777051315451,0.978299349501989,0.973784691316692,0.9775881478416968,0.9785971040643302,0.9807812296309033,0.9810962023358598,0.9681508238356092,0.9781537363353274,0.9807812296309033,0.9773431490839004,0.9764790775538378,0.9777151941566965,0.9777151941566965,0.9698538308148643,0.9718122626564786,0.9633244290996805,0.969020907528747,0.9799035992070225,0.9710507779539684,0.9759179070913692,0.9744799186365943
dankbaar,0.9514891992045041,0.978299349501989,0.999999999999999,0.9958670601645995,0.9958670601645995,0.9941120662110127,0.999999999999999,0.9958670601645995,0.9957621964051515,0.9954131541881281,0.9943761052187507,0.9955665120228989,0.9858424675931943,0.9945646901873239,0.9943761052187507,0.9917398063722305,0.9948009776979831,0.9944695018680395,0.9944695018680395,0.9845402179384894,0.9846937641316145,0.9777480909600776,0.9822494260565916,0.9896161280174763,0.9910865563374363,0.9942497271809329,0.9932737043495675
dankbaarkeit,0.9459428458201614,0.973784691316692,0.9958670601645995,0.9999999999999993,0.9999999999999993,0.9912116551901037,0.9958670601645995,0.9999999999999993,0.9920056839698517,0.9916495928036319,0.9913254267982863,0.9924838669082254,0.9833222929399948,0.9915920656104206,0.9913254267982863,0.9886820826104774,0.9923897483620069,0.9918774955111084,0.9918774955111084,0.9848618604446746,0.9853631329122815,0.9794130411629216,0.9824833509414931,0.9848930475004786,0.9873856036715196,0.9906604076187935,0.9903069619682414
dankbaarkeit,0.9459428458201614,0.973784691316692,0.9958670601645995,0.9999999999999993,0.9999999999999993,0.9912116551901037,0.9958670601645995,0.9999999999999993,0.9920056839698517,0.9916495928036319,0.9913254267982863,0.9924838669082254,0.9833222929399948,0.9915920656104206,0.9913254267982863,0.9886820826104774,0.9923897483620069,0.9918774955111084,0.9918774955111084,0.9848618604446746,0.9853631329122815,0.9794130411629216,0.9824833509414931,0.9848930475004786,0.9873856036715196,0.9906604076187935,0.9903069619682414
dank,0.9464123193818706,0.9736777051315451,0.9941120662110127,0.9912116551901037,0.9912116551901037,0.9999999999999994,0.9941120662110127,0.9912116551901037,0.9942525957012415,0.992648714029571,0.9916202191066169,0.9919214197964688,0.986615789717157,0.9921149930307045,0.9916202191066169,0.989188754880492,0.9936857655447463,0.993507449103042,0.993507449103042,0.9793497300526465,0.980499841016404,0.9730384287998965,0.977506682309,0.9874580508316453,0.9940087555550242,0.9940393101040037,0.9935429986880041
dankbaar,0.9514891992045041,0.978299349501989,0.999999999999999,0.9958670601645995,0.9958670601645995,0.9941120662110127,0.999999999999999,0.9958670601645995,0.9957621964051515,0.9954131541881281,0.9943761052187507,0.9955665120228989,0.9858424675931943,0.9945646901873239,0.9943761052187507,0.9917398063722305,0.9948009776979831,0.9944695018680395,0.9944695018680395,0.9845402179384894,0.9846937641316145,0.9777480909600776,0.9822494260565916,0.9896161280174763,0.9910865563374363,0.9942497271809329,0.9932737043495675
dankbaarkeit,0.9459428458201614,0.973784691316692,0.9958670601645995,0.9999999999999993,0.9999999999999993,0.9912116551901037,0.9958670601645995,0.9999999999999993,0.9920056839698517,0.9916495928036319,0.9913254267982863,0.9924838669082254,0.9833222929399948,0.9915920656104206,0.9913254267982863,0.9886820826104774,0.9923897483620069,0.9918774955111084,0.9918774955111084,0.9848618604446746,0.9853631329122815,0.9794130411629216,0.9824833509414931,0.9848930475004786,0.9873856036715196,0.9906604076187935,0.9903069619682414
schuldig,0.9514297109051428,0.9775881478416968,0.9957621964051515,0.9920056839698517,0.9920056839698517,0.9942525957012415,0.9957621964051515,0.9920056839698517,1.0,0.9970554996439831,0.995693461396802,0.9952153362822342,0.9882637012252208,0.9945403813536854,0.995693461396802,0.9940624503686716,0.9963686912298824,0.9975245135449229,0.9975245135449229,0.9837993972772555,0.9843794487190481,0.9771484366737668,0.9811580902332484,0.9892723570891888,0.991498851527247,0.9936944140747238,0.9931945467858543
schuldigkeit,0.9530335339902669,0.9785971040643302,0.9954131541881281,0.9916495928036319,0.9916495928036319,0.992648714029571,0.9954131541881281,0.9916495928036319,0.9970554996439831,0.9999999999999996,0.9968487664999539,0.9949332408384708,0.9863313410173352,0.9936635217841377,0.9968487664999539,0.9931336482544888,0.9951116719049108,0.9961154481909825,0.9961154481909825,0.9801947672305866,0.9828455897054498,0.974367060127669,0.9799491519806015,0.9893459147307596,0.9890220974990086,0.9925064274785033,0.9923183603004577
verpflichtung,0.9552914055118026,0.9807812296309033,0.9943761052187507,0.9913254267982863,0.9913254267982863,0.9916202191066169,0.9943761052187507,0.9913254267982863,0.995693461396802,0.9968487664999539,0.9999999999999997,0.9959082424140487,0.9885245456020885,0.9944848133316482,0.9999999999999997,0.9942794192125123,0.9934028496738389,0.9940023294507466,0.9940023294507466,0.9820213380906788,0.9851115227884626,0.9767292940892,0.9823943522719021,0.9892158809030207,0.987619996228981,0.991588971697111,0.9911533137983184
