,schätzen,unerkennung,dankbar,dankbarkeet,dankbarkeet,merci,dankbar,dankbarkeet,verschold,verscholdung,verflichtung,gebonnen,verflicht,verflichtung,schëlleg,schëlleg sinn,scholden hunn,entschëllegend,entschëllegungen,entschëllegen,entschëllegung,leed,entschëllegt,entschëllegt mech,verzeiht mir
schätzen,0.9999999999999992,0.9938843424932949,0.9931361397614081,0.9946666021251728,0.9946666021251728,0.9911161391706668,0.9931361397614081,0.9946666021251728,0.9931577044948704,0.9924563186139564,0.9962866688582993,0.9927102684138032,0.9958533533767915,0.9962866688582993,0.9933973002539648,0.9919017772862305,0.9915989475276228,0.9956117667370946,0.9928006152981715,0.9958524919591781,0.9953485473002608,0.989455645271728,0.9946112645040404,0.9940082467263585,0.9938402445234421
unerkennung,0.9938843424932949,0.9999999999999997,0.9939883779727265,0.9938621836330848,0.9938621836330848,0.9906891621475221,0.9939883779727265,0.9938621836330848,0.9918068124972911,0.9922537686854158,0.9958224502583275,0.9909753157102498,0.9950458464349115,0.9958224502583275,0.9919298493832422,0.9912823648316215,0.9914792663729131,0.9936921631084445,0.9908535021652666,0.9924331327854227,0.9940367176868724,0.9893356125793551,0.9930190371523715,0.9931022375557003,0.9927743218024714
dankbar,0.9931361397614081,0.9939883779727265,0.9999999999999996,0.9951903743877725,0.9951903743877725,0.9930369216403742,0.9999999999999996,0.9951903743877725,0.9919282854547137,0.9912657758762535,0.9942329276995951,0.9919846621427332,0.9951240556318274,0.9942329276995951,0.9928083636951297,0.9924553816151132,0.9917966512351353,0.9937134078567494,0.9911697527636787,0.9927127265066392,0.993864539768806,0.9904579239831256,0.9929965386573295,0.9937641208261256,0.9946607513445405
dankbarkeet,0.9946666021251728,0.9938621836330848,0.9951903743877725,0.9999999999999996,0.9999999999999996,0.993778145772718,0.9951903743877725,0.9999999999999996,0.9928675993054261,0.9937350083695788,0.9951812870145758,0.9914926211137396,0.9961328582967548,0.9951812870145758,0.9929078385761589,0.9930955547140249,0.9941984159602707,0.9949289748208027,0.9894962837837653,0.9941780566009847,0.9942321740182065,0.9921874807647345,0.9930623420049526,0.9938105381536798,0.9935951676703149
dankbarkeet,0.9946666021251728,0.9938621836330848,0.9951903743877725,0.9999999999999996,0.9999999999999996,0.993778145772718,0.9951903743877725,0.9999999999999996,0.9928675993054261,0.9937350083695788,0.9951812870145758,0.9914926211137396,0.9961328582967548,0.9951812870145758,0.9929078385761589,0.9930955547140249,0.9941984159602707,0.9949289748208027,0.9894962837837653,0.9941780566009847,0.9942321740182065,0.9921874807647345,0.9930623420049526,0.9938105381536798,0.9935951676703149
merci,0.9911161391706668,0.9906891621475221,0.9930369216403742,0.993778145772718,0.993778145772718,0.9999999999999994,0.9930369216403742,0.993778145772718,0.9899947364011192,0.9891610371129187,0.9912743812217647,0.9891397207326761,0.9918444563265411,0.9912743812217647,0.9914557344430538,0.9920550233576678,0.9920601543297238,0.9915640637524323,0.9877963484758272,0.9909075892076717,0.9914130763703034,0.9897488305928633,0.9899232162350948,0.990877085939331,0.9905207401162709
dankbar,0.9931361397614081,0.9939883779727265,0.9999999999999996,0.9951903743877725,0.9951903743877725,0.9930369216403742,0.9999999999999996,0.9951903743877725,0.9919282854547137,0.9912657758762535,0.9942329276995951,0.9919846621427332,0.9951240556318274,0.9942329276995951,0.9928083636951297,0.9924553816151132,0.9917966512351353,0.9937134078567494,0.9911697527636787,0.9927127265066392,0.993864539768806,0.9904579239831256,0.9929965386573295,0.9937641208261256,0.9946607513445405
dankbarkeet,0.9946666021251728,0.9938621836330848,0.9951903743877725,0.9999999999999996,0.9999999999999996,0.993778145772718,0.9951903743877725,0.9999999999999996,0.9928675993054261,0.9937350083695788,0.9951812870145758,0.9914926211137396,0.9961328582967548,0.9951812870145758,0.9929078385761589,0.9930955547140249,0.9941984159602707,0.9949289748208027,0.9894962837837653,0.9941780566009847,0.9942321740182065,0.9921874807647345,0.9930623420049526,0.9938105381536798,0.9935951676703149
verschold,0.9931577044948704,0.9918068124972911,0.9919282854547137,0.9928675993054261,0.9928675993054261,0.9899947364011192,0.9919282854547137,0.9928675993054261,1.0,0.9955167019328962,0.9942582143507744,0.9941713735100541,0.9945371616939948,0.9942582143507744,0.9917986272095081,0.9903498781624772,0.9911145973250364,0.9938068829498348,0.9900583499724056,0.9935312808969312,0.9935858602067544,0.9900386464522859,0.9942517409558668,0.9936340689230398,0.9924205959785908
verscholdung,0.9924563186139564,0.9922537686854158,0.9912657758762535,0.9937350083695788,0.9937350083695788,0.9891610371129187,0.9912657758762535,0.9937350083695788,0.9955167019328962,0.9999999999999994,0.9940298854073081,0.9906067973645976,0.9938434574896098,0.9940298854073081,0.9904956548616515,0.9897832425364945,0.9915478876269972,0.9927429877708553,0.9880866585100525,0.9920715236756312,0.9927445790754585,0.9898165273872599,0.9912556825758908,0.9909681856923925,0.9897196093297665
