,प्रशंसा,आभारी,कृतज्ञता,कृतज्ञता,धन्यवाद,आभारी,कृतज्ञता,सराहना करब,ऋणी,कर्जदार,ऋणग्रस्तता,कर्जदारी,जिम्मेदारी,फरज,बाध्य,मजबूर,जिम्मेदारी,फरज,ऋण बा,ऋणी होय,कर्ज बा,कर्जदार होय,माफ़ीसभ,माफ़ी,दुख,क्षमा करू,माफ करू,माफ करू,माफी मँगनिहार,माफी मँगब
प्रशंसा,0.9999999999999994,0.9943897883772707,0.9954252897173579,0.9954252897173579,0.9949368833768162,0.9943897883772707,0.9954252897173579,0.9963990865006906,0.9945586669977147,0.9961257559506047,0.9951153844109547,0.9960281738546758,0.9949411083188787,0.9881918695393256,0.9969046577090178,0.9962770301033369,0.9949411083188787,0.9881918695393256,0.9939235332682815,0.9918423221574407,0.9895358842208768,0.9905621922998414,0.996890273568899,0.9960399714574021,0.9867602575241828,0.9946719824800726,0.9941236752211363,0.9941236752211363,0.9959670440043299,0.9963208496729512
आभारी,0.9943897883772707,0.9999999999999997,0.9920715742711033,0.9920715742711033,0.9922854204023359,0.9999999999999997,0.9920715742711033,0.9927835928763622,0.9929296057065271,0.9939717623343959,0.9907729225061745,0.9945737180866515,0.9918281315918466,0.9879465521489088,0.9943083055507678,0.9940861577571538,0.9918281315918466,0.9879465521489088,0.9921840345134454,0.9908449289362943,0.9909303634193408,0.9891870800729438,0.9927667118533872,0.9930534757146977,0.9856784790132995,0.9920088299878821,0.9912209598887829,0.9912209598887829,0.9926403961816562,0.9935249440226407
कृतज्ञता,0.9954252897173579,0.9920715742711033,1.0000000000000002,1.0000000000000002,0.9974200917039961,0.9920715742711033,1.0000000000000002,0.9950401184689098,0.9960724069554875,0.9962585328469326,0.9945195283170242,0.9963889209976567,0.995147897233766,0.9871656002853382,0.996305084451923,0.994767262238032,0.995147897233766,0.9871656002853382,0.9940671168958467,0.9941149220143854,0.9882056117674564,0.9922570030847074,0.9958542231946883,0.9954640991518203,0.9865660304839576,0.9961607915987011,0.9940936043463972,0.9940936043463972,0.9957768291400912,0.9958589762401439
कृतज्ञता,0.9954252897173579,0.9920715742711033,1.0000000000000002,1.0000000000000002,0.9974200917039961,0.9920715742711033,1.0000000000000002,0.9950401184689098,0.9960724069554875,0.9962585328469326,0.9945195283170242,0.9963889209976567,0.995147897233766,0.9871656002853382,0.996305084451923,0.994767262238032,0.995147897233766,0.9871656002853382,0.9940671168958467,0.9941149220143854,0.9882056117674564,0.9922570030847074,0.9958542231946883,0.9954640991518203,0.9865660304839576,0.9961607915987011,0.9940936043463972,0.9940936043463972,0.9957768291400912,0.9958589762401439
धन्यवाद,0.9949368833768162,0.9922854204023359,0.9974200917039961,0.9974200917039961,0.9999999999999998,0.9922854204023359,0.9974200917039961,0.9945888662926727,0.9954249452919631,0.9958412147366493,0.9940965877634701,0.995085784069956,0.9944835566231421,0.9865758049647674,0.9968321944197212,0.9943540083914303,0.9944835566231421,0.9865758049647674,0.9937532074454263,0.9936860274426379,0.988682866238123,0.9918963888068512,0.9951505138580476,0.9948997871979184,0.9871586126755619,0.9955830600669904,0.9939350310476404,0.9939350310476404,0.9946732865155099,0.9948584600294712
आभारी,0.9943897883772707,0.9999999999999997,0.9920715742711033,0.9920715742711033,0.9922854204023359,0.9999999999999997,0.9920715742711033,0.9927835928763622,0.9929296057065271,0.9939717623343959,0.9907729225061745,0.9945737180866515,0.9918281315918466,0.9879465521489088,0.9943083055507678,0.9940861577571538,0.9918281315918466,0.9879465521489088,0.9921840345134454,0.9908449289362943,0.9909303634193408,0.9891870800729438,0.9927667118533872,0.9930534757146977,0.9856784790132995,0.9920088299878821,0.9912209598887829,0.9912209598887829,0.9926403961816562,0.9935249440226407
कृतज्ञता,0.9954252897173579,0.9920715742711033,1.0000000000000002,1.0000000000000002,0.9974200917039961,0.9920715742711033,1.0000000000000002,0.9950401184689098,0.9960724069554875,0.9962585328469326,0.9945195283170242,0.9963889209976567,0.995147897233766,0.9871656002853382,0.996305084451923,0.994767262238032,0.995147897233766,0.9871656002853382,0.9940671168958467,0.9941149220143854,0.9882056117674564,0.9922570030847074,0.9958542231946883,0.9954640991518203,0.9865660304839576,0.9961607915987011,0.9940936043463972,0.9940936043463972,0.9957768291400912,0.9958589762401439
सराहना करब,0.9963990865006906,0.9927835928763622,0.9950401184689098,0.9950401184689098,0.9945888662926727,0.9927835928763622,0.9950401184689098,1.0000000000000002,0.9936596592304268,0.9971064260928947,0.9960914604343002,0.9967638276628178,0.9954403358586523,0.9879578126457328,0.9958946214692334,0.995134896960522,0.9954403358586523,0.9879578126457328,0.9925518181141785,0.9914235850218589,0.9884349059158495,0.990867680425966,0.9968840909218181,0.9960222520083827,0.9868207158263987,0.9946687336109379,0.9942562347428835,0.9942562347428835,0.9969197415903415,0.9978073122545913
ऋणी,0.9945586669977147,0.9929296057065271,0.9960724069554875,0.9960724069554875,0.9954249452919631,0.9929296057065271,0.9960724069554875,0.9936596592304268,1.0000000000000002,0.9954858070257507,0.9937902583021787,0.9951359759565644,0.9939876942969519,0.9871858431000092,0.99589143083886,0.9950413818946232,0.9939876942969528,0.9871858431000093,0.9966723284509689,0.9951131684931139,0.9901866261179115,0.991403484692084,0.9943266584490343,0.9950454042244891,0.9888053738024571,0.9953522650846744,0.9942298417434917,0.9942298417434917,0.9944051970737383,0.9945245840706359
कर्जदार,0.9961257559506047,0.9939717623343959,0.9962585328469326,0.9962585328469326,0.9958412147366493,0.9939717623343959,0.9962585328469326,0.9971064260928947,0.9954858070257507,0.9999999999999994,0.9961615121896698,0.9987795346349609,0.995769902894975,0.9894644790608467,0.9964759083218181,0.9950865512448728,0.995769902894975,0.9894644790608467,0.9928027415449416,0.9930850705555129,0.9879625869243446,0.9928363144855208,0.9968414030621875,0.9963498675803353,0.98838129457911,0.9948499572429284,0.9940701327495395,0.9940701327495395,0.9973184677334123,0.9971793678581858
