,fankasitrahana,mankasitraka,fankasitrahana,fankasitrahana,misaotra,mankasitraka,fankasitrahana,manome lanja,voatrosa,adidy,adidy,voatery,adidy,trosa,ananana trosa,fananan-trosa,manana trosa,manana trosa,misy trosa,mampalahelo,azafady,falahelo,fialan-tsiny,fialan-tsiny,mamela ahy,miala tsiny,miala tsiny,miala tsiny
fankasitrahana,1.0,0.9923091779478102,1.0,1.0,0.9964948322048987,0.9923091779478102,1.0,0.9954455947235471,0.9962775016845058,0.9962108906928381,0.9962108906928381,0.9919517324945862,0.9962108906928381,0.9942798324289878,0.9942576786978541,0.9944646877243984,0.9937306182151299,0.9937306182151299,0.9798761779074008,0.9962910768325155,0.9963881061325205,0.9959248436700738,0.9939237334878542,0.9939237334878542,0.9960286099780373,0.995044893437892,0.995044893437892,0.995044893437892
mankasitraka,0.9923091779478102,0.9999999999999998,0.9923091779478102,0.9923091779478102,0.9907372043683015,0.9999999999999998,0.9923091779478102,0.991357899402742,0.9899796060320383,0.9894845644570055,0.9894845644570055,0.9850310907083958,0.9894845644570055,0.9886792108292957,0.989303220993802,0.986532952776387,0.9886071017803667,0.9886071017803667,0.975442039686713,0.9906947142126956,0.9891819963289828,0.9898308749106605,0.9902291048373729,0.9902291048373729,0.9889325294458893,0.9901447826587176,0.9901447826587176,0.9901447826587176
fankasitrahana,1.0,0.9923091779478102,1.0,1.0,0.9964948322048987,0.9923091779478102,1.0,0.9954455947235471,0.9962775016845058,0.9962108906928381,0.9962108906928381,0.9919517324945862,0.9962108906928381,0.9942798324289878,0.9942576786978541,0.9944646877243984,0.9937306182151299,0.9937306182151299,0.9798761779074008,0.9962910768325155,0.9963881061325205,0.9959248436700738,0.9939237334878542,0.9939237334878542,0.9960286099780373,0.995044893437892,0.995044893437892,0.995044893437892
fankasitrahana,1.0,0.9923091779478102,1.0,1.0,0.9964948322048987,0.9923091779478102,1.0,0.9954455947235471,0.9962775016845058,0.9962108906928381,0.9962108906928381,0.9919517324945862,0.9962108906928381,0.9942798324289878,0.9942576786978541,0.9944646877243984,0.9937306182151299,0.9937306182151299,0.9798761779074008,0.9962910768325155,0.9963881061325205,0.9959248436700738,0.9939237334878542,0.9939237334878542,0.9960286099780373,0.995044893437892,0.995044893437892,0.995044893437892
misaotra,0.9964948322048987,0.9907372043683015,0.9964948322048987,0.9964948322048987,1.0000000000000002,0.9907372043683015,0.9964948322048987,0.9947869138840154,0.9968493997277028,0.9948867141530336,0.9948867141530336,0.992480553191709,0.9948867141530336,0.9961891543921803,0.9936370827755061,0.9929430839992821,0.9934345625784003,0.9934345625784003,0.979982169653276,0.9975243752545759,0.9967898738711721,0.9960207407610595,0.9932791052921872,0.9932791052921872,0.9960077397639623,0.9956759256859771,0.9956759256859771,0.9956759256859771
mankasitraka,0.9923091779478102,0.9999999999999998,0.9923091779478102,0.9923091779478102,0.9907372043683015,0.9999999999999998,0.9923091779478102,0.991357899402742,0.9899796060320383,0.9894845644570055,0.9894845644570055,0.9850310907083958,0.9894845644570055,0.9886792108292957,0.989303220993802,0.986532952776387,0.9886071017803667,0.9886071017803667,0.975442039686713,0.9906947142126956,0.9891819963289828,0.9898308749106605,0.9902291048373729,0.9902291048373729,0.9889325294458893,0.9901447826587176,0.9901447826587176,0.9901447826587176
fankasitrahana,1.0,0.9923091779478102,1.0,1.0,0.9964948322048987,0.9923091779478102,1.0,0.9954455947235471,0.9962775016845058,0.9962108906928381,0.9962108906928381,0.9919517324945862,0.9962108906928381,0.9942798324289878,0.9942576786978541,0.9944646877243984,0.9937306182151299,0.9937306182151299,0.9798761779074008,0.9962910768325155,0.9963881061325205,0.9959248436700738,0.9939237334878542,0.9939237334878542,0.9960286099780373,0.995044893437892,0.995044893437892,0.995044893437892
manome lanja,0.9954455947235471,0.991357899402742,0.9954455947235471,0.9954455947235471,0.9947869138840154,0.991357899402742,0.9954455947235471,0.9999999999999993,0.9943284117967439,0.9940318807162604,0.9940318807162604,0.9891546105738371,0.9940318807162604,0.9937146834206485,0.9936945427875438,0.9917821359320188,0.9949835206185106,0.9949835206185106,0.9792531153310219,0.9951313382448468,0.9942827515827338,0.9946175735733676,0.9923506340957717,0.9923506340957717,0.9947848295188654,0.9942321006081793,0.9942321006081793,0.9942321006081793
voatrosa,0.9962775016845058,0.9899796060320383,0.9962775016845058,0.9962775016845058,0.9968493997277028,0.9899796060320383,0.9962775016845058,0.9943284117967439,0.9999999999999999,0.9958332634705919,0.9958332634705919,0.9941918403564467,0.9958332634705919,0.9966015881410416,0.9936780190355616,0.9938961064902679,0.994760397304348,0.994760397304348,0.9790443431027102,0.9965679083648795,0.9964666112010927,0.9967285969485656,0.9937166059830744,0.9937166059830744,0.996136061907996,0.9941955110955033,0.9941955110955033,0.9941955110955033
adidy,0.9962108906928381,0.9894845644570055,0.9962108906928381,0.9962108906928381,0.9948867141530336,0.9894845644570055,0.9962108906928381,0.9940318807162604,0.9958332634705919,0.9999999999999998,0.9999999999999998,0.9927174891052523,0.9999999999999998,0.9933578597215491,0.9910106072650677,0.9908783055641452,0.9937338627828216,0.9937338627828216,0.9779407956679146,0.994506179143299,0.996150982751183,0.9944845345170885,0.9917182138535707,0.9917182138535707,0.9961489685075138,0.9924972488645089,0.9924972488645089,0.9924972488645089
adidy,0.9962108906928381,0.9894845644570055,0.9962108906928381,0.9962108906928381,0.9948867141530336,0.9894845644570055,0.9962108906928381,0.9940318807162604,0.9958332634705919,0.9999999999999998,0.9999999999999998,0.9927174891052523,0.9999999999999998,0.9933578597215491,0.9910106072650677,0.9908783055641452,0.9937338627828216,0.9937338627828216,0.9779407956679146,0.994506179143299,0.996150982751183,0.9944845345170885,0.9917182138535707,0.9917182138535707,0.9961489685075138,0.9924972488645089,0.9924972488645089,0.9924972488645089
voatery,0.9919517324945862,0.9850310907083958,0.9919517324945862,0.9919517324945862,0.992480553191709,0.9850310907083958,0.9919517324945862,0.9891546105738371,0.9941918403564467,0.9927174891052523,0.9927174891052523,0.9999999999999999,0.9927174891052523,0.9922133485763441,0.987536802189551,0.98960085760209,0.9897413728314043,0.9897413728314043,0.9770090085016764,0.9920596819514822,0.9932450812896672,0.9909354166415939,0.9880980125477574,0.9880980125477574,0.9929659800992398,0.989757264739292,0.989757264739292,0.989757264739292
adidy,0.9962108906928381,0.9894845644570055,0.9962108906928381,0.9962108906928381,0.9948867141530336,0.9894845644570055,0.9962108906928381,0.9940318807162604,0.9958332634705919,0.9999999999999998,0.9999999999999998,0.9927174891052523,0.9999999999999998,0.9933578597215491,0.9910106072650677,0.9908783055641452,0.9937338627828216,0.9937338627828216,0.9779407956679146,0.994506179143299,0.996150982751183,0.9944845345170885,0.9917182138535707,0.9917182138535707,0.9961489685075138,0.9924972488645089,0.9924972488645089,0.9924972488645089
trosa,0.9942798324289878,0.9886792108292957,0.9942798324289878,0.9942798324289878,0.9961891543921803,0.9886792108292957,0.9942798324289878,0.9937146834206485,0.9966015881410416,0.9933578597215491,0.9933578597215491,0.9922133485763441,0.9933578597215491,0.9999999999999991,0.9925237731204816,0.9925656953274934,0.9935932727846208,0.9935932727846208,0.9784551862721527,0.9949520774477691,0.9950048616490538,0.9946427921959007,0.9922405917677867,0.9922405917677867,0.9941173221708135,0.9939103073716004,0.9939103073716004,0.9939103073716004
ananana trosa,0.9942576786978541,0.989303220993802,0.9942576786978541,0.9942576786978541,0.9936370827755061,0.989303220993802,0.9942576786978541,0.9936945427875438,0.9936780190355616,0.9910106072650677,0.9910106072650677,0.987536802189551,0.9910106072650677,0.9925237731204816,1.0,0.9919363727022097,0.9927760586064097,0.9927760586064097,0.979477833508906,0.9939058075395609,0.9930852646933679,0.9934832909598815,0.9927404399356854,0.9927404399356854,0.9936041103115,0.9950297999737426,0.9950297999737426,0.9950297999737426
fananan-trosa,0.9944646877243984,0.986532952776387,0.9944646877243984,0.9944646877243984,0.9929430839992821,0.986532952776387,0.9944646877243984,0.9917821359320188,0.9938961064902679,0.9908783055641452,0.9908783055641452,0.98960085760209,0.9908783055641452,0.9925656953274934,0.9919363727022097,0.9999999999999993,0.9908971097547207,0.9908971097547207,0.9758465733294079,0.9926773583314527,0.9932597123014708,0.9928672001658974,0.9918666581009472,0.9918666581009472,0.9924393125534552,0.9925119437242431,0.9925119437242431,0.9925119437242431
manana trosa,0.9937306182151299,0.9886071017803667,0.9937306182151299,0.9937306182151299,0.9934345625784003,0.9886071017803667,0.9937306182151299,0.9949835206185106,0.994760397304348,0.9937338627828216,0.9937338627828216,0.9897413728314043,0.9937338627828216,0.9935932727846208,0.9927760586064097,0.9908971097547207,0.9999999999999998,0.9999999999999998,0.9784852245863394,0.9934006645551094,0.992915543166307,0.994889077415401,0.9907813183839919,0.9907813183839919,0.9946385712681044,0.9926456539105463,0.9926456539105463,0.9926456539105463
manana trosa,0.9937306182151299,0.9886071017803667,0.9937306182151299,0.9937306182151299,0.9934345625784003,0.9886071017803667,0.9937306182151299,0.9949835206185106,0.994760397304348,0.9937338627828216,0.9937338627828216,0.9897413728314043,0.9937338627828216,0.9935932727846208,0.9927760586064097,0.9908971097547207,0.9999999999999998,0.9999999999999998,0.9784852245863394,0.9934006645551094,0.992915543166307,0.994889077415401,0.9907813183839919,0.9907813183839919,0.9946385712681044,0.9926456539105463,0.9926456539105463,0.9926456539105463
misy trosa,0.9798761779074008,0.975442039686713,0.9798761779074008,0.9798761779074008,0.979982169653276,0.975442039686713,0.9798761779074008,0.9792531153310219,0.9790443431027102,0.9779407956679146,0.9779407956679146,0.9770090085016764,0.9779407956679146,0.9784551862721527,0.979477833508906,0.9758465733294079,0.9784852245863394,0.9784852245863394,0.999999999999999,0.9798612155312051,0.97813345326765,0.9780422183504361,0.9769710100585208,0.9769710100585208,0.9785834627105297,0.9783241139496645,0.9783241139496645,0.9783241139496645
mampalahelo,0.9962910768325155,0.9906947142126956,0.9962910768325155,0.9962910768325155,0.9975243752545759,0.9906947142126956,0.9962910768325155,0.9951313382448468,0.9965679083648795,0.994506179143299,0.994506179143299,0.9920596819514822,0.994506179143299,0.9949520774477691,0.9939058075395609,0.9926773583314527,0.9934006645551094,0.9934006645551094,0.9798612155312051,0.9999999999999998,0.9962377249344816,0.9969751271713957,0.9934323283207989,0.9934323283207989,0.9964400268204892,0.9955313854442418,0.9955313854442418,0.9955313854442418
azafady,0.9963881061325205,0.9891819963289828,0.9963881061325205,0.9963881061325205,0.9967898738711721,0.9891819963289828,0.9963881061325205,0.9942827515827338,0.9964666112010927,0.996150982751183,0.996150982751183,0.9932450812896672,0.996150982751183,0.9950048616490538,0.9930852646933679,0.9932597123014708,0.992915543166307,0.992915543166307,0.97813345326765,0.9962377249344816,0.9999999999999993,0.9959359668939469,0.9937247487396653,0.9937247487396653,0.9972591945556902,0.995176216888006,0.995176216888006,0.995176216888006
falahelo,0.9959248436700738,0.9898308749106605,0.9959248436700738,0.9959248436700738,0.9960207407610595,0.9898308749106605,0.9959248436700738,0.9946175735733676,0.9967285969485656,0.9944845345170885,0.9944845345170885,0.9909354166415939,0.9944845345170885,0.9946427921959007,0.9934832909598815,0.9928672001658974,0.994889077415401,0.994889077415401,0.9780422183504361,0.9969751271713957,0.9959359668939469,0.9999999999999994,0.9942215412931099,0.9942215412931099,0.9956166558192113,0.9940419939791362,0.9940419939791362,0.9940419939791362
fialan-tsiny,0.9939237334878542,0.9902291048373729,0.9939237334878542,0.9939237334878542,0.9932791052921872,0.9902291048373729,0.9939237334878542,0.9923506340957717,0.9937166059830744,0.9917182138535707,0.9917182138535707,0.9880980125477574,0.9917182138535707,0.9922405917677867,0.9927404399356854,0.9918666581009472,0.9907813183839919,0.9907813183839919,0.9769710100585208,0.9934323283207989,0.9937247487396653,0.9942215412931099,0.9999999999999993,0.9999999999999993,0.9928995199044903,0.9954917721748346,0.9954917721748346,0.9954917721748346
fialan-tsiny,0.9939237334878542,0.9902291048373729,0.9939237334878542,0.9939237334878542,0.9932791052921872,0.9902291048373729,0.9939237334878542,0.9923506340957717,0.9937166059830744,0.9917182138535707,0.9917182138535707,0.9880980125477574,0.9917182138535707,0.9922405917677867,0.9927404399356854,0.9918666581009472,0.9907813183839919,0.9907813183839919,0.9769710100585208,0.9934323283207989,0.9937247487396653,0.9942215412931099,0.9999999999999993,0.9999999999999993,0.9928995199044903,0.9954917721748346,0.9954917721748346,0.9954917721748346
mamela ahy,0.9960286099780373,0.9889325294458893,0.9960286099780373,0.9960286099780373,0.9960077397639623,0.9889325294458893,0.9960286099780373,0.9947848295188654,0.996136061907996,0.9961489685075138,0.9961489685075138,0.9929659800992398,0.9961489685075138,0.9941173221708135,0.9936041103115,0.9924393125534552,0.9946385712681044,0.9946385712681044,0.9785834627105297,0.9964400268204892,0.9972591945556902,0.9956166558192113,0.9928995199044903,0.9928995199044903,0.9999999999999997,0.9951503284756248,0.9951503284756248,0.9951503284756248
miala tsiny,0.995044893437892,0.9901447826587176,0.995044893437892,0.995044893437892,0.9956759256859771,0.9901447826587176,0.995044893437892,0.9942321006081793,0.9941955110955033,0.9924972488645089,0.9924972488645089,0.989757264739292,0.9924972488645089,0.9939103073716004,0.9950297999737426,0.9925119437242431,0.9926456539105463,0.9926456539105463,0.9783241139496645,0.9955313854442418,0.995176216888006,0.9940419939791362,0.9954917721748346,0.9954917721748346,0.9951503284756248,0.9999999999999996,0.9999999999999996,0.9999999999999996
miala tsiny,0.995044893437892,0.9901447826587176,0.995044893437892,0.995044893437892,0.9956759256859771,0.9901447826587176,0.995044893437892,0.9942321006081793,0.9941955110955033,0.9924972488645089,0.9924972488645089,0.989757264739292,0.9924972488645089,0.9939103073716004,0.9950297999737426,0.9925119437242431,0.9926456539105463,0.9926456539105463,0.9783241139496645,0.9955313854442418,0.995176216888006,0.9940419939791362,0.9954917721748346,0.9954917721748346,0.9951503284756248,0.9999999999999996,0.9999999999999996,0.9999999999999996
miala tsiny,0.995044893437892,0.9901447826587176,0.995044893437892,0.995044893437892,0.9956759256859771,0.9901447826587176,0.995044893437892,0.9942321006081793,0.9941955110955033,0.9924972488645089,0.9924972488645089,0.989757264739292,0.9924972488645089,0.9939103073716004,0.9950297999737426,0.9925119437242431,0.9926456539105463,0.9926456539105463,0.9783241139496645,0.9955313854442418,0.995176216888006,0.9940419939791362,0.9954917721748346,0.9954917721748346,0.9951503284756248,0.9999999999999996,0.9999999999999996,0.9999999999999996
