,menghargai,penghargaan,bersyukur,kesyukuran,kesyukuran,bersyukur,kesyukuran,menghargai,penghargaan,kesyukuran,bersyukur,mengucapkan terima kasih,rasa syukur,terima kasih,berhutang,kewajipan,terpaksa,wajib,kewajipan,berhutang,kewajipan,tanggungjawab,hutang-piutang,hutang yang belum dibayar,kewajipan hutang,rasa terhutang budi,terhutang budi,penyesalan,maaf,ampunkan saya,bersifat memohon maaf,maafkan saya,maafkan saya,memohon maaf,minta izin,permohonan maaf,permohonan maaf
menghargai,0.9999999999999997,0.9875279109831592,0.9923910326110469,0.9923564912761847,0.9923564912761847,0.9923910326110469,0.9923564912761847,0.9999999999999997,0.9875279109831592,0.9923564912761847,0.9923910326110469,0.992691685897714,0.9923982499500348,0.9926980807613005,0.9904834365479959,0.99445828001433,0.9860373226440287,0.9821833889322953,0.994458280014329,0.9904834365479946,0.994458280014329,0.9884243264121777,0.9833665480378301,0.988909315850135,0.9884246378914422,0.9901157871655276,0.9923271236332697,0.987801610019031,0.993426199372648,0.9901952387865848,0.9898823929734996,0.9890213611767101,0.9890213611767096,0.9871325169712382,0.9902812444748553,0.9881735649839395,0.9881735649839395
penghargaan,0.9875279109831592,0.9999999999999991,0.9893726419884572,0.9900799690307058,0.9900799690307058,0.9893726419884572,0.9900799690307058,0.9875279109831592,0.9999999999999991,0.9900799690307058,0.9893726419884572,0.9911556971458853,0.9894465422676116,0.9897194545777768,0.9893105360879773,0.9900308536096118,0.9848024873533621,0.975869841411456,0.9900308536096116,0.9893105360879773,0.9900308536096116,0.9899925359708378,0.9810172973879777,0.9917997513263589,0.9856657455460487,0.9894556966239908,0.9896254161904907,0.9856999247366016,0.9858765102989974,0.9888796780073381,0.9888227907669863,0.9882924064645549,0.9882924064645541,0.9785620462617504,0.9904845427347071,0.9819322388938847,0.9819322388938847
bersyukur,0.9923910326110469,0.9893726419884572,1.0000000000000002,0.9916236749797116,0.9916236749797116,1.0000000000000002,0.9916236749797116,0.9923910326110469,0.9893726419884572,0.9916236749797116,1.0000000000000002,0.9940632183612107,0.9938519685391238,0.9919534331509767,0.993631405273835,0.9937878940379848,0.9845074689026568,0.981472583399084,0.9937878940379845,0.993631405273835,0.9937878940379845,0.98820886248466,0.9859663119423565,0.9892726059194851,0.989296159160496,0.9916342458791655,0.9938674380491753,0.9898921827165832,0.9902920276768767,0.9910567724078785,0.991031805783962,0.9898397811942061,0.9898397811942056,0.9857842492310834,0.990228836198435,0.9887730069728817,0.9887730069728817
kesyukuran,0.9923564912761847,0.9900799690307058,0.9916236749797116,0.9999999999999997,0.9999999999999997,0.9916236749797116,0.9999999999999997,0.9923564912761847,0.9900799690307058,0.9999999999999997,0.9916236749797116,0.9938533503060877,0.99355697735922,0.994581463386816,0.991060735484222,0.9941974305959338,0.99069327591608,0.9809038545268582,0.9941974305959335,0.9910607354842225,0.9941974305959335,0.9907688991227488,0.9806966963902517,0.9919508399848952,0.9858668522813816,0.9913725911782378,0.9925184139024362,0.9877498742392332,0.9912020250050362,0.9924898055643738,0.9909810776336957,0.992155886146564,0.9921558861465644,0.9834164385518782,0.993830612284547,0.9858548110141907,0.9858548110141907
kesyukuran,0.9923564912761847,0.9900799690307058,0.9916236749797116,0.9999999999999997,0.9999999999999997,0.9916236749797116,0.9999999999999997,0.9923564912761847,0.9900799690307058,0.9999999999999997,0.9916236749797116,0.9938533503060877,0.99355697735922,0.994581463386816,0.991060735484222,0.9941974305959338,0.99069327591608,0.9809038545268582,0.9941974305959335,0.9910607354842225,0.9941974305959335,0.9907688991227488,0.9806966963902517,0.9919508399848952,0.9858668522813816,0.9913725911782378,0.9925184139024362,0.9877498742392332,0.9912020250050362,0.9924898055643738,0.9909810776336957,0.992155886146564,0.9921558861465644,0.9834164385518782,0.993830612284547,0.9858548110141907,0.9858548110141907
bersyukur,0.9923910326110469,0.9893726419884572,1.0000000000000002,0.9916236749797116,0.9916236749797116,1.0000000000000002,0.9916236749797116,0.9923910326110469,0.9893726419884572,0.9916236749797116,1.0000000000000002,0.9940632183612107,0.9938519685391238,0.9919534331509767,0.993631405273835,0.9937878940379848,0.9845074689026568,0.981472583399084,0.9937878940379845,0.993631405273835,0.9937878940379845,0.98820886248466,0.9859663119423565,0.9892726059194851,0.989296159160496,0.9916342458791655,0.9938674380491753,0.9898921827165832,0.9902920276768767,0.9910567724078785,0.991031805783962,0.9898397811942061,0.9898397811942056,0.9857842492310834,0.990228836198435,0.9887730069728817,0.9887730069728817
kesyukuran,0.9923564912761847,0.9900799690307058,0.9916236749797116,0.9999999999999997,0.9999999999999997,0.9916236749797116,0.9999999999999997,0.9923564912761847,0.9900799690307058,0.9999999999999997,0.9916236749797116,0.9938533503060877,0.99355697735922,0.994581463386816,0.991060735484222,0.9941974305959338,0.99069327591608,0.9809038545268582,0.9941974305959335,0.9910607354842225,0.9941974305959335,0.9907688991227488,0.9806966963902517,0.9919508399848952,0.9858668522813816,0.9913725911782378,0.9925184139024362,0.9877498742392332,0.9912020250050362,0.9924898055643738,0.9909810776336957,0.992155886146564,0.9921558861465644,0.9834164385518782,0.993830612284547,0.9858548110141907,0.9858548110141907
menghargai,0.9999999999999997,0.9875279109831592,0.9923910326110469,0.9923564912761847,0.9923564912761847,0.9923910326110469,0.9923564912761847,0.9999999999999997,0.9875279109831592,0.9923564912761847,0.9923910326110469,0.992691685897714,0.9923982499500348,0.9926980807613005,0.9904834365479959,0.99445828001433,0.9860373226440287,0.9821833889322953,0.994458280014329,0.9904834365479946,0.994458280014329,0.9884243264121777,0.9833665480378301,0.988909315850135,0.9884246378914422,0.9901157871655276,0.9923271236332697,0.987801610019031,0.993426199372648,0.9901952387865848,0.9898823929734996,0.9890213611767101,0.9890213611767096,0.9871325169712382,0.9902812444748553,0.9881735649839395,0.9881735649839395
penghargaan,0.9875279109831592,0.9999999999999991,0.9893726419884572,0.9900799690307058,0.9900799690307058,0.9893726419884572,0.9900799690307058,0.9875279109831592,0.9999999999999991,0.9900799690307058,0.9893726419884572,0.9911556971458853,0.9894465422676116,0.9897194545777768,0.9893105360879773,0.9900308536096118,0.9848024873533621,0.975869841411456,0.9900308536096116,0.9893105360879773,0.9900308536096116,0.9899925359708378,0.9810172973879777,0.9917997513263589,0.9856657455460487,0.9894556966239908,0.9896254161904907,0.9856999247366016,0.9858765102989974,0.9888796780073381,0.9888227907669863,0.9882924064645549,0.9882924064645541,0.9785620462617504,0.9904845427347071,0.9819322388938847,0.9819322388938847
kesyukuran,0.9923564912761847,0.9900799690307058,0.9916236749797116,0.9999999999999997,0.9999999999999997,0.9916236749797116,0.9999999999999997,0.9923564912761847,0.9900799690307058,0.9999999999999997,0.9916236749797116,0.9938533503060877,0.99355697735922,0.994581463386816,0.991060735484222,0.9941974305959338,0.99069327591608,0.9809038545268582,0.9941974305959335,0.9910607354842225,0.9941974305959335,0.9907688991227488,0.9806966963902517,0.9919508399848952,0.9858668522813816,0.9913725911782378,0.9925184139024362,0.9877498742392332,0.9912020250050362,0.9924898055643738,0.9909810776336957,0.992155886146564,0.9921558861465644,0.9834164385518782,0.993830612284547,0.9858548110141907,0.9858548110141907
