,വിലമതിക്കുക,വിലമതിക്കല്‍,നന്ദിയുള്ള,നന്ദിയുള്ളത്,കൃതജ്ഞത,നന്ദി,നന്ദിയുള്ള,കൃതജ്ഞത,കടപ്പെട്ട,കടബാധ്യത,നിർബന്ധം,ബാധ്യത,നിർബന്ധിതൻ,ബാധ്യസ്ഥൻ,ബാധ്യത,കടമുള്ള,കടം ഉള്ളത്,ക്ഷമാപ്രാർത്ഥനയുള്ള,ക്ഷമാപണങ്ങൾ,ക്ഷമാപണം,ക്ഷമിക്കൂ,ദു:ഖം,ക്ഷമിക്കണം,ക്ഷമ ചോദിക്കുക,എന്നെ ക്ഷമിക്കൂ
വിലമതിക്കുക,0.9999999999999998,0.9923778437587053,0.9929284661002931,0.9941335183389519,0.9944082329702085,0.9886985355034443,0.9929284661002931,0.9944082329702085,0.9927673359904473,0.9921216576007806,0.9911015809370654,0.9923821573939469,0.9907756103932068,0.9926068568310882,0.9923821573939469,0.9919451531458023,0.9912782987733696,0.9952044216856275,0.9930388847891222,0.9958268314835373,0.9952982346712057,0.990824716266626,0.9971371389150054,0.9979887849509197,0.996245110884647
വിലമതിക്കല്‍,0.9923778437587053,0.9999999999999997,0.9918267322110518,0.9914609983007007,0.9937014336352112,0.989421704677181,0.9918267322110518,0.9937014336352112,0.9927228680412751,0.9908897807749799,0.9897901857215565,0.9898995466792949,0.9954462470786978,0.9963724636678096,0.9898995466792949,0.9915021723711879,0.9912154057526417,0.9924237697757692,0.9925184165637914,0.9940708043670548,0.9951579259208072,0.9906555748300795,0.9913230632237902,0.9915439411452956,0.9921830579555091
നന്ദിയുള്ള,0.9929284661002931,0.9918267322110518,1.0000000000000002,0.9971369059176916,0.9945483118323717,0.9950835833181314,1.0000000000000002,0.9945483118323717,0.9950705965349758,0.9929384716746891,0.9919401770578758,0.9926457058897882,0.9924254704493864,0.9939809325685358,0.9926457058897882,0.9948278913217076,0.9941846033877136,0.9961825529274217,0.9944320067628959,0.9948367562981671,0.9953645377773874,0.992400302088421,0.9924170863302528,0.9932823490009676,0.9943272514729131
നന്ദിയുള്ളത്,0.9941335183389519,0.9914609983007007,0.9971369059176916,0.9999999999999997,0.996133170954391,0.9927770903636105,0.9971369059176916,0.996133170954391,0.993872351023923,0.993881659776161,0.9920444438778856,0.9934013581312738,0.9919542459198263,0.9938847405116792,0.9934013581312738,0.9930083646662515,0.9955459689343409,0.9960854917100084,0.995134371240851,0.9955342257857951,0.9956590814723908,0.9926666163736935,0.9935032443523114,0.9945268832984051,0.9950430231538157
കൃതജ്ഞത,0.9944082329702085,0.9937014336352112,0.9945483118323717,0.996133170954391,0.9999999999999993,0.9912088160066151,0.9945483118323717,0.9999999999999993,0.9936801649045186,0.9948559201538696,0.9916713780678013,0.993689585650293,0.9929319664818476,0.9955925025500605,0.993689585650293,0.9926569776027941,0.9937078860788636,0.9968210694801535,0.9964663358911946,0.9972751311321426,0.9967928906771887,0.9943388017371798,0.9941875691237715,0.994927703103011,0.9953187339273559
നന്ദി,0.9886985355034443,0.989421704677181,0.9950835833181314,0.9927770903636105,0.9912088160066151,1.0000000000000004,0.9950835833181314,0.9912088160066151,0.9911487818908074,0.9895951987983169,0.9889082008475562,0.9888551235218024,0.9895786065518032,0.9907828258312492,0.9888551235218024,0.9901470879667047,0.9898595712218334,0.9898808550570721,0.9915178336296079,0.9908920004773792,0.9916788693715403,0.9895365250594752,0.987983413801619,0.989067614576487,0.9896738091721214
നന്ദിയുള്ള,0.9929284661002931,0.9918267322110518,1.0000000000000002,0.9971369059176916,0.9945483118323717,0.9950835833181314,1.0000000000000002,0.9945483118323717,0.9950705965349758,0.9929384716746891,0.9919401770578758,0.9926457058897882,0.9924254704493864,0.9939809325685358,0.9926457058897882,0.9948278913217076,0.9941846033877136,0.9961825529274217,0.9944320067628959,0.9948367562981671,0.9953645377773874,0.992400302088421,0.9924170863302528,0.9932823490009676,0.9943272514729131
കൃതജ്ഞത,0.9944082329702085,0.9937014336352112,0.9945483118323717,0.996133170954391,0.9999999999999993,0.9912088160066151,0.9945483118323717,0.9999999999999993,0.9936801649045186,0.9948559201538696,0.9916713780678013,0.993689585650293,0.9929319664818476,0.9955925025500605,0.993689585650293,0.9926569776027941,0.9937078860788636,0.9968210694801535,0.9964663358911946,0.9972751311321426,0.9967928906771887,0.9943388017371798,0.9941875691237715,0.994927703103011,0.9953187339273559
കടപ്പെട്ട,0.9927673359904473,0.9927228680412751,0.9950705965349758,0.993872351023923,0.9936801649045186,0.9911487818908074,0.9950705965349758,0.9936801649045186,0.9999999999999992,0.9939026875320146,0.9915716527223918,0.9931466349236265,0.9938386474285997,0.9945225205622832,0.9931466349236265,0.9964441034632496,0.9947315866632779,0.9939772713721713,0.9950282236470152,0.9954161815557425,0.9954756212386309,0.992442603630626,0.9924182831391423,0.9926917895437071,0.9936870802934735
കടബാധ്യത,0.9921216576007806,0.9908897807749799,0.9929384716746891,0.993881659776161,0.9948559201538696,0.9895951987983169,0.9929384716746891,0.9948559201538696,0.9939026875320146,0.9999999999999997,0.9924750261226547,0.9982399263904502,0.9912507161109874,0.9938314665669091,0.9982399263904502,0.9917477168213185,0.9942220546956859,0.9947075740401021,0.9963726184294248,0.994975859239057,0.9943205999405775,0.9907295633576311,0.9906718343201314,0.993546271232892,0.9920361943422267
നിർബന്ധം,0.9911015809370654,0.9897901857215565,0.9919401770578758,0.9920444438778856,0.9916713780678013,0.9889082008475562,0.9919401770578758,0.9916713780678013,0.9915716527223918,0.9924750261226547,0.9999999999999991,0.9922829110316841,0.9921513963033499,0.9923643275772154,0.9922829110316841,0.9909082780600273,0.9914936883022322,0.9921760373491832,0.9927847843481097,0.9930645839832484,0.9921133611628511,0.9875995953582665,0.9901153589691667,0.9901872253845939,0.9903269010082723
