,naprezza,apprezzament,grata,grati,rikonoxxenza,gratitudni,grazzi,grata,grati,rikonoxxenza,indebitat,midjun,indebitat,obbligu,obligat,obbligu,inħallas,nistaqsi,midjun,li għandu jsir,apoloġetiku,apoloġiji,apoloġija,skużani,aħfirli,dwejjaq,skużani,niskuża ruħi
naprezza,0.9999999999999998,0.9927391264068717,0.9921890775076811,0.993809624861087,0.9956681426457276,0.9935253146262277,0.9965794718994186,0.9921890775076811,0.9938096248610878,0.995668142645728,0.9921108104842662,0.9936088461451796,0.9921108104842662,0.9906170532074222,0.9924736849644342,0.9906170532074222,0.9950511335128495,0.9886885369563894,0.9936088461451796,0.9941368150870123,0.9931870767485271,0.9942703600091234,0.9938061185986915,0.9964080880302798,0.9951303082220695,0.9965013479690432,0.9964080880302798,0.9960083964662555
apprezzament,0.9927391264068717,1.0,0.9895840282655582,0.9935411096711069,0.9934295608227128,0.9923481552819682,0.9913661487256364,0.9895840282655582,0.993541109671107,0.9934295608227124,0.989542424848347,0.9937871014645785,0.989542424848347,0.9889121392650608,0.9926756017092428,0.9889121392650608,0.9921731695236254,0.9863567657685014,0.9937871014645785,0.9915626137760938,0.9907302942290118,0.9921492926734875,0.9926699749827488,0.9908757981335911,0.9924889664172043,0.9939936616158123,0.9908757981335911,0.9924169142433341
grata,0.9921890775076811,0.9895840282655582,0.9999999999999999,0.9949251095386095,0.990939800935684,0.9898937617651151,0.9931451397655753,0.9999999999999999,0.9949251095386092,0.990939800935683,0.9893136967034944,0.9924643637682182,0.9893136967034944,0.9897826534751464,0.9900355256024712,0.9897826534751464,0.990393253424005,0.9845752011605873,0.9924643637682182,0.9897389950293746,0.9883906575609499,0.990631741256049,0.9898546782086602,0.9902442086249723,0.9912991048213182,0.9924830749178079,0.9902442086249723,0.9912999510935734
grati,0.993809624861087,0.9935411096711069,0.9949251095386095,1.0,0.9936428812175003,0.9931630477308094,0.9939322312744887,0.9949251095386095,1.0,0.993642881217501,0.9898485548923099,0.995199328320243,0.9898485548923099,0.9904707657834486,0.9921052253883739,0.9904707657834486,0.9928571789296211,0.9870337314952254,0.995199328320243,0.9928803722673804,0.990607664820519,0.9936172401057084,0.9930975584689872,0.991960847448172,0.9939470521994268,0.9947669756771413,0.991960847448172,0.9936185440985662
rikonoxxenza,0.9956681426457276,0.9934295608227128,0.990939800935684,0.9936428812175003,1.0000000000000004,0.9929072994252134,0.9935635494004029,0.990939800935684,0.993642881217501,1.0000000000000007,0.9933091582098643,0.9934909539035539,0.9933091582098643,0.9893509900736971,0.9929912340323291,0.9893509900736971,0.9954328587178253,0.9881853908782173,0.9934909539035539,0.994937049783588,0.9935231857837323,0.9940772074868434,0.9942486810469036,0.9944547503139545,0.9957022262064115,0.9953187420383424,0.9944547503139545,0.9958261553977715
gratitudni,0.9935253146262277,0.9923481552819682,0.9898937617651151,0.9931630477308094,0.9929072994252134,0.9999999999999991,0.9922081594281272,0.9898937617651151,0.9931630477308094,0.9929072994252134,0.9906978390901496,0.9941395108109797,0.9906978390901496,0.9878117569822255,0.9935814269433308,0.9878117569822255,0.9915089596792668,0.9887375928078522,0.9941395108109797,0.9922192502901723,0.990937121531708,0.9928633728087302,0.9925565870702515,0.9930278161555859,0.9922635929865601,0.9937343215051393,0.9930278161555859,0.9930710454440745
grazzi,0.9965794718994186,0.9913661487256364,0.9931451397655753,0.9939322312744887,0.9935635494004029,0.9922081594281272,0.9999999999999997,0.9931451397655753,0.9939322312744886,0.9935635494004021,0.990705895917252,0.993646420185551,0.990705895917252,0.9891335561248568,0.9906582808668485,0.9891335561248568,0.9935300538572095,0.9874352445044224,0.993646420185551,0.9932185101828221,0.9907152376815322,0.9925407113645859,0.9919513602459138,0.9949217626543914,0.9939657133164498,0.9947982192130336,0.9949217626543914,0.9947520565857579
grata,0.9921890775076811,0.9895840282655582,0.9999999999999999,0.9949251095386095,0.990939800935684,0.9898937617651151,0.9931451397655753,0.9999999999999999,0.9949251095386092,0.990939800935683,0.9893136967034944,0.9924643637682182,0.9893136967034944,0.9897826534751464,0.9900355256024712,0.9897826534751464,0.990393253424005,0.9845752011605873,0.9924643637682182,0.9897389950293746,0.9883906575609499,0.990631741256049,0.9898546782086602,0.9902442086249723,0.9912991048213182,0.9924830749178079,0.9902442086249723,0.9912999510935734
grati,0.9938096248610878,0.993541109671107,0.9949251095386092,1.0,0.993642881217501,0.9931630477308094,0.9939322312744886,0.9949251095386092,1.0,0.9936428812175003,0.9898485548923104,0.9951993283202432,0.9898485548923104,0.9904707657834495,0.9921052253883734,0.9904707657834495,0.9928571789296211,0.9870337314952254,0.995199328320243,0.9928803722673804,0.990607664820519,0.9936172401057084,0.9930975584689872,0.991960847448172,0.9939470521994268,0.9947669756771413,0.991960847448172,0.9936185440985662
rikonoxxenza,0.995668142645728,0.9934295608227124,0.990939800935683,0.993642881217501,1.0000000000000007,0.9929072994252134,0.9935635494004021,0.990939800935683,0.9936428812175003,1.0000000000000004,0.9933091582098647,0.9934909539035536,0.9933091582098647,0.9893509900736972,0.9929912340323286,0.9893509900736972,0.9954328587178253,0.9881853908782173,0.9934909539035539,0.994937049783588,0.9935231857837323,0.9940772074868434,0.9942486810469036,0.9944547503139545,0.9957022262064115,0.9953187420383424,0.9944547503139545,0.9958261553977715
