,meeara,meeara,guraagh,gurrymaghys,gurrymaghys,guraagh,gurrymaghys,gura mie ayd,kiedylit,kiedyllys,arreydys,beaynys,arreydys,beau,kiedylit,beau ayn,currit fo arreydys,er oardrail,gorrymeeagh,gorrymyn,gorrym,gabbym,gabbym,trosht,gialdyn gorrym,s'treih lhiam
meeara,0.9999999999999993,0.9999999999999993,0.9952189983376112,0.993374770502635,0.993374770502635,0.9952189983376112,0.993374770502635,0.9941242288998712,0.9939644467661026,0.9929297977742987,0.9960876571082404,0.9921216775486563,0.9960876571082404,0.9939648155698708,0.9939644467661026,0.9944469901675803,0.9828904679221321,0.9898213303018848,0.9894985247751318,0.9945881336592851,0.9945427270766691,0.9959214639531699,0.9959214639531699,0.9950862460064861,0.9925315548423924,0.9934158201960658
meeara,0.9999999999999993,0.9999999999999993,0.9952189983376112,0.993374770502635,0.993374770502635,0.9952189983376112,0.993374770502635,0.9941242288998712,0.9939644467661026,0.9929297977742987,0.9960876571082404,0.9921216775486563,0.9960876571082404,0.9939648155698708,0.9939644467661026,0.9944469901675803,0.9828904679221321,0.9898213303018848,0.9894985247751318,0.9945881336592851,0.9945427270766691,0.9959214639531699,0.9959214639531699,0.9950862460064861,0.9925315548423924,0.9934158201960658
guraagh,0.9952189983376112,0.9952189983376112,1.0,0.9936479614476432,0.9936479614476432,1.0,0.9936479614476432,0.9922120241750374,0.9930612456977509,0.9929773709363894,0.99477203516017,0.992138815136934,0.99477203516017,0.9909052416953177,0.9930612456977509,0.9927005780939686,0.9851750926669812,0.990016619735396,0.9940829273173305,0.993726645843894,0.9912701179173181,0.9929431139624536,0.9929431139624536,0.9944015881620496,0.991768760748114,0.9932113376928199
gurrymaghys,0.993374770502635,0.993374770502635,0.9936479614476432,0.9999999999999996,0.9999999999999996,0.9936479614476432,0.9999999999999996,0.9913575641666662,0.9939732740135937,0.9955619388112275,0.9955762417714009,0.9970663926041751,0.9955762417714009,0.9911133449731138,0.9939732740135937,0.9921604446462496,0.9853457668926792,0.990386584821765,0.9922754127103989,0.9944928049528301,0.9910086879828686,0.9916022643885324,0.9916022643885324,0.9939781263621604,0.9931456055077761,0.9905721284684197
gurrymaghys,0.993374770502635,0.993374770502635,0.9936479614476432,0.9999999999999996,0.9999999999999996,0.9936479614476432,0.9999999999999996,0.9913575641666662,0.9939732740135937,0.9955619388112275,0.9955762417714009,0.9970663926041751,0.9955762417714009,0.9911133449731138,0.9939732740135937,0.9921604446462496,0.9853457668926792,0.990386584821765,0.9922754127103989,0.9944928049528301,0.9910086879828686,0.9916022643885324,0.9916022643885324,0.9939781263621604,0.9931456055077761,0.9905721284684197
guraagh,0.9952189983376112,0.9952189983376112,1.0,0.9936479614476432,0.9936479614476432,1.0,0.9936479614476432,0.9922120241750374,0.9930612456977509,0.9929773709363894,0.99477203516017,0.992138815136934,0.99477203516017,0.9909052416953177,0.9930612456977509,0.9927005780939686,0.9851750926669812,0.990016619735396,0.9940829273173305,0.993726645843894,0.9912701179173181,0.9929431139624536,0.9929431139624536,0.9944015881620496,0.991768760748114,0.9932113376928199
gurrymaghys,0.993374770502635,0.993374770502635,0.9936479614476432,0.9999999999999996,0.9999999999999996,0.9936479614476432,0.9999999999999996,0.9913575641666662,0.9939732740135937,0.9955619388112275,0.9955762417714009,0.9970663926041751,0.9955762417714009,0.9911133449731138,0.9939732740135937,0.9921604446462496,0.9853457668926792,0.990386584821765,0.9922754127103989,0.9944928049528301,0.9910086879828686,0.9916022643885324,0.9916022643885324,0.9939781263621604,0.9931456055077761,0.9905721284684197
gura mie ayd,0.9941242288998712,0.9941242288998712,0.9922120241750374,0.9913575641666662,0.9913575641666662,0.9922120241750374,0.9913575641666662,0.9999999999999991,0.9906503348675253,0.9890166363850227,0.9930202838194715,0.9892130509117241,0.9930202838194715,0.9923391995685434,0.9906503348675253,0.9937916032515096,0.9838326149000672,0.9871068604681124,0.9871383335165436,0.9907666635892636,0.9923957280660543,0.9915721776539291,0.9915721776539291,0.9921472346147866,0.9910516196658526,0.9937370040610629
kiedylit,0.9939644467661026,0.9939644467661026,0.9930612456977509,0.9939732740135937,0.9939732740135937,0.9930612456977509,0.9939732740135937,0.9906503348675253,0.9999999999999996,0.9947565022240904,0.9942664968349777,0.99422708387509,0.9942664968349777,0.9902480241639652,0.9999999999999996,0.9918538936520502,0.9820804262051295,0.989409981202282,0.9883289686688708,0.9939250498630536,0.9912347798461719,0.9920605304901481,0.9920605304901481,0.9951169168806687,0.9921815126636859,0.9903179324817654
kiedyllys,0.9929297977742987,0.9929297977742987,0.9929773709363894,0.9955619388112275,0.9955619388112275,0.9929773709363894,0.9955619388112275,0.9890166363850227,0.9947565022240904,0.9999999999999997,0.9940420945131995,0.9955902720318226,0.9940420945131995,0.9896086882578305,0.9947565022240904,0.9911549405108164,0.981372090781897,0.9892258895026715,0.9894070024008208,0.9954182288190028,0.9917545963165206,0.991779247211008,0.991779247211008,0.9937242429103005,0.9925064839801677,0.989539581234354
