,प्रशंसा,आभारी,कृतज्ञता,कृतज्ञता,धन्यवाद,आभारी,कृतज्ञता,कौतुक करणे,ऋणी,कर्जबाजारीपणा,कर्तव्य,बांधिलकी,ऋणी,बाध्य,कर्तव्य,देणं,देणे बाकी,माफ्या,माफी,दु:ख,माफ करा,मला माफ करा,माफ करा,माफी मागणारा,माफी मागणे
प्रशंसा,0.9999999999999994,0.9943897883772707,0.9954252897173579,0.9954252897173579,0.9949368833768162,0.9943897883772707,0.9954252897173579,0.9926577731409538,0.9945586669977147,0.9942831054661511,0.9925717158108326,0.9952122028086324,0.9945586669977147,0.9969046577090178,0.9925717158108326,0.991721013178913,0.9962467004710412,0.99148342563551,0.9960399714574021,0.9922767350130935,0.9949170859336974,0.9883730195674781,0.9949170859336974,0.9903602673864677,0.9957160594962854
आभारी,0.9943897883772707,0.9999999999999997,0.9920715742711033,0.9920715742711033,0.9922854204023359,0.9999999999999997,0.9920715742711033,0.9903227007287783,0.9929296057065271,0.9907972594959882,0.9904846374011528,0.9945248803033441,0.9929296057065271,0.9943083055507678,0.9904846374011528,0.9908697290839952,0.9936475715057882,0.9891098942910321,0.9930534757146977,0.9893934292399024,0.9921801420223189,0.9859172586439465,0.9921801420223189,0.9876874028614254,0.9920645099432942
कृतज्ञता,0.9954252897173579,0.9920715742711033,1.0000000000000002,1.0000000000000002,0.9974200917039961,0.9920715742711033,1.0000000000000002,0.9942595972759136,0.9960724069554875,0.9945940891914242,0.9951536762655464,0.996088485944623,0.9960724069554875,0.996305084451923,0.9951536762655464,0.9934001187695705,0.9967233041804022,0.9913526491688088,0.9954640991518203,0.9925867306480374,0.9949357721750255,0.9890121169778026,0.9949357721750255,0.9900149535122684,0.9964141926562299
कृतज्ञता,0.9954252897173579,0.9920715742711033,1.0000000000000002,1.0000000000000002,0.9974200917039961,0.9920715742711033,1.0000000000000002,0.9942595972759136,0.9960724069554875,0.9945940891914242,0.9951536762655464,0.996088485944623,0.9960724069554875,0.996305084451923,0.9951536762655464,0.9934001187695705,0.9967233041804022,0.9913526491688088,0.9954640991518203,0.9925867306480374,0.9949357721750255,0.9890121169778026,0.9949357721750255,0.9900149535122684,0.9964141926562299
धन्यवाद,0.9949368833768162,0.9922854204023359,0.9974200917039961,0.9974200917039961,0.9999999999999998,0.9922854204023359,0.9974200917039961,0.9938118427096553,0.9954249452919631,0.9941713033134326,0.9953133783268239,0.9951395864554194,0.9954249452919631,0.9968321944197212,0.9953133783268239,0.9936795146824102,0.9960078184487043,0.9912652476636167,0.9948997871979184,0.9916590740228369,0.9949342815966361,0.9891089147816005,0.9949342815966361,0.9895168558320736,0.9953411472083157
आभारी,0.9943897883772707,0.9999999999999997,0.9920715742711033,0.9920715742711033,0.9922854204023359,0.9999999999999997,0.9920715742711033,0.9903227007287783,0.9929296057065271,0.9907972594959882,0.9904846374011528,0.9945248803033441,0.9929296057065271,0.9943083055507678,0.9904846374011528,0.9908697290839952,0.9936475715057882,0.9891098942910321,0.9930534757146977,0.9893934292399024,0.9921801420223189,0.9859172586439465,0.9921801420223189,0.9876874028614254,0.9920645099432942
कृतज्ञता,0.9954252897173579,0.9920715742711033,1.0000000000000002,1.0000000000000002,0.9974200917039961,0.9920715742711033,1.0000000000000002,0.9942595972759136,0.9960724069554875,0.9945940891914242,0.9951536762655464,0.996088485944623,0.9960724069554875,0.996305084451923,0.9951536762655464,0.9934001187695705,0.9967233041804022,0.9913526491688088,0.9954640991518203,0.9925867306480374,0.9949357721750255,0.9890121169778026,0.9949357721750255,0.9900149535122684,0.9964141926562299
कौतुक करणे,0.9926577731409538,0.9903227007287783,0.9942595972759136,0.9942595972759136,0.9938118427096553,0.9903227007287783,0.9942595972759136,0.9999999999999999,0.993364112611861,0.991389968083256,0.9920327068115331,0.9924055972151696,0.993364112611861,0.9934188665754297,0.9920327068115331,0.9920352605011454,0.9942373097644761,0.989124281181665,0.9929939853419506,0.9886164125794408,0.9938619689763608,0.9897546183566857,0.9938619689763608,0.987473980738254,0.993974553742888
ऋणी,0.9945586669977147,0.9929296057065271,0.9960724069554875,0.9960724069554875,0.9954249452919631,0.9929296057065271,0.9960724069554875,0.993364112611861,1.0000000000000002,0.9930218189149322,0.9949973276872871,0.9945755468377687,1.0000000000000002,0.99589143083886,0.9949973276872871,0.9955491518878332,0.9965537468772997,0.9902859656887865,0.9950454042244891,0.9912770381833781,0.9950932460875117,0.9893968958761092,0.9950932460875117,0.9884150977618421,0.9954069784782392
कर्जबाजारीपणा,0.9942831054661511,0.9907972594959882,0.9945940891914242,0.9945940891914242,0.9941713033134326,0.9907972594959882,0.9945940891914242,0.991389968083256,0.9930218189149322,0.9999999999999998,0.9908644109915795,0.9953150281530027,0.9930218189149322,0.9948488715072751,0.9908644109915795,0.9891939696449915,0.9957996707361623,0.9918889396249196,0.9950545983119333,0.9898330513289042,0.993695377072763,0.9878837697367934,0.993695377072763,0.994352000780789,0.995845601129441
कर्तव्य,0.9925717158108326,0.9904846374011528,0.9951536762655464,0.9951536762655464,0.9953133783268239,0.9904846374011528,0.9951536762655464,0.9920327068115331,0.9949973276872871,0.9908644109915795,0.9999999999999999,0.992944495410891,0.9949973276872871,0.9941463526238354,0.9999999999999999,0.9944853397460888,0.9947769742433016,0.9883197134503829,0.9932393156726351,0.9897269415525265,0.9938288931514616,0.9880706498195795,0.9938288931514616,0.98660242303467,0.993023547898365
बांधिलकी,0.9952122028086324,0.9945248803033441,0.996088485944623,0.996088485944623,0.9951395864554194,0.9945248803033441,0.996088485944623,0.9924055972151696,0.9945755468377687,0.9953150281530027,0.992944495410891,0.9999999999999996,0.9945755468377687,0.996766108525876,0.992944495410891,0.9921382119498934,0.9967983474745845,0.9927163774861674,0.9963460343210572,0.992915849992386,0.9946025533236715,0.9880835369363101,0.9946025533236715,0.9921213023687601,0.995913530234895
ऋणी,0.9945586669977147,0.9929296057065271,0.9960724069554875,0.9960724069554875,0.9954249452919631,0.9929296057065271,0.9960724069554875,0.993364112611861,1.0000000000000002,0.9930218189149322,0.9949973276872871,0.9945755468377687,1.0000000000000002,0.99589143083886,0.9949973276872871,0.9955491518878332,0.9965537468772997,0.9902859656887865,0.9950454042244891,0.9912770381833781,0.9950932460875117,0.9893968958761092,0.9950932460875117,0.9884150977618421,0.9954069784782392
बाध्य,0.9969046577090178,0.9943083055507678,0.996305084451923,0.996305084451923,0.9968321944197212,0.9943083055507678,0.996305084451923,0.9934188665754297,0.99589143083886,0.9948488715072751,0.9941463526238354,0.996766108525876,0.99589143083886,0.9999999999999994,0.9941463526238354,0.9938267660073797,0.9970060024835662,0.9929722218832367,0.9966529715227864,0.9935961200369042,0.9955528149559697,0.9888638916707423,0.9955528149559697,0.9906392236255923,0.9962254624613452
कर्तव्य,0.9925717158108326,0.9904846374011528,0.9951536762655464,0.9951536762655464,0.9953133783268239,0.9904846374011528,0.9951536762655464,0.9920327068115331,0.9949973276872871,0.9908644109915795,0.9999999999999999,0.992944495410891,0.9949973276872871,0.9941463526238354,0.9999999999999999,0.9944853397460888,0.9947769742433016,0.9883197134503829,0.9932393156726351,0.9897269415525265,0.9938288931514616,0.9880706498195795,0.9938288931514616,0.98660242303467,0.993023547898365
देणं,0.991721013178913,0.9908697290839952,0.9934001187695705,0.9934001187695705,0.9936795146824102,0.9908697290839952,0.9934001187695705,0.9920352605011454,0.9955491518878332,0.9891939696449915,0.9944853397460888,0.9921382119498934,0.9955491518878332,0.9938267660073797,0.9944853397460888,0.9999999999999993,0.9949819217145297,0.9873982469814405,0.9921547929990732,0.9903253886742345,0.9949256134025325,0.9899436232461531,0.9949256134025325,0.9840610725279955,0.9928696078440012
देणे बाकी,0.9962467004710412,0.9936475715057882,0.9967233041804022,0.9967233041804022,0.9960078184487043,0.9936475715057882,0.9967233041804022,0.9942373097644761,0.9965537468772997,0.9957996707361623,0.9947769742433016,0.9967983474745845,0.9965537468772997,0.9970060024835662,0.9947769742433016,0.9949819217145297,0.9999999999999998,0.9928242728494102,0.9971565518363198,0.9927976248345777,0.9969546133949154,0.991512645696677,0.9969546133949154,0.9921707872334369,0.9980306523207146
माफ्या,0.99148342563551,0.9891098942910321,0.9913526491688088,0.9913526491688088,0.9912652476636167,0.9891098942910321,0.9913526491688088,0.989124281181665,0.9902859656887865,0.9918889396249196,0.9883197134503829,0.9927163774861674,0.9902859656887865,0.9929722218832367,0.9883197134503829,0.9873982469814405,0.9928242728494102,1.0000000000000002,0.9955706492489289,0.9908852111937271,0.9923396239939473,0.9862424783637458,0.9923396239939473,0.9917750767464497,0.993223298320386
माफी,0.9960399714574021,0.9930534757146977,0.9954640991518203,0.9954640991518203,0.9948997871979184,0.9930534757146977,0.9954640991518203,0.9929939853419506,0.9950454042244891,0.9950545983119333,0.9932393156726351,0.9963460343210572,0.9950454042244891,0.9966529715227864,0.9932393156726351,0.9921547929990732,0.9971565518363198,0.9955706492489289,0.9999999999999996,0.9924034538278186,0.9964239005832233,0.9902890567061431,0.9964239005832233,0.9929131212016901,0.9971789637959302
दु:ख,0.9922767350130935,0.9893934292399024,0.9925867306480374,0.9925867306480374,0.9916590740228369,0.9893934292399024,0.9925867306480374,0.9886164125794408,0.9912770381833781,0.9898330513289042,0.9897269415525265,0.992915849992386,0.9912770381833781,0.9935961200369042,0.9897269415525265,0.9903253886742345,0.9927976248345777,0.9908852111937271,0.9924034538278186,0.9999999999999999,0.9916376813123807,0.9845123340537009,0.9916376813123807,0.9867103140104407,0.9918817030790926
माफ करा,0.9949170859336974,0.9921801420223189,0.9949357721750255,0.9949357721750255,0.9949342815966361,0.9921801420223189,0.9949357721750255,0.9938619689763608,0.9950932460875117,0.993695377072763,0.9938288931514616,0.9946025533236715,0.9950932460875117,0.9955528149559697,0.9938288931514616,0.9949256134025325,0.9969546133949154,0.9923396239939473,0.9964239005832233,0.9916376813123807,0.9999999999999991,0.9954839891817086,0.9999999999999991,0.9897819081578924,0.9961803810154333
मला माफ करा,0.9883730195674781,0.9859172586439465,0.9890121169778026,0.9890121169778026,0.9891089147816005,0.9859172586439465,0.9890121169778026,0.9897546183566857,0.9893968958761092,0.9878837697367934,0.9880706498195795,0.9880835369363101,0.9893968958761092,0.9888638916707423,0.9880706498195795,0.9899436232461531,0.991512645696677,0.9862424783637458,0.9902890567061431,0.9845123340537009,0.9954839891817086,0.9999999999999992,0.9954839891817086,0.9837512851530115,0.990820541756352
माफ करा,0.9949170859336974,0.9921801420223189,0.9949357721750255,0.9949357721750255,0.9949342815966361,0.9921801420223189,0.9949357721750255,0.9938619689763608,0.9950932460875117,0.993695377072763,0.9938288931514616,0.9946025533236715,0.9950932460875117,0.9955528149559697,0.9938288931514616,0.9949256134025325,0.9969546133949154,0.9923396239939473,0.9964239005832233,0.9916376813123807,0.9999999999999991,0.9954839891817086,0.9999999999999991,0.9897819081578924,0.9961803810154333
माफी मागणारा,0.9903602673864677,0.9876874028614254,0.9900149535122684,0.9900149535122684,0.9895168558320736,0.9876874028614254,0.9900149535122684,0.987473980738254,0.9884150977618421,0.994352000780789,0.98660242303467,0.9921213023687601,0.9884150977618421,0.9906392236255923,0.98660242303467,0.9840610725279955,0.9921707872334369,0.9917750767464497,0.9929131212016901,0.9867103140104407,0.9897819081578924,0.9837512851530115,0.9897819081578924,1.0,0.9921386333411636
माफी मागणे,0.9957160594962854,0.9920645099432942,0.9964141926562299,0.9964141926562299,0.9953411472083157,0.9920645099432942,0.9964141926562299,0.993974553742888,0.9954069784782392,0.995845601129441,0.993023547898365,0.995913530234895,0.9954069784782392,0.9962254624613452,0.993023547898365,0.9928696078440012,0.9980306523207146,0.993223298320386,0.9971789637959302,0.9918817030790926,0.9961803810154333,0.990820541756352,0.9961803810154333,0.9921386333411636,0.9999999999999998
