,قدردانی,تشکری,تشکری,ممنون,تشکری,قدردانی هاکردن,ممنون بیه‌,ممنون بیه‌,وامدار,وامداری,تعهد,وظیفه,مجبور,موظف,تعهد,بدهکار,بدهکار بودن,معذرت‌ها,معذرت,افسوس,ببخش مه,ببخش مه,معاف دارمه,معذرت خواه,معذرت خواسئن
قدردانی,0.9999999999999996,0.9924129436928281,0.9924129436928281,0.9914722157805836,0.9924129436928281,0.9930215992512254,0.9922722766840212,0.9922722766840212,0.9917971801569967,0.9945950640026044,0.9908594520165015,0.9928786728243116,0.992671173903361,0.9934509040806131,0.9908594520165015,0.9928804760328037,0.9912478609248724,0.9913922569675437,0.9888948270181703,0.9928113301885536,0.9918618974344923,0.9918618974344923,0.992222050594081,0.991006912048789,0.9919333594826932
تشکری,0.9924129436928281,0.9999999999999999,0.9999999999999999,0.9933799493828991,0.9999999999999999,0.9933980868184029,0.9948340835139196,0.9948340835139196,0.9947632419771917,0.9955324904356532,0.9948915537755247,0.9957135725111058,0.9943735492298359,0.9947866047249869,0.9948915537755247,0.9952095551327852,0.9931263936507372,0.9920139542008685,0.9922696233979629,0.9950143446255099,0.9947369818314582,0.9947369818314582,0.994043427043044,0.9934906590590855,0.9934433492253089
تشکری,0.9924129436928281,0.9999999999999999,0.9999999999999999,0.9933799493828991,0.9999999999999999,0.9933980868184029,0.9948340835139196,0.9948340835139196,0.9947632419771917,0.9955324904356532,0.9948915537755247,0.9957135725111058,0.9943735492298359,0.9947866047249869,0.9948915537755247,0.9952095551327852,0.9931263936507372,0.9920139542008685,0.9922696233979629,0.9950143446255099,0.9947369818314582,0.9947369818314582,0.994043427043044,0.9934906590590855,0.9934433492253089
ممنون,0.9914722157805836,0.9933799493828991,0.9933799493828991,1.0,0.9933799493828991,0.9916239556326476,0.9967864506189399,0.9967864506189399,0.994626889638713,0.9926187928457421,0.9948834213646325,0.9937434462684024,0.996286897587315,0.9960181381580256,0.9948834213646325,0.9945574796226115,0.9919812418439479,0.9932646980423986,0.99389905325926,0.9948277384359316,0.9951552741145517,0.9951552741145517,0.995959891633531,0.994493496111944,0.9955140760268436
تشکری,0.9924129436928281,0.9999999999999999,0.9999999999999999,0.9933799493828991,0.9999999999999999,0.9933980868184029,0.9948340835139196,0.9948340835139196,0.9947632419771917,0.9955324904356532,0.9948915537755247,0.9957135725111058,0.9943735492298359,0.9947866047249869,0.9948915537755247,0.9952095551327852,0.9931263936507372,0.9920139542008685,0.9922696233979629,0.9950143446255099,0.9947369818314582,0.9947369818314582,0.994043427043044,0.9934906590590855,0.9934433492253089
قدردانی هاکردن,0.9930215992512254,0.9933980868184029,0.9933980868184029,0.9916239556326476,0.9933980868184029,0.9999999999999996,0.9945036840378291,0.9945036840378291,0.993115294783494,0.9951624670196003,0.992322733855528,0.9926533957679256,0.9924064100494726,0.9913390722544528,0.992322733855528,0.9950549129248502,0.9955378888698454,0.9911414421312678,0.9911515271355968,0.9928235417162943,0.9934798647129525,0.9934798647129525,0.9928033434042137,0.9931903504888786,0.9939588166406714
ممنون بیه‌,0.9922722766840212,0.9948340835139196,0.9948340835139196,0.9967864506189399,0.9948340835139196,0.9945036840378291,0.9999999999999998,0.9999999999999998,0.9952601073637551,0.9949642549969847,0.9948372727845284,0.9945976627449074,0.99520402385182,0.9945733883771434,0.9948372727845284,0.9961492132665641,0.9942416142369273,0.9943798484693614,0.9953199922055447,0.9960194623242298,0.9968573293244752,0.9968573293244752,0.997929774564072,0.9969232510778689,0.9970761597551739
ممنون بیه‌,0.9922722766840212,0.9948340835139196,0.9948340835139196,0.9967864506189399,0.9948340835139196,0.9945036840378291,0.9999999999999998,0.9999999999999998,0.9952601073637551,0.9949642549969847,0.9948372727845284,0.9945976627449074,0.99520402385182,0.9945733883771434,0.9948372727845284,0.9961492132665641,0.9942416142369273,0.9943798484693614,0.9953199922055447,0.9960194623242298,0.9968573293244752,0.9968573293244752,0.997929774564072,0.9969232510778689,0.9970761597551739
وامدار,0.9917971801569967,0.9947632419771917,0.9947632419771917,0.994626889638713,0.9947632419771917,0.993115294783494,0.9952601073637551,0.9952601073637551,0.9999999999999994,0.99487980865964,0.9945837061211302,0.9943674193557798,0.9941209375317385,0.994347653966243,0.9945837061211302,0.9945397701126587,0.9921656299444744,0.9935382995576064,0.9932157137556207,0.9946013383159029,0.9954916627147785,0.9954916627147785,0.9944255403740354,0.9937020713744891,0.9936426772420074
وامداری,0.9945950640026044,0.9955324904356532,0.9955324904356532,0.9926187928457421,0.9955324904356532,0.9951624670196003,0.9949642549969847,0.9949642549969847,0.99487980865964,0.9999999999999996,0.9924836266822483,0.9942092822370552,0.9929439732402454,0.9927735910825976,0.9924836266822483,0.9966703599829827,0.9950364610364728,0.9924689885418584,0.9910082260742739,0.99484785678402,0.9944233275463051,0.9944233275463051,0.9941891391087655,0.9928538153734418,0.9933852841985106
تعهد,0.9908594520165015,0.9948915537755247,0.9948915537755247,0.9948834213646325,0.9948915537755247,0.992322733855528,0.9948372727845284,0.9948372727845284,0.9945837061211302,0.9924836266822483,0.9999999999999988,0.9960058692479359,0.99644116468622,0.9958667393229039,0.9999999999999988,0.9942714110058415,0.992219972711484,0.993738687358747,0.9952937967439097,0.9948125537214934,0.995032579172614,0.995032579172614,0.9947804367419458,0.9952655191668726,0.995057042863925
وظیفه,0.9928786728243116,0.9957135725111058,0.9957135725111058,0.9937434462684024,0.9957135725111058,0.9926533957679256,0.9945976627449074,0.9945976627449074,0.9943674193557798,0.9942092822370552,0.9960058692479359,1.0000000000000002,0.9953924960861623,0.9962449993160153,0.9960058692479359,0.994204790106476,0.9924991500546086,0.993615962441374,0.9930243666350764,0.9941108562021798,0.9940660124802184,0.9940660124802184,0.9940893602489678,0.9939498885698893,0.9936250695991607
مجبور,0.992671173903361,0.9943735492298359,0.9943735492298359,0.996286897587315,0.9943735492298359,0.9924064100494726,0.99520402385182,0.99520402385182,0.9941209375317385,0.9929439732402454,0.99644116468622,0.9953924960861623,1.0,0.996491048973765,0.99644116468622,0.994304422501801,0.9927505748289521,0.9937145614169398,0.9941517146415044,0.9944494934183585,0.9952835672999106,0.9952835672999106,0.9953974798409196,0.995097299439583,0.9953351818338573
موظف,0.9934509040806131,0.9947866047249869,0.9947866047249869,0.9960181381580256,0.9947866047249869,0.9913390722544528,0.9945733883771434,0.9945733883771434,0.994347653966243,0.9927735910825976,0.9958667393229039,0.9962449993160153,0.996491048973765,0.9999999999999997,0.9958667393229039,0.9937685213846768,0.9917059999454784,0.9935408670094656,0.9927524419997288,0.9946724000007727,0.9946538180189555,0.9946538180189555,0.9945679692267064,0.9937976065803323,0.9942605589144231
تعهد,0.9908594520165015,0.9948915537755247,0.9948915537755247,0.9948834213646325,0.9948915537755247,0.992322733855528,0.9948372727845284,0.9948372727845284,0.9945837061211302,0.9924836266822483,0.9999999999999988,0.9960058692479359,0.99644116468622,0.9958667393229039,0.9999999999999988,0.9942714110058415,0.992219972711484,0.993738687358747,0.9952937967439097,0.9948125537214934,0.995032579172614,0.995032579172614,0.9947804367419458,0.9952655191668726,0.995057042863925
بدهکار,0.9928804760328037,0.9952095551327852,0.9952095551327852,0.9945574796226115,0.9952095551327852,0.9950549129248502,0.9961492132665641,0.9961492132665641,0.9945397701126587,0.9966703599829827,0.9942714110058415,0.994204790106476,0.994304422501801,0.9937685213846768,0.9942714110058415,1.0000000000000007,0.9964826979163203,0.992484893560138,0.992745461098208,0.9950413520346263,0.9959543647497139,0.9959543647497139,0.9946768637504011,0.9942708675989476,0.9946486748927551
بدهکار بودن,0.9912478609248724,0.9931263936507372,0.9931263936507372,0.9919812418439479,0.9931263936507372,0.9955378888698454,0.9942416142369273,0.9942416142369273,0.9921656299444744,0.9950364610364728,0.992219972711484,0.9924991500546086,0.9927505748289521,0.9917059999454784,0.992219972711484,0.9964826979163203,1.0,0.9909408457550767,0.9914686728877772,0.9928670955383415,0.9938413198284197,0.9938413198284197,0.9928876019192415,0.9936236884897766,0.9934240470171426
معذرت‌ها,0.9913922569675437,0.9920139542008685,0.9920139542008685,0.9932646980423986,0.9920139542008685,0.9911414421312678,0.9943798484693614,0.9943798484693614,0.9935382995576064,0.9924689885418584,0.993738687358747,0.993615962441374,0.9937145614169398,0.9935408670094656,0.993738687358747,0.992484893560138,0.9909408457550767,0.9999999999999999,0.9941650623925188,0.9935554959322503,0.9940548753209483,0.9940548753209483,0.9948468675253781,0.9940991290661136,0.9938816797425317
معذرت,0.9888948270181703,0.9922696233979629,0.9922696233979629,0.99389905325926,0.9922696233979629,0.9911515271355968,0.9953199922055447,0.9953199922055447,0.9932157137556207,0.9910082260742739,0.9952937967439097,0.9930243666350764,0.9941517146415044,0.9927524419997288,0.9952937967439097,0.992745461098208,0.9914686728877772,0.9941650623925188,0.9999999999999992,0.993388116152321,0.9945459682005091,0.9945459682005091,0.9953963456192312,0.9982404857597226,0.997110250699478
افسوس,0.9928113301885536,0.9950143446255099,0.9950143446255099,0.9948277384359316,0.9950143446255099,0.9928235417162943,0.9960194623242298,0.9960194623242298,0.9946013383159029,0.99484785678402,0.9948125537214934,0.9941108562021798,0.9944494934183585,0.9946724000007727,0.9948125537214934,0.9950413520346263,0.9928670955383415,0.9935554959322503,0.993388116152321,0.9999999999999998,0.9953544205134631,0.9953544205134631,0.9960677054941952,0.9943995106158297,0.9949994925262617
