,лаштык,лаштыке,шукштен,ыштымык,ыштымык,шукшты,шукштен,ыштымык,пашаш,пашашлык,йомак,йомакташ,шутлаш,йомак,пашашем,пашашаш,андалышешке,андалышаш,андалыше,андалыше,кеч,андалыше,андалыше шке,андалыше дене
лаштык,0.9999999999999994,0.9962918357895094,0.9930856211058913,0.9974055702416156,0.9974055702416156,0.9950746673251081,0.9930856211058913,0.9974055702416156,0.9944108541245684,0.9972540881425794,0.994151269963465,0.9952113737012367,0.9874221476514076,0.994151269963465,0.9904163560213083,0.9948291421079907,0.9941465547022569,0.995240852008965,0.9931385823662777,0.9931385823662777,0.9917433765675778,0.9931385823662777,0.9938184535947056,0.9929884103465564
лаштыке,0.9962918357895094,0.9999999999999993,0.9947853170710091,0.9947231422724445,0.9947231422724445,0.9973723843840827,0.9947853170710091,0.9947231422724445,0.9957835393351714,0.9967807574564458,0.9957633511990214,0.9955177703521568,0.9904829084922638,0.9957633511990214,0.9938321789272906,0.9960616553501361,0.9955382205267054,0.9960935345324726,0.9953193910772498,0.9953193910772498,0.9924549585168808,0.9953193910772498,0.9943146826156046,0.9941166944739709
шукштен,0.9930856211058913,0.9947853170710091,0.9999999999999994,0.9924856024049875,0.9924856024049875,0.9959295390251317,0.9999999999999994,0.9924856024049875,0.99614903299472,0.9942571746458513,0.9953985745566413,0.9966531091740963,0.9919520346785388,0.9953985745566413,0.9939991642286387,0.996260102636648,0.9928826143029815,0.9940368800869981,0.9935180099096569,0.9935180099096569,0.9929476019781217,0.9935180099096569,0.9937278386407319,0.9923864107666343
ыштымык,0.9974055702416156,0.9947231422724445,0.9924856024049875,0.9999999999999999,0.9999999999999999,0.9936476922858752,0.9924856024049875,0.9999999999999999,0.9945643377808722,0.9964323174166575,0.994369064300856,0.9946832760879031,0.98753640249243,0.994369064300856,0.9916796951727715,0.9944431591162641,0.9939780043842686,0.9952434302571556,0.9939530418413688,0.9939530418413688,0.9931440939649655,0.9939530418413688,0.9937131672545121,0.9937502843038891
ыштымык,0.9974055702416156,0.9947231422724445,0.9924856024049875,0.9999999999999999,0.9999999999999999,0.9936476922858752,0.9924856024049875,0.9999999999999999,0.9945643377808722,0.9964323174166575,0.994369064300856,0.9946832760879031,0.98753640249243,0.994369064300856,0.9916796951727715,0.9944431591162641,0.9939780043842686,0.9952434302571556,0.9939530418413688,0.9939530418413688,0.9931440939649655,0.9939530418413688,0.9937131672545121,0.9937502843038891
шукшты,0.9950746673251081,0.9973723843840827,0.9959295390251317,0.9936476922858752,0.9936476922858752,0.9999999999999999,0.9959295390251317,0.9936476922858752,0.996832568655995,0.9961465315906257,0.9972298790805987,0.9959756201390539,0.9915564087824295,0.9972298790805987,0.99505950212885,0.9970386135652627,0.9953020299611643,0.9958737091205123,0.9947508219579777,0.9947508219579777,0.9926865226565719,0.9947508219579777,0.9944465339633233,0.9933048300445135
шукштен,0.9930856211058913,0.9947853170710091,0.9999999999999994,0.9924856024049875,0.9924856024049875,0.9959295390251317,0.9999999999999994,0.9924856024049875,0.99614903299472,0.9942571746458513,0.9953985745566413,0.9966531091740963,0.9919520346785388,0.9953985745566413,0.9939991642286387,0.996260102636648,0.9928826143029815,0.9940368800869981,0.9935180099096569,0.9935180099096569,0.9929476019781217,0.9935180099096569,0.9937278386407319,0.9923864107666343
ыштымык,0.9974055702416156,0.9947231422724445,0.9924856024049875,0.9999999999999999,0.9999999999999999,0.9936476922858752,0.9924856024049875,0.9999999999999999,0.9945643377808722,0.9964323174166575,0.994369064300856,0.9946832760879031,0.98753640249243,0.994369064300856,0.9916796951727715,0.9944431591162641,0.9939780043842686,0.9952434302571556,0.9939530418413688,0.9939530418413688,0.9931440939649655,0.9939530418413688,0.9937131672545121,0.9937502843038891
пашаш,0.9944108541245684,0.9957835393351714,0.99614903299472,0.9945643377808722,0.9945643377808722,0.996832568655995,0.99614903299472,0.9945643377808722,0.9999999999999993,0.9970809977814641,0.9975735432025775,0.9971166452453953,0.993288376593941,0.9975735432025775,0.9970440105476177,0.9996042792099397,0.9961966871334382,0.9973101716778258,0.9965530379681887,0.9965530379681887,0.9958013756665726,0.9965530379681887,0.99595674472343,0.995281046205408
пашашлык,0.9972540881425794,0.9967807574564458,0.9942571746458513,0.9964323174166575,0.9964323174166575,0.9961465315906257,0.9942571746458513,0.9964323174166575,0.9970809977814641,0.9999999999999998,0.9954697315542254,0.9963463044546638,0.990310816438223,0.9954697315542254,0.9937063899015717,0.9974364658044869,0.9962695959359872,0.9970877584512639,0.9953689967516511,0.9953689967516511,0.9935078418288186,0.9953689967516511,0.995516015300767,0.9946635728106011
