,manghargai,panghargaan,barasa tarimo kasih,raso tarimo kasih,tarimo kasih,tarimo kasih,barasa tarimo kasih,raso tarimo kasih,barhutang,kawajiban,dipakso,terpaksa,kawajiban,hutang,hutang nan ado,hutang-piutang,maafan,maaf,maaf,ampun jo,minta maaf,maaf jo,raso salo,salo hati
manghargai,0.9999999999999998,0.9926796739106606,0.9941139343439827,0.9952615994187375,0.9951536638481208,0.9951536638481208,0.9941139343439827,0.9952615994187375,0.9965957857359358,0.994996590795882,0.9951639412880098,0.9889408710849696,0.994996590795882,0.9937776650171096,0.9890912525781497,0.9865369163856645,0.9926933058503548,0.9921603593519102,0.9921603593519102,0.9923346205493151,0.9919411306592352,0.9895559902766018,0.9936487554138083,0.9946066933019262
panghargaan,0.9926796739106606,0.9999999999999999,0.9925173918322635,0.992596619701922,0.9938645540057323,0.9938645540057323,0.9925173918322635,0.992596619701922,0.993309400024841,0.9921074282860907,0.9943978273870239,0.9876095876463056,0.9921074282860907,0.994845752761805,0.9875703272721192,0.9870361569689098,0.9918686136290246,0.9909007997807014,0.9909007997807014,0.9922353549104576,0.9916078166785149,0.9896353974759411,0.9913646006371774,0.9936768708450808
barasa tarimo kasih,0.9941139343439827,0.9925173918322635,0.9999999999999996,0.9966952795194528,0.9984266340219393,0.9984266340219393,0.9999999999999996,0.9966952795194528,0.9950088201639492,0.9945768233327681,0.9944445027542846,0.9842255613556773,0.9945768233327681,0.9937307792538281,0.9903154423283875,0.9855085518842656,0.9928335201419334,0.9930851178248435,0.9930851178248435,0.9927603089808276,0.9945660268265766,0.9896430210466148,0.9953582942766296,0.9948524197251362
raso tarimo kasih,0.9952615994187375,0.992596619701922,0.9966952795194528,0.9999999999999992,0.9981697098272138,0.9981697098272138,0.9966952795194528,0.9999999999999992,0.9947353913407622,0.9946501981785072,0.9954371646244959,0.9861137881097448,0.9946501981785072,0.9928826927417683,0.9891849629768039,0.9844400313325242,0.9935912822215365,0.9931718552702088,0.9931718552702088,0.9939842269366619,0.9949760663766204,0.9915549432498604,0.9957742933866484,0.9958020854649389
tarimo kasih,0.9951536638481208,0.9938645540057323,0.9984266340219393,0.9981697098272138,0.9999999999999998,0.9999999999999998,0.9984266340219393,0.9981697098272138,0.9953748707704397,0.9951964198492366,0.9962032281303809,0.9860970492849876,0.9951964198492366,0.9937674003322537,0.9899898560629657,0.9852961402449986,0.9941788526236371,0.9939432033154496,0.9939432033154496,0.9943965474125208,0.9952023919228422,0.9919118639865931,0.9950322836392963,0.9962133116486426
tarimo kasih,0.9951536638481208,0.9938645540057323,0.9984266340219393,0.9981697098272138,0.9999999999999998,0.9999999999999998,0.9984266340219393,0.9981697098272138,0.9953748707704397,0.9951964198492366,0.9962032281303809,0.9860970492849876,0.9951964198492366,0.9937674003322537,0.9899898560629657,0.9852961402449986,0.9941788526236371,0.9939432033154496,0.9939432033154496,0.9943965474125208,0.9952023919228422,0.9919118639865931,0.9950322836392963,0.9962133116486426
barasa tarimo kasih,0.9941139343439827,0.9925173918322635,0.9999999999999996,0.9966952795194528,0.9984266340219393,0.9984266340219393,0.9999999999999996,0.9966952795194528,0.9950088201639492,0.9945768233327681,0.9944445027542846,0.9842255613556773,0.9945768233327681,0.9937307792538281,0.9903154423283875,0.9855085518842656,0.9928335201419334,0.9930851178248435,0.9930851178248435,0.9927603089808276,0.9945660268265766,0.9896430210466148,0.9953582942766296,0.9948524197251362
raso tarimo kasih,0.9952615994187375,0.992596619701922,0.9966952795194528,0.9999999999999992,0.9981697098272138,0.9981697098272138,0.9966952795194528,0.9999999999999992,0.9947353913407622,0.9946501981785072,0.9954371646244959,0.9861137881097448,0.9946501981785072,0.9928826927417683,0.9891849629768039,0.9844400313325242,0.9935912822215365,0.9931718552702088,0.9931718552702088,0.9939842269366619,0.9949760663766204,0.9915549432498604,0.9957742933866484,0.9958020854649389
barhutang,0.9965957857359358,0.993309400024841,0.9950088201639492,0.9947353913407622,0.9953748707704397,0.9953748707704397,0.9950088201639492,0.9947353913407622,0.9999999999999996,0.995164787620418,0.9944479475214543,0.9896455502765567,0.995164787620418,0.9943846922511409,0.9888121609142466,0.9870237965122834,0.9923312812623031,0.9918749246905271,0.9918749246905271,0.9927231022108182,0.9917512741572919,0.9900243642307592,0.9940360743694856,0.9947179663123359
kawajiban,0.994996590795882,0.9921074282860907,0.9945768233327681,0.9946501981785072,0.9951964198492366,0.9951964198492366,0.9945768233327681,0.9946501981785072,0.995164787620418,0.9999999999999996,0.9945090418299664,0.9877142485329996,0.9999999999999996,0.9923895836383229,0.9888522721121016,0.9832647719510478,0.9929468620402276,0.9928529205571296,0.9928529205571296,0.9932221817279664,0.9931485282402513,0.9899282374766747,0.9936362817884085,0.9942523944117039
