,დააფასო,დაფასება,მადლობინარი,მადლობინარობა,მადლობინარობა,მადლობა,მადლობინარი,მადლობინარობა,დღეგიმი,დღეგისი,ვალდებულება,ვალდებული,ვალდებულება,დღეგისუონი,დღეგისუა,ბოდიშები,ბოდიში,მაპატიე,მაპატიე,ნანვა,ბოდიში,ბოდიშის მთხოვნელი,ბოდიშის თხოვა
დააფასო,1.0000000000000007,0.9899957985509829,0.9873303776514435,0.9876425522475473,0.9876425522475473,0.9820022476479033,0.9873303776514435,0.9876425522475473,0.9828563995575329,0.9858075748029381,0.985895934191171,0.9851019097723498,0.985895934191171,0.983171185375544,0.9880375107608567,0.984663672830774,0.9847306395793034,0.9855748997435266,0.9855748997435266,0.9822192402373429,0.9847306395793034,0.9780026648652643,0.984753769657065
დაფასება,0.9899957985509829,1.0000000000000004,0.9859372839143524,0.9860042800489305,0.9860042800489305,0.9820872076913523,0.9859372839143524,0.9860042800489305,0.9820444147044438,0.9839994953328993,0.9867701866542047,0.9848078875778549,0.9867701866542047,0.9824083076507639,0.9855728104425202,0.984560474248813,0.983933660692804,0.983622620815697,0.983622620815697,0.9805212509609221,0.983933660692804,0.977971776260988,0.9840050759581429
მადლობინარი,0.9873303776514435,0.9859372839143524,1.0000000000000004,0.9974371307991414,0.9974371307991414,0.9950340018906875,1.0000000000000004,0.9974371307991414,0.9905703658418136,0.9961518702683232,0.9953082186090032,0.9973697877638582,0.9953082186090032,0.9914706079519175,0.9969445598290415,0.9965891823903197,0.994022565541008,0.9954774768275253,0.9954774768275253,0.993311244180433,0.994022565541008,0.9909514866626107,0.9955074009313302
მადლობინარობა,0.9876425522475473,0.9860042800489305,0.9974371307991414,0.9999999999999999,0.9999999999999999,0.9961559961274773,0.9974371307991414,0.9999999999999999,0.9917431075764402,0.9948979710509647,0.9962609046742786,0.9959496691076778,0.9962609046742786,0.9906305906035512,0.9962734765937717,0.9963192981280382,0.992758991358385,0.9950766819686095,0.9950766819686095,0.9908742552247648,0.992758991358385,0.9895526393748854,0.9958804777139838
მადლობინარობა,0.9876425522475473,0.9860042800489305,0.9974371307991414,0.9999999999999999,0.9999999999999999,0.9961559961274773,0.9974371307991414,0.9999999999999999,0.9917431075764402,0.9948979710509647,0.9962609046742786,0.9959496691076778,0.9962609046742786,0.9906305906035512,0.9962734765937717,0.9963192981280382,0.992758991358385,0.9950766819686095,0.9950766819686095,0.9908742552247648,0.992758991358385,0.9895526393748854,0.9958804777139838
მადლობა,0.9820022476479033,0.9820872076913523,0.9950340018906875,0.9961559961274773,0.9961559961274773,0.9999999999999997,0.9950340018906875,0.9961559961274773,0.9908284924072905,0.9939425742700086,0.99312933556538,0.9952837616562517,0.99312933556538,0.9897476301988636,0.9940705575251187,0.9955402319528744,0.9917773561771572,0.995560773073167,0.995560773073167,0.992704297554684,0.9917773561771572,0.9920454701121647,0.9951000554379255
მადლობინარი,0.9873303776514435,0.9859372839143524,1.0000000000000004,0.9974371307991414,0.9974371307991414,0.9950340018906875,1.0000000000000004,0.9974371307991414,0.9905703658418136,0.9961518702683232,0.9953082186090032,0.9973697877638582,0.9953082186090032,0.9914706079519175,0.9969445598290415,0.9965891823903197,0.994022565541008,0.9954774768275253,0.9954774768275253,0.993311244180433,0.994022565541008,0.9909514866626107,0.9955074009313302
მადლობინარობა,0.9876425522475473,0.9860042800489305,0.9974371307991414,0.9999999999999999,0.9999999999999999,0.9961559961274773,0.9974371307991414,0.9999999999999999,0.9917431075764402,0.9948979710509647,0.9962609046742786,0.9959496691076778,0.9962609046742786,0.9906305906035512,0.9962734765937717,0.9963192981280382,0.992758991358385,0.9950766819686095,0.9950766819686095,0.9908742552247648,0.992758991358385,0.9895526393748854,0.9958804777139838
დღეგიმი,0.9828563995575329,0.9820444147044438,0.9905703658418136,0.9917431075764402,0.9917431075764402,0.9908284924072905,0.9905703658418136,0.9917431075764402,0.9999999999999998,0.9919260070234339,0.9889618084597612,0.9904838898534978,0.9889618084597612,0.9939068292614497,0.9929608668977645,0.9911084269691166,0.9908998328170926,0.991170426771505,0.991170426771505,0.9875791910046048,0.9908998328170926,0.9852366722830119,0.9900498433092213
დღეგისი,0.9858075748029381,0.9839994953328993,0.9961518702683232,0.9948979710509647,0.9948979710509647,0.9939425742700086,0.9961518702683232,0.9948979710509647,0.9919260070234339,0.9999999999999996,0.9941020020177015,0.9962680805968567,0.9941020020177015,0.9926503536808632,0.9965471560991194,0.9951064935242353,0.9927029423597309,0.9950021856876696,0.9950021856876696,0.9936387431154902,0.9927029423597309,0.9917282671090579,0.995642035743698
ვალდებულება,0.985895934191171,0.9867701866542047,0.9953082186090032,0.9962609046742786,0.9962609046742786,0.99312933556538,0.9953082186090032,0.9962609046742786,0.9889618084597612,0.9941020020177015,0.9999999999999993,0.9957894295260113,0.9999999999999993,0.9886233796322009,0.9943063121144009,0.9953566786189607,0.9909540554790397,0.9933987470727013,0.9933987470727013,0.9890311883703206,0.9909540554790397,0.9873688378511123,0.9948828819336726
ვალდებული,0.9851019097723498,0.9848078875778549,0.9973697877638582,0.9959496691076778,0.9959496691076778,0.9952837616562517,0.9973697877638582,0.9959496691076778,0.9904838898534978,0.9962680805968567,0.9957894295260113,0.9999999999999997,0.9957894295260113,0.9904854202921574,0.9959685547898512,0.996595181180669,0.9937627493037791,0.9958491060137157,0.9958491060137157,0.9940458726283039,0.9937627493037791,0.991930814601113,0.9961608356993444
ვალდებულება,0.985895934191171,0.9867701866542047,0.9953082186090032,0.9962609046742786,0.9962609046742786,0.99312933556538,0.9953082186090032,0.9962609046742786,0.9889618084597612,0.9941020020177015,0.9999999999999993,0.9957894295260113,0.9999999999999993,0.9886233796322009,0.9943063121144009,0.9953566786189607,0.9909540554790397,0.9933987470727013,0.9933987470727013,0.9890311883703206,0.9909540554790397,0.9873688378511123,0.9948828819336726
დღეგისუონი,0.983171185375544,0.9824083076507639,0.9914706079519175,0.9906305906035512,0.9906305906035512,0.9897476301988636,0.9914706079519175,0.9906305906035512,0.9939068292614497,0.9926503536808632,0.9886233796322009,0.9904854202921574,0.9886233796322009,1.0000000000000004,0.995093435054581,0.9909755691185241,0.9919434868291207,0.9907939314378801,0.9907939314378801,0.989037191163086,0.9919434868291207,0.9864300922900683,0.9892001160698851
დღეგისუა,0.9880375107608567,0.9855728104425202,0.9969445598290415,0.9962734765937717,0.9962734765937717,0.9940705575251187,0.9969445598290415,0.9962734765937717,0.9929608668977645,0.9965471560991194,0.9943063121144009,0.9959685547898512,0.9943063121144009,0.995093435054581,0.9999999999999996,0.9957643237442635,0.9947509977282336,0.9949486906379512,0.9949486906379512,0.9935465973301677,0.9947509977282336,0.9898680661443642,0.9944346158548946
ბოდიშები,0.984663672830774,0.984560474248813,0.9965891823903197,0.9963192981280382,0.9963192981280382,0.9955402319528744,0.9965891823903197,0.9963192981280382,0.9911084269691166,0.9951064935242353,0.9953566786189607,0.996595181180669,0.9953566786189607,0.9909755691185241,0.9957643237442635,0.9999999999999993,0.9957662112486582,0.9960756074786474,0.9960756074786474,0.9946781269339561,0.9957662112486582,0.9929335476766459,0.9962581073448118
