,apreciar,apreciaçon,gratidon,gratidon,gracías,gratidon,agradecido / agradecida,agradecido / agradecida,endividuada,endividuado,endividuora,obligación,obligada,obligado,obligación,deber,debendo,endividuado,desculpadeira,desculpadeiru,desculpas,desculpa,sentidura,desculpa,desculpa-me,desculpar-se,perdua-me
apreciar,0.9999999999999998,0.9893090798915517,0.98771994235729,0.98771994235729,0.9816403296270394,0.98771994235729,0.9852968334552223,0.9852968334552223,0.9859041033061502,0.9859915644977294,0.9860196756687292,0.9837219604736029,0.9874624211933349,0.9823725376811666,0.9837219604736029,0.9862046802253007,0.986689285282311,0.9859915644977294,0.9857870525835373,0.9851725573885733,0.9866642294548695,0.9878232109678858,0.9837693341449972,0.9878232109678858,0.9863641391294707,0.9888526995375542,0.9864436285273275
apreciaçon,0.9893090798915517,0.9999999999999994,0.9965459827151582,0.9965459827151582,0.9857078508721139,0.9965459827151582,0.991857454836556,0.991857454836556,0.9941795115161953,0.995508041631771,0.994236074990392,0.9901976198890492,0.9941186644633239,0.9869158479050065,0.9901976198890492,0.9938062400351183,0.9950989224848142,0.995508041631771,0.9948152162227478,0.9941805788153097,0.9947764774953289,0.9957577304137082,0.9922747517974525,0.9957577304137082,0.9941343857598497,0.9957140206574623,0.9930633876660326
gratidon,0.98771994235729,0.9965459827151582,1.0000000000000002,1.0000000000000002,0.9831440096211936,1.0000000000000002,0.9913802944822148,0.9913802944822148,0.9925741893648876,0.9930377103916795,0.9941844956039814,0.989316183155738,0.9942642634986042,0.9884489593949267,0.989316183155738,0.9938488512012804,0.9955063051088123,0.9930377103916795,0.9926957294389335,0.9919431570500963,0.9939576181723786,0.9943145568209795,0.9924868938774994,0.9943145568209795,0.9928588755858586,0.9950183082450252,0.9928972481063959
gratidon,0.98771994235729,0.9965459827151582,1.0000000000000002,1.0000000000000002,0.9831440096211936,1.0000000000000002,0.9913802944822148,0.9913802944822148,0.9925741893648876,0.9930377103916795,0.9941844956039814,0.989316183155738,0.9942642634986042,0.9884489593949267,0.989316183155738,0.9938488512012804,0.9955063051088123,0.9930377103916795,0.9926957294389335,0.9919431570500963,0.9939576181723786,0.9943145568209795,0.9924868938774994,0.9943145568209795,0.9928588755858586,0.9950183082450252,0.9928972481063959
gracías,0.9816403296270394,0.9857078508721139,0.9831440096211936,0.9831440096211936,0.9999999999999993,0.9831440096211936,0.9830322605471038,0.9830322605471038,0.9804702139629631,0.9826863811872899,0.980982676911782,0.9834095335346723,0.9827152965010097,0.983326857549678,0.9834095335346723,0.9829357785442681,0.9844075093329553,0.9826863811872899,0.9811269525871961,0.9805451318353173,0.981509638335391,0.983371559623885,0.9786384418703008,0.983371559623885,0.982995186938032,0.9824922333126159,0.9836200085417754
gratidon,0.98771994235729,0.9965459827151582,1.0000000000000002,1.0000000000000002,0.9831440096211936,1.0000000000000002,0.9913802944822148,0.9913802944822148,0.9925741893648876,0.9930377103916795,0.9941844956039814,0.989316183155738,0.9942642634986042,0.9884489593949267,0.989316183155738,0.9938488512012804,0.9955063051088123,0.9930377103916795,0.9926957294389335,0.9919431570500963,0.9939576181723786,0.9943145568209795,0.9924868938774994,0.9943145568209795,0.9928588755858586,0.9950183082450252,0.9928972481063959
agradecido / agradecida,0.9852968334552223,0.991857454836556,0.9913802944822148,0.9913802944822148,0.9830322605471038,0.9913802944822148,0.9999999999999994,0.9999999999999994,0.9885555724016133,0.9908188696229354,0.990693090553536,0.987353857991114,0.9910243291859739,0.9855731674710948,0.987353857991114,0.9906424577289293,0.991932666681216,0.9908188696229354,0.9906310623054769,0.98962587474514,0.9911164988288627,0.992222465575451,0.988163112537249,0.992222465575451,0.9896860101997804,0.9919326707251771,0.9891977488513598
agradecido / agradecida,0.9852968334552223,0.991857454836556,0.9913802944822148,0.9913802944822148,0.9830322605471038,0.9913802944822148,0.9999999999999994,0.9999999999999994,0.9885555724016133,0.9908188696229354,0.990693090553536,0.987353857991114,0.9910243291859739,0.9855731674710948,0.987353857991114,0.9906424577289293,0.991932666681216,0.9908188696229354,0.9906310623054769,0.98962587474514,0.9911164988288627,0.992222465575451,0.988163112537249,0.992222465575451,0.9896860101997804,0.9919326707251771,0.9891977488513598
endividuada,0.9859041033061502,0.9941795115161953,0.9925741893648876,0.9925741893648876,0.9804702139629631,0.9925741893648876,0.9885555724016133,0.9885555724016133,0.9999999999999996,0.9963774158886182,0.9935476935905394,0.9886588503122106,0.9932282062265296,0.9839914547682599,0.9886588503122106,0.9919052377093242,0.9930795551074926,0.9963774158886176,0.9942363786822204,0.9941644881284376,0.991971872879911,0.9932763616515382,0.991955306025929,0.9932763616515382,0.9906334355676941,0.9923382532521614,0.9897957130791017
endividuado,0.9859915644977294,0.995508041631771,0.9930377103916795,0.9930377103916795,0.9826863811872899,0.9930377103916795,0.9908188696229354,0.9908188696229354,0.9963774158886182,0.9999999999999996,0.9943348595114611,0.9905600815500698,0.9924592960121895,0.9863281058254006,0.9905600815500698,0.9927814700438191,0.9947663481796212,0.999999999999999,0.9952768891642844,0.994536658599056,0.9923017767101414,0.9939307086277163,0.9924852228782376,0.9939307086277163,0.9903906120880207,0.9931851698310825,0.9894970097368578
