,үнэлэх,үнэлэлт,талархсан,талархал,талархал,баярлалаа,талархсан,талархал,өртэй,үүрэг,албадсан,үүрэг,өртэй байдал,өртэй байх,өртэй байгаа,үүрэг хүлээсэн,уучлалтууд,уучлалт,өршөөгөөрэй,харамсал,уучлаарай,намайг уучлаарай,уучлалт хүссэн,уучлалт гуйх
үнэлэх,1.0000000000000002,0.9947120443322695,0.9884174984700478,0.9888113854963101,0.9888113854963101,0.9907609599209246,0.9884174984700478,0.9888113854963101,0.9893353898018622,0.9845042933990444,0.990660508033238,0.9845042933990444,0.9884708144486152,0.9901826451595969,0.9899192379348642,0.98937828199329,0.9880662830395901,0.9899529764714007,0.9883426468840293,0.9876598971137353,0.9897581364950866,0.9898034313691451,0.9908947725974392,0.9852465608929295
үнэлэлт,0.9947120443322695,0.9999999999999996,0.9895295064629275,0.990672790935591,0.990672790935591,0.9912355288244928,0.9895295064629275,0.990672790935591,0.9898399509856801,0.985484675687774,0.9924336196067167,0.985484675687774,0.9890075141055699,0.990283035984126,0.9907837917029524,0.9902641298127232,0.9894388327927179,0.9908220197183178,0.9895402557920029,0.9902655432660094,0.9907188013783867,0.9902051040692268,0.9919378255034736,0.9855670019018645
талархсан,0.9884174984700478,0.9895295064629275,0.999999999999999,0.9981835901425028,0.9981835901425028,0.9948060881610377,0.999999999999999,0.9981835901425028,0.9934758959666058,0.9889545077458411,0.9944434245834499,0.9889545077458411,0.9941009657535416,0.9947519366895881,0.9936856187487182,0.9942281130017192,0.9945785992243201,0.9933258102842577,0.99326443290961,0.9950411153510917,0.9955533710633684,0.9933030492044844,0.9950546995430253,0.9909981613775163
талархал,0.9888113854963101,0.990672790935591,0.9981835901425028,1.0,1.0,0.9958835283143768,0.9981835901425028,1.0,0.9945430569164349,0.9899703396692037,0.9957074051419126,0.9899703396692037,0.9957411222712977,0.9959467083496599,0.995720303886654,0.9953611648500268,0.9952578153764766,0.9934796262452847,0.9941773037598324,0.9963541818909698,0.9961185270952371,0.9941145230696083,0.9957453829135416,0.9902929362673183
талархал,0.9888113854963101,0.990672790935591,0.9981835901425028,1.0,1.0,0.9958835283143768,0.9981835901425028,1.0,0.9945430569164349,0.9899703396692037,0.9957074051419126,0.9899703396692037,0.9957411222712977,0.9959467083496599,0.995720303886654,0.9953611648500268,0.9952578153764766,0.9934796262452847,0.9941773037598324,0.9963541818909698,0.9961185270952371,0.9941145230696083,0.9957453829135416,0.9902929362673183
баярлалаа,0.9907609599209246,0.9912355288244928,0.9948060881610377,0.9958835283143768,0.9958835283143768,0.9999999999999998,0.9948060881610377,0.9958835283143768,0.9930058353087896,0.9869821781417079,0.9965703767601956,0.9869821781417079,0.9948510506029251,0.9947529551878195,0.9960968164751489,0.9938364202724305,0.9935019905814285,0.9936720070570169,0.9922767968182229,0.9950570967291839,0.9966080257652842,0.9960165336135041,0.9944456036861822,0.9905335823502193
талархсан,0.9884174984700478,0.9895295064629275,0.999999999999999,0.9981835901425028,0.9981835901425028,0.9948060881610377,0.999999999999999,0.9981835901425028,0.9934758959666058,0.9889545077458411,0.9944434245834499,0.9889545077458411,0.9941009657535416,0.9947519366895881,0.9936856187487182,0.9942281130017192,0.9945785992243201,0.9933258102842577,0.99326443290961,0.9950411153510917,0.9955533710633684,0.9933030492044844,0.9950546995430253,0.9909981613775163
талархал,0.9888113854963101,0.990672790935591,0.9981835901425028,1.0,1.0,0.9958835283143768,0.9981835901425028,1.0,0.9945430569164349,0.9899703396692037,0.9957074051419126,0.9899703396692037,0.9957411222712977,0.9959467083496599,0.995720303886654,0.9953611648500268,0.9952578153764766,0.9934796262452847,0.9941773037598324,0.9963541818909698,0.9961185270952371,0.9941145230696083,0.9957453829135416,0.9902929362673183
өртэй,0.9893353898018622,0.9898399509856801,0.9934758959666058,0.9945430569164349,0.9945430569164349,0.9930058353087896,0.9934758959666058,0.9945430569164349,0.9999999999999997,0.9922414255215166,0.993205458946633,0.9922414255215166,0.9963770808332368,0.9974099703294839,0.9962737958842541,0.9945869228485898,0.9939768842017127,0.9935856730132703,0.9973998719925007,0.9939231313745565,0.9944777894203534,0.9932414865258711,0.9957432857291505,0.9912941104723015
үүрэг,0.9845042933990444,0.985484675687774,0.9889545077458411,0.9899703396692037,0.9899703396692037,0.9869821781417079,0.9889545077458411,0.9899703396692037,0.9922414255215166,0.9999999999999997,0.9879637308088557,0.9999999999999997,0.9891387460313699,0.9910078254358431,0.9895419279239088,0.9933939211289715,0.9901550716710158,0.9874049845835448,0.99344107363279,0.9894770984869072,0.9886032957648772,0.9888048260713186,0.9917528810713557,0.9865508589340268
албадсан,0.990660508033238,0.9924336196067167,0.9944434245834499,0.9957074051419126,0.9957074051419126,0.9965703767601956,0.9944434245834499,0.9957074051419126,0.993205458946633,0.9879637308088557,0.9999999999999993,0.9879637308088557,0.994545444174229,0.9950583871829138,0.9958961365354253,0.9947663206397617,0.9924982813239479,0.9926197692757048,0.9925288745889688,0.9952300882167653,0.9950356178172644,0.9951116780826018,0.9953702941064477,0.9892370441833552
үүрэг,0.9845042933990444,0.985484675687774,0.9889545077458411,0.9899703396692037,0.9899703396692037,0.9869821781417079,0.9889545077458411,0.9899703396692037,0.9922414255215166,0.9999999999999997,0.9879637308088557,0.9999999999999997,0.9891387460313699,0.9910078254358431,0.9895419279239088,0.9933939211289715,0.9901550716710158,0.9874049845835448,0.99344107363279,0.9894770984869072,0.9886032957648772,0.9888048260713186,0.9917528810713557,0.9865508589340268
