,apprezza’,apprezzamento,grata,grato,gratitudine,gratitudine,grazie,grata,grato,gratitudine,indebbitata,indebbitato,indebbitamento,obligazione,obligata,obligato,obligazione,duvé,duvuto,ave’ a dà,ave’ a dà,dispiaciuto,scuse,scusarse,scusa,permettete,scusate,perdunatemi,dispiacere,scusame
apprezza’,0.999999999999999,0.9949057521078004,0.9903513334890902,0.9947969219546451,0.9902638916507014,0.9902638916507014,0.9843385230345569,0.9903513334890902,0.9947969219546453,0.9902638916507007,0.9900765831608944,0.9912605185922712,0.9928063078205349,0.9915653397968435,0.9920054608786623,0.9917695024345619,0.9915653397968435,0.9925496371901085,0.9913557557636103,0.9956892887049381,0.9956892887049381,0.9910841102963038,0.9928847922072569,0.9927408327570505,0.9919738908285658,0.9949480252209542,0.9944602446633675,0.9902592733392234,0.9916653138200607,0.9961145917649206
apprezzamento,0.9949057521078004,0.9999999999999998,0.9895852666439179,0.9939531949185029,0.991591462350775,0.991591462350775,0.9827888623325917,0.9895852666439179,0.9939531949185025,0.9915914623507746,0.9907071733238769,0.9921151180335515,0.9947371812518179,0.9924436567704773,0.9931581851814892,0.9921595883599393,0.9924436567704773,0.993328006139107,0.9921655856903996,0.9931402464173285,0.9931402464173285,0.9914425496022987,0.9941430919757221,0.994139734557261,0.9931313438922408,0.9936376778413638,0.9946663118318271,0.9915510857877409,0.9920681740882917,0.9953366955177686
grata,0.9903513334890902,0.9895852666439179,0.9999999999999999,0.9949881435931824,0.9882690914937038,0.9882690914937038,0.9825727877621143,0.9999999999999999,0.9949881435931831,0.9882690914937033,0.9907636562595167,0.9887922842440703,0.9894954096238644,0.9882865734155253,0.9917702141109618,0.9897936638481397,0.9882865734155253,0.9920971133383427,0.9922478141321132,0.9907601352892464,0.9907601352892464,0.9884515354766364,0.9927532110627718,0.9924677120961495,0.9936362809893291,0.9902046030093308,0.9921818298633769,0.9908456913196922,0.9922349923621682,0.9921648966550314
grato,0.9947969219546451,0.9939531949185029,0.9949881435931824,0.9999999999999986,0.9920532229277008,0.9920532229277008,0.9858870935332985,0.9949881435931824,0.9999999999999983,0.9920532229277004,0.9916332754328973,0.9925766141153461,0.9935721624502961,0.992263594095474,0.9943716513895786,0.9944026039227775,0.992263594095474,0.9949797741017465,0.9951802512508678,0.9942060733697375,0.9942060733697375,0.992814663105709,0.9953530731947449,0.9950673965444773,0.9952159443735744,0.9949109485933905,0.9959763645651458,0.9930487870698979,0.9935941730510702,0.9966287075883561
gratitudine,0.9902638916507014,0.991591462350775,0.9882690914937038,0.9920532229277008,0.9999999999999998,0.9999999999999998,0.9783533990194797,0.9882690914937038,0.9920532229277004,0.9999999999999992,0.992667822434354,0.9922335857795933,0.9926827245010944,0.9919005130500904,0.9916264862380592,0.9905653413487328,0.9919005130500904,0.9926618853984349,0.9913392961525601,0.9896529718085038,0.9896529718085038,0.9900895835568083,0.9930020593808796,0.9919637449618623,0.9920397823932391,0.9911418536637041,0.9926210089022302,0.9908897692142148,0.991415953856205,0.993563429606407
gratitudine,0.9902638916507014,0.991591462350775,0.9882690914937038,0.9920532229277008,0.9999999999999998,0.9999999999999998,0.9783533990194797,0.9882690914937038,0.9920532229277004,0.9999999999999992,0.992667822434354,0.9922335857795933,0.9926827245010944,0.9919005130500904,0.9916264862380592,0.9905653413487328,0.9919005130500904,0.9926618853984349,0.9913392961525601,0.9896529718085038,0.9896529718085038,0.9900895835568083,0.9930020593808796,0.9919637449618623,0.9920397823932391,0.9911418536637041,0.9926210089022302,0.9908897692142148,0.991415953856205,0.993563429606407
grazie,0.9843385230345569,0.9827888623325917,0.9825727877621143,0.9858870935332985,0.9783533990194797,0.9783533990194797,0.9999999999999992,0.9825727877621143,0.9858870935332996,0.9783533990194799,0.9759160341097867,0.9790949152169568,0.9819052515174552,0.9819372683013203,0.9806438555270106,0.9825888364953226,0.9819372683013203,0.9821487268065856,0.9827991445667714,0.9827844522762132,0.9827844522762132,0.9819916116974493,0.9817954875505939,0.9821154751245317,0.9825612366063565,0.9865303098530549,0.9851767210055101,0.9824710772329924,0.9821352128650679,0.9849184247060352
grata,0.9903513334890902,0.9895852666439179,0.9999999999999999,0.9949881435931824,0.9882690914937038,0.9882690914937038,0.9825727877621143,0.9999999999999999,0.9949881435931831,0.9882690914937033,0.9907636562595167,0.9887922842440703,0.9894954096238644,0.9882865734155253,0.9917702141109618,0.9897936638481397,0.9882865734155253,0.9920971133383427,0.9922478141321132,0.9907601352892464,0.9907601352892464,0.9884515354766364,0.9927532110627718,0.9924677120961495,0.9936362809893291,0.9902046030093308,0.9921818298633769,0.9908456913196922,0.9922349923621682,0.9921648966550314
grato,0.9947969219546453,0.9939531949185025,0.9949881435931831,0.9999999999999983,0.9920532229277004,0.9920532229277004,0.9858870935332996,0.9949881435931831,0.9999999999999986,0.9920532229277008,0.9916332754328973,0.992576614115347,0.9935721624502962,0.9922635940954758,0.9943716513895781,0.9944026039227785,0.992263594095474,0.9949797741017465,0.9951802512508678,0.9942060733697375,0.9942060733697375,0.992814663105709,0.9953530731947449,0.9950673965444773,0.9952159443735744,0.9949109485933905,0.9959763645651458,0.9930487870698979,0.9935941730510702,0.9966287075883561
gratitudine,0.9902638916507007,0.9915914623507746,0.9882690914937033,0.9920532229277004,0.9999999999999992,0.9999999999999992,0.9783533990194799,0.9882690914937033,0.9920532229277008,0.9999999999999998,0.9926678224343545,0.9922335857795932,0.9926827245010937,0.9919005130500909,0.991626486238059,0.9905653413487322,0.9919005130500904,0.9926618853984349,0.9913392961525601,0.9896529718085038,0.9896529718085038,0.9900895835568083,0.9930020593808796,0.9919637449618623,0.9920397823932391,0.9911418536637041,0.9926210089022302,0.9908897692142148,0.991415953856205,0.993563429606407
