,मूल्यांकन,कृतज्ञता,कृतज्ञ,आभार (aabhaar),आभार (aabhaar),कृतज्ञ (kritagya),कृतज्ञ (kritagya),कृतज्ञता (kritagyata),धन्यवाद (dhanyavaad),धन्यवाद दिनु,प्रशंसा गर्नु (prashansa garnu),प्रशंसा (prashansa),मूल्यांकन गर्नु,ऋणी,कर्जदार,ऋणग्रस्तता,कर्जदारी,कर्तव्य,जिम्मेवारी,बाध्य,मजबूर,कर्तव्य,जिम्मेवारी,ऋण,ऋणी,ऋणीता,दायित्व,बाध्य,बाध्यता,ऋण बाँकी,ऋणी हुनु,ऋणी हुनु,ऋणी हुँदै,कर्ज हुनु,कर्ज बाँकी,माफ़ीहरू,माफ़ी,दुख,माफ गर्नुहोस्,मलाई माफ गर्नुहोस्,माफ गर,माफ़ी माग्ने,माफ़ी माग्नु
मूल्यांकन,1.0000000000000002,0.9928311536962424,0.9911308966333511,0.9915504784029172,0.9915504784029172,0.9887451170842313,0.9887451170842313,0.9886683141048191,0.9913785619392066,0.9950540751442695,0.9911218285726066,0.9895397170484044,0.9937077341564053,0.9922276570797788,0.9941288636479961,0.9945137283628265,0.9940380854570956,0.990176009338347,0.9929671543318913,0.9944854597101856,0.9922111393493667,0.990176009338347,0.9929671543318913,0.990436030284173,0.992227657079779,0.9925384264128768,0.9932931309771846,0.9944854597101856,0.9920670803081978,0.9933375556877866,0.9921478626164554,0.9921478626164554,0.990974187927966,0.9914168149144401,0.9938314433534313,0.9934876233145136,0.9939244429315613,0.9855020926135439,0.9869311307410147,0.9857888465737382,0.9918871688388433,0.993108869024515,0.993108869024515
कृतज्ञता,0.9928311536962424,1.0,0.9966230327924537,0.9944021149133044,0.9944021149133044,0.993509164188366,0.993509164188366,0.9937319662889926,0.995318035566757,0.9952065722375495,0.9937748037222431,0.992567185884335,0.9946647768715922,0.9960724069554878,0.9962585328469328,0.9945195283170238,0.9963889209976567,0.9951536762655464,0.9925330862583609,0.996305084451923,0.994767262238032,0.9951536762655464,0.9925330862583609,0.9949450729011021,0.9960724069554875,0.9977770840825881,0.9957783094427756,0.996305084451923,0.9959818461742269,0.9967477609483169,0.9943872507559275,0.9943872507559275,0.9961980759401985,0.992546649287998,0.9964847239183299,0.9938466252595495,0.9954640991518204,0.9865660304839563,0.9900166407028066,0.9887695837244256,0.9949340788954617,0.9960000724804399,0.9960000724804399
कृतज्ञ,0.9911308966333511,0.9966230327924537,0.9999999999999997,0.9950800029566316,0.9950800029566316,0.9957198769235911,0.9957198769235911,0.9948662817116618,0.9943478132266306,0.9926293247351728,0.993838148533815,0.9936452908456126,0.9943368563425653,0.9959413567477663,0.9944635358862238,0.991532962077773,0.9941340101930661,0.9946833472098121,0.989727722760605,0.9958607523467515,0.9957257946151128,0.9946833472098121,0.989727722760605,0.9954149144778056,0.995941356747766,0.9957684560172105,0.9943033281325218,0.9958607523467515,0.995756661807454,0.9951046737761672,0.9945026804050657,0.9945026804050657,0.9956640547193172,0.9927992103713631,0.9944534252871055,0.9906475564421118,0.9942102380521752,0.9860074637783723,0.9893663414268021,0.9883189948594301,0.9943341629154128,0.9947034704037754,0.9947034704037754
आभार (aabhaar),0.9915504784029172,0.9944021149133044,0.9950800029566316,1.0,1.0,0.9966654629010271,0.9966654629010271,0.9967277293669553,0.9962455487801055,0.9924907572682178,0.9954769637623044,0.9974776600055981,0.9938171533490177,0.9952085618655111,0.9948648712497087,0.9926637477677567,0.9950220392446307,0.9929466950448362,0.9918628869216349,0.9948113242517145,0.9948295758965912,0.9929466950448362,0.9918628869216349,0.9942396601704937,0.9952085618655112,0.9954953604301073,0.993097644878346,0.9948113242517145,0.9944350175163178,0.9946232922467877,0.9956770890139308,0.9956770890139308,0.9949226727263205,0.9942182162103941,0.9944841533053038,0.9924041014065885,0.9936737111555568,0.9872460731409533,0.98847051085097,0.9875474480353951,0.9939995237735073,0.9939631086541862,0.9939631086541862
आभार (aabhaar),0.9915504784029172,0.9944021149133044,0.9950800029566316,1.0,1.0,0.9966654629010271,0.9966654629010271,0.9967277293669553,0.9962455487801055,0.9924907572682178,0.9954769637623044,0.9974776600055981,0.9938171533490177,0.9952085618655111,0.9948648712497087,0.9926637477677567,0.9950220392446307,0.9929466950448362,0.9918628869216349,0.9948113242517145,0.9948295758965912,0.9929466950448362,0.9918628869216349,0.9942396601704937,0.9952085618655112,0.9954953604301073,0.993097644878346,0.9948113242517145,0.9944350175163178,0.9946232922467877,0.9956770890139308,0.9956770890139308,0.9949226727263205,0.9942182162103941,0.9944841533053038,0.9924041014065885,0.9936737111555568,0.9872460731409533,0.98847051085097,0.9875474480353951,0.9939995237735073,0.9939631086541862,0.9939631086541862
कृतज्ञ (kritagya),0.9887451170842313,0.993509164188366,0.9957198769235911,0.9966654629010271,0.9966654629010271,1.0000000000000002,1.0000000000000002,0.9987195011851956,0.9963746639836536,0.990662363034952,0.9936583556473649,0.9965951182263667,0.9919106757582671,0.9932762188661682,0.9925235506255254,0.9903144860766638,0.9926012635318657,0.9911604402132196,0.9889381791407962,0.9927856452630273,0.9928210697913041,0.9911604402132196,0.9889381791407962,0.992524937513262,0.9932762188661686,0.993251672029744,0.9911796371257693,0.9927856452630273,0.9937113924937074,0.9927834842555524,0.9938412349534024,0.9938412349534024,0.9936273613452712,0.9914879720896167,0.9916980034982679,0.9896908352105954,0.9914427846613939,0.9843913734564523,0.9861118553200503,0.984638823857845,0.9919415026112669,0.9913470419193396,0.9913470419193396
कृतज्ञ (kritagya),0.9887451170842313,0.993509164188366,0.9957198769235911,0.9966654629010271,0.9966654629010271,1.0000000000000002,1.0000000000000002,0.9987195011851956,0.9963746639836536,0.990662363034952,0.9936583556473649,0.9965951182263667,0.9919106757582671,0.9932762188661682,0.9925235506255254,0.9903144860766638,0.9926012635318657,0.9911604402132196,0.9889381791407962,0.9927856452630273,0.9928210697913041,0.9911604402132196,0.9889381791407962,0.992524937513262,0.9932762188661686,0.993251672029744,0.9911796371257693,0.9927856452630273,0.9937113924937074,0.9927834842555524,0.9938412349534024,0.9938412349534024,0.9936273613452712,0.9914879720896167,0.9916980034982679,0.9896908352105954,0.9914427846613939,0.9843913734564523,0.9861118553200503,0.984638823857845,0.9919415026112669,0.9913470419193396,0.9913470419193396
कृतज्ञता (kritagyata),0.9886683141048191,0.9937319662889926,0.9948662817116618,0.9967277293669553,0.9967277293669553,0.9987195011851956,0.9987195011851956,1.0,0.9972471605028935,0.990714022387308,0.9943640267996587,0.9980672255660674,0.992302852260255,0.993539414513962,0.9927353178390658,0.9906002340075456,0.9928148153860962,0.9909055943949647,0.9890631357017822,0.9925758109586748,0.9924314733604988,0.9909055943949647,0.9890631357017822,0.9922013619035621,0.993539414513962,0.9938579718319879,0.9912811316805477,0.9925758109586748,0.9937475658626814,0.992973785169925,0.9939120963835109,0.9939120963835109,0.9940869761747055,0.9914811374617372,0.9917701452222175,0.9895266314171544,0.9914893830128138,0.9847451808080342,0.9862673124744086,0.9851119658932135,0.9916795326608971,0.9915887184655805,0.9915887184655805
धन्यवाद (dhanyavaad),0.9913785619392066,0.995318035566757,0.9943478132266306,0.9962455487801055,0.9962455487801055,0.9963746639836536,0.9963746639836536,0.9972471605028935,1.0000000000000004,0.9943118168933269,0.9951716259965981,0.9963481456500985,0.9937205914036764,0.994634018656635,0.9944173024615204,0.9932462795282042,0.9939935967567448,0.9924565975304689,0.9912653746727592,0.9948431077413297,0.9929561867728837,0.9924565975304689,0.9912653746727592,0.9932498649967574,0.9946340186566341,0.9951352549604519,0.9945679720350938,0.9948431077413297,0.9949838181603283,0.9949153333484889,0.9942176693758998,0.9942176693758998,0.9953207757093151,0.9919746550723411,0.9935907855205331,0.9919515952461473,0.9930930819696892,0.9864284663016766,0.9875100705072427,0.9863860892311103,0.9921810696656675,0.993306120803032,0.993306120803032
धन्यवाद दिनु,0.9950540751442695,0.9952065722375495,0.9926293247351728,0.9924907572682178,0.9924907572682178,0.990662363034952,0.990662363034952,0.990714022387308,0.9943118168933269,0.9999999999999994,0.9921844929785898,0.9909426167755355,0.9932214140480193,0.993256652301514,0.9958261279805749,0.9962861129606688,0.9958672417834341,0.9909051091898309,0.9926221008230016,0.9954333192595315,0.992601701945184,0.9909051091898309,0.9926221008230016,0.9908431868327252,0.9932566523015145,0.9941998686394361,0.994607226708855,0.9954333192595315,0.9939866819457136,0.994520241210033,0.9938926085349239,0.9938926085349239,0.9933363617923645,0.9927077252745959,0.9954164560422644,0.9953399032485926,0.9944822593562119,0.9857836152339712,0.9885112975191124,0.9869998372444511,0.9932175721679342,0.9944207905133142,0.9944207905133142
