,गुणपूजा (guṇapūjā),गुणपूजा (guṇapūjā),गुणपूजा (guṇapūjā),पुजाः त्येगु (pūjaḥ tyegu),पुजाः (pūjaḥ),सुजः यायेके (sujaḥ yāyeke),सुजः (sujaḥ),सुजः यायेके (sujaḥ yāyeke),थ्येधिं,बन्ध्य,बन्ध्य,थ्येधिं,ग्वय् वने,ग्वय् थ्ये,ग्वय् ख्वाः,ग्वय् ख्वाः,तपिं धय्,गुबाय,दुखःया,गुबाय,माफ ग्वयम्ह,माफ ग्वय,माफ ग्वया,माफ ग्वय,माफ ग्वया
गुणपूजा (guṇapūjā),0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9930032447947557,0.9929740907074404,0.9935122028640038,0.9925207169573301,0.9935122028640038,0.9914432368723793,0.992842749602003,0.992842749602003,0.9914432368723793,0.9933994238868721,0.9761653316386362,0.9902010447758722,0.9902010447758722,0.984179323320141,0.9936351463704236,0.9889294005913022,0.9936351463704236,0.991912667020301,0.9916987639372573,0.9922890534502732,0.9916987639372573,0.9922890534502732
गुणपूजा (guṇapūjā),0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9930032447947557,0.9929740907074404,0.9935122028640038,0.9925207169573301,0.9935122028640038,0.9914432368723793,0.992842749602003,0.992842749602003,0.9914432368723793,0.9933994238868721,0.9761653316386362,0.9902010447758722,0.9902010447758722,0.984179323320141,0.9936351463704236,0.9889294005913022,0.9936351463704236,0.991912667020301,0.9916987639372573,0.9922890534502732,0.9916987639372573,0.9922890534502732
गुणपूजा (guṇapūjā),0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9930032447947557,0.9929740907074404,0.9935122028640038,0.9925207169573301,0.9935122028640038,0.9914432368723793,0.992842749602003,0.992842749602003,0.9914432368723793,0.9933994238868721,0.9761653316386362,0.9902010447758722,0.9902010447758722,0.984179323320141,0.9936351463704236,0.9889294005913022,0.9936351463704236,0.991912667020301,0.9916987639372573,0.9922890534502732,0.9916987639372573,0.9922890534502732
पुजाः त्येगु (pūjaḥ tyegu),0.9930032447947557,0.9930032447947557,0.9930032447947557,0.9999999999999997,0.9985686751054006,0.9960887344823149,0.995552212363856,0.9960887344823149,0.9932464666362106,0.9946270816203637,0.9946270816203637,0.9932464666362106,0.9936284813854023,0.9799615149339305,0.9943734841764699,0.9943734841764699,0.988770763798732,0.9949049155271691,0.9907588004434386,0.9949049155271691,0.9940778318785949,0.9933136816351231,0.9938696384669959,0.9933136816351231,0.9938696384669959
पुजाः (pūjaḥ),0.9929740907074404,0.9929740907074404,0.9929740907074404,0.9985686751054006,0.9999999999999999,0.9969929753849008,0.9976003978515624,0.9969929753849008,0.9932288388344026,0.9946117833099969,0.9946117833099969,0.9932288388344026,0.993570873626574,0.9795694814958521,0.9951204505372143,0.9951204505372143,0.9891713846399407,0.9945406190954502,0.9911795483327942,0.9945406190954502,0.9936601339177064,0.9932037998087242,0.9932109086851556,0.9932037998087242,0.9932109086851556
सुजः यायेके (sujaḥ yāyeke),0.9935122028640038,0.9935122028640038,0.9935122028640038,0.9960887344823149,0.9969929753849008,0.9999999999999996,0.998005577009651,0.9999999999999996,0.993856599200744,0.9956201435711322,0.9956201435711322,0.993856599200744,0.9934000173467009,0.9810084429602972,0.9952426012073342,0.9952426012073342,0.989533774484375,0.9956592384200519,0.9920012193750867,0.9956592384200519,0.994652376024388,0.9936975191616657,0.9936039329904682,0.9936975191616657,0.9936039329904682
सुजः (sujaḥ),0.9925207169573301,0.9925207169573301,0.9925207169573301,0.995552212363856,0.9976003978515624,0.998005577009651,0.9999999999999998,0.998005577009651,0.992426108980252,0.9942037695772011,0.9942037695772011,0.992426108980252,0.9924286411850141,0.9795234677391952,0.9950961961365743,0.9950961961365743,0.988675081541916,0.9940476467536561,0.9900406990816704,0.9940476467536561,0.9929444150240515,0.9924420722393533,0.9920214958228164,0.9924420722393533,0.9920214958228164
सुजः यायेके (sujaḥ yāyeke),0.9935122028640038,0.9935122028640038,0.9935122028640038,0.9960887344823149,0.9969929753849008,0.9999999999999996,0.998005577009651,0.9999999999999996,0.993856599200744,0.9956201435711322,0.9956201435711322,0.993856599200744,0.9934000173467009,0.9810084429602972,0.9952426012073342,0.9952426012073342,0.989533774484375,0.9956592384200519,0.9920012193750867,0.9956592384200519,0.994652376024388,0.9936975191616657,0.9936039329904682,0.9936975191616657,0.9936039329904682
थ्येधिं,0.9914432368723793,0.9914432368723793,0.9914432368723793,0.9932464666362106,0.9932288388344026,0.993856599200744,0.992426108980252,0.993856599200744,0.9999999999999993,0.9962638762660843,0.9962638762660843,0.9999999999999993,0.9949427960066956,0.9864366774384566,0.99345408772153,0.99345408772153,0.9898677094885623,0.9966515514766211,0.9921096661706329,0.9966515514766211,0.9962252625561958,0.9956359113545592,0.9957599245563997,0.9956359113545592,0.9957599245563997
बन्ध्य,0.992842749602003,0.992842749602003,0.992842749602003,0.9946270816203637,0.9946117833099969,0.9956201435711322,0.9942037695772011,0.9956201435711322,0.9962638762660843,0.9999999999999992,0.9999999999999992,0.9962638762660843,0.9960904322343775,0.9824299961107519,0.9951276066461001,0.9951276066461001,0.9916527068902052,0.9972800113564835,0.9922705159739579,0.9972800113564835,0.9970735450345044,0.9965822910548549,0.9966353567622072,0.9965822910548549,0.9966353567622072
