,ananela,rata,kananelo,tlotlo,lebogile,tebogo,tebogo,lebogile,tebogo,ke a leboga,boikarabelo,boikarabelo,tumelelano,kolota,boikarabelo bja dikoloto,ikwa o gapeletšegile,o gapeletšegile,o na le sekoloto,sekoloto sa go lefa,ditshwarelo,tshwarelo,ntshwarele,ntshwarele,maswabi,go kwa bohloko,kgopela tshwarelo,ke maswabi
ananela,0.9999999999999999,0.9843900852372562,0.9923010241820562,0.9930921747938177,0.9931981477995537,0.9950172580516293,0.9950172580516293,0.9931981477995537,0.9950172580516292,0.9933056129857336,0.9926369226359577,0.9926369226359577,0.9941539149751909,0.9964416998101888,0.9913120843725521,0.9927124028651778,0.9921472855946764,0.9920358675100838,0.9922355811425131,0.9951782880084411,0.9958874271471636,0.9934651017616271,0.9934651017616271,0.9907232857378059,0.9921966816146137,0.9949761936462059,0.9945758780690949
rata,0.9843900852372562,0.9999999999999998,0.9826122707403031,0.9806512542358384,0.983288906388758,0.9843688056029564,0.9843688056029564,0.983288906388758,0.9843688056029559,0.9838380129464936,0.9815042824109106,0.9815042824109106,0.9846384848537898,0.9862986710229923,0.9773383287306453,0.983173679045139,0.9834089653287486,0.9805470909514492,0.9806668187897466,0.9818888396692562,0.9858202300775408,0.9819164971199225,0.9819164971199225,0.97697664925302,0.9802305003033923,0.9815903630272679,0.9822757932328237
kananelo,0.9923010241820562,0.9826122707403031,1.0000000000000004,0.9930084244481606,0.9932752658454959,0.9964269600879424,0.9964269600879424,0.9932752658454959,0.9964269600879414,0.9943766408238875,0.9931513695890409,0.9931513695890409,0.9951399569721763,0.9937648828396827,0.9918213873318903,0.9946323299217525,0.9933367742213034,0.9933337855522741,0.9935696879468782,0.994662645418253,0.9948452898846722,0.9920218567869283,0.9920218567869283,0.9889814696453324,0.9941818101943711,0.9946938603967158,0.9945094901354855
tlotlo,0.9930921747938177,0.9806512542358384,0.9930084244481606,0.9999999999999992,0.9923022784445303,0.9964760607565429,0.9964760607565429,0.9923022784445303,0.996476060756543,0.9920821294537515,0.9947516137774867,0.9947516137774867,0.9958699655880472,0.9966910240004303,0.993997638827598,0.9925010529267878,0.9907313737360092,0.9936374144189971,0.9923513838152757,0.9953766809018875,0.9943769579089023,0.9913147380463349,0.9913147380463349,0.9895819765328531,0.9922717307832475,0.9948656507460834,0.9935982654816002
lebogile,0.9931981477995537,0.983288906388758,0.9932752658454959,0.9923022784445303,1.0,0.9954919166993741,0.9954919166993741,1.0,0.9954919166993749,0.9932572663385976,0.9930224349431002,0.9930224349431002,0.9950100681878806,0.9936954783256141,0.9905327813867443,0.9943094288595187,0.9933133090737226,0.9934617181207683,0.9924629224136927,0.9946754668532364,0.9940850335083155,0.9933893304087654,0.9933893304087654,0.9891789087907982,0.992620573495505,0.9932370999070134,0.9940512323131799
tebogo,0.9950172580516293,0.9843688056029564,0.9964269600879424,0.9964760607565429,0.9954919166993741,0.9999999999999992,0.9999999999999992,0.9954919166993741,0.9999999999999984,0.9950970500499615,0.9962767419720864,0.9962767419720864,0.9976877708957426,0.9972940264862467,0.9948516010722042,0.9954072699465137,0.994137749569296,0.9960120150351326,0.9953395799301967,0.9974169070070452,0.9970814637111918,0.9946092626187014,0.9946092626187014,0.9916212088519969,0.9950326264424258,0.9963797210546697,0.9960583433298141
tebogo,0.9950172580516293,0.9843688056029564,0.9964269600879424,0.9964760607565429,0.9954919166993741,0.9999999999999992,0.9999999999999992,0.9954919166993741,0.9999999999999984,0.9950970500499615,0.9962767419720864,0.9962767419720864,0.9976877708957426,0.9972940264862467,0.9948516010722042,0.9954072699465137,0.994137749569296,0.9960120150351326,0.9953395799301967,0.9974169070070452,0.9970814637111918,0.9946092626187014,0.9946092626187014,0.9916212088519969,0.9950326264424258,0.9963797210546697,0.9960583433298141
lebogile,0.9931981477995537,0.983288906388758,0.9932752658454959,0.9923022784445303,1.0,0.9954919166993741,0.9954919166993741,1.0,0.9954919166993749,0.9932572663385976,0.9930224349431002,0.9930224349431002,0.9950100681878806,0.9936954783256141,0.9905327813867443,0.9943094288595187,0.9933133090737226,0.9934617181207683,0.9924629224136927,0.9946754668532364,0.9940850335083155,0.9933893304087654,0.9933893304087654,0.9891789087907982,0.992620573495505,0.9932370999070134,0.9940512323131799
tebogo,0.9950172580516292,0.9843688056029559,0.9964269600879414,0.996476060756543,0.9954919166993749,0.9999999999999984,0.9999999999999984,0.9954919166993749,0.9999999999999992,0.9950970500499617,0.9962767419720859,0.9962767419720859,0.9976877708957417,0.9972940264862468,0.9948516010722037,0.9954072699465145,0.994137749569296,0.9960120150351326,0.9953395799301967,0.9974169070070452,0.9970814637111918,0.9946092626187014,0.9946092626187014,0.9916212088519969,0.9950326264424258,0.9963797210546697,0.9960583433298141
ke a leboga,0.9933056129857336,0.9838380129464936,0.9943766408238875,0.9920821294537515,0.9932572663385976,0.9950970500499615,0.9950970500499615,0.9932572663385976,0.9950970500499617,1.0,0.9922843923442053,0.9922843923442053,0.9937261003832851,0.9946120655179184,0.9920694382629539,0.9945783918152391,0.9933463518250799,0.9941995337811959,0.9931012502742887,0.9944537983134556,0.9945320895724237,0.9922561270747763,0.9922561270747763,0.9892611652234491,0.9933319248091058,0.9945298660968332,0.9958953526286859
