,verdsette,verdsettelse,takknemlig,takknemlighet,takknemlighet,takk,takknemlig,takknemlighet,forgjeldet,gjeldsatt,gjeldsforpliktelse,forpliktelse,forpliktet,tvunget,forpliktelse,skylde,skyldende,unnskyldende,unnskyldninger,unnskyldning,sorg,beklager,tilgi meg,unnskyld meg,be om unnskyldning
verdsette,0.9999999999999999,0.993488898598345,0.9919777509966212,0.9893368593776161,0.9893368593776161,0.9902988122122459,0.9919777509966212,0.9893368593776161,0.9884596934450505,0.991372186809438,0.9889073744620367,0.98931413151312,0.9872461547668693,0.9916599073742992,0.98931413151312,0.991841000275175,0.988394423035145,0.9910739514892225,0.9905378666584113,0.9915550745457828,0.9902785536567401,0.9903585577455679,0.9863805693987683,0.9871832880054833,0.9916668346806987
verdsettelse,0.993488898598345,0.9999999999999998,0.9921831878035833,0.9927965196331042,0.9927965196331042,0.9903568732658325,0.9921831878035833,0.9927965196331042,0.9874215333580331,0.9933455627668625,0.9912064405838722,0.9931664735418965,0.9903029162292848,0.9918134519090838,0.9931664735418965,0.9926263252212755,0.9896928265458569,0.9927001239510812,0.9932417030886189,0.9944450815289284,0.9901362434074992,0.989522328759529,0.9883540055541159,0.9880731437408106,0.9938264798249966
takknemlig,0.9919777509966212,0.9921831878035833,0.9999999999999994,0.9941008482913544,0.9941008482913544,0.9952005453024619,0.9999999999999994,0.9941008482913544,0.9875125771103305,0.9918760140353479,0.9931815753426765,0.9927616986728168,0.9917699687900761,0.9937711895406929,0.9927616986728168,0.9953408659211851,0.9917419206104398,0.993760257551324,0.9937934844758871,0.9938826064064674,0.9944836757042573,0.9939328543419615,0.9908570074993528,0.9902995208842473,0.9936698372455878
takknemlighet,0.9893368593776161,0.9927965196331042,0.9941008482913544,0.9999999999999992,0.9999999999999992,0.9907746275381291,0.9941008482913544,0.9999999999999992,0.9856288420937436,0.9938682083157315,0.9937596180936477,0.993798914915945,0.9888912188014483,0.9906744172992837,0.993798914915945,0.9925286573766047,0.9887077525504405,0.9924695330290129,0.9935154696489997,0.9948602128066689,0.9899753340407308,0.989790801281041,0.9879892667303203,0.9869709506654585,0.9935696904339447
takknemlighet,0.9893368593776161,0.9927965196331042,0.9941008482913544,0.9999999999999992,0.9999999999999992,0.9907746275381291,0.9941008482913544,0.9999999999999992,0.9856288420937436,0.9938682083157315,0.9937596180936477,0.993798914915945,0.9888912188014483,0.9906744172992837,0.993798914915945,0.9925286573766047,0.9887077525504405,0.9924695330290129,0.9935154696489997,0.9948602128066689,0.9899753340407308,0.989790801281041,0.9879892667303203,0.9869709506654585,0.9935696904339447
takk,0.9902988122122459,0.9903568732658325,0.9952005453024619,0.9907746275381291,0.9907746275381291,0.9999999999999991,0.9952005453024619,0.9907746275381291,0.9844364099465064,0.9898996388579532,0.9891765729836131,0.9924106376347122,0.9915132714809191,0.9951302506491821,0.9924106376347122,0.995358574174956,0.991434343882883,0.9939259223103982,0.9943860780329518,0.9922721468864628,0.9961418093639104,0.996223181768886,0.9936380999943595,0.9933634974944355,0.9921524159168634
takknemlig,0.9919777509966212,0.9921831878035833,0.9999999999999994,0.9941008482913544,0.9941008482913544,0.9952005453024619,0.9999999999999994,0.9941008482913544,0.9875125771103305,0.9918760140353479,0.9931815753426765,0.9927616986728168,0.9917699687900761,0.9937711895406929,0.9927616986728168,0.9953408659211851,0.9917419206104398,0.993760257551324,0.9937934844758871,0.9938826064064674,0.9944836757042573,0.9939328543419615,0.9908570074993528,0.9902995208842473,0.9936698372455878
takknemlighet,0.9893368593776161,0.9927965196331042,0.9941008482913544,0.9999999999999992,0.9999999999999992,0.9907746275381291,0.9941008482913544,0.9999999999999992,0.9856288420937436,0.9938682083157315,0.9937596180936477,0.993798914915945,0.9888912188014483,0.9906744172992837,0.993798914915945,0.9925286573766047,0.9887077525504405,0.9924695330290129,0.9935154696489997,0.9948602128066689,0.9899753340407308,0.989790801281041,0.9879892667303203,0.9869709506654585,0.9935696904339447
forgjeldet,0.9884596934450505,0.9874215333580331,0.9875125771103305,0.9856288420937436,0.9856288420937436,0.9844364099465064,0.9875125771103305,0.9856288420937436,0.9999999999999998,0.9888823521569432,0.9881885697041304,0.9852024687517171,0.9863935424963458,0.9858681589822401,0.9852024687517171,0.9899340550310666,0.9863557405248629,0.9854154009824647,0.9854513668686805,0.9868507285550006,0.9842711016204196,0.9845258057817636,0.9818414506158167,0.9808885927274861,0.9874902212153072
gjeldsatt,0.991372186809438,0.9933455627668625,0.9918760140353479,0.9938682083157315,0.9938682083157315,0.9898996388579532,0.9918760140353479,0.9938682083157315,0.9888823521569432,0.9999999999999993,0.9944176300975445,0.9913184075240933,0.9891079408031199,0.9909912270745554,0.9913184075240933,0.9926465563953067,0.9887100609774125,0.9909375986168121,0.9914059238540387,0.9940748645283283,0.9891264429453621,0.9893277623501064,0.9876857005812479,0.9871675190235901,0.9935147192459841
