,verdsetjing,takksam,takksamheit,takksamheit,takk,takksam,takksamheit,setje pris på,forgjelda,gjeldssett,gjeldsforplikting,forplikting,forplikta,tvungen,forplikting,skylde,skyldande,unnskyldande,unnskyldningar,unnskyldning,sorg,beklagar,tilgjev meg,unnskyld meg,be om unnskyldning
verdsetjing,0.9999999999999996,0.988570980665852,0.9830808677080534,0.9830808677080534,0.9896378776436925,0.988570980665852,0.9830808677080534,0.9894740663331681,0.9835202276081473,0.9870518640069905,0.99128689401771,0.9907737643449464,0.9898750885192762,0.9890620628217454,0.9907737643449464,0.9903140027779619,0.9902047804310741,0.9909156604091383,0.9884022760381713,0.9905338991657725,0.988693262926797,0.990458852283219,0.9862009631075993,0.9850061159513731,0.99098415610875
takksam,0.988570980665852,0.9999999999999996,0.9835045510260586,0.9835045510260586,0.9977763744436969,0.9999999999999996,0.9835045510260586,0.9940629520072658,0.9835617461758137,0.9821964511209503,0.9870387169640227,0.9938761525765514,0.9945226842318113,0.9939569152113334,0.9938761525765514,0.9944986541416192,0.992519822740824,0.9929374816198248,0.9913955392300148,0.9915331439292016,0.9952614266485872,0.9941822918305372,0.9884249608608716,0.9942411732397509,0.9909798846845647
takksamheit,0.9830808677080534,0.9835045510260586,0.9999999999999998,0.9999999999999998,0.9833472895638585,0.9835045510260586,0.9999999999999998,0.9843470434982552,0.9771346188368133,0.9781490515349686,0.9824276648820487,0.9854438233933289,0.9841360907405678,0.9833042184705728,0.9854438233933289,0.9865654372189033,0.9842101587371646,0.9849529628662702,0.9829482930581324,0.9841606433237772,0.9841407097571578,0.9861981182936056,0.9799005288267989,0.980871998180676,0.9836073276772078
takksamheit,0.9830808677080534,0.9835045510260586,0.9999999999999998,0.9999999999999998,0.9833472895638585,0.9835045510260586,0.9999999999999998,0.9843470434982552,0.9771346188368133,0.9781490515349686,0.9824276648820487,0.9854438233933289,0.9841360907405678,0.9833042184705728,0.9854438233933289,0.9865654372189033,0.9842101587371646,0.9849529628662702,0.9829482930581324,0.9841606433237772,0.9841407097571578,0.9861981182936056,0.9799005288267989,0.980871998180676,0.9836073276772078
takk,0.9896378776436925,0.9977763744436969,0.9833472895638585,0.9833472895638585,0.9999999999999991,0.9977763744436969,0.9833472895638585,0.9944463275500692,0.9833556388604515,0.9832987715267574,0.9877083385979841,0.9935133405966041,0.9946883381158982,0.9948914195050398,0.9935133405966041,0.995358574174956,0.9934853968984818,0.9934685016097436,0.9916607488686415,0.9922721468864628,0.9961418093639104,0.9948983453665265,0.9890226588416293,0.9933634974944355,0.9921524159168634
takksam,0.988570980665852,0.9999999999999996,0.9835045510260586,0.9835045510260586,0.9977763744436969,0.9999999999999996,0.9835045510260586,0.9940629520072658,0.9835617461758137,0.9821964511209503,0.9870387169640227,0.9938761525765514,0.9945226842318113,0.9939569152113334,0.9938761525765514,0.9944986541416192,0.992519822740824,0.9929374816198248,0.9913955392300148,0.9915331439292016,0.9952614266485872,0.9941822918305372,0.9884249608608716,0.9942411732397509,0.9909798846845647
takksamheit,0.9830808677080534,0.9835045510260586,0.9999999999999998,0.9999999999999998,0.9833472895638585,0.9835045510260586,0.9999999999999998,0.9843470434982552,0.9771346188368133,0.9781490515349686,0.9824276648820487,0.9854438233933289,0.9841360907405678,0.9833042184705728,0.9854438233933289,0.9865654372189033,0.9842101587371646,0.9849529628662702,0.9829482930581324,0.9841606433237772,0.9841407097571578,0.9861981182936056,0.9799005288267989,0.980871998180676,0.9836073276772078
setje pris på,0.9894740663331681,0.9940629520072658,0.9843470434982552,0.9843470434982552,0.9944463275500692,0.9940629520072658,0.9843470434982552,0.9999999999999991,0.9836821904581036,0.9849917335913858,0.9898899502703835,0.9920111617756883,0.9933723536735714,0.9928328850190061,0.9920111617756883,0.9936631129851893,0.993183165799577,0.9936025713212606,0.9926125361981235,0.9924771785129108,0.9928948486535143,0.9934865294667579,0.9889242309968854,0.992577084755721,0.9927153424064082
forgjelda,0.9835202276081473,0.9835617461758137,0.9771346188368133,0.9771346188368133,0.9833556388604515,0.9835617461758137,0.9771346188368133,0.9836821904581036,0.9999999999999994,0.9835815231131195,0.9868371886169766,0.9841248146126782,0.9856762835620587,0.9847711068843353,0.9841248146126782,0.9878304498113947,0.9862761864758375,0.9852978767026442,0.9841827748730557,0.9846788484804955,0.9839690195384752,0.9834828810520297,0.9890927533533322,0.9807680158146233,0.9860779687821926
gjeldssett,0.9870518640069905,0.9821964511209503,0.9781490515349686,0.9781490515349686,0.9832987715267574,0.9821964511209503,0.9781490515349686,0.9849917335913858,0.9835815231131195,0.9999999999999996,0.9947446138977522,0.9844662426859044,0.9875488361303798,0.9843352801209699,0.9844662426859044,0.9876299556146493,0.9884480012220459,0.988590215492022,0.9876058246260082,0.9885146858300148,0.9828091915320135,0.9837004808334289,0.9848028330281754,0.980344786230239,0.989449881174164
gjeldsforplikting,0.99128689401771,0.9870387169640227,0.9824276648820487,0.9824276648820487,0.9877083385979841,0.9870387169640227,0.9824276648820487,0.9898899502703835,0.9868371886169766,0.9947446138977522,0.9999999999999997,0.9894504894425721,0.9906157939522762,0.9888073099431598,0.9894504894425721,0.9911927191794109,0.9921916097934383,0.9925702578816683,0.9907552363829771,0.9926495788847547,0.9871593819761113,0.989601109898712,0.9864188912979015,0.9842173966859358,0.9928352976201827
