,apreciar,apreciacion,gratitud,gratitud,mercé,gratitud,gratus / reconéisser,reconéisser / gratus,endebitada,endebitat,endebitament,obligacion,obligada,obligat,obligacion,dever,devent,en deute,excusant,excusas,s'excusar,excusa,tristesa,desolat,excusatz-me,pardonatz-me
apreciar,0.9999999999999998,0.9852693840330049,0.9876424801967681,0.9876424801967681,0.9823891362504967,0.9876424801967681,0.9861782597303304,0.987216575197189,0.9842991765107711,0.985580778110406,0.9839728827570816,0.9837219604736029,0.9874624211933349,0.9868095182667435,0.9837219604736029,0.9843160118176056,0.9856286204250454,0.9844812205211707,0.9874091629660143,0.9872823645565018,0.9877680160387835,0.9864427291562133,0.987082489643336,0.9881054011277371,0.9777465040141743,0.9861756634501039
apreciacion,0.9852693840330049,1.0000000000000007,0.9884872481167055,0.9884872481167055,0.9854656549562144,0.9884872481167055,0.988658318900901,0.9900688271889707,0.9877982188639404,0.9893480477903233,0.988890439363048,0.9928028595666463,0.9899699987241265,0.9892112947023327,0.9928028595666463,0.984501648402439,0.9865209814022847,0.9885100139871527,0.990042071137992,0.9920706543541035,0.9887372514704152,0.9889698487318053,0.9910436857636667,0.9902091437083753,0.978444009098153,0.9869418778378307
gratitud,0.9876424801967681,0.9884872481167055,0.9999999999999998,0.9999999999999998,0.9893358890999068,0.9999999999999998,0.9943230722788655,0.9945505450512656,0.991396852859089,0.99206111875067,0.9908461082700377,0.9896086697667057,0.9941613703816268,0.9942713989623214,0.9896086697667057,0.9910827925702456,0.9917161938003286,0.9905392753414959,0.9942671096161302,0.9936574923075493,0.9911212321430694,0.9937210098697221,0.9929250691726781,0.9935037124894521,0.9814924877586675,0.9898874026202888
gratitud,0.9876424801967681,0.9884872481167055,0.9999999999999998,0.9999999999999998,0.9893358890999068,0.9999999999999998,0.9943230722788655,0.9945505450512656,0.991396852859089,0.99206111875067,0.9908461082700377,0.9896086697667057,0.9941613703816268,0.9942713989623214,0.9896086697667057,0.9910827925702456,0.9917161938003286,0.9905392753414959,0.9942671096161302,0.9936574923075493,0.9911212321430694,0.9937210098697221,0.9929250691726781,0.9935037124894521,0.9814924877586675,0.9898874026202888
mercé,0.9823891362504967,0.9854656549562144,0.9893358890999068,0.9893358890999068,0.9999999999999997,0.9893358890999068,0.9898160810526357,0.99098073879076,0.9896096807017154,0.9892751889642168,0.9879489397970805,0.9848787163183279,0.9902525227286679,0.9890683306685294,0.9848787163183279,0.9906865859218925,0.9919278474764535,0.9897295319437931,0.9915078450915729,0.9902174727676204,0.9887904804984373,0.9912998041765677,0.9924798581691594,0.9917870296126923,0.9778651712554273,0.987008961616981
gratitud,0.9876424801967681,0.9884872481167055,0.9999999999999998,0.9999999999999998,0.9893358890999068,0.9999999999999998,0.9943230722788655,0.9945505450512656,0.991396852859089,0.99206111875067,0.9908461082700377,0.9896086697667057,0.9941613703816268,0.9942713989623214,0.9896086697667057,0.9910827925702456,0.9917161938003286,0.9905392753414959,0.9942671096161302,0.9936574923075493,0.9911212321430694,0.9937210098697221,0.9929250691726781,0.9935037124894521,0.9814924877586675,0.9898874026202888
gratus / reconéisser,0.9861782597303304,0.988658318900901,0.9943230722788655,0.9943230722788655,0.9898160810526357,0.9943230722788655,0.9999999999999998,0.9987488143190646,0.99074773153742,0.9906767847218924,0.9901684321279905,0.9880334276571233,0.992323647395256,0.992727723391595,0.9880334276571233,0.9916311321255382,0.9930558621540816,0.9924513931272446,0.9952161575465505,0.9937076155971007,0.9936606382360339,0.9938071552247841,0.9938654823186319,0.9952317695390915,0.9817924288173941,0.9901679406905688
reconéisser / gratus,0.987216575197189,0.9900688271889707,0.9945505450512656,0.9945505450512656,0.99098073879076,0.9945505450512656,0.9987488143190646,0.9999999999999993,0.9919938805890909,0.9920394087079178,0.9911936131252473,0.989204477225639,0.9937656383074194,0.9938931989970059,0.989204477225639,0.9922931032554324,0.9936930474017485,0.9930358271394978,0.9957610750359629,0.9945121581016408,0.9940758319912003,0.9946207934711432,0.9948771347448954,0.9960637461462611,0.9824784374749187,0.9912164058005816
endebitada,0.9842991765107711,0.9877982188639404,0.991396852859089,0.991396852859089,0.9896096807017154,0.991396852859089,0.99074773153742,0.9919938805890909,0.9999999999999994,0.9964368099081269,0.9953965274849745,0.9863807329827206,0.992027164957509,0.9904715029855834,0.9863807329827206,0.9904537592236414,0.9920952011544969,0.9901746744727747,0.9933293965427988,0.9923792484064636,0.9904557344781179,0.9920060886570315,0.9927467841942292,0.99203551520828,0.9784162022938274,0.9876197415971861
endebitat,0.985580778110406,0.9893480477903233,0.99206111875067,0.99206111875067,0.9892751889642168,0.99206111875067,0.9906767847218924,0.9920394087079178,0.9964368099081269,0.9999999999999996,0.9962062880560903,0.9875608079108277,0.991288671288644,0.9918641806202959,0.9875608079108277,0.9897303908826836,0.9911930086106547,0.9908806551718238,0.9931720201301453,0.9931999816918101,0.9912532877989136,0.99131065830677,0.9924083418777802,0.9924103101466912,0.9808217240330046,0.9900919561554538
