,ପ୍ରଶଂସା,କୃତଜ୍ଞ,କୃତଜ୍ଞତା,କୃତଜ୍ଞତା,ଧନ୍ୟବାଦ,କୃତଜ୍ଞ,କୃତଜ୍ଞତା,ଗଣନା କରିବା,ଋଣବାନ୍ତ,ଋଣୀ,ଋଣବଦ୍ଧତା,ବାଧ୍ୟତା,ଆବଶ୍ୟକତାବାଧ୍ୟ,ବାଧ୍ୟ,ବାଧ୍ୟତା,ଋଣୀ,ଅପୂରଣ ଥିବା,ଋଣ ଅଛି,ଋଣିତ ହେବା,କ୍ଷମାପ୍ରାର୍ଥୀ,ମାଫିମାନା,ମାଫି,ଦୁଃଖ,କ୍ଷମା ମାଗିବା,କ୍ଷମା କରନ୍ତୁ,ମୋତେ କ୍ଷମା କରନ୍ତୁ,କ୍ଷମା କରନ୍ତୁ
ପ୍ରଶଂସା,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9956998922967599,0.9969010283935453
କୃତଜ୍ଞ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9956998922967599,0.9969010283935453
କୃତଜ୍ଞତା,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9956998922967599,0.9969010283935453
କୃତଜ୍ଞତା,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9956998922967599,0.9969010283935453
ଧନ୍ୟବାଦ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9956998922967599,0.9969010283935453
କୃତଜ୍ଞ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9956998922967599,0.9969010283935453
କୃତଜ୍ଞତା,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9956998922967599,0.9969010283935453
ଗଣନା କରିବା,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9999999999999998,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999988,0.9999999999999988,0.9999999999999988,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999988,0.9999999999999988,0.9996828915611496,0.9999999999999988
ଋଣବାନ୍ତ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9956998922967599,0.9969010283935453
ଋଣୀ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9956998922967599,0.9969010283935453
