,schätze,wertschätzung,dankbar,dankbarkeit,dankbarkeit,danke,dankbar,danbarkeit,schuldig,verschuld,schuldigkeit,verpflichtung,gebund,verpflichtet,verpflichtung,schuld habbe,schuldig sei,eschduldichend,eschduldigunge,eschduldiche,eschduldigung,eschduldich,bedauerlich,eschduldich,verzeih mer
schätze,1.0,0.9945179882864743,0.9931476319727207,0.9923279304392271,0.9923279304392271,0.9941437780138428,0.9931476319727207,0.9907404181927365,0.994102732457462,0.9939146738426395,0.9948480353052961,0.9946681992998109,0.9937794946144262,0.9853362487038423,0.9946681992998109,0.9923746114240317,0.9885399915160805,0.9943142711532545,0.9942149169709467,0.9949925937731815,0.9944899342096009,0.9938147802568403,0.9929241930300859,0.9938147802568403,0.9922526090234066
wertschätzung,0.9945179882864743,0.9999999999999999,0.9931957278716655,0.9946692898424909,0.9946692898424909,0.9939952920799915,0.9931957278716655,0.99192255337203,0.9951882894802971,0.9942300441337973,0.9965127014549334,0.9977410039319996,0.994361226314856,0.9877837408257033,0.9977410039319996,0.9923269952367955,0.9909383926240602,0.9937040934092419,0.9930733381180269,0.9934067113557135,0.9961665538085646,0.9927462907278762,0.994993850666516,0.9927462907278762,0.992269783442746
dankbar,0.9931476319727207,0.9931957278716655,0.9999999999999996,0.994789363567351,0.994789363567351,0.9967469793775142,0.9999999999999996,0.9939918423636608,0.9960015889632271,0.9937802939401819,0.9954148815852227,0.9943902608687448,0.9952140411193603,0.9870721884095451,0.9943902608687448,0.9960177721412348,0.9907186551542242,0.9942654599337937,0.9931322198018275,0.9941287723354504,0.9938295061946256,0.993305905787606,0.9945166514223974,0.993305905787606,0.9921672864510509
dankbarkeit,0.9923279304392271,0.9946692898424909,0.994789363567351,0.9999999999999999,0.9999999999999999,0.9933011198719741,0.994789363567351,0.9912168905548534,0.9933617104044419,0.9924427290681382,0.9958402099528716,0.9944337506983505,0.9928352278096814,0.9834121396944489,0.9944337506983505,0.9915719454247146,0.988625434319583,0.9914579105322557,0.9908596656118658,0.9906890028311645,0.9936215249286146,0.9902781137511912,0.9927521075674038,0.9902781137511912,0.9899331403401005
dankbarkeit,0.9923279304392271,0.9946692898424909,0.994789363567351,0.9999999999999999,0.9999999999999999,0.9933011198719741,0.994789363567351,0.9912168905548534,0.9933617104044419,0.9924427290681382,0.9958402099528716,0.9944337506983505,0.9928352278096814,0.9834121396944489,0.9944337506983505,0.9915719454247146,0.988625434319583,0.9914579105322557,0.9908596656118658,0.9906890028311645,0.9936215249286146,0.9902781137511912,0.9927521075674038,0.9902781137511912,0.9899331403401005
danke,0.9941437780138428,0.9939952920799915,0.9967469793775142,0.9933011198719741,0.9933011198719741,1.0000000000000004,0.9967469793775142,0.9937296255652456,0.9954254038506547,0.9951734965575283,0.9949422767278153,0.9951862456660507,0.9960700713278318,0.9880633681539933,0.9951862456660507,0.9949020369231114,0.9905924906550962,0.994363664508334,0.9941941289195506,0.9946988532796169,0.9939888275113963,0.9940219144767195,0.9945402647907278,0.9940219144767195,0.9934084265348783
dankbar,0.9931476319727207,0.9931957278716655,0.9999999999999996,0.994789363567351,0.994789363567351,0.9967469793775142,0.9999999999999996,0.9939918423636608,0.9960015889632271,0.9937802939401819,0.9954148815852227,0.9943902608687448,0.9952140411193603,0.9870721884095451,0.9943902608687448,0.9960177721412348,0.9907186551542242,0.9942654599337937,0.9931322198018275,0.9941287723354504,0.9938295061946256,0.993305905787606,0.9945166514223974,0.993305905787606,0.9921672864510509
danbarkeit,0.9907404181927365,0.99192255337203,0.9939918423636608,0.9912168905548534,0.9912168905548534,0.9937296255652456,0.9939918423636608,0.9999999999999998,0.9919273276219462,0.9912522144271708,0.9934346184397614,0.9926998305470753,0.9916116104875935,0.9861157736876616,0.9926998305470753,0.9909252807984429,0.9876678670703135,0.992502466070771,0.9915924691467898,0.9914572112070419,0.9916415819251854,0.9906273704107325,0.9921776373056181,0.9906273704107325,0.9911558732465106
schuldig,0.994102732457462,0.9951882894802971,0.9960015889632271,0.9933617104044419,0.9933617104044419,0.9954254038506547,0.9960015889632271,0.9919273276219462,1.0,0.9946232030790194,0.9970554996439831,0.995693461396802,0.9956193297047609,0.9882637012252208,0.995693461396802,0.9966945174678933,0.9953188935434583,0.9939695252451807,0.9925275256528735,0.9933819784487504,0.9950250700782057,0.9922958418017496,0.9971170218009507,0.9922958418017496,0.990865102733279
verschuld,0.9939146738426395,0.9942300441337973,0.9937802939401819,0.9924427290681382,0.9924427290681382,0.9951734965575283,0.9937802939401819,0.9912522144271708,0.9946232030790194,0.9999999999999997,0.9946986429313295,0.9958658613770448,0.9961559778981539,0.9874387726141335,0.9958658613770448,0.9923529219105099,0.9894244904969154,0.9943001119669501,0.9932000820445122,0.9940076383258941,0.9948554121843324,0.9936549776349471,0.9950978044365839,0.9936549776349471,0.9935385287667866
