,قدرداني,مننه,شکر,منندوی,مننې,شکر ګزار,شکر ګزاري,قدرداني کول,پوروړی,قرضدار,پوروالی,قرضداري,مکلفیت,اړ,مجبور,مکلفیت,پوروړی,قرضدار,پوروړی کېدل,ذمه واري,ذمه واري,قرض لرل,بښنې,بښنه,خواشيني,بخښنه غواړئ,بخښنه غواړم,بښنه غوښتونکی,بښنه غوښتل,ما وبښه
قدرداني,0.9999999999999993,0.9915536605404732,0.9901018462331146,0.9900494832153373,0.985767642436908,0.9897496100970823,0.9897496100970823,0.9905689291823245,0.9857676424369083,0.9936757910895893,0.9899494186534693,0.993742867773238,0.9924475666527206,0.9857676424369083,0.9919584698972902,0.9924475666527206,0.9857676424369083,0.9936757910895893,0.986823359998599,0.9921293285166675,0.9921293285166675,0.9924101662275072,0.9857676424369083,0.9857676424369083,0.9901916743697943,0.986823359998599,0.986823359998599,0.986823359998599,0.986823359998599,0.9891857785923276
مننه,0.9915536605404732,1.0000000000000002,0.9957010488699297,0.9948640955047943,0.9898670844482522,0.9951019236552608,0.9951019236552608,0.9795589542962412,0.9898670844482523,0.9955126906801325,0.9945521185577751,0.9945275837266118,0.9945509012599897,0.9898670844482523,0.9949354352113717,0.9945509012599897,0.9898670844482523,0.9955126906801325,0.9911574432293242,0.9968421699636145,0.9968421699636145,0.9952236667392315,0.9898670844482523,0.9898670844482523,0.9944861783534754,0.9911574432293242,0.9911574432293242,0.9911574432293242,0.9911574432293242,0.9947491728187081
شکر,0.9901018462331146,0.9957010488699297,0.9999999999999999,0.994805237156715,0.9909948679740146,0.9977931844601069,0.9977931844601069,0.9778651185425714,0.9909948679740146,0.9954704226517783,0.9942536364570245,0.9941320644831976,0.9944236818691994,0.9909948679740146,0.9957266880966296,0.9944236818691994,0.9909948679740146,0.9954704226517783,0.9909436484006628,0.9967073514512974,0.9967073514512974,0.9961010323468963,0.9909948679740146,0.9909948679740146,0.9941892843066807,0.9909436484006628,0.9909436484006628,0.9909436484006628,0.9909436484006628,0.9957652735103905
منندوی,0.9900494832153373,0.9948640955047943,0.994805237156715,0.9999999999999998,0.9888336722303561,0.9930900817026902,0.9930900817026902,0.9791363874858794,0.9888336722303559,0.995668696519242,0.9960347263282515,0.9944987838658852,0.9949830441889567,0.9888336722303559,0.9936189343359885,0.9949830441889567,0.9888336722303559,0.995668696519242,0.988826591393702,0.9944715322225824,0.9944715322225824,0.9941960904005501,0.9888336722303559,0.9888336722303559,0.9949547964870068,0.988826591393702,0.988826591393702,0.988826591393702,0.988826591393702,0.9915280329692266
مننې,0.985767642436908,0.9898670844482522,0.9909948679740146,0.9888336722303561,0.9999999999999996,0.9943918519779953,0.9943918519779953,0.973335608559322,0.9999999999999997,0.989039345801205,0.9882316041929856,0.9876462748012899,0.9873685983649807,0.9999999999999997,0.9899020779303104,0.9873685983649807,0.9999999999999997,0.989039345801205,0.9969010283935453,0.9903763802051251,0.9903763802051251,0.9889216711554178,0.9999999999999997,0.9999999999999997,0.9877899568580024,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9928485778324126
شکر ګزار,0.9897496100970823,0.9951019236552608,0.9977931844601069,0.9930900817026902,0.9943918519779953,0.9999999999999998,0.9999999999999998,0.9777848172174107,0.9943918519779953,0.9942724388124661,0.9928523454541633,0.992897978683646,0.9927247410913036,0.9943918519779953,0.9949483457902983,0.9927247410913036,0.9943918519779953,0.9942724388124661,0.9953446460686974,0.9965390575026697,0.9965390575026697,0.9948102205071269,0.9943918519779953,0.9943918519779953,0.99199327648146,0.9953446460686974,0.9953446460686974,0.9953446460686974,0.9953446460686974,0.9975837643123554
شکر ګزاري,0.9897496100970823,0.9951019236552608,0.9977931844601069,0.9930900817026902,0.9943918519779953,0.9999999999999998,0.9999999999999998,0.9777848172174107,0.9943918519779953,0.9942724388124661,0.9928523454541633,0.992897978683646,0.9927247410913036,0.9943918519779953,0.9949483457902983,0.9927247410913036,0.9943918519779953,0.9942724388124661,0.9953446460686974,0.9965390575026697,0.9965390575026697,0.9948102205071269,0.9943918519779953,0.9943918519779953,0.99199327648146,0.9953446460686974,0.9953446460686974,0.9953446460686974,0.9953446460686974,0.9975837643123554
قدرداني کول,0.9905689291823245,0.9795589542962412,0.9778651185425714,0.9791363874858794,0.973335608559322,0.9777848172174107,0.9777848172174107,0.9999999999999991,0.9733356085593221,0.9841710164335025,0.9792450882509688,0.9851196152553096,0.983222039386904,0.9733356085593221,0.9805490822755243,0.983222039386904,0.9733356085593221,0.9841710164335025,0.9754109130556877,0.9817221935856084,0.9817221935856084,0.9832782499997605,0.9733356085593221,0.9733356085593221,0.9786911130984702,0.9754109130556877,0.9754109130556877,0.9754109130556877,0.9754109130556877,0.9772942720683808
پوروړی,0.9857676424369083,0.9898670844482523,0.9909948679740146,0.9888336722303559,0.9999999999999997,0.9943918519779953,0.9943918519779953,0.9733356085593221,0.9999999999999996,0.9890393458012049,0.9882316041929846,0.98764627480129,0.987368598364981,0.9999999999999996,0.9899020779303097,0.987368598364981,0.9999999999999997,0.989039345801205,0.9969010283935453,0.9903763802051251,0.9903763802051251,0.9889216711554178,0.9999999999999997,0.9999999999999997,0.9877899568580024,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9928485778324126
قرضدار,0.9936757910895893,0.9955126906801325,0.9954704226517783,0.995668696519242,0.989039345801205,0.9942724388124661,0.9942724388124661,0.9841710164335025,0.9890393458012049,1.0,0.9945641780658045,0.9983599625453548,0.9969869637115198,0.9890393458012049,0.9960827354758224,0.9969869637115198,0.989039345801205,1.0000000000000002,0.9897151164160046,0.9962477923391159,0.9962477923391159,0.9968741921099179,0.989039345801205,0.989039345801205,0.9943188431639373,0.9897151164160046,0.9897151164160046,0.9897151164160046,0.9897151164160046,0.9936140859157991
پوروالی,0.9899494186534693,0.9945521185577751,0.9942536364570245,0.9960347263282515,0.9882316041929856,0.9928523454541633,0.9928523454541633,0.9792450882509688,0.9882316041929846,0.9945641780658045,0.9999999999999994,0.9937290434878684,0.9935220840244371,0.9882316041929846,0.993318842685008,0.9935220840244371,0.9882316041929856,0.9945641780658037,0.9882452430456532,0.994446830968558,0.994446830968558,0.9936251983403275,0.9882316041929856,0.9882316041929856,0.9938329320186953,0.9882452430456532,0.9882452430456532,0.9882452430456532,0.9882452430456532,0.991414485880603
قرضداري,0.993742867773238,0.9945275837266118,0.9941320644831976,0.9944987838658852,0.9876462748012899,0.992897978683646,0.992897978683646,0.9851196152553096,0.98764627480129,0.9983599625453548,0.9937290434878684,0.9999999999999994,0.9963590009750012,0.98764627480129,0.995052473162499,0.9963590009750012,0.9876462748012899,0.9983599625453554,0.9887346237619152,0.9959351582542031,0.9959351582542031,0.996116033331299,0.9876462748012899,0.9876462748012899,0.9942056549617241,0.9887346237619152,0.9887346237619152,0.9887346237619152,0.9887346237619152,0.9926251335893258
