,قدردانی,قدردان,قدرشناسی,تشکر,سپاسگزار,سپاسگزاری,قدردانی کردن,بدهکار,بدهکاری,تعهد,وظیفه,متعهد,مجبور,تعهد,بدهکار بودن,بدهی داشتن,پشیمان,عذرخواه,عذرخواهی‌ها,عذرخواهی,ببخشید,پشیمانی,ببخشید,مرا ببخش,عذرخواهی کردن
قدردانی,0.9999999999999996,0.9974929045088402,0.9840696288332539,0.9916539577217147,0.9941443708225456,0.9936508829420944,0.9927631429573563,0.9928804760328037,0.9921834672983811,0.9908594520165015,0.9928786728243116,0.9915060298293676,0.992671173903361,0.9908594520165015,0.9912478609248724,0.990436081681935,0.9922036050465559,0.9927536736723753,0.9916003555604528,0.99073316664107,0.9912978640132956,0.9868504751699442,0.9912978640132956,0.9931176521679411,0.991062550633708
قدردان,0.9974929045088402,0.9999999999999991,0.9843743433577288,0.9912087958136249,0.9940921169164577,0.9930443925559347,0.9922395699739517,0.9931609703707545,0.991487370700423,0.9906323509422391,0.9915282226222769,0.9913635235427514,0.9918479520285056,0.9906323509422391,0.9906895504324572,0.989793258809262,0.9913881227419468,0.9930005886839027,0.9914062629257615,0.9903937274149585,0.9916694320131559,0.9841113255454046,0.9916694320131559,0.9936138479480288,0.9909820812636236
قدرشناسی,0.9840696288332539,0.9843743433577288,0.9999999999999998,0.9819493807750037,0.9860276724937675,0.9826820356542063,0.9850673409775809,0.9852882513726812,0.9829525780904091,0.9802371716027583,0.9809427363003611,0.9807427530643283,0.9803690792109917,0.9802371716027583,0.983668163531255,0.9822412728861591,0.9828364413586237,0.9840180444674352,0.9811033235858247,0.9803404178391806,0.9813214725461077,0.9749228325742827,0.9813214725461077,0.983372442264848,0.9818496607479749
تشکر,0.9916539577217147,0.9912087958136249,0.9819493807750037,0.9999999999999998,0.9938082186323874,0.991632184347589,0.9939497811963769,0.9952732031500208,0.994543967404878,0.9960659750433712,0.9961822919725674,0.995916758782399,0.995094859107814,0.9960659750433712,0.9930735356044317,0.9932560981619852,0.9958418878497628,0.9950559587806456,0.9942643420058079,0.9935360285206449,0.9941867678956102,0.9909475224099347,0.9941867678956102,0.9947217910688807,0.9937376337244201
سپاسگزار,0.9941443708225456,0.9940921169164577,0.9860276724937675,0.9938082186323874,0.999999999999999,0.9948714388255882,0.9943218201722901,0.9947159242412315,0.993665214189914,0.9923122645309246,0.9927069435881763,0.9928222760349105,0.9927675229312257,0.9923122645309246,0.9932767418419188,0.9928848179500672,0.9935910913549916,0.9949164900770585,0.9928529447072157,0.9921351135486861,0.9928528241424758,0.986373413822598,0.9928528241424758,0.9949908357398642,0.9928786580608963
سپاسگزاری,0.9936508829420944,0.9930443925559347,0.9826820356542063,0.991632184347589,0.9948714388255882,0.9999999999999991,0.9927485420760702,0.9928838840914564,0.9931014874256131,0.9900850912954929,0.9907505313597125,0.9907037497536932,0.991005784708338,0.9900850912954929,0.9921033683976398,0.9907500945388791,0.9916004508390838,0.9928624040012309,0.9919861744727302,0.991516275842037,0.9918788506928944,0.9855785230493483,0.9918788506928944,0.9932760015883121,0.9919892750690268
قدردانی کردن,0.9927631429573563,0.9922395699739517,0.9850673409775809,0.9939497811963769,0.9943218201722901,0.9927485420760702,0.999999999999999,0.9958232379433751,0.9975565588013054,0.9939693733949161,0.9931904088951001,0.9935419677589953,0.994187923562765,0.9939693733949161,0.9972707172115834,0.9964961221939993,0.9938328189280369,0.9960634623114638,0.9964065600276181,0.9956873641467943,0.9959283902938564,0.9873786573930671,0.9959283902938564,0.9958332267761485,0.9984380832309282
بدهکار,0.9928804760328037,0.9931609703707545,0.9852882513726812,0.9952732031500208,0.9947159242412315,0.9928838840914564,0.9958232379433751,1.0000000000000007,0.9971261992505696,0.9942714110058423,0.9942047901064763,0.9946571521684768,0.9943044225018003,0.9942714110058423,0.9964826979163203,0.9933722491409801,0.9963455651902748,0.9957369019575576,0.9947710075009878,0.994041887361925,0.9949916409695715,0.9915327777812083,0.9949916409695715,0.9951828831338603,0.9946085056234565
بدهکاری,0.9921834672983811,0.991487370700423,0.9829525780904091,0.994543967404878,0.993665214189914,0.9931014874256131,0.9975565588013054,0.9971261992505696,0.9999999999999993,0.9938972454715652,0.9933631767330732,0.9934917755346642,0.9943870360056843,0.9938972454715652,0.9968728146272194,0.9951049658582469,0.9947725779027471,0.9953833246315305,0.9962096506389693,0.9951050073568973,0.9964218855857851,0.9897094616736014,0.9964218855857851,0.9954775990187473,0.9966496367027977
تعهد,0.9908594520165015,0.9906323509422391,0.9802371716027583,0.9960659750433712,0.9923122645309246,0.9900850912954929,0.9939693733949161,0.9942714110058423,0.9938972454715652,0.9999999999999988,0.9960058692479359,0.9987041429734853,0.99644116468622,0.9999999999999988,0.9922199727114839,0.9934866320656397,0.9947043546466107,0.9948451681014026,0.9947535638824226,0.9935985898342731,0.9943749725388299,0.9895945245170719,0.9943749725388299,0.9948111131109677,0.9943537497260945
وظیفه,0.9928786728243116,0.9915282226222769,0.9809427363003611,0.9961822919725674,0.9927069435881763,0.9907505313597125,0.9931904088951001,0.9942047901064763,0.9933631767330732,0.9960058692479359,1.0000000000000002,0.9955649888106505,0.9953924960861623,0.9960058692479359,0.9924991500546093,0.9921974824609974,0.9942897376044515,0.9947483454196456,0.994045985275311,0.9934597090973789,0.9929289941572668,0.990405052389557,0.9929289941572668,0.9937360443282746,0.9932405204926542
متعهد,0.9915060298293676,0.9913635235427514,0.9807427530643283,0.995916758782399,0.9928222760349105,0.9907037497536932,0.9935419677589953,0.9946571521684768,0.9934917755346642,0.9987041429734853,0.9955649888106505,0.9999999999999991,0.9966318898589065,0.9987041429734853,0.9919967500513056,0.9931122501394439,0.9955826585640812,0.9951804054918068,0.9946158574721982,0.9932402259074451,0.9940642530030173,0.9898365588107423,0.9940642530030173,0.9954647139829823,0.9938717597451149
مجبور,0.992671173903361,0.9918479520285056,0.9803690792109917,0.995094859107814,0.9927675229312257,0.991005784708338,0.994187923562765,0.9943044225018003,0.9943870360056843,0.99644116468622,0.9953924960861623,0.9966318898589065,1.0,0.99644116468622,0.9927505748289527,0.9930433184290126,0.99520764768172,0.9951377362939076,0.994720425760485,0.9940180526893799,0.9949284660274659,0.9896678152085553,0.9949284660274659,0.9960849921060689,0.9945533459477677
تعهد,0.9908594520165015,0.9906323509422391,0.9802371716027583,0.9960659750433712,0.9923122645309246,0.9900850912954929,0.9939693733949161,0.9942714110058423,0.9938972454715652,0.9999999999999988,0.9960058692479359,0.9987041429734853,0.99644116468622,0.9999999999999988,0.9922199727114839,0.9934866320656397,0.9947043546466107,0.9948451681014026,0.9947535638824226,0.9935985898342731,0.9943749725388299,0.9895945245170719,0.9943749725388299,0.9948111131109677,0.9943537497260945
بدهکار بودن,0.9912478609248724,0.9906895504324572,0.983668163531255,0.9930735356044317,0.9932767418419188,0.9921033683976398,0.9972707172115834,0.9964826979163203,0.9968728146272194,0.9922199727114839,0.9924991500546093,0.9919967500513056,0.9927505748289527,0.9922199727114839,1.0,0.994414622825025,0.9934780033708492,0.9945450611713796,0.9949131063134905,0.994519814719785,0.9941186153403431,0.988032221834211,0.9941186153403431,0.9937844876027445,0.9962031537830973
بدهی داشتن,0.990436081681935,0.989793258809262,0.9822412728861591,0.9932560981619852,0.9928848179500672,0.9907500945388791,0.9964961221939993,0.9933722491409801,0.9951049658582469,0.9934866320656397,0.9921974824609974,0.9931122501394439,0.9930433184290126,0.9934866320656397,0.994414622825025,0.9999999999999993,0.9926533513148962,0.9938209773066821,0.9939784540586365,0.9929204678936286,0.9931390823596822,0.9865819545643851,0.9931390823596822,0.9936147067081829,0.9955569126265504
پشیمان,0.9922036050465559,0.9913881227419468,0.9828364413586237,0.9958418878497628,0.9935910913549916,0.9916004508390838,0.9938328189280369,0.9963455651902748,0.9947725779027471,0.9947043546466107,0.9942897376044515,0.9955826585640812,0.99520764768172,0.9947043546466107,0.9934780033708492,0.9926533513148962,0.9999999999999991,0.9943132481627388,0.9940330870317443,0.9930211709889247,0.9940231308945877,0.9956460849118505,0.9940231308945877,0.9945100025259106,0.9933771027857315
عذرخواه,0.9927536736723753,0.9930005886839027,0.9840180444674352,0.9950559587806456,0.9949164900770585,0.9928624040012309,0.9960634623114638,0.9957369019575576,0.9953833246315305,0.9948451681014026,0.9947483454196456,0.9951804054918068,0.9951377362939076,0.9948451681014026,0.9945450611713796,0.9938209773066821,0.9943132481627388,0.9999999999999997,0.9981247051062945,0.9974238632263347,0.9962200811169384,0.9880226637101627,0.9962200811169384,0.9972934204690513,0.9969717679299508
عذرخواهی‌ها,0.9916003555604528,0.9914062629257615,0.9811033235858247,0.9942643420058079,0.9928529447072157,0.9919861744727302,0.9964065600276181,0.9947710075009878,0.9962096506389693,0.9947535638824226,0.994045985275311,0.9946158574721982,0.994720425760485,0.9947535638824226,0.9949131063134905,0.9939784540586365,0.9940330870317443,0.9981247051062945,0.9999999999999993,0.9986642347965529,0.9967502862942268,0.9886527740053301,0.9967502862942268,0.9961418683413074,0.9982937781479295
عذرخواهی,0.99073316664107,0.9903937274149585,0.9803404178391806,0.9935360285206449,0.9921351135486861,0.991516275842037,0.9956873641467943,0.994041887361925,0.9951050073568973,0.9935985898342731,0.9934597090973789,0.9932402259074451,0.9940180526893799,0.9935985898342731,0.994519814719785,0.9929204678936286,0.9930211709889247,0.9974238632263347,0.9986642347965529,0.9999999999999991,0.9957244860713044,0.9882530049873073,0.9957244860713044,0.994532555706589,0.9978459740158665
ببخشید,0.9912978640132956,0.9916694320131559,0.9813214725461077,0.9941867678956102,0.9928528241424758,0.9918788506928944,0.9959283902938564,0.9949916409695715,0.9964218855857851,0.9943749725388299,0.9929289941572668,0.9940642530030173,0.9949284660274659,0.9943749725388299,0.9941186153403431,0.9931390823596822,0.9940231308945877,0.9962200811169384,0.9967502862942268,0.9957244860713044,0.9999999999999992,0.9879784611520597,0.9999999999999992,0.9974149010734181,0.9967554941593736
پشیمانی,0.9868504751699442,0.9841113255454046,0.9749228325742827,0.9909475224099347,0.986373413822598,0.9855785230493483,0.9873786573930671,0.9915327777812083,0.9897094616736014,0.9895945245170719,0.990405052389557,0.9898365588107423,0.9896678152085553,0.9895945245170719,0.988032221834211,0.9865819545643851,0.9956460849118505,0.9880226637101627,0.9886527740053301,0.9882530049873073,0.9879784611520597,0.9999999999999994,0.9879784611520597,0.9871588774961142,0.9871801234794114
