,apresié,apreciassion,grato,gratitudin,gratitudin,mersì,grato,gratitudin,endevità,endevitàa,endevitament,obligassion,obligà,obligàa,obligassion,deuv,deuvende,dovè,scusandse,scuse,scuseme,scusa,scuseme,perdònm,malincònt,chèrsme
apresié,0.9999999999999994,0.9962396973667041,0.9966693908164516,0.9883751515565181,0.9883751515565181,0.9942205441250502,0.9966693908164516,0.9883751515565181,0.9957941272813259,0.9942591124603666,0.9952372688212594,0.9948972186588051,0.990597495196574,0.9935038105855942,0.9948972186588051,0.9934194720911492,0.9951451626480318,0.9899907714214148,0.9970862008010408,0.9959448451716648,0.9980144406142958,0.9946616891022267,0.9980144406142958,0.9938207498556632,0.9944555365380477,0.9878618886585531
apreciassion,0.9962396973667041,1.0,0.9939571311614219,0.9882162389200866,0.9882162389200866,0.9920195245123965,0.9939571311614219,0.9882162389200866,0.9938936662781571,0.9924493446405129,0.9950223243785213,0.9946702584108436,0.9892165728786925,0.9922940335315867,0.9946702584108436,0.9904698039522579,0.9929849610314875,0.9884077595016961,0.9939637368238011,0.992793066897591,0.9950711864771576,0.991719859884805,0.9950711864771576,0.9915386558805404,0.9922170389630613,0.9878684312260116
grato,0.9966693908164516,0.9939571311614219,0.9999999999999986,0.9860927586807029,0.9860927586807029,0.9936409307228218,0.9999999999999986,0.9860927586807029,0.9955650609905504,0.993490470589651,0.9936710362231909,0.9932517019223365,0.9906923816271673,0.9925722708092136,0.9932517019223365,0.9928054691665719,0.9932378659540647,0.988303873135743,0.9959977969901278,0.9953530731947449,0.9967140045765741,0.9952159443735744,0.9967140045765741,0.9930410018233112,0.9937306639805327,0.9863218744580827
gratitudin,0.9883751515565181,0.9882162389200866,0.9860927586807029,0.9999999999999991,0.9999999999999991,0.9878236375657188,0.9860927586807029,0.9999999999999991,0.9870121439523173,0.9868214047455949,0.9885366259493628,0.9900726203286471,0.9812401980926236,0.9869201674693316,0.9900726203286471,0.9806876198794076,0.9863316731677795,0.9798719590510713,0.9871775028455727,0.9875125750118592,0.9877055121424618,0.9859133627552827,0.9877055121424618,0.9828181740778481,0.9878969364899711,0.9852453437261335
gratitudin,0.9883751515565181,0.9882162389200866,0.9860927586807029,0.9999999999999991,0.9999999999999991,0.9878236375657188,0.9860927586807029,0.9999999999999991,0.9870121439523173,0.9868214047455949,0.9885366259493628,0.9900726203286471,0.9812401980926236,0.9869201674693316,0.9900726203286471,0.9806876198794076,0.9863316731677795,0.9798719590510713,0.9871775028455727,0.9875125750118592,0.9877055121424618,0.9859133627552827,0.9877055121424618,0.9828181740778481,0.9878969364899711,0.9852453437261335
mersì,0.9942205441250502,0.9920195245123965,0.9936409307228218,0.9878236375657188,0.9878236375657188,0.9999999999999994,0.9936409307228218,0.9878236375657188,0.9946976543068722,0.9936765561208016,0.9933077866837882,0.9935112916284111,0.9874585799127324,0.9912447878415103,0.9935112916284111,0.9886958288156291,0.9926769027045725,0.9869152924911048,0.9949905395728392,0.9948354852523174,0.9951837731457517,0.9937759766636354,0.9951837731457517,0.9877556050285136,0.9940011201869321,0.9890770601126833
grato,0.9966693908164516,0.9939571311614219,0.9999999999999986,0.9860927586807029,0.9860927586807029,0.9936409307228218,0.9999999999999986,0.9860927586807029,0.9955650609905504,0.993490470589651,0.9936710362231909,0.9932517019223365,0.9906923816271673,0.9925722708092136,0.9932517019223365,0.9928054691665719,0.9932378659540647,0.988303873135743,0.9959977969901278,0.9953530731947449,0.9967140045765741,0.9952159443735744,0.9967140045765741,0.9930410018233112,0.9937306639805327,0.9863218744580827
gratitudin,0.9883751515565181,0.9882162389200866,0.9860927586807029,0.9999999999999991,0.9999999999999991,0.9878236375657188,0.9860927586807029,0.9999999999999991,0.9870121439523173,0.9868214047455949,0.9885366259493628,0.9900726203286471,0.9812401980926236,0.9869201674693316,0.9900726203286471,0.9806876198794076,0.9863316731677795,0.9798719590510713,0.9871775028455727,0.9875125750118592,0.9877055121424618,0.9859133627552827,0.9877055121424618,0.9828181740778481,0.9878969364899711,0.9852453437261335
endevità,0.9957941272813259,0.9938936662781571,0.9955650609905504,0.9870121439523173,0.9870121439523173,0.9946976543068722,0.9955650609905504,0.9870121439523173,0.9999999999999994,0.9980366778578684,0.9952823600709683,0.99460598207812,0.9900214000698889,0.9925884647103693,0.99460598207812,0.9907400704324066,0.9931440722467099,0.9888748223307585,0.9956574634086327,0.995750422505639,0.9963109854965065,0.9956991013083722,0.9963109854965065,0.9913816500366653,0.9946820596949124,0.9885969298115768
endevitàa,0.9942591124603666,0.9924493446405129,0.993490470589651,0.9868214047455949,0.9868214047455949,0.9936765561208016,0.993490470589651,0.9868214047455949,0.9980366778578684,0.9999999999999999,0.9950538230746109,0.9938597913553955,0.9875978922883268,0.9926589777595376,0.9938597913553955,0.988711495742443,0.9918419996639968,0.9863626679781909,0.994533696927257,0.9941194481659532,0.994410993389885,0.9939572807458831,0.994410993389885,0.9900560631629955,0.9944655627200631,0.9888043148274174
