,doceniać,doceniać,uznanie,uznawanie,wdzięczny,wdzięczność,wdzięczność,wdzięczność,dziękować,dziękuję,wdzięczny,wdzięczny,wdzięczność,dług,zadłużona,zadłużony,zadłużony,zadłużenie,zadłużenie,zobowiązanie,zobowiązanie,zobowiązana,zobowiązany,zobowiązany,zobowiązanie,dłużny,należny,zalegający,być dłużnym,poczucie zobowiązania,przepraszający,przeprosiny,przepraszać,przeprosiny,przepraszam,smutek,przepraszam,wybacz mi
doceniać,0.9999999999999996,0.9999999999999996,0.988633530581109,0.9874153540394421,0.9940975055090808,0.9913625732718743,0.9913625732718743,0.9913625732718743,0.9952086976967154,0.9926401439977182,0.9940975055090808,0.9940975055090808,0.9913625732718743,0.9850553429057414,0.9876144548517702,0.9877178779017914,0.9877178779017917,0.983736462688953,0.983736462688953,0.9896868916466758,0.9896868916466758,0.9919767453769816,0.9881692800993497,0.9881692800993497,0.9896868916466758,0.9924378694578634,0.9925847436693978,0.99165492386953,0.9903464595197079,0.9889865518281332,0.9897736465602176,0.9899760720057386,0.9933036247689029,0.9899760720057377,0.9908432998262406,0.9911258763878569,0.9908432998262406,0.9898208494699969
doceniać,0.9999999999999996,0.9999999999999996,0.988633530581109,0.9874153540394421,0.9940975055090808,0.9913625732718743,0.9913625732718743,0.9913625732718743,0.9952086976967154,0.9926401439977182,0.9940975055090808,0.9940975055090808,0.9913625732718743,0.9850553429057414,0.9876144548517702,0.9877178779017914,0.9877178779017917,0.983736462688953,0.983736462688953,0.9896868916466758,0.9896868916466758,0.9919767453769816,0.9881692800993497,0.9881692800993497,0.9896868916466758,0.9924378694578634,0.9925847436693978,0.99165492386953,0.9903464595197079,0.9889865518281332,0.9897736465602176,0.9899760720057386,0.9933036247689029,0.9899760720057377,0.9908432998262406,0.9911258763878569,0.9908432998262406,0.9898208494699969
uznanie,0.988633530581109,0.988633530581109,0.9999999999999991,0.989694854312635,0.9903856375766315,0.991037884259871,0.991037884259871,0.991037884259871,0.989745696090718,0.988007335668543,0.9903856375766315,0.9903856375766315,0.991037884259871,0.980472545893519,0.9843876794773744,0.9845456738859527,0.9845456738859514,0.9846556234083914,0.9846556234083914,0.9907863945041242,0.9907863945041242,0.9889652557950146,0.9870103839348767,0.9870103839348767,0.9907863945041242,0.9874403799644698,0.9888794823215076,0.9878025844511246,0.9881604266120029,0.9914646134517019,0.987368905855227,0.9870890579483284,0.988663623259246,0.9870890579483282,0.9893553145632781,0.9868404279859444,0.9893553145632781,0.988792978451889
uznawanie,0.9874153540394421,0.9874153540394421,0.989694854312635,1.0000000000000002,0.990113539864189,0.9926506531305641,0.9926506531305641,0.9926506531305641,0.9897606746331592,0.9858388453392333,0.990113539864189,0.990113539864189,0.9926506531305641,0.9828438329964662,0.9847724291625889,0.9833966515828391,0.9833966515828401,0.9888159908649578,0.9888159908649578,0.9925790949309089,0.9925790949309089,0.9899302098141267,0.9866061398843258,0.9866061398843258,0.9925790949309089,0.986972450514744,0.9877356200432069,0.989304363792428,0.9894247823599416,0.9939297056236768,0.9890083803326508,0.9878520795454023,0.990110872440542,0.9878520795454027,0.9890376258198385,0.9833383599124921,0.9890376258198385,0.9872602402770806
wdzięczny,0.9940975055090808,0.9940975055090808,0.9903856375766315,0.990113539864189,1.0000000000000004,0.9959809852293691,0.9959809852293691,0.9959809852293691,0.995509284487943,0.9920945716181251,1.0000000000000004,1.0000000000000004,0.9959809852293691,0.9878579659255053,0.9921940805696221,0.9924582775518425,0.9924582775518432,0.9871534498344422,0.9871534498344422,0.9917758760731029,0.9917758760731029,0.9959016192519363,0.9923956531369535,0.9923956531369535,0.9917758760731029,0.9954096995296635,0.9944899244404989,0.9944101046025122,0.9942720019505727,0.9922400957937941,0.9940425704534329,0.9927772337739879,0.9955034007940964,0.992777233773988,0.9936331067342379,0.9928408624572712,0.9936331067342379,0.9945051582394744
wdzięczność,0.9913625732718743,0.9913625732718743,0.991037884259871,0.9926506531305641,0.9959809852293691,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9937448833507269,0.9906507716847153,0.9959809852293691,0.9959809852293691,0.9999999999999996,0.9832732809856163,0.9887636844973282,0.9869109740668709,0.9869109740668702,0.9888422181287432,0.9888422181287432,0.9933993079272587,0.9933993079272587,0.9937461058056886,0.9882472758032235,0.9882472758032235,0.9933993079272587,0.990562575274279,0.9924156369437113,0.9918507475581664,0.994817279627498,0.9955664011814587,0.9902061750350354,0.9894331776782721,0.9936749903928208,0.9894331776782717,0.9938303230005128,0.9884947549533472,0.9938303230005128,0.9956815688824342
wdzięczność,0.9913625732718743,0.9913625732718743,0.991037884259871,0.9926506531305641,0.9959809852293691,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9937448833507269,0.9906507716847153,0.9959809852293691,0.9959809852293691,0.9999999999999996,0.9832732809856163,0.9887636844973282,0.9869109740668709,0.9869109740668702,0.9888422181287432,0.9888422181287432,0.9933993079272587,0.9933993079272587,0.9937461058056886,0.9882472758032235,0.9882472758032235,0.9933993079272587,0.990562575274279,0.9924156369437113,0.9918507475581664,0.994817279627498,0.9955664011814587,0.9902061750350354,0.9894331776782721,0.9936749903928208,0.9894331776782717,0.9938303230005128,0.9884947549533472,0.9938303230005128,0.9956815688824342
wdzięczność,0.9913625732718743,0.9913625732718743,0.991037884259871,0.9926506531305641,0.9959809852293691,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9937448833507269,0.9906507716847153,0.9959809852293691,0.9959809852293691,0.9999999999999996,0.9832732809856163,0.9887636844973282,0.9869109740668709,0.9869109740668702,0.9888422181287432,0.9888422181287432,0.9933993079272587,0.9933993079272587,0.9937461058056886,0.9882472758032235,0.9882472758032235,0.9933993079272587,0.990562575274279,0.9924156369437113,0.9918507475581664,0.994817279627498,0.9955664011814587,0.9902061750350354,0.9894331776782721,0.9936749903928208,0.9894331776782717,0.9938303230005128,0.9884947549533472,0.9938303230005128,0.9956815688824342
dziękować,0.9952086976967154,0.9952086976967154,0.989745696090718,0.9897606746331592,0.995509284487943,0.9937448833507269,0.9937448833507269,0.9937448833507269,1.0000000000000002,0.9942369938279703,0.995509284487943,0.995509284487943,0.9937448833507269,0.9859872592990298,0.9897741201987242,0.988986896209252,0.9889868962092525,0.9856758769690451,0.9856758769690451,0.9920960613142515,0.9920960613142515,0.994874853542721,0.9903813044759936,0.9903813044759936,0.9920960613142515,0.9928545450907588,0.9933519683377581,0.9933714878661988,0.993296274687014,0.9914782625074741,0.9926335760156628,0.9915736689353967,0.9943872416206884,0.9915736689353964,0.9928796097012896,0.9923776466993139,0.9928796097012896,0.9923840260314352
dziękuję,0.9926401439977182,0.9926401439977182,0.988007335668543,0.9858388453392333,0.9920945716181251,0.9906507716847153,0.9906507716847153,0.9906507716847153,0.9942369938279703,0.9999999999999999,0.9920945716181251,0.9920945716181251,0.9906507716847153,0.9822674952393912,0.9869452865713876,0.9863087963422807,0.9863087963422814,0.9829994669433322,0.9829994669433322,0.9886525335967852,0.9886525335967852,0.9906596906894741,0.9878043134753803,0.9878043134753803,0.9886525335967852,0.9891332342537517,0.9909273421449378,0.9896676719098649,0.9893244237432285,0.9881370130722099,0.9887874436115347,0.9875443002479539,0.9907529513740252,0.987544300247954,0.9902042370126319,0.9892646685615598,0.9902042370126319,0.9900699853035807
