,apreciar,apreciação,grato,gratidão,agradecer,agradecido,agradecimento,dívida,endividado,obrigação,obrigado,compromisso,devendo,sentimento de obrigação,arrependido,desculpando,desculpas,desculpa,desculpa,desculpa,tristeza,desculpa,com licença,pedir desculpa,perdoa-me
apreciar,0.9999999999999998,0.9856725603424407,0.988167412010112,0.9869184560419997,0.9864097606938396,0.9866761582810373,0.987692885180772,0.9860347034781117,0.9874233518780277,0.9830810551960947,0.986443999779415,0.986739309452982,0.9885450678912592,0.9850445648882324,0.9868505384216745,0.9880391339708666,0.9866642294548695,0.9878232109678858,0.9878232109678858,0.9878232109678858,0.9876940169058344,0.9878232109678858,0.9852266567883683,0.9863601598162705,0.9863309851954776
apreciação,0.9856725603424407,0.9999999999999993,0.9897878503127006,0.9906498029207514,0.9879579755051152,0.9888332673966076,0.9922271254361177,0.9888979756098825,0.9907793808460708,0.9944967748843924,0.9900359518601881,0.9921874561762993,0.9906727525593307,0.9959809279607088,0.9912967667805745,0.9904863705879939,0.9891722753131906,0.9903294546183775,0.9903294546183775,0.9903294546183775,0.9909192096578766,0.9903294546183775,0.9919539865598537,0.9904758955840772,0.9878969849010033
grato,0.988167412010112,0.9897878503127006,0.9999999999999986,0.9954162968465163,0.9948236888340191,0.9945365854203501,0.9953093296113941,0.9935234857412419,0.9949510481141979,0.9897162979781129,0.9928911606129295,0.995744458068452,0.9974367468184844,0.9922625831376538,0.9936544309453528,0.9942074441638756,0.9926414723586477,0.9949432662479801,0.9949432662479801,0.9949432662479801,0.9942592594216316,0.9949432662479801,0.9928549926343596,0.9935537910888319,0.9927957533068779
gratidão,0.9869184560419997,0.9906498029207514,0.9954162968465163,0.9999999999999991,0.9932044420323887,0.9917718763020815,0.9940061096805225,0.9926593884294188,0.9959113323262186,0.990022576462377,0.9915210312716949,0.9948644228099339,0.9953630081397689,0.9920414706020059,0.9925838563110773,0.9937258151943933,0.9936099579668803,0.9946357518450967,0.9946357518450967,0.9946357518450967,0.9936506667936535,0.9946357518450967,0.993222279811333,0.9939248716952059,0.9899067610438711
agradecer,0.9864097606938396,0.9879579755051152,0.9948236888340191,0.9932044420323887,0.9999999999999999,0.9946735979901378,0.9953917363622772,0.9908257695774005,0.9928515681650445,0.9875941201474575,0.9904296080007325,0.9933685052929345,0.995160540568021,0.9906070286552789,0.9918857162236713,0.9920750652846374,0.9921165318469872,0.9923852408601729,0.9923852408601729,0.9923852408601729,0.9927443530215225,0.9923852408601729,0.990845495358317,0.9921229945210013,0.9923877646518613
agradecido,0.9866761582810373,0.9888332673966076,0.9945365854203501,0.9917718763020815,0.9946735979901378,0.9999999999999996,0.9963830513028811,0.9909221327381672,0.9933956245571643,0.9894485690995444,0.9931294983885326,0.9943859913867891,0.9945719829105175,0.9908100010854642,0.9935823862466386,0.992642385721159,0.9913686819636697,0.9925733063669057,0.9925733063669057,0.9925733063669057,0.991741019484703,0.9925733063669057,0.9905545662214732,0.9898694589733389,0.9909603174520818
agradecimento,0.987692885180772,0.9922271254361177,0.9953093296113941,0.9940061096805225,0.9953917363622772,0.9963830513028811,0.9999999999999999,0.9918830336792885,0.9941237805830518,0.9915000203831205,0.9925079060741512,0.9953774039931468,0.9959851696256916,0.993814748700306,0.9940746220241398,0.9940772054582566,0.9934561511478329,0.994170411673937,0.994170411673937,0.994170411673937,0.994466027947456,0.994170411673937,0.9934759482340001,0.9928835550003864,0.9923857257761269
dívida,0.9860347034781117,0.9888979756098825,0.9935234857412419,0.9926593884294188,0.9908257695774005,0.9909221327381672,0.9918830336792885,0.9999999999999992,0.9935535406899096,0.9872703444291325,0.9902657969217549,0.9929057432080711,0.993815684289268,0.9882781732675544,0.9918780069070979,0.9917610948126153,0.9907137980423584,0.992768045440634,0.992768045440634,0.992768045440634,0.9920229683737493,0.992768045440634,0.9905663318663892,0.9932336070807021,0.9907495961230673
endividado,0.9874233518780277,0.9907793808460708,0.9949510481141979,0.9959113323262186,0.9928515681650445,0.9933956245571643,0.9941237805830518,0.9935535406899096,0.9999999999999997,0.9895224975515005,0.9936583911834613,0.9955991582744164,0.9952980037815681,0.9916801633579326,0.9951161713262845,0.9945579171703777,0.9929606099936683,0.9943552256209162,0.9943552256209162,0.9943552256209162,0.9942604839659431,0.9943552256209162,0.9910492549825918,0.9933075362031184,0.9915465242231587
obrigação,0.9830810551960947,0.9944967748843924,0.9897162979781129,0.990022576462377,0.9875941201474575,0.9894485690995444,0.9915000203831205,0.9872703444291325,0.9895224975515005,0.9999999999999992,0.9919783954791177,0.9904473802717221,0.9895860563828448,0.9951875614111407,0.9895388978046837,0.9878362966917882,0.987277172008918,0.9885749446613805,0.9885749446613805,0.9885749446613805,0.9890755653520461,0.9885749446613805,0.9909876118645404,0.9880342035531845,0.9866424044281854
obrigado,0.986443999779415,0.9900359518601881,0.9928911606129295,0.9915210312716949,0.9904296080007325,0.9931294983885326,0.9925079060741512,0.9902657969217549,0.9936583911834613,0.9919783954791177,1.0,0.9936917172071629,0.9928036711381525,0.9913493282993532,0.9958174559610763,0.9932798056771499,0.9897351577176958,0.9915033090563389,0.9915033090563389,0.9915033090563389,0.9914798139930041,0.9915033090563389,0.9901126248265391,0.9893603404324179,0.9884763946609951
compromisso,0.986739309452982,0.9921874561762993,0.995744458068452,0.9948644228099339,0.9933685052929345,0.9943859913867891,0.9953774039931468,0.9929057432080711,0.9955991582744164,0.9904473802717221,0.9936917172071629,0.9999999999999994,0.9968440137191457,0.9941565254270331,0.9956545769010293,0.9953610692781993,0.9934559395855919,0.9948752929728906,0.9948752929728906,0.9948752929728906,0.995900017710636,0.9948752929728906,0.9928574818762689,0.9935089782084046,0.9921525631888607
devendo,0.9885450678912592,0.9906727525593307,0.9974367468184844,0.9953630081397689,0.995160540568021,0.9945719829105175,0.9959851696256916,0.993815684289268,0.9952980037815681,0.9895860563828448,0.9928036711381525,0.9968440137191457,1.0,0.9926461197363563,0.9943430434835022,0.995806348970539,0.9934278250315028,0.9952192492442543,0.9952192492442543,0.9952192492442543,0.9957020001509813,0.9952192492442543,0.99268625302387,0.9937153676767525,0.9926069005843099
sentimento de obrigação,0.9850445648882324,0.9959809279607088,0.9922625831376538,0.9920414706020059,0.9906070286552789,0.9908100010854642,0.993814748700306,0.9882781732675544,0.9916801633579326,0.9951875614111407,0.9913493282993532,0.9941565254270331,0.9926461197363563,0.9999999999999992,0.9919922476123236,0.9914830828791883,0.9902369885414959,0.9914487186859395,0.9914487186859395,0.9914487186859395,0.9927109801005423,0.9914487186859395,0.992908474455531,0.9909150869736396,0.9896034043487381
arrependido,0.9868505384216745,0.9912967667805745,0.9936544309453528,0.9925838563110773,0.9918857162236713,0.9935823862466386,0.9940746220241398,0.9918780069070979,0.9951161713262845,0.9895388978046837,0.9958174559610763,0.9956545769010293,0.9943430434835022,0.9919922476123236,0.999999999999999,0.9952297696756305,0.9923001478478553,0.9938651140691704,0.9938651140691704,0.9938651140691704,0.9933306427831959,0.9938651140691704,0.9913031432148828,0.9919225133168439,0.9910097167368654
desculpando,0.9880391339708666,0.9904863705879939,0.9942074441638756,0.9937258151943933,0.9920750652846374,0.992642385721159,0.9940772054582566,0.9917610948126153,0.9945579171703777,0.9878362966917882,0.9932798056771499,0.9953610692781993,0.995806348970539,0.9914830828791883,0.9952297696756305,0.9999999999999996,0.9943578523540845,0.9960285351879489,0.9960285351879489,0.9960285351879489,0.9940242666616247,0.9960285351879489,0.9910829275782481,0.9936194982963931,0.9901102333432228
desculpas,0.9866642294548695,0.9891722753131906,0.9926414723586477,0.9936099579668803,0.9921165318469872,0.9913686819636697,0.9934561511478329,0.9907137980423584,0.9929606099936683,0.987277172008918,0.9897351577176958,0.9934559395855919,0.9934278250315028,0.9902369885414959,0.9923001478478553,0.9943578523540845,0.9999999999999993,0.9967479436484953,0.9967479436484953,0.9967479436484953,0.9917721462637518,0.9967479436484953,0.9913250403219838,0.9943246357009592,0.9907695181149403
