,kusikuy,kusikuykuna,añaychayniyuq,añaykuy,añay,añaychay,añaykuy,sumaq ñawpaq,llank'anapaq,saqikunanchik,saqikurqa,saqiykusqa,saqikunanchik,mancharina,saqina,mancharisqa,saqinakuy,pampachakuq,pampachakuykuna,pampachani,pampachakuy,dispensawanay,pampachaway,llakita,pampachaway
kusikuy,0.9999999999999998,0.9965122938574694,0.9915996884413433,0.996128881402399,0.9948018825397542,0.99418419788729,0.996128881402399,0.9920864549014932,0.992337823795481,0.9942977640908397,0.9916274162063793,0.9908134675091584,0.9942977640908397,0.9932742130305606,0.993409292137374,0.992979969305572,0.9954374704159851,0.9941304756519913,0.9942006253594191,0.9928689557168738,0.9942178678585072,0.994830308024322,0.9931451241108447,0.9930572693839119,0.9931451241108447
kusikuykuna,0.9965122938574694,0.9999999999999994,0.9920742028283487,0.9957284199060661,0.9943718912146977,0.9936247261604488,0.9957284199060661,0.9922276406293644,0.9928218962073182,0.9950211420469018,0.9916269109499969,0.9900290149162534,0.9950211420469018,0.9926070129847877,0.9930660463248456,0.9925461914289564,0.9952156579649791,0.9936705779496935,0.9955284709079084,0.991186534216197,0.9930613859868547,0.9922053324225651,0.9930618907830497,0.9939001783933823,0.9930618907830497
añaychayniyuq,0.9915996884413433,0.9920742028283487,0.9999999999999998,0.9938912622751006,0.9928628980551296,0.9936496808933017,0.9938912622751006,0.9944721820240675,0.9944062513304266,0.9949991859234337,0.9944351293322636,0.9939954238210734,0.9949991859234337,0.9903349846987215,0.9934387888409668,0.9947828335907228,0.9948769928134903,0.9952320915454094,0.9925899437489358,0.9894995050088827,0.9914618711499195,0.9901056517887442,0.990893570069817,0.9924693470323896,0.990893570069817
añaykuy,0.996128881402399,0.9957284199060661,0.9938912622751006,0.9999999999999992,0.9966368213854178,0.9975476627985346,0.9999999999999992,0.9942697832070535,0.9948749716198366,0.9958866228275056,0.9929565664431186,0.9929043897206317,0.9958866228275056,0.9943364925836831,0.9948973376002822,0.9948829939468858,0.9969586360890671,0.995787842811293,0.9967558132058341,0.9926001146588515,0.9964500023094518,0.9957784728700788,0.9954644791460726,0.9955876290891866,0.9954644791460726
añay,0.9948018825397542,0.9943718912146977,0.9928628980551296,0.9966368213854178,0.9999999999999994,0.9967985349238735,0.9966368213854178,0.9923482180063962,0.9932499697652736,0.9937242926108615,0.9915997599767437,0.9908582390122687,0.9937242926108615,0.994682313081412,0.9939438824223565,0.9933943381980251,0.9962482726695365,0.9941365731700336,0.9960634950319734,0.9937063825249576,0.9956133669998598,0.9931154579551349,0.9959352897937427,0.994849212291472,0.9959352897937427
añaychay,0.99418419788729,0.9936247261604488,0.9936496808933017,0.9975476627985346,0.9967985349238735,0.9999999999999996,0.9975476627985346,0.9949333926054962,0.995097009416333,0.9953104753135383,0.9934912942265234,0.9942605415184175,0.9953104753135383,0.9943755031595546,0.9958816053136745,0.9952392833462783,0.9974365648339003,0.9959777948687765,0.996417446406789,0.9927524026687747,0.9977634458343163,0.9942983922527747,0.9961356011243551,0.9959337752283184,0.9961356011243551
añaykuy,0.996128881402399,0.9957284199060661,0.9938912622751006,0.9999999999999992,0.9966368213854178,0.9975476627985346,0.9999999999999992,0.9942697832070535,0.9948749716198366,0.9958866228275056,0.9929565664431186,0.9929043897206317,0.9958866228275056,0.9943364925836831,0.9948973376002822,0.9948829939468858,0.9969586360890671,0.995787842811293,0.9967558132058341,0.9926001146588515,0.9964500023094518,0.9957784728700788,0.9954644791460726,0.9955876290891866,0.9954644791460726
sumaq ñawpaq,0.9920864549014932,0.9922276406293644,0.9944721820240675,0.9942697832070535,0.9923482180063962,0.9949333926054962,0.9942697832070535,1.0,0.9958212402754397,0.9951814405250846,0.994537313603732,0.9948738849692661,0.9951814405250846,0.9909707672560342,0.9948064243327428,0.9948171353193248,0.995163119439499,0.9972334095214085,0.9943645516117838,0.9909417334341125,0.9947973258233184,0.9920309882715077,0.9918321301157629,0.9953161038127426,0.9918321301157629
llank'anapaq,0.992337823795481,0.9928218962073182,0.9944062513304266,0.9948749716198366,0.9932499697652736,0.995097009416333,0.9948749716198366,0.9958212402754397,0.9999999999999987,0.9948037179292711,0.9928004165805513,0.9926093361953526,0.9948037179292711,0.9920611922961107,0.9935567369528544,0.9935123096567509,0.9953274381529604,0.995928997893215,0.9950462110879921,0.9917674084484064,0.9945571629302891,0.9914291140415455,0.9935703069416227,0.9961566695710814,0.9935703069416227
saqikunanchik,0.9942977640908397,0.9950211420469018,0.9949991859234337,0.9958866228275056,0.9937242926108615,0.9953104753135383,0.9958866228275056,0.9951814405250846,0.9948037179292711,0.9999999999999996,0.9963363691481294,0.9950587663936679,0.9999999999999996,0.993014347190902,0.9969011701121389,0.9960539296762413,0.9970579716694422,0.9964407267933844,0.9950167451460783,0.9910514268803904,0.9939077623298934,0.9921849744765866,0.9937710251060073,0.9941776332550115,0.9937710251060073
