,aprecia,apreciere,recunoscătoare,recunoscător,recunoștință,recunoștință,mulțumesc,recunoscătoare,recunoscător,recunoștință,îndatorat,îndatorată,îndatorare,obligație,obligat,obligată,obligatoriu,obligație,datorat,datorie,a datora,regretabil,scuzabil,scuze,scuză,regret,scuze,a-și cere scuze,iertați-mă,scuzați-mă
aprecia,0.999999999999999,0.9971088208234966,0.9866193000031844,0.9859831238062093,0.9932106584586917,0.9932106584586917,0.9920783257317232,0.9866193000031844,0.9859831238062089,0.9932106584586913,0.9924526324280447,0.9921755616215119,0.9909198297254832,0.9911501063313076,0.9928313340847185,0.993816581537552,0.9926542141903065,0.9911501063313076,0.9911927463770349,0.994572653197612,0.9921667139787885,0.9873584785325611,0.9938549914393876,0.9935974014044922,0.9955312314342577,0.9922925703026578,0.9935974014044922,0.9944966606380855,0.988238485883314,0.9943596495341928
apreciere,0.9971088208234966,0.9999999999999993,0.9862521242104054,0.9863590812145276,0.9926504955211986,0.9926504955211986,0.992632256453999,0.9862521242104054,0.9863590812145272,0.9926504955211974,0.9920532581066321,0.9917784786615705,0.9906209358578454,0.9911690890219198,0.9932519174854371,0.9939165103147172,0.9925816791047519,0.9911690890219198,0.991004084981793,0.9948590772028444,0.9928628416510572,0.986696448659386,0.9938529276464305,0.993416297818917,0.9950950471111956,0.9925689700012192,0.993416297818917,0.9953947765378265,0.9888920120656907,0.995350129414157
recunoscătoare,0.9866193000031844,0.9862521242104054,1.0000000000000009,0.9900520904594617,0.9908497644763742,0.9908497644763742,0.9875339840755408,1.0000000000000009,0.9900520904594612,0.9908497644763743,0.9880278498324288,0.9912347591044317,0.9914441912756544,0.9871476034458894,0.9873395556261755,0.9885640100844746,0.9919455535971344,0.9871476034458894,0.9858765287407824,0.9878128799790179,0.9828301867492342,0.9855198438923892,0.9879114996026181,0.9860439246268462,0.9877115573321559,0.9852389664764379,0.9860439246268462,0.9870057368336503,0.9809440385610169,0.9846011688525358
recunoscător,0.9859831238062093,0.9863590812145276,0.9900520904594617,0.9999999999999994,0.9895465386453881,0.9895465386453881,0.9848715054442428,0.9900520904594617,0.9999999999999996,0.9895465386453877,0.9865160237337398,0.9871162128297757,0.9872324078463787,0.9850218510507688,0.9872904139412519,0.9887441055936075,0.9889483844329721,0.9850218510507688,0.9857791214416767,0.9865650047771506,0.9830646953789277,0.9822088470480793,0.9866046884348832,0.9844001693494653,0.9869956966919013,0.9846581441253555,0.9844001693494653,0.984978228138619,0.9799965984525102,0.9845949300577197
recunoștință,0.9932106584586917,0.9926504955211986,0.9908497644763742,0.9895465386453881,0.9999999999999996,0.9999999999999996,0.9899513676918366,0.9908497644763742,0.9895465386453877,1.0000000000000002,0.9907249786232836,0.9920973106276955,0.9903931781425694,0.9892642460487002,0.9920142003622663,0.9931353587007075,0.9927409791218377,0.9892642460487002,0.9903120603432345,0.9918440514634131,0.9904827989520019,0.984606776692243,0.9915483861509524,0.9916031568956174,0.9934754708591355,0.9897210359417102,0.9916031568956174,0.9914696726746486,0.9855117827516336,0.9912507678480297
recunoștință,0.9932106584586917,0.9926504955211986,0.9908497644763742,0.9895465386453881,0.9999999999999996,0.9999999999999996,0.9899513676918366,0.9908497644763742,0.9895465386453877,1.0000000000000002,0.9907249786232836,0.9920973106276955,0.9903931781425694,0.9892642460487002,0.9920142003622663,0.9931353587007075,0.9927409791218377,0.9892642460487002,0.9903120603432345,0.9918440514634131,0.9904827989520019,0.984606776692243,0.9915483861509524,0.9916031568956174,0.9934754708591355,0.9897210359417102,0.9916031568956174,0.9914696726746486,0.9855117827516336,0.9912507678480297
mulțumesc,0.9920783257317232,0.992632256453999,0.9875339840755408,0.9848715054442428,0.9899513676918366,0.9899513676918366,0.9999999999999998,0.9875339840755408,0.9848715054442432,0.9899513676918374,0.9912282056075743,0.9912038274003416,0.991481658139817,0.9865667120225948,0.9897180798602505,0.9890570970776584,0.9912246592925709,0.9865667120225948,0.9882570525229082,0.9896318593199783,0.9873957469299587,0.9838759533552032,0.9886252238854841,0.9882914222698332,0.9893406533541117,0.9877549036968792,0.9882914222698332,0.9953376842748619,0.9888296349497234,0.9922554620154843
recunoscătoare,0.9866193000031844,0.9862521242104054,1.0000000000000009,0.9900520904594617,0.9908497644763742,0.9908497644763742,0.9875339840755408,1.0000000000000009,0.9900520904594612,0.9908497644763743,0.9880278498324288,0.9912347591044317,0.9914441912756544,0.9871476034458894,0.9873395556261755,0.9885640100844746,0.9919455535971344,0.9871476034458894,0.9858765287407824,0.9878128799790179,0.9828301867492342,0.9855198438923892,0.9879114996026181,0.9860439246268462,0.9877115573321559,0.9852389664764379,0.9860439246268462,0.9870057368336503,0.9809440385610169,0.9846011688525358
recunoscător,0.9859831238062089,0.9863590812145272,0.9900520904594612,0.9999999999999996,0.9895465386453877,0.9895465386453877,0.9848715054442432,0.9900520904594612,0.9999999999999994,0.9895465386453881,0.9865160237337389,0.987116212829775,0.9872324078463779,0.9850218510507693,0.9872904139412501,0.9887441055936076,0.9889483844329721,0.9850218510507688,0.9857791214416767,0.9865650047771506,0.9830646953789277,0.9822088470480793,0.9866046884348832,0.9844001693494653,0.9869956966919013,0.9846581441253555,0.9844001693494653,0.984978228138619,0.9799965984525102,0.9845949300577197
recunoștință,0.9932106584586913,0.9926504955211974,0.9908497644763743,0.9895465386453877,1.0000000000000002,1.0000000000000002,0.9899513676918374,0.9908497644763743,0.9895465386453881,0.9999999999999996,0.9907249786232838,0.9920973106276966,0.9903931781425691,0.9892642460487012,0.9920142003622664,0.9931353587007061,0.9927409791218377,0.9892642460487002,0.9903120603432345,0.9918440514634131,0.9904827989520019,0.984606776692243,0.9915483861509524,0.9916031568956174,0.9934754708591355,0.9897210359417102,0.9916031568956174,0.9914696726746486,0.9855117827516336,0.9912507678480297
