,ценить,признательность,благодарный,благодарность,благодарность,спасибо,благодарный,благодарность,indebità,indebitada,indebitaziun,obligaziun,obligà,obligada,obligaziun,dovair,debì,debìnd,disculpant,disculpas,disculpar,disculpa,disculpa,tristezza,perduna,perduna mai
ценить,1.0,0.9908983488574217,0.9932239799371039,0.991471778235118,0.991471778235118,0.9950591805098713,0.9932239799371039,0.991471778235118,0.9912915224265867,0.985875987973018,0.9891209146175295,0.9899473998742572,0.9889763796583487,0.9919699853664976,0.9899473998742572,0.987674342223788,0.9946146179999278,0.9927672960319602,0.9924231322000663,0.9894557894349238,0.9860140135694179,0.9868699207452479,0.9868699207452479,0.9938657120928159,0.989551667790158,0.9924149609492349
признательность,0.9908983488574217,1.0000000000000004,0.9923879173665563,0.9929516742312691,0.9929516742312691,0.9908484830198616,0.9923879173665563,0.9929516742312691,0.9895187062928564,0.985503568231584,0.9875552093528472,0.9886917987797839,0.9859940883628635,0.9894642280883892,0.9886917987797839,0.9851848783630129,0.9909950930826533,0.9899798106357824,0.9903496960475406,0.988910879388532,0.9855462238220104,0.9859202716800323,0.9859202716800323,0.9915255766470149,0.987254726308381,0.9886746606423348
благодарный,0.9932239799371039,0.9923879173665563,0.9999999999999999,0.9960194988749647,0.9960194988749647,0.9921234167315022,0.9999999999999999,0.9960194988749647,0.9911816259076158,0.9869907632978189,0.9875460576608555,0.9886883210040606,0.9893265510305582,0.9928182641107828,0.9886883210040606,0.9868498774378215,0.9943675631137172,0.9918277596230899,0.9922981257710741,0.9891890096953067,0.9858586406223396,0.9859334881008085,0.9859334881008085,0.9917677373484021,0.9926400050727339,0.9926364767258196
благодарность,0.991471778235118,0.9929516742312691,0.9960194988749647,0.9999999999999993,0.9999999999999993,0.9909637744846735,0.9960194988749647,0.9999999999999993,0.9907913456419957,0.9868841194821826,0.9875199695602555,0.9890622452509751,0.9879886265701849,0.9919701661001759,0.9890622452509751,0.9869644791311363,0.9929925150223045,0.9913467139798452,0.9920831833214786,0.9900007487830796,0.9868388371154407,0.9869249881919405,0.9869249881919405,0.9915489612258653,0.9898410442845309,0.9911111844836548
благодарность,0.991471778235118,0.9929516742312691,0.9960194988749647,0.9999999999999993,0.9999999999999993,0.9909637744846735,0.9960194988749647,0.9999999999999993,0.9907913456419957,0.9868841194821826,0.9875199695602555,0.9890622452509751,0.9879886265701849,0.9919701661001759,0.9890622452509751,0.9869644791311363,0.9929925150223045,0.9913467139798452,0.9920831833214786,0.9900007487830796,0.9868388371154407,0.9869249881919405,0.9869249881919405,0.9915489612258653,0.9898410442845309,0.9911111844836548
спасибо,0.9950591805098713,0.9908484830198616,0.9921234167315022,0.9909637744846735,0.9909637744846735,1.0000000000000002,0.9921234167315022,0.9909637744846735,0.9910494214707175,0.9870487397995354,0.989233762253953,0.9894429771823793,0.9866815786380231,0.9905117781351823,0.9894429771823793,0.9889388884574227,0.9936613139923852,0.9930486714818674,0.9924131032359768,0.9909058459609945,0.9880914399810224,0.9879793252253205,0.9879793252253205,0.9937947451523962,0.9877863506541558,0.9905844236711164
благодарный,0.9932239799371039,0.9923879173665563,0.9999999999999999,0.9960194988749647,0.9960194988749647,0.9921234167315022,0.9999999999999999,0.9960194988749647,0.9911816259076158,0.9869907632978189,0.9875460576608555,0.9886883210040606,0.9893265510305582,0.9928182641107828,0.9886883210040606,0.9868498774378215,0.9943675631137172,0.9918277596230899,0.9922981257710741,0.9891890096953067,0.9858586406223396,0.9859334881008085,0.9859334881008085,0.9917677373484021,0.9926400050727339,0.9926364767258196
благодарность,0.991471778235118,0.9929516742312691,0.9960194988749647,0.9999999999999993,0.9999999999999993,0.9909637744846735,0.9960194988749647,0.9999999999999993,0.9907913456419957,0.9868841194821826,0.9875199695602555,0.9890622452509751,0.9879886265701849,0.9919701661001759,0.9890622452509751,0.9869644791311363,0.9929925150223045,0.9913467139798452,0.9920831833214786,0.9900007487830796,0.9868388371154407,0.9869249881919405,0.9869249881919405,0.9915489612258653,0.9898410442845309,0.9911111844836548
indebità,0.9912915224265867,0.9895187062928564,0.9911816259076158,0.9907913456419957,0.9907913456419957,0.9910494214707175,0.9911816259076158,0.9907913456419957,0.9999999999999994,0.9935909053446093,0.9907857861072649,0.9905510951849806,0.98877927077306,0.9924543277821362,0.9905510951849806,0.9890606748652697,0.9939579094933441,0.9950157033619512,0.9935719030970105,0.9916859460802222,0.9895175971260587,0.9888564455165758,0.9888564455165758,0.9939650931271923,0.9929662379622018,0.9913826632807528
indebitada,0.985875987973018,0.985503568231584,0.9869907632978189,0.9868841194821826,0.9868841194821826,0.9870487397995354,0.9869907632978189,0.9868841194821826,0.9935909053446093,1.0,0.989718668696842,0.9884805966225663,0.9843375934213449,0.9907302998124895,0.9884805966225663,0.9886539446393723,0.9894314724251758,0.9914746373961033,0.9903293918191804,0.989610867685788,0.9879057145758225,0.9859635371615617,0.9859635371615617,0.9878621486293084,0.9899850252162674,0.9871681618868783
