,ценить,признательность,благодарный,благодарность,благодарность,спасибо,благодарный,благодарность,задолжавший,задолженность,обязательство,вынужден,обязан,обязательство,должен,задолженность,в долгу,быть должным,извиняющийся,извинения,извиняться,извинение,извините,сожаление,прости,простите меня
ценить,1.0,0.9908983488574217,0.9932239799371039,0.991471778235118,0.991471778235118,0.9950591805098713,0.9932239799371039,0.991471778235118,0.9942880255815311,0.9929638646980318,0.9940627293444254,0.9893346183043483,0.9934779522652165,0.9940627293444254,0.9940532925464785,0.9929638646980318,0.9930152379515994,0.99580513630941,0.9949389472760278,0.9928880393596008,0.9954284418327659,0.9930610740437424,0.9951044921498537,0.9957791740306016,0.9958479593714357,0.9970285995581875
признательность,0.9908983488574217,1.0000000000000004,0.9923879173665563,0.9929516742312691,0.9929516742312691,0.9908484830198616,0.9923879173665563,0.9929516742312691,0.9905625497591947,0.9941134103945715,0.9935301706326469,0.9843228684608799,0.9890792373467644,0.9935301706326469,0.9883406117586515,0.9941134103945715,0.9906083946397785,0.9908015477535815,0.9916591175287335,0.9922387930072535,0.9918229912317331,0.9932527791018672,0.9892451891665026,0.9928683250239816,0.9906840210226864,0.9912288865194842
благодарный,0.9932239799371039,0.9923879173665563,0.9999999999999999,0.9960194988749647,0.9960194988749647,0.9921234167315022,0.9999999999999999,0.9960194988749647,0.9954682227699406,0.9930558469057704,0.9947690026868447,0.9892492761352164,0.993624972478223,0.9947690026868447,0.993669406808325,0.9930558469057704,0.9958368705951596,0.9936388369188847,0.9947236999727953,0.9933423976879702,0.993890139831501,0.9933256607336439,0.9912552789358978,0.9956049610772737,0.9938594692197099,0.9938730990770338
благодарность,0.991471778235118,0.9929516742312691,0.9960194988749647,0.9999999999999993,0.9999999999999993,0.9909637744846735,0.9960194988749647,0.9999999999999993,0.992382771271882,0.994161386243661,0.99473853870546,0.986609778511473,0.9911334245453162,0.99473853870546,0.9903727031558005,0.994161386243661,0.9928373383072367,0.9916878903250013,0.9915394705893266,0.9939472211036264,0.9922803138923486,0.9935514015536626,0.990076943555828,0.9944321236245547,0.9912404536776674,0.9916510602627521
благодарность,0.991471778235118,0.9929516742312691,0.9960194988749647,0.9999999999999993,0.9999999999999993,0.9909637744846735,0.9960194988749647,0.9999999999999993,0.992382771271882,0.994161386243661,0.99473853870546,0.986609778511473,0.9911334245453162,0.99473853870546,0.9903727031558005,0.994161386243661,0.9928373383072367,0.9916878903250013,0.9915394705893266,0.9939472211036264,0.9922803138923486,0.9935514015536626,0.990076943555828,0.9944321236245547,0.9912404536776674,0.9916510602627521
спасибо,0.9950591805098713,0.9908484830198616,0.9921234167315022,0.9909637744846735,0.9909637744846735,1.0000000000000002,0.9921234167315022,0.9909637744846735,0.9925862692965014,0.9928517645124472,0.993945971380885,0.9844265612821502,0.9902824546040425,0.993945971380885,0.9908845065601335,0.9928517645124472,0.9907824527772084,0.9932564823832006,0.9934723841525135,0.9937990331543933,0.9928159190809348,0.9936168695181554,0.9954839242649196,0.9950461082633624,0.995283456718359,0.9964222742210924
благодарный,0.9932239799371039,0.9923879173665563,0.9999999999999999,0.9960194988749647,0.9960194988749647,0.9921234167315022,0.9999999999999999,0.9960194988749647,0.9954682227699406,0.9930558469057704,0.9947690026868447,0.9892492761352164,0.993624972478223,0.9947690026868447,0.993669406808325,0.9930558469057704,0.9958368705951596,0.9936388369188847,0.9947236999727953,0.9933423976879702,0.993890139831501,0.9933256607336439,0.9912552789358978,0.9956049610772737,0.9938594692197099,0.9938730990770338
благодарность,0.991471778235118,0.9929516742312691,0.9960194988749647,0.9999999999999993,0.9999999999999993,0.9909637744846735,0.9960194988749647,0.9999999999999993,0.992382771271882,0.994161386243661,0.99473853870546,0.986609778511473,0.9911334245453162,0.99473853870546,0.9903727031558005,0.994161386243661,0.9928373383072367,0.9916878903250013,0.9915394705893266,0.9939472211036264,0.9922803138923486,0.9935514015536626,0.990076943555828,0.9944321236245547,0.9912404536776674,0.9916510602627521
задолжавший,0.9942880255815311,0.9905625497591947,0.9954682227699406,0.992382771271882,0.992382771271882,0.9925862692965014,0.9954682227699406,0.992382771271882,1.0000000000000002,0.9928015342126528,0.9935095576477517,0.9884147620776793,0.9931730927396845,0.9935095576477517,0.9931414300453147,0.9928015342126528,0.9957072494412598,0.9944468127327066,0.9968020094464025,0.9925593943519351,0.9953426965908009,0.9929433813844747,0.9926838698518637,0.9954028089612552,0.994437048424862,0.9943450634896441
задолженность,0.9929638646980318,0.9941134103945715,0.9930558469057704,0.994161386243661,0.994161386243661,0.9928517645124472,0.9930558469057704,0.994161386243661,0.9928015342126528,0.9999999999999998,0.9963231676957398,0.9860232978353403,0.9913942308853902,0.9963231676957398,0.9904150758734596,0.9999999999999998,0.9920118022472005,0.9930817388508526,0.9923598235851989,0.9948422570040426,0.9931161147092467,0.9955525460802497,0.992085461611694,0.9948890035299077,0.992324832456557,0.993071193390529
обязательство,0.9940627293444254,0.9935301706326469,0.9947690026868447,0.99473853870546,0.99473853870546,0.993945971380885,0.9947690026868447,0.99473853870546,0.9935095576477517,0.9963231676957398,1.0000000000000002,0.988261177288863,0.9929858626893985,1.0000000000000002,0.9925327248261812,0.9963231676957398,0.9934134499880847,0.9939108877285423,0.9931118254918058,0.9962758916736608,0.9941517500366581,0.9967448465468809,0.9933540213948047,0.9967340336944209,0.9938583365142323,0.9939910636766346
вынужден,0.9893346183043483,0.9843228684608799,0.9892492761352164,0.986609778511473,0.986609778511473,0.9844265612821502,0.9892492761352164,0.986609778511473,0.9884147620776793,0.9860232978353403,0.988261177288863,0.9999999999999993,0.9886582691488709,0.988261177288863,0.9953609656425769,0.9860232978353403,0.9895575282140098,0.9878620407100491,0.9882706902230007,0.9868899928501156,0.9886792681131801,0.9859105296276743,0.9857879009268096,0.9889003893568052,0.9888000413127523,0.9877921872657583
