,मूल्याङ्कनम्,कृतज्ञ,कृतज्ञता,कृतज्ञता,धन्यवाद,कृतज्ञ,कृतज्ञता,मूल्याङ्कनं करोति,ऋणी,ऋणिता,कर्तव्य,कृतज्ञ,प्रतिज्ञा,ऋणित,ऋणं ददाति,क्षमाप्रार्थक,क्षम्यताम्,माऽनुजानीहि,दुःखम्,क्षम्यताम्,क्षमा याचनाः,क्षमां याचते,क्षमा याचना
मूल्याङ्कनम्,0.9999999999999999,0.9944185035890281,0.9955811177124111,0.9955811177124111,0.9958709894384151,0.9944185035890281,0.9955811177124111,0.9975774338204484,0.994191239195677,0.9942706978062379,0.9928287008882326,0.9944185035890285,0.9951979012590182,0.9945080336843687,0.9937532401436718,0.9956126912896756,0.9951349246373005,0.9924317207739766,0.9959878429857818,0.9951349246373005,0.9939006977396843,0.9954263092434894,0.9936347436421874
कृतज्ञ,0.9944185035890281,0.9999999999999997,0.9966230327924536,0.9966230327924536,0.9955891195985401,0.9999999999999997,0.9966230327924536,0.9953017644029433,0.995941356747766,0.9960431016499958,0.9946833472098121,0.9999999999999986,0.994893569552821,0.9949263945395956,0.9958702069966759,0.9971215424777673,0.9957214977910664,0.9943057680130576,0.9946861307100384,0.9957214977910664,0.9950079425743327,0.9941683430106922,0.9915446915951207
कृतज्ञता,0.9955811177124111,0.9966230327924536,1.0000000000000002,1.0000000000000002,0.9974200917039961,0.9966230327924536,1.0000000000000002,0.9960213099829582,0.9960724069554875,0.9965313725727578,0.9951536762655464,0.9966230327924525,0.996997739299159,0.9973047203076788,0.9963124864968415,0.9966710360983329,0.9959901092299498,0.9937877245963873,0.9961435470161585,0.9959901092299498,0.9949750980957531,0.9946201566982407,0.9937888427420501
कृतज्ञता,0.9955811177124111,0.9966230327924536,1.0000000000000002,1.0000000000000002,0.9974200917039961,0.9966230327924536,1.0000000000000002,0.9960213099829582,0.9960724069554875,0.9965313725727578,0.9951536762655464,0.9966230327924525,0.996997739299159,0.9973047203076788,0.9963124864968415,0.9966710360983329,0.9959901092299498,0.9937877245963873,0.9961435470161585,0.9959901092299498,0.9949750980957531,0.9946201566982407,0.9937888427420501
धन्यवाद,0.9958709894384151,0.9955891195985401,0.9974200917039961,0.9974200917039961,0.9999999999999998,0.9955891195985401,0.9974200917039961,0.9959084187817074,0.9954249452919631,0.9960572437827339,0.9953133783268239,0.9955891195985398,0.9961913354941657,0.9961250867402146,0.9951361217351623,0.9958865580958088,0.9950052083563952,0.9927807526566669,0.9963952920889886,0.9950052083563952,0.9952149355259706,0.9942580307420872,0.9940076103868267
कृतज्ञ,0.9944185035890281,0.9999999999999997,0.9966230327924536,0.9966230327924536,0.9955891195985401,0.9999999999999997,0.9966230327924536,0.9953017644029433,0.995941356747766,0.9960431016499958,0.9946833472098121,0.9999999999999986,0.994893569552821,0.9949263945395956,0.9958702069966759,0.9971215424777673,0.9957214977910664,0.9943057680130576,0.9946861307100384,0.9957214977910664,0.9950079425743327,0.9941683430106922,0.9915446915951207
कृतज्ञता,0.9955811177124111,0.9966230327924536,1.0000000000000002,1.0000000000000002,0.9974200917039961,0.9966230327924536,1.0000000000000002,0.9960213099829582,0.9960724069554875,0.9965313725727578,0.9951536762655464,0.9966230327924525,0.996997739299159,0.9973047203076788,0.9963124864968415,0.9966710360983329,0.9959901092299498,0.9937877245963873,0.9961435470161585,0.9959901092299498,0.9949750980957531,0.9946201566982407,0.9937888427420501
मूल्याङ्कनं करोति,0.9975774338204484,0.9953017644029433,0.9960213099829582,0.9960213099829582,0.9959084187817074,0.9953017644029433,0.9960213099829582,0.9999999999999992,0.9955984023692506,0.9952105661676338,0.9936220478359576,0.9953017644029432,0.9961671311973153,0.9950128630275428,0.9949241210795119,0.9961764501887342,0.9943136483443638,0.9937909855762173,0.9960332841285617,0.9943136483443638,0.9950703351657506,0.9948062839097167,0.9933158724655512
ऋणी,0.994191239195677,0.995941356747766,0.9960724069554875,0.9960724069554875,0.9954249452919631,0.995941356747766,0.9960724069554875,0.9955984023692506,1.0000000000000002,0.9976563964663028,0.9949973276872871,0.9959413567477663,0.996261525359157,0.9967039944071177,0.9974940517776592,0.9954008708091466,0.9942291572000231,0.9945400816170911,0.9947663092301177,0.9942291572000231,0.9944606992883154,0.9934658696023918,0.9921343351589546
ऋणिता,0.9942706978062379,0.9960431016499958,0.9965313725727578,0.9965313725727578,0.9960572437827339,0.9960431016499958,0.9965313725727578,0.9952105661676338,0.9976563964663028,1.0,0.9947041309090434,0.9960431016499958,0.9950894628608915,0.9978520469308093,0.9973824202955759,0.9957370497283559,0.9951021072048433,0.9938642697103015,0.9949974569238437,0.9951021072048433,0.9944509774014241,0.9935847682017422,0.9923257188544595
