,aprezare,apreziazione,gratziosa,gratziosu,gratitudine,gratzia,grazie,gratziosa,gratziosu,gratitudine,indebidau,indebitada,indebidamentu,obrigazione,obrigada,obrigadu,obrigamentu,dei,debende,dispiaciàdu,scusas,disculpàrisi,scusàrisi,scusa,scusèmi,pardònami,dispiacèri,mi dispiacet
aprezare,0.9999999999999992,0.9936367707801406,0.9921418603040866,0.9888718294319077,0.9912489063865766,0.9917990820353616,0.9817511989768049,0.9921418603040866,0.9888718294319073,0.9912489063865776,0.992094571384137,0.9873401902613544,0.9945387732233136,0.9897008440119737,0.9893696132034854,0.9908069531400026,0.9929785595577544,0.9848136740580432,0.9932506563596518,0.9921995815781428,0.9875633657919585,0.9890348018679185,0.9924823551528998,0.990954305955073,0.9898605534776532,0.9935860076240919,0.9908742983721512,0.9944555468539092
apreziazione,0.9936367707801406,0.9999999999999992,0.9925303186956713,0.9875950060421552,0.9932116215643169,0.9917909276516752,0.9814338816552168,0.9925303186956713,0.9875950060421543,0.993211621564318,0.9908424626149194,0.9887544851950507,0.9926816457098391,0.9958192543370956,0.9878519008452294,0.9894530860206188,0.99320806520924,0.9830652219976841,0.993775560086491,0.9926365846845152,0.9877586839268798,0.9897233036178293,0.9926307623321278,0.9931924764719418,0.9910546702462716,0.9927548843414938,0.9926279377966167,0.9932371597521682
gratziosa,0.9921418603040866,0.9925303186956713,0.9999999999999994,0.9920369495637148,0.9923650372985605,0.9941404113370507,0.9823233101196969,0.9999999999999994,0.9920369495637149,0.9923650372985598,0.9931239447556333,0.9924464002829059,0.9930171858164596,0.991609102791793,0.9901178437262108,0.9917618035877956,0.9946522255155209,0.9865169197766297,0.9953921945632709,0.9936559679524537,0.9920022544038236,0.9897141901443695,0.995431373531552,0.9963046762767064,0.9954601119609603,0.994898932509304,0.9956103123574905,0.991826447749687
gratziosu,0.9888718294319077,0.9875950060421552,0.9920369495637148,0.9999999999999994,0.9884572520241837,0.9894713572552281,0.981243649368717,0.9920369495637148,0.9999999999999993,0.9884572520241829,0.9916050027715865,0.9846946221936517,0.9891211568594646,0.9865817820497721,0.9862601171866877,0.9889836333443396,0.9905736169708563,0.9864020685265754,0.9898843166489738,0.9918109614787933,0.988313783696596,0.9870554596395493,0.9921085729396406,0.9917366583280802,0.992254442736699,0.9915483154566762,0.9905943205569725,0.9887662885672939
gratitudine,0.9912489063865766,0.9932116215643169,0.9923650372985605,0.9884572520241837,0.9999999999999998,0.993344639523448,0.9783533990194797,0.9923650372985605,0.9884572520241829,0.9999999999999992,0.9915079861611185,0.9895672320240262,0.990924377393999,0.9910228226671571,0.9865625692520766,0.9900776003997293,0.9928392994896031,0.9838195336097948,0.9944655581897422,0.9936325906298201,0.9882422442298422,0.9908346021903056,0.9921008058187744,0.9920397823932391,0.9905188916982,0.9937048085722032,0.9928614564584703,0.9910216397599028
gratzia,0.9917990820353616,0.9917909276516752,0.9941404113370507,0.9894713572552281,0.993344639523448,0.9999999999999997,0.9791660584193511,0.9941404113370507,0.9894713572552281,0.9933446395234492,0.9917315623613214,0.9884932109120754,0.9917731440602363,0.9903019055792014,0.9882276058009702,0.9903080273960532,0.9928730280388897,0.9854609197643819,0.9930414887721206,0.9922764058129112,0.9890820263879812,0.9882612989953499,0.9925897397377164,0.9932020681543055,0.9911340615559596,0.993120825316661,0.9923186279031389,0.9915261612972228
grazie,0.9817511989768049,0.9814338816552168,0.9823233101196969,0.981243649368717,0.9783533990194797,0.9791660584193511,0.9999999999999992,0.9823233101196969,0.9812436493687174,0.9783533990194799,0.9803651063723681,0.97647175297635,0.9840735271420387,0.9812855919972983,0.9789284580490917,0.9792212233430874,0.9826655192859535,0.9829713157791482,0.9807890767489525,0.9793366505456195,0.977656138270013,0.9775037086638946,0.984668094296247,0.9825612366063565,0.9840905538385402,0.9831039703858692,0.9799744902997676,0.9852357436766592
gratziosa,0.9921418603040866,0.9925303186956713,0.9999999999999994,0.9920369495637148,0.9923650372985605,0.9941404113370507,0.9823233101196969,0.9999999999999994,0.9920369495637149,0.9923650372985598,0.9931239447556333,0.9924464002829059,0.9930171858164596,0.991609102791793,0.9901178437262108,0.9917618035877956,0.9946522255155209,0.9865169197766297,0.9953921945632709,0.9936559679524537,0.9920022544038236,0.9897141901443695,0.995431373531552,0.9963046762767064,0.9954601119609603,0.994898932509304,0.9956103123574905,0.991826447749687
gratziosu,0.9888718294319073,0.9875950060421543,0.9920369495637149,0.9999999999999993,0.9884572520241829,0.9894713572552281,0.9812436493687174,0.9920369495637149,0.9999999999999994,0.9884572520241837,0.9916050027715864,0.9846946221936528,0.9891211568594653,0.9865817820497724,0.9862601171866877,0.9889836333443394,0.9905736169708563,0.9864020685265754,0.9898843166489738,0.9918109614787933,0.988313783696596,0.9870554596395493,0.9921085729396406,0.9917366583280802,0.992254442736699,0.9915483154566762,0.9905943205569725,0.9887662885672939
gratitudine,0.9912489063865776,0.993211621564318,0.9923650372985598,0.9884572520241829,0.9999999999999992,0.9933446395234492,0.9783533990194799,0.9923650372985598,0.9884572520241837,0.9999999999999998,0.9915079861611189,0.9895672320240266,0.9909243773939989,0.9910228226671578,0.9865625692520766,0.9900776003997295,0.9928392994896031,0.9838195336097948,0.9944655581897422,0.9936325906298201,0.9882422442298422,0.9908346021903056,0.9921008058187744,0.9920397823932391,0.9905188916982,0.9937048085722032,0.9928614564584703,0.9910216397599028
