,appreciate,appreciation,gratitude,gratefu',gratefu'ness,gratitude,thankfu'ness,thank,thankfu',thankfu'ness,gie due credit,gie thanks,indebit,indebitness,obleegation,obleeged,obleegement,awe,awin,apologetic,apologies,apologeeze,apologie,sorrowfu'ness,sorry,pardone me,scuse me
appreciate,0.9999999999999996,0.9968204460623127,0.9922759713033987,0.9921548035375366,0.992232543364555,0.9922759713033987,0.9940019914832566,0.9886346364326095,0.9906423704730386,0.9940019914832571,0.9925693157826654,0.9899379887470643,0.9931454634984225,0.9914970672225047,0.9932566529307751,0.9931970210626639,0.9937245973538789,0.989427004752002,0.9876566186268677,0.9932370083981895,0.9939669822983326,0.9915441326979268,0.9940733888116686,0.992788204806035,0.9918884765764596,0.9898327655965298,0.9916115890063646
appreciation,0.9968204460623127,0.9999999999999992,0.9918175146004052,0.9930785107047648,0.9933856899735257,0.9918175146004052,0.993690260130671,0.9876985075157023,0.9900213283200098,0.9936902601306719,0.9930316185689867,0.9895203604617169,0.9934894462080135,0.9926730500638447,0.995278997375588,0.9935477800540915,0.9963436217584943,0.9922582630539927,0.9907685327528482,0.9950294843046491,0.9960925131387522,0.9941262904759677,0.9959102101638491,0.9931659017455551,0.9900852545817638,0.9894531103485401,0.9917170777889261
gratitude,0.9922759713033987,0.9918175146004052,0.9999999999999994,0.9875404182306726,0.9877417344566888,0.9999999999999994,0.9897467734377542,0.9881889397656446,0.9867977993281161,0.9897467734377549,0.9878983052541706,0.9860414951436692,0.9889224094392619,0.990524734031938,0.9891629960252544,0.9880050173847946,0.9893332211621627,0.9836771139295749,0.9822605331474001,0.9874770997547492,0.9892173130053893,0.9864067575332671,0.9895496372047714,0.9883067591545686,0.9882796612565468,0.9851199589047053,0.9858177312123584
gratefu',0.9921548035375366,0.9930785107047648,0.9875404182306726,0.9999999999999997,0.9939155632021587,0.9875404182306726,0.995805064425263,0.986120932358566,0.996220809034472,0.9958050644252634,0.9900447228619947,0.9884717140422302,0.9890728781148104,0.9866425396614403,0.9910973138214287,0.9917149513694584,0.991959060246177,0.9911911836560062,0.9888732027022556,0.9902333998683335,0.9911983540981114,0.9901080939657181,0.9911031397019451,0.992729797516183,0.9887132809893922,0.9875796455958074,0.9915065253975638
gratefu'ness,0.992232543364555,0.9933856899735257,0.9877417344566888,0.9939155632021587,1.0,0.9877417344566888,0.9960445896851855,0.9857896854246917,0.9901342616611516,0.996044589685186,0.9900403117161867,0.9883877738643971,0.989998721493177,0.9890539248411155,0.9931667434989133,0.9919821016154156,0.9931789260211746,0.9901012266217398,0.9892668635171936,0.9923326039537783,0.9919629403564846,0.991288779179377,0.9914466651014363,0.997443782348755,0.9884068248625405,0.9888330910915867,0.9918745098656325
gratitude,0.9922759713033987,0.9918175146004052,0.9999999999999994,0.9875404182306726,0.9877417344566888,0.9999999999999994,0.9897467734377542,0.9881889397656446,0.9867977993281161,0.9897467734377549,0.9878983052541706,0.9860414951436692,0.9889224094392619,0.990524734031938,0.9891629960252544,0.9880050173847946,0.9893332211621627,0.9836771139295749,0.9822605331474001,0.9874770997547492,0.9892173130053893,0.9864067575332671,0.9895496372047714,0.9883067591545686,0.9882796612565468,0.9851199589047053,0.9858177312123584
thankfu'ness,0.9940019914832566,0.993690260130671,0.9897467734377542,0.995805064425263,0.9960445896851855,0.9897467734377542,0.9999999999999998,0.9899026566805709,0.9959633609948179,0.9999999999999987,0.9912327055027704,0.9903360707021047,0.9906098753094832,0.9891432316498749,0.9925114547051638,0.9928090528958258,0.9928355475457098,0.9913621702831931,0.9894174539199865,0.9911901311050799,0.9922352336261138,0.9911087273442997,0.9921912359092029,0.9959591297619088,0.9910270937624346,0.9895131717672161,0.9927038073517948
thank,0.9886346364326095,0.9876985075157023,0.9881889397656446,0.986120932358566,0.9857896854246917,0.9881889397656446,0.9899026566805709,0.9999999999999998,0.9866083679334136,0.9899026566805713,0.9868288627152312,0.9868202327901188,0.9860181479602473,0.9862788040376211,0.9865423776355104,0.9866215454744105,0.9871336079229099,0.9823957943289069,0.9811047785184165,0.9837452333069119,0.9853419689826632,0.9836979683680527,0.9852711000031895,0.9864288475028208,0.9891058380825674,0.9841481542015413,0.9851110783725039
thankfu',0.9906423704730386,0.9900213283200098,0.9867977993281161,0.996220809034472,0.9901342616611516,0.9867977993281161,0.9959633609948179,0.9866083679334136,1.0,0.9959633609948181,0.9872619250571543,0.9860791859504769,0.9855952361382849,0.9834456726093722,0.9877164012600456,0.9882833466990733,0.9885916917478051,0.9880797152476577,0.9854156515253268,0.9861703361681171,0.9880537031030879,0.9862683238628083,0.988352190206858,0.9902475903131742,0.9884037269904412,0.9852414891897581,0.9890423082231947
thankfu'ness,0.9940019914832571,0.9936902601306719,0.9897467734377549,0.9958050644252634,0.996044589685186,0.9897467734377549,0.9999999999999987,0.9899026566805713,0.9959633609948181,0.9999999999999998,0.9912327055027707,0.9903360707021039,0.9906098753094827,0.9891432316498739,0.9925114547051643,0.9928090528958239,0.9928355475457098,0.9913621702831931,0.9894174539199865,0.9911901311050799,0.9922352336261138,0.9911087273442997,0.9921912359092029,0.9959591297619088,0.9910270937624346,0.9895131717672161,0.9927038073517948
