,luachmhorachd,taingeil,taingealachd,taingealachd,tapadh,taingeil,taingealachd,a’ cur luach air,fiachan,dleastanas,gealladh,fo chomain,an comain,tha mi ann an comain,ri phàigheadh,aithreachail,leisgeulan,leisgeul,duilichas,gabh aithreachas,gabh mo leisgeul,gabh mo leisgeul,math mo lochd
luachmhorachd,0.9999999999999996,0.9896228605609383,0.9939356556625691,0.9939356556625691,0.9911611915920169,0.9896228605609383,0.9939356556625691,0.9905158676480658,0.9910070910768374,0.9874666332441097,0.9936657310585054,0.9828934893852681,0.9889390162862512,0.992623147147665,0.9918224686046125,0.9932765432341539,0.9897006812283816,0.9882371805264538,0.9819488934725594,0.9940710716388177,0.9927963413502777,0.9927963413502777,0.9943576873839091
taingeil,0.9896228605609383,1.0,0.9932574278706588,0.9932574278706588,0.9872330727767832,1.0,0.9932574278706588,0.98423825973301,0.9890290516680006,0.9860362658005071,0.9884357580903698,0.9795432503291129,0.9835669492797414,0.9886655834075935,0.9892418576816191,0.9917140485351826,0.9883378165840858,0.9899987914580062,0.982018570431341,0.9901181083543984,0.9900064941211726,0.9900064941211726,0.9888346136879402
taingealachd,0.9939356556625691,0.9932574278706588,0.9999999999999996,0.9999999999999996,0.9890610046687649,0.9932574278706588,0.9999999999999996,0.9875328915030879,0.9905881758025473,0.9899579747360123,0.9897783982127908,0.9824440730131416,0.985575960123574,0.9911333953928225,0.9904292433741807,0.9900198859541696,0.9902969061584979,0.9881665341553455,0.9849801691065349,0.9918653480698547,0.9913765695292394,0.9913765695292394,0.9932947725052773
taingealachd,0.9939356556625691,0.9932574278706588,0.9999999999999996,0.9999999999999996,0.9890610046687649,0.9932574278706588,0.9999999999999996,0.9875328915030879,0.9905881758025473,0.9899579747360123,0.9897783982127908,0.9824440730131416,0.985575960123574,0.9911333953928225,0.9904292433741807,0.9900198859541696,0.9902969061584979,0.9881665341553455,0.9849801691065349,0.9918653480698547,0.9913765695292394,0.9913765695292394,0.9932947725052773
tapadh,0.9911611915920169,0.9872330727767832,0.9890610046687649,0.9890610046687649,0.9999999999999994,0.9872330727767832,0.9890610046687649,0.9851104003455314,0.9923396880729153,0.9900337903048294,0.9970828700722597,0.9821311719733314,0.9899478728232124,0.9930212007220146,0.9951914568387538,0.9927459079006896,0.9896472271539529,0.9894342180717943,0.9832264654580629,0.9936163408363194,0.9938837721817418,0.9938837721817418,0.9909330698232072
taingeil,0.9896228605609383,1.0,0.9932574278706588,0.9932574278706588,0.9872330727767832,1.0,0.9932574278706588,0.98423825973301,0.9890290516680006,0.9860362658005071,0.9884357580903698,0.9795432503291129,0.9835669492797414,0.9886655834075935,0.9892418576816191,0.9917140485351826,0.9883378165840858,0.9899987914580062,0.982018570431341,0.9901181083543984,0.9900064941211726,0.9900064941211726,0.9888346136879402
taingealachd,0.9939356556625691,0.9932574278706588,0.9999999999999996,0.9999999999999996,0.9890610046687649,0.9932574278706588,0.9999999999999996,0.9875328915030879,0.9905881758025473,0.9899579747360123,0.9897783982127908,0.9824440730131416,0.985575960123574,0.9911333953928225,0.9904292433741807,0.9900198859541696,0.9902969061584979,0.9881665341553455,0.9849801691065349,0.9918653480698547,0.9913765695292394,0.9913765695292394,0.9932947725052773
a’ cur luach air,0.9905158676480658,0.98423825973301,0.9875328915030879,0.9875328915030879,0.9851104003455314,0.98423825973301,0.9875328915030879,0.9999999999999998,0.9869568567510113,0.9841109535841225,0.9869700229816352,0.9813035357011358,0.9845308365134969,0.9904372696479339,0.9874210231011386,0.9890172017170523,0.9874625777998337,0.9853828804894895,0.9780166009174464,0.9902969226997008,0.9896926889787597,0.9896926889787597,0.9900027233967272
fiachan,0.9910070910768374,0.9890290516680006,0.9905881758025473,0.9905881758025473,0.9923396880729153,0.9890290516680006,0.9905881758025473,0.9869568567510113,0.9999999999999998,0.9940472931493717,0.9919494409677833,0.983839152658664,0.9895845829180727,0.9946956384680271,0.99515132909556,0.9948422681582942,0.9932500739284119,0.9924460928828482,0.986840287036091,0.9957176867947525,0.9960818581724836,0.9960818581724836,0.9923526333469251
dleastanas,0.9874666332441097,0.9860362658005071,0.9899579747360123,0.9899579747360123,0.9900337903048294,0.9860362658005071,0.9899579747360123,0.9841109535841225,0.9940472931493717,0.9999999999999998,0.9884074739346214,0.9808501951601128,0.985726978023501,0.9925684697403376,0.9926184703520019,0.9900849526798501,0.9920874311176265,0.989154597310418,0.9886389689005095,0.9938360203345841,0.9940468537400167,0.9940468537400167,0.9913752902630175
