,ceniti,uvažavanje,zahvalan,zahvalna,zahvalnost,zahvalnost,hvala,zahvalan,zahvalna,zahvalnost,zadužen,zadužena,zaduženost,obaveza,obavezan,obavezana,obaveza,dugovati,dug,izvinjavajući,izvinjenja,izvinjenje,izvinite,oprostite,žaljenje,izvini,izvinjavati se
ceniti,0.9999999999999996,0.9923766616647133,0.9932601883454714,0.9922089567858386,0.9945847322206893,0.9945847322206893,0.9917440413587144,0.9932601883454714,0.9922089567858384,0.9945847322206889,0.991966069788564,0.9917643422188643,0.9931670047790069,0.9913093850257574,0.9946397881193794,0.9920676790821676,0.9913093850257574,0.9953966689809156,0.9880757519546229,0.9938220428849801,0.9859889666027071,0.9930768769832526,0.9911118292793172,0.9960862553647587,0.9932455918113103,0.990239107244355,0.9914668120400694
uvažavanje,0.9923766616647133,1.0,0.9911888633249727,0.9903105237720317,0.9945387768787844,0.9945387768787844,0.9901775803671062,0.9911888633249727,0.990310523772032,0.9945387768787849,0.9909064597433427,0.9910156114367012,0.9941426722066606,0.9928869041864671,0.9935510301620086,0.9924359464434068,0.9928869041864671,0.9930952787538033,0.9845144720244512,0.9936244041446933,0.9898597717070577,0.995703010197447,0.9897200297504354,0.9926119179731236,0.9945227039058845,0.9886941897599506,0.9917447437109398
zahvalan,0.9932601883454714,0.9911888633249727,0.9999999999999994,0.9944306777245904,0.9951732459721468,0.9951732459721468,0.9915072756177907,0.9999999999999994,0.9944306777245907,0.9951732459721471,0.9931549608089065,0.9924972498804462,0.9923488292030352,0.9941078109754036,0.9960080691277784,0.9937565117773849,0.9941078109754036,0.993380386561626,0.9871817470810849,0.9917932183583815,0.9860455057633586,0.9914123672855675,0.9911912753585655,0.9931910915402259,0.9921997743474661,0.9883162718241995,0.9901482094995754
zahvalna,0.9922089567858386,0.9903105237720317,0.9944306777245904,1.0,0.9968267524379455,0.9968267524379455,0.988625060380875,0.9944306777245904,0.9999999999999994,0.996826752437946,0.994452701203919,0.9958128538469897,0.992222648328642,0.9940661684105926,0.9938495367108621,0.9948530143087003,0.9940661684105926,0.9918934964692131,0.9861509081320902,0.9926442940007415,0.9860386494230567,0.9897754652729006,0.9905735097455936,0.9925436095961858,0.9916002041355332,0.9893343391678282,0.9902859450299234
zahvalnost,0.9945847322206893,0.9945387768787844,0.9951732459721468,0.9968267524379455,0.9999999999999999,0.9999999999999999,0.9915394952006655,0.9951732459721468,0.996826752437946,1.000000000000001,0.9940901351537192,0.9951111967027533,0.9965097594711553,0.9955689597781788,0.9954106724106008,0.9948605302171523,0.9955689597781788,0.9941817083269165,0.9877312114824319,0.9940997697831853,0.9875135747145928,0.993271424199554,0.9918255505159574,0.995229834232621,0.9942981113913095,0.9901565554078456,0.9918770479814675
zahvalnost,0.9945847322206893,0.9945387768787844,0.9951732459721468,0.9968267524379455,0.9999999999999999,0.9999999999999999,0.9915394952006655,0.9951732459721468,0.996826752437946,1.000000000000001,0.9940901351537192,0.9951111967027533,0.9965097594711553,0.9955689597781788,0.9954106724106008,0.9948605302171523,0.9955689597781788,0.9941817083269165,0.9877312114824319,0.9940997697831853,0.9875135747145928,0.993271424199554,0.9918255505159574,0.995229834232621,0.9942981113913095,0.9901565554078456,0.9918770479814675
hvala,0.9917440413587144,0.9901775803671062,0.9915072756177907,0.988625060380875,0.9915394952006655,0.9915394952006655,0.9999999999999998,0.9915072756177907,0.9886250603808746,0.9915394952006662,0.9889282344523258,0.9890808404423194,0.9904236449117894,0.9917698984634306,0.9931934033252902,0.9909364215172197,0.9917698984634306,0.9928212216198934,0.9847498829297687,0.9903791478075347,0.9875803669190429,0.9915538545630271,0.9882082531612549,0.9908535937415739,0.9918456913414537,0.9868462952138606,0.9870455120249416
zahvalan,0.9932601883454714,0.9911888633249727,0.9999999999999994,0.9944306777245904,0.9951732459721468,0.9951732459721468,0.9915072756177907,0.9999999999999994,0.9944306777245907,0.9951732459721471,0.9931549608089065,0.9924972498804462,0.9923488292030352,0.9941078109754036,0.9960080691277784,0.9937565117773849,0.9941078109754036,0.993380386561626,0.9871817470810849,0.9917932183583815,0.9860455057633586,0.9914123672855675,0.9911912753585655,0.9931910915402259,0.9921997743474661,0.9883162718241995,0.9901482094995754
zahvalna,0.9922089567858384,0.990310523772032,0.9944306777245907,0.9999999999999994,0.996826752437946,0.996826752437946,0.9886250603808746,0.9944306777245907,1.0,0.9968267524379455,0.9944527012039186,0.9958128538469898,0.992222648328641,0.9940661684105937,0.993849536710863,0.9948530143086998,0.9940661684105926,0.9918934964692131,0.9861509081320902,0.9926442940007415,0.9860386494230567,0.9897754652729006,0.9905735097455936,0.9925436095961858,0.9916002041355332,0.9893343391678282,0.9902859450299234
zahvalnost,0.9945847322206889,0.9945387768787849,0.9951732459721471,0.996826752437946,1.000000000000001,1.000000000000001,0.9915394952006662,0.9951732459721471,0.9968267524379455,0.9999999999999999,0.99409013515372,0.9951111967027528,0.996509759471156,0.9955689597781785,0.995410672410601,0.9948605302171524,0.9955689597781788,0.9941817083269165,0.9877312114824319,0.9940997697831853,0.9875135747145928,0.993271424199554,0.9918255505159574,0.995229834232621,0.9942981113913095,0.9901565554078456,0.9918770479814675
zadužen,0.991966069788564,0.9909064597433427,0.9931549608089065,0.994452701203919,0.9940901351537192,0.9940901351537192,0.9889282344523258,0.9931549608089065,0.9944527012039186,0.99409013515372,0.9999999999999991,0.9978507699562129,0.9933668293720498,0.9927520759069504,0.9940314064901056,0.9934643272482634,0.9927520759069502,0.9935526500759894,0.9880647648572842,0.9945742249882251,0.9896900148491212,0.9918279610803701,0.9931108241677356,0.9920254879699809,0.9935223845300806,0.9903348734289257,0.9909561774777177
zadužena,0.9917643422188643,0.9910156114367012,0.9924972498804462,0.9958128538469897,0.9951111967027533,0.9951111967027533,0.9890808404423194,0.9924972498804462,0.9958128538469898,0.9951111967027528,0.9978507699562129,0.9999999999999999,0.9941363626758624,0.9934573125224817,0.9935261995637112,0.9946910341264276,0.9934573125224818,0.992435087049168,0.9877568936592372,0.9941281002691135,0.9889991465062311,0.9910363321847432,0.992767484172635,0.9923096994508501,0.9927386626535296,0.9889976574299794,0.9913987467183668
