,apprezzari,apprezzamentu,grazzïusa,grazzïusu,grazziamentu,grazziamentu,grazii,grazzi,grazzïusa,grazzïusu,grazziamentu,nnibbitata,nnibbitatu,nnibitamenti,obligazzioni,obligata,obligatu,obligamentu,dèbbiri,duvutu,scusèvuli,scusi,scusàrisi,scusa,scusati,pirdunatemi,dispiaciri,scusami
apprezzari,0.9999999999999994,0.9950103575131083,0.9685897000068597,0.9804312388931014,0.9928007141472026,0.9928007141472026,0.9867597662310347,0.9918688258500413,0.9685897000068583,0.9804312388931008,0.9928007141472033,0.9897827764841961,0.9874650346611327,0.9849031012759891,0.9868558531351566,0.9911480805911328,0.986345195941854,0.9917025390728336,0.9927215958993512,0.9918090867332668,0.9882063308786363,0.9885834917354339,0.9930317926798399,0.9914458281988333,0.9911746622230106,0.9921815808222205,0.9931746852455964,0.9925580829475069
apprezzamentu,0.9950103575131083,0.9999999999999994,0.9716704092903942,0.9833120949231906,0.9949204500993275,0.9949204500993275,0.9893214583078302,0.9930963712141982,0.9716704092903939,0.983312094923189,0.9949204500993273,0.9932707865364309,0.9924283957016725,0.9888418301218941,0.9910458967042468,0.9931572206499276,0.9915371877557241,0.995029720293412,0.9944969195922918,0.9954805422415839,0.9906750206918222,0.9914439266764802,0.9952188479343933,0.9937814934961142,0.9924948285541523,0.9949779844112157,0.9943509843403762,0.9949986593420346
grazzïusa,0.9685897000068597,0.9716704092903942,0.9999999999999998,0.9933090363866508,0.9773993979428773,0.9773993979428773,0.9753768019949414,0.97256106370188,0.9999999999999994,0.993309036386651,0.9773993979428764,0.9679348929421846,0.9675497824591737,0.9622709173286926,0.964887631691799,0.9717699410921105,0.971605782966634,0.9704933380375114,0.9739805768986064,0.9738807763818681,0.9785331306074956,0.9742839795648076,0.9750842169598514,0.9728204753107523,0.9714977911390626,0.9704860312354283,0.9691948084390981,0.9740182834561538
grazzïusu,0.9804312388931014,0.9833120949231906,0.9933090363866508,0.9999999999999992,0.9882529054188586,0.9882529054188586,0.9845348945135012,0.9843246387826581,0.993309036386651,0.9999999999999993,0.9882529054188586,0.9795491570895458,0.9792309239457754,0.9745909803875883,0.9769241386472145,0.9813146111731983,0.9805779582052613,0.9819429411179141,0.9861151220858397,0.9857218485352551,0.987606030178587,0.9857300145185698,0.985893867778986,0.9838790900548802,0.9823328287985723,0.982829350329364,0.9812824477296154,0.9853553474021463
grazziamentu,0.9928007141472026,0.9949204500993275,0.9773993979428773,0.9882529054188586,0.9999999999999992,0.9999999999999992,0.9900182519538765,0.994658030429308,0.9773993979428764,0.9882529054188586,0.9999999999999978,0.9916286414886828,0.9907136198763402,0.9866839786405323,0.9893464460870752,0.9918838803881491,0.9888621533394261,0.9945491188358888,0.9945968999326935,0.9946071767267044,0.9921947140402684,0.9918222684759593,0.9946916293634871,0.994081399690485,0.9918192286427038,0.9941371374697642,0.9926413185327031,0.994685981668271
grazziamentu,0.9928007141472026,0.9949204500993275,0.9773993979428773,0.9882529054188586,0.9999999999999992,0.9999999999999992,0.9900182519538765,0.994658030429308,0.9773993979428764,0.9882529054188586,0.9999999999999978,0.9916286414886828,0.9907136198763402,0.9866839786405323,0.9893464460870752,0.9918838803881491,0.9888621533394261,0.9945491188358888,0.9945968999326935,0.9946071767267044,0.9921947140402684,0.9918222684759593,0.9946916293634871,0.994081399690485,0.9918192286427038,0.9941371374697642,0.9926413185327031,0.994685981668271
grazii,0.9867597662310347,0.9893214583078302,0.9753768019949414,0.9845348945135012,0.9900182519538765,0.9900182519538765,0.9999999999999997,0.9920726774402715,0.9753768019949421,0.9845348945135003,0.9900182519538764,0.9864785959983753,0.9848287755158305,0.9807552379703458,0.984425911225788,0.9890367433873721,0.9858143983290715,0.9897804959322191,0.9903997403297808,0.9884146952986823,0.98870643031961,0.9928959690036869,0.9928214632601515,0.990204186148583,0.9892073812543207,0.9889678448977632,0.9901864618253238,0.9919653568161297
grazzi,0.9918688258500413,0.9930963712141982,0.97256106370188,0.9843246387826581,0.994658030429308,0.994658030429308,0.9920726774402715,0.9999999999999997,0.9725610637018792,0.9843246387826577,0.9946580304293078,0.9901121109506367,0.9877194025593221,0.9859430568341129,0.9887315512426,0.9915848954608619,0.9863422482331515,0.9922365120913971,0.9948369363927347,0.9917629350763942,0.9908961251255729,0.9941135168035338,0.9940541012768547,0.9952625493620028,0.9924602330758417,0.9927255983322133,0.9928278157680872,0.9949043556548117
grazzïusa,0.9685897000068583,0.9716704092903939,0.9999999999999994,0.993309036386651,0.9773993979428764,0.9773993979428764,0.9753768019949421,0.9725610637018792,0.9999999999999998,0.9933090363866508,0.9773993979428773,0.9679348929421838,0.9675497824591738,0.9622709173286927,0.9648876316917998,0.9717699410921105,0.971605782966634,0.9704933380375114,0.9739805768986064,0.9738807763818681,0.9785331306074956,0.9742839795648076,0.9750842169598514,0.9728204753107523,0.9714977911390626,0.9704860312354283,0.9691948084390981,0.9740182834561538
grazzïusu,0.9804312388931008,0.983312094923189,0.993309036386651,0.9999999999999993,0.9882529054188586,0.9882529054188586,0.9845348945135003,0.9843246387826577,0.9933090363866508,0.9999999999999992,0.9882529054188586,0.9795491570895464,0.9792309239457743,0.9745909803875883,0.9769241386472135,0.9813146111731981,0.9805779582052613,0.9819429411179141,0.9861151220858397,0.9857218485352551,0.987606030178587,0.9857300145185698,0.985893867778986,0.9838790900548802,0.9823328287985723,0.982829350329364,0.9812824477296154,0.9853553474021463
