,ساراھڻ,ساراھ,شڪرگذاري,شڪرگذاري,مهرباني,شڪرگذاري,شڪر گذار,شڪر گذار,قرضي,قرضداري,ذميواري,احسانمند,وعدو,قرض ڏيڻ,واجب الادا,معافيون,معافي,افسوس,معاف ڪجو,مون کي معاف ڪريو,معاف ڪجو,معافي وٺڻ,معذرت خواهه
ساراھڻ,0.9999999999999996,0.9834697977292841,0.9999999999999996,0.9999999999999996,0.9855973668832547,0.9999999999999996,0.9921466747810233,0.9921466747810233,0.989447219257813,0.9876462748012899,0.9896160324864776,0.988342929849178,0.9812309081422783,0.9936421651493634,0.9852862191298218,0.9902196076075934,0.9882164639627097,0.9890460286913333,0.9938794259467254,0.990818271126678,0.9938794259467254,0.9932572853296122,0.9893212668389438
ساراھ,0.9834697977292841,0.9999999999999998,0.9834697977292841,0.9834697977292841,0.9865996127136041,0.9834697977292841,0.9893668040889085,0.9893668040889085,0.9903681124741891,0.9892433628888384,0.9916455140812688,0.9902312811691193,0.97894614081317,0.9877892262730801,0.988557470126086,0.9888244646045123,0.9888364571785326,0.9910714250768722,0.9871961891032403,0.9896234886995121,0.9871961891032403,0.9888530525325079,0.9859982822418621
شڪرگذاري,0.9999999999999996,0.9834697977292841,0.9999999999999996,0.9999999999999996,0.9855973668832547,0.9999999999999996,0.9921466747810233,0.9921466747810233,0.989447219257813,0.9876462748012899,0.9896160324864776,0.988342929849178,0.9812309081422783,0.9936421651493634,0.9852862191298218,0.9902196076075934,0.9882164639627097,0.9890460286913333,0.9938794259467254,0.990818271126678,0.9938794259467254,0.9932572853296122,0.9893212668389438
شڪرگذاري,0.9999999999999996,0.9834697977292841,0.9999999999999996,0.9999999999999996,0.9855973668832547,0.9999999999999996,0.9921466747810233,0.9921466747810233,0.989447219257813,0.9876462748012899,0.9896160324864776,0.988342929849178,0.9812309081422783,0.9936421651493634,0.9852862191298218,0.9902196076075934,0.9882164639627097,0.9890460286913333,0.9938794259467254,0.990818271126678,0.9938794259467254,0.9932572853296122,0.9893212668389438
مهرباني,0.9855973668832547,0.9865996127136041,0.9855973668832547,0.9855973668832547,0.9999999999999993,0.9855973668832547,0.9874177701717978,0.9874177701717978,0.9924025463296092,0.9885780113263021,0.9924461596432527,0.9957000506115585,0.9799933430543952,0.9895281655008682,0.9866318933384175,0.9919892112754632,0.9957709539939448,0.9906614546269228,0.988497642127649,0.9862120368919298,0.988497642127649,0.9903247424693677,0.988056647411441
شڪرگذاري,0.9999999999999996,0.9834697977292841,0.9999999999999996,0.9999999999999996,0.9855973668832547,0.9999999999999996,0.9921466747810233,0.9921466747810233,0.989447219257813,0.9876462748012899,0.9896160324864776,0.988342929849178,0.9812309081422783,0.9936421651493634,0.9852862191298218,0.9902196076075934,0.9882164639627097,0.9890460286913333,0.9938794259467254,0.990818271126678,0.9938794259467254,0.9932572853296122,0.9893212668389438
شڪر گذار,0.9921466747810233,0.9893668040889085,0.9921466747810233,0.9921466747810233,0.9874177701717978,0.9921466747810233,0.999999999999999,0.999999999999999,0.9924531245168552,0.9912734745636335,0.9922518536859541,0.9913354209387061,0.9830009856695965,0.994370599615643,0.9906473257426722,0.9912008697707488,0.9898994810675639,0.991893439516383,0.993500103401681,0.9946549636899044,0.993500103401681,0.9939546529274772,0.9910999562439065
شڪر گذار,0.9921466747810233,0.9893668040889085,0.9921466747810233,0.9921466747810233,0.9874177701717978,0.9921466747810233,0.999999999999999,0.999999999999999,0.9924531245168552,0.9912734745636335,0.9922518536859541,0.9913354209387061,0.9830009856695965,0.994370599615643,0.9906473257426722,0.9912008697707488,0.9898994810675639,0.991893439516383,0.993500103401681,0.9946549636899044,0.993500103401681,0.9939546529274772,0.9910999562439065
قرضي,0.989447219257813,0.9903681124741891,0.989447219257813,0.989447219257813,0.9924025463296092,0.989447219257813,0.9924531245168552,0.9924531245168552,0.9999999999999998,0.997713603637363,0.9982594436308303,0.996335795089029,0.9871124010262274,0.9964008380815386,0.9948772784290978,0.9963910720955164,0.9969629749448083,0.995522902091611,0.9942940278302834,0.9940708777877884,0.9942940278302834,0.9966289312710909,0.9941847586355925
قرضداري,0.9876462748012899,0.9892433628888384,0.9876462748012899,0.9876462748012899,0.9885780113263021,0.9876462748012899,0.9912734745636335,0.9912734745636335,0.997713603637363,0.9999999999999994,0.9965277731334726,0.9931873338316555,0.9857451549209937,0.9948198460832026,0.9952833281593231,0.994817836613425,0.9935447472660262,0.9948772320150522,0.9919906918626167,0.993524316964427,0.9919906918626167,0.9945345640856726,0.9918752319328743
