,උපකාරකවන්ත,උපකාරකවන්තභාවය,ග්‍රැටිටියුඩ්,ඉස්තුති,ඉස්තුතිවන්ත,ඉස්තුතිවන්තභාවය,ගරු කිරීම,ගරු කිරීම,කෘතවේදී,වගකීම,වගකීම,බදුකාරක,වගකීම,බදුදියුතු,බදුදීමට ඇති,සමාවන්,සමාව,සමාවෙන්න,කණගාටුයි,සමාවෙන්න,සමාව ඉල්ලන,සමාව ඉල්ලා සිටින්න,මට සමාවෙන්න
උපකාරකවන්ත,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.991708538920723,0.991708538920723,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
උපකාරකවන්තභාවය,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.991708538920723,0.991708538920723,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
ග්‍රැටිටියුඩ්,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.991708538920723,0.991708538920723,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
ඉස්තුති,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.991708538920723,0.991708538920723,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
ඉස්තුතිවන්ත,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.991708538920723,0.991708538920723,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
ඉස්තුතිවන්තභාවය,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.991708538920723,0.991708538920723,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
ගරු කිරීම,0.991708538920723,0.991708538920723,0.991708538920723,0.991708538920723,0.991708538920723,0.991708538920723,0.9999999999999992,0.9999999999999992,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9928123037129589,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9928123037129589,0.9927255609878279,0.9928123037129589
ගරු කිරීම,0.991708538920723,0.991708538920723,0.991708538920723,0.991708538920723,0.991708538920723,0.991708538920723,0.9999999999999992,0.9999999999999992,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9928123037129589,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9917085389207222,0.9928123037129589,0.9927255609878279,0.9928123037129589
කෘතවේදී,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
වගකීම,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
වගකීම,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
බදුකාරක,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
වගකීම,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
බදුදියුතු,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
බදුදීමට ඇති,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9928123037129589,0.9928123037129589,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9999999999999998,0.9969010283935443,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999988,0.9996828915611496,0.9999999999999988
සමාවන්,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9969010283935453
සමාව,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9969010283935443
සමාවෙන්න,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9969010283935443
කණගාටුයි,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9969010283935443
සමාවෙන්න,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9917085389207222,0.9917085389207222,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9969010283935443
සමාව ඉල්ලන,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9928123037129589,0.9928123037129589,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999988,0.9969010283935453,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9999999999999998,0.9996828915611498,0.9999999999999998
සමාව ඉල්ලා සිටින්න,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9927255609878279,0.9927255609878279,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9996828915611496,0.9956998922967599,0.9956998922967601,0.9956998922967601,0.9956998922967601,0.9956998922967601,0.9996828915611498,0.9999999999999996,0.9996828915611498
මට සමාවෙන්න,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9928123037129589,0.9928123037129589,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999988,0.9969010283935453,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9999999999999998,0.9996828915611498,0.9999999999999998
