,oceniť,ocenenie,vďačný,vďačnosť,vďačnosť,ďakujem,vďačný,vďačnosť,zadĺžená,zadĺžený,zadĺženosť,povinnosť,zaviazaná,zaviazaný,záväzok,dlhovať,dlžná,dlžný,ospravedlňujúci,ospravedlnenia,ospravedlnenie,ľútosť,prepáč,odpusť mi,ospravedlniť sa,ospravedlňte ma
oceniť,1.0000000000000002,0.9922156588916916,0.9946323765566405,0.9948843869190577,0.9948843869190577,0.9882104906685727,0.9946323765566405,0.9948843869190577,0.9940276464688342,0.9927082710672098,0.9916345220522345,0.9950310938696769,0.9944826401104062,0.9865316605406526,0.9945454122662262,0.9945463163392702,0.9925594710159727,0.9928318729426523,0.9946061509358811,0.9936107854037096,0.9919943252296887,0.9959499267439105,0.9926922437981073,0.9934648929770792,0.9882528078854901,0.9922302657748612
ocenenie,0.9922156588916916,0.9999999999999993,0.9898239948981058,0.9903531969983491,0.9903531969983491,0.9829255506911801,0.9898239948981058,0.9903531969983491,0.9881318830652128,0.9871076208399177,0.9896203603701047,0.9908528574092296,0.9915960197644382,0.9870047142509641,0.9938672745745704,0.9894354098738289,0.9873802657473485,0.9869796935846694,0.9907869907144612,0.991236846724664,0.9914819979865908,0.9886733425218507,0.9886728861059222,0.9881982266793145,0.985141375646952,0.9874071057386372
vďačný,0.9946323765566405,0.9898239948981058,0.9999999999999994,0.9967198692326951,0.9967198692326951,0.9883598773269748,0.9999999999999994,0.9967198692326951,0.9948112276583861,0.9959993942011656,0.9901551925605264,0.99485660865496,0.9933453484386712,0.9876347428495887,0.9933303605122383,0.9952904121187844,0.9944354603545955,0.9946354929357966,0.9964037231150081,0.9940625277886878,0.9919568976027718,0.9958569774517761,0.9948071089409478,0.994738918027118,0.9902832418174272,0.9939799499325316
vďačnosť,0.9948843869190577,0.9903531969983491,0.9967198692326951,0.9999999999999993,0.9999999999999993,0.987153539833803,0.9967198692326951,0.9999999999999993,0.9945558840606199,0.994900650672605,0.9928980974992074,0.9967257880474787,0.9929505368400802,0.9853904433669184,0.9933689581391616,0.993535271993667,0.9932933754266685,0.9929004585991591,0.9956681838435625,0.9946162016466157,0.9928775281067995,0.9946626761277538,0.9924510229879538,0.9957615662410632,0.9904669421157338,0.994646295328925
vďačnosť,0.9948843869190577,0.9903531969983491,0.9967198692326951,0.9999999999999993,0.9999999999999993,0.987153539833803,0.9967198692326951,0.9999999999999993,0.9945558840606199,0.994900650672605,0.9928980974992074,0.9967257880474787,0.9929505368400802,0.9853904433669184,0.9933689581391616,0.993535271993667,0.9932933754266685,0.9929004585991591,0.9956681838435625,0.9946162016466157,0.9928775281067995,0.9946626761277538,0.9924510229879538,0.9957615662410632,0.9904669421157338,0.994646295328925
ďakujem,0.9882104906685727,0.9829255506911801,0.9883598773269748,0.987153539833803,0.987153539833803,0.9999999999999994,0.9883598773269748,0.987153539833803,0.9871567238385054,0.9871543374238687,0.98346165256493,0.9870979167026058,0.9899418006093671,0.9825586506616241,0.9870143228357374,0.9874679185583343,0.9865615566036514,0.9871110703053252,0.987125016919122,0.9850787816314468,0.9831892488979302,0.989921718333471,0.9890630397233694,0.9863167836093989,0.9818140375448815,0.984140325160855
vďačný,0.9946323765566405,0.9898239948981058,0.9999999999999994,0.9967198692326951,0.9967198692326951,0.9883598773269748,0.9999999999999994,0.9967198692326951,0.9948112276583861,0.9959993942011656,0.9901551925605264,0.99485660865496,0.9933453484386712,0.9876347428495887,0.9933303605122383,0.9952904121187844,0.9944354603545955,0.9946354929357966,0.9964037231150081,0.9940625277886878,0.9919568976027718,0.9958569774517761,0.9948071089409478,0.994738918027118,0.9902832418174272,0.9939799499325316
vďačnosť,0.9948843869190577,0.9903531969983491,0.9967198692326951,0.9999999999999993,0.9999999999999993,0.987153539833803,0.9967198692326951,0.9999999999999993,0.9945558840606199,0.994900650672605,0.9928980974992074,0.9967257880474787,0.9929505368400802,0.9853904433669184,0.9933689581391616,0.993535271993667,0.9932933754266685,0.9929004585991591,0.9956681838435625,0.9946162016466157,0.9928775281067995,0.9946626761277538,0.9924510229879538,0.9957615662410632,0.9904669421157338,0.994646295328925
zadĺžená,0.9940276464688342,0.9881318830652128,0.9948112276583861,0.9945558840606199,0.9945558840606199,0.9871567238385054,0.9948112276583861,0.9945558840606199,0.9999999999999998,0.9971473339717414,0.9932687557514749,0.994551154118427,0.994118618891525,0.9868319333784181,0.9928988863621296,0.9937962910065883,0.9927348720020264,0.9928225802237391,0.9945101068583557,0.991605115979788,0.9899680353208354,0.9944238104054047,0.991799126379606,0.9935604808566763,0.9890168945850235,0.9924677258278121
zadĺžený,0.9927082710672098,0.9871076208399177,0.9959993942011656,0.994900650672605,0.994900650672605,0.9871543374238687,0.9959993942011656,0.994900650672605,0.9971473339717414,0.9999999999999996,0.9902570971548265,0.9937369170149082,0.9922617074703894,0.9870126192305331,0.991930843733062,0.9939457751955344,0.9924191014319436,0.9926308691109634,0.9946854839667146,0.9913810646500227,0.9897719676088125,0.9940971224738823,0.9923665406335571,0.9944471333950891,0.9901658948726378,0.9936583274876017
