,ceniti,cenjenje,hvaležen,hvaležna,hvaležnost,hvaležnost,hvala,hvaležen,hvaležna,hvaležnost,zadolgovan,zadolžena,zadolženost,obveznost,zavezan,zavezana,zaveza,dolgovati,dolžen,dolžna,opravičujoč,opravičila,opravičilo,oprostite,žalost,oprosti,odpustite mi,opravičiti se,pomagajte mi
ceniti,0.9999999999999996,0.9933169625653533,0.9950929696223331,0.9934943303933235,0.9937790261806261,0.9937790261806261,0.9917440413587144,0.9950929696223331,0.9934943303933239,0.9937790261806254,0.993145437763751,0.9932338047005684,0.9919771069064248,0.9912889790896297,0.9917690737829574,0.9924773580135887,0.9901995380082271,0.9935206455263467,0.9966951036117273,0.9944305128051911,0.9918472977096381,0.9865061882985726,0.9916175538230165,0.9960862553647587,0.9943056688498721,0.9960204644179714,0.9919211144955324,0.9931913600614904,0.9920807704985299
cenjenje,0.9933169625653533,0.9999999999999999,0.9930556563612197,0.9921434410859373,0.9940117123563778,0.9940117123563778,0.9904928347147164,0.9930556563612197,0.9921434410859373,0.9940117123563779,0.9918605145567357,0.9914300168507058,0.993126612790303,0.9908043722009285,0.9890158277304476,0.9920548868480435,0.9888445833880815,0.9914441367451224,0.992739945873757,0.9897458479443524,0.9915914634605875,0.9815049088158871,0.9872647507678476,0.9911527853148968,0.9895618280880136,0.9913603170454028,0.9877303747735182,0.990895094111035,0.9887398187754171
hvaležen,0.9950929696223331,0.9930556563612197,0.9999999999999996,0.9985530958121804,0.996751234083281,0.996751234083281,0.9936900407204182,0.9999999999999996,0.9985530958121794,0.996751234083282,0.9941106163797891,0.9948045524341034,0.9925038676909679,0.993073097114568,0.9924002001767098,0.9948531391768274,0.9923618368103724,0.9952568265252482,0.995089988672635,0.9934517184007404,0.9955278696814166,0.9858176618851866,0.9914977290046328,0.9948526285269788,0.9938614126333124,0.995220753761725,0.9930234469430795,0.9934570177450536,0.9934744456755751
hvaležna,0.9934943303933235,0.9921434410859373,0.9985530958121804,0.9999999999999998,0.9963926953967013,0.9963926953967013,0.9925103530301789,0.9985530958121804,0.9999999999999994,0.9963926953967016,0.9922000815100185,0.9954208582827286,0.9917505176618049,0.9926652203349894,0.9906725755847042,0.9947448612346,0.9915712387174153,0.9943758711910733,0.9932108761248359,0.9920270544477975,0.9948991243237405,0.9842642962805463,0.9898166738276326,0.9932334723792122,0.9923673211010379,0.9937291608115868,0.9919960255347728,0.9929762501545761,0.992354314471052
hvaležnost,0.9937790261806261,0.9940117123563778,0.996751234083281,0.9963926953967013,0.9999999999999992,0.9999999999999992,0.9928176170125924,0.996751234083281,0.9963926953967016,0.999999999999998,0.9920967952271854,0.9925983869873117,0.9944067170615174,0.9937432378509595,0.9900232194554698,0.9926848130344336,0.9905783447364517,0.9942672030823698,0.9938024569968553,0.9910800679129967,0.9934632658508209,0.9837783943338257,0.9899084357194141,0.9932632094032747,0.991537292608796,0.9933405949566886,0.9914454347579222,0.991987492163292,0.9914422371081821
hvaležnost,0.9937790261806261,0.9940117123563778,0.996751234083281,0.9963926953967013,0.9999999999999992,0.9999999999999992,0.9928176170125924,0.996751234083281,0.9963926953967016,0.999999999999998,0.9920967952271854,0.9925983869873117,0.9944067170615174,0.9937432378509595,0.9900232194554698,0.9926848130344336,0.9905783447364517,0.9942672030823698,0.9938024569968553,0.9910800679129967,0.9934632658508209,0.9837783943338257,0.9899084357194141,0.9932632094032747,0.991537292608796,0.9933405949566886,0.9914454347579222,0.991987492163292,0.9914422371081821
hvala,0.9917440413587144,0.9904928347147164,0.9936900407204182,0.9925103530301789,0.9928176170125924,0.9928176170125924,0.9999999999999998,0.9936900407204182,0.992510353030179,0.9928176170125925,0.9898033625230708,0.9892753328592722,0.9898279413801774,0.9910950940259815,0.9904223943953451,0.9918333124360185,0.9910046165297491,0.9889999059950785,0.9919674110046558,0.9903941486706161,0.990357476805293,0.9851416812321293,0.9890790715820262,0.9908535937415739,0.9910726298223479,0.9902504121962188,0.9871495526834883,0.9892518029776138,0.9880927602784294
hvaležen,0.9950929696223331,0.9930556563612197,0.9999999999999996,0.9985530958121804,0.996751234083281,0.996751234083281,0.9936900407204182,0.9999999999999996,0.9985530958121794,0.996751234083282,0.9941106163797891,0.9948045524341034,0.9925038676909679,0.993073097114568,0.9924002001767098,0.9948531391768274,0.9923618368103724,0.9952568265252482,0.995089988672635,0.9934517184007404,0.9955278696814166,0.9858176618851866,0.9914977290046328,0.9948526285269788,0.9938614126333124,0.995220753761725,0.9930234469430795,0.9934570177450536,0.9934744456755751
hvaležna,0.9934943303933239,0.9921434410859373,0.9985530958121794,0.9999999999999994,0.9963926953967016,0.9963926953967016,0.992510353030179,0.9985530958121794,0.9999999999999998,0.9963926953967013,0.9922000815100198,0.995420858282728,0.9917505176618053,0.9926652203349889,0.9906725755847045,0.9947448612345994,0.9915712387174153,0.9943758711910733,0.9932108761248359,0.9920270544477975,0.9948991243237405,0.9842642962805463,0.9898166738276326,0.9932334723792122,0.9923673211010379,0.9937291608115868,0.9919960255347728,0.9929762501545761,0.992354314471052
hvaležnost,0.9937790261806254,0.9940117123563779,0.996751234083282,0.9963926953967016,0.999999999999998,0.999999999999998,0.9928176170125925,0.996751234083282,0.9963926953967013,0.9999999999999992,0.992096795227185,0.9925983869873124,0.9944067170615181,0.9937432378509605,0.990023219455471,0.992684813034432,0.9905783447364517,0.9942672030823698,0.9938024569968553,0.9910800679129967,0.9934632658508209,0.9837783943338257,0.9899084357194141,0.9932632094032747,0.991537292608796,0.9933405949566886,0.9914454347579222,0.991987492163292,0.9914422371081821
