,qaddarin,qaddarin,mahadsan,mahadnaq,mahadnaq,mahadsanid,mahadnaqay,mahadnaqa,dayn,waajib,waajibban,ballanqaad,daymo leh,kaga mahadcelin,lagu leeyahay,murugo,iga raalli ahow,iga cafi,raalli-gelinaya,raalli-gelino,raalli-gelin bixinta,raalli-gelin,waan ka xumahay,ka xun
qaddarin,0.9999999999999988,0.9999999999999988,0.9940532281609524,0.9968703812809462,0.9968703812809462,0.9904240361333697,0.9968540565606635,0.9963347941334916,0.990506174779039,0.9930356624291914,0.9943549769085337,0.9971688479234726,0.9921535021479232,0.9914913044796956,0.9821004180268896,0.9909591047673014,0.9898664938301782,0.9917213349096815,0.9924402040098694,0.9912093344130481,0.9915647409372582,0.9920958310554208,0.991706119113633,0.9917943106003058
qaddarin,0.9999999999999988,0.9999999999999988,0.9940532281609524,0.9968703812809462,0.9968703812809462,0.9904240361333697,0.9968540565606635,0.9963347941334916,0.990506174779039,0.9930356624291914,0.9943549769085337,0.9971688479234726,0.9921535021479232,0.9914913044796956,0.9821004180268896,0.9909591047673014,0.9898664938301782,0.9917213349096815,0.9924402040098694,0.9912093344130481,0.9915647409372582,0.9920958310554208,0.991706119113633,0.9917943106003058
mahadsan,0.9940532281609524,0.9940532281609524,0.9999999999999993,0.9960905458944538,0.9960905458944538,0.9920625953588353,0.9971096103988714,0.9943684418048421,0.9947892942983919,0.9961757033335756,0.9972275551497557,0.9948261446940766,0.9958364013743385,0.9959882973956361,0.9863257921491347,0.9942203208704,0.9935257522088773,0.9959324993324913,0.9965531648473951,0.9947284138781388,0.9942882253953733,0.9953860454448061,0.9937909128461183,0.9948076794870945
mahadnaq,0.9968703812809462,0.9968703812809462,0.9960905458944538,0.9999999999999994,0.9999999999999994,0.9915655291219092,0.9977398934874749,0.9980121677055956,0.9920518922389187,0.9953846148317086,0.9962053686325679,0.9969128122192435,0.9949161695660734,0.9947624211712729,0.9853009397879013,0.9934915385304421,0.9923893098657884,0.9942466862225275,0.9947040642553053,0.9932791585119037,0.9939134405806538,0.9937435623392954,0.9941769564030536,0.993089308596996
mahadnaq,0.9968703812809462,0.9968703812809462,0.9960905458944538,0.9999999999999994,0.9999999999999994,0.9915655291219092,0.9977398934874749,0.9980121677055956,0.9920518922389187,0.9953846148317086,0.9962053686325679,0.9969128122192435,0.9949161695660734,0.9947624211712729,0.9853009397879013,0.9934915385304421,0.9923893098657884,0.9942466862225275,0.9947040642553053,0.9932791585119037,0.9939134405806538,0.9937435623392954,0.9941769564030536,0.993089308596996
mahadsanid,0.9904240361333697,0.9904240361333697,0.9920625953588353,0.9915655291219092,0.9915655291219092,0.9999999999999997,0.9912965182337312,0.99104956421124,0.988079302291651,0.9915799856531442,0.9913174114027554,0.9915441057047988,0.9901801428040087,0.9919293815920599,0.9808291801508787,0.9882231011159932,0.9917594168830633,0.9910200033902986,0.9914928600043829,0.9892347722144509,0.9907798761540095,0.9924835800252494,0.9886661142574682,0.9883475749428683
mahadnaqay,0.9968540565606635,0.9968540565606635,0.9971096103988714,0.9977398934874749,0.9977398934874749,0.9912965182337312,0.9999999999999996,0.9975273669004937,0.9922241495421779,0.9954963783839961,0.996756161901376,0.9973152308719719,0.9944254059071287,0.9940909670097164,0.9847002875131212,0.9935774039136708,0.9914769142895663,0.9945965994677359,0.9961057796432055,0.9940943723859462,0.9937671584076327,0.9938551437519844,0.9940261368522845,0.9934881009758966
mahadnaqa,0.9963347941334916,0.9963347941334916,0.9943684418048421,0.9980121677055956,0.9980121677055956,0.99104956421124,0.9975273669004937,1.0000000000000002,0.9883005408967177,0.9938914294665714,0.9948968117936087,0.9970933878101674,0.9937058228484918,0.9920513740631193,0.9829115765130126,0.9916601042854323,0.9896022410916744,0.9918469678319641,0.9936868807112089,0.9914743633199188,0.991771467336558,0.9914912774995721,0.9938706171621878,0.9911437872354646
dayn,0.990506174779039,0.990506174779039,0.9947892942983919,0.9920518922389187,0.9920518922389187,0.988079302291651,0.9922241495421779,0.9883005408967177,0.9999999999999999,0.9927079010199591,0.9935982754804286,0.9903512868481263,0.9924861430445341,0.9943170291104478,0.9843873162002268,0.992346833422886,0.9933443372084576,0.9944070707792199,0.9925498696414098,0.9925499579234183,0.9921866869466316,0.9935319018213316,0.9880602739505265,0.9938379780599106
waajib,0.9930356624291914,0.9930356624291914,0.9961757033335756,0.9953846148317086,0.9953846148317086,0.9915799856531442,0.9954963783839961,0.9938914294665714,0.9927079010199591,0.9999999999999993,0.9985079180589542,0.9935735676843519,0.9948260646792588,0.9943030348495624,0.9845551349901647,0.9938251413481944,0.9922714674200859,0.9950999209303978,0.9947628679342447,0.9933647501377415,0.9936804961717037,0.9940251563155481,0.9956998396492434,0.9937522330896975
