,مینَتداری,مینَتداری,تشکّر,مینَتدار,مینَتداری,تشکّر آمیز,قَدر دانماق,قَدر دانلیق,بؤرجلو,بؤرجللیک,وظیفه,مجبور,تعهد,بؤرجلی,بؤرجی اولماق,عذرخواه,عذرخواهلیقلار,عذرخواهلیق,باخیشلا,افسوس,باخیشلا,منی باخیشلا,عذرخواهی ائتمک
مینَتداری,0.9999999999999992,0.9999999999999992,0.9941504250408232,0.9977726293518853,0.9999999999999992,0.991242181754924,0.9951105118051751,0.9939179609406529,0.9874840796558766,0.9871095300301855,0.9926525290894589,0.9928199216441183,0.9922439868252462,0.996563238842089,0.9941447834663808,0.9951292725697819,0.9955042993109737,0.9933964265147811,0.9943475390320916,0.9954648599210524,0.9943475390320916,0.9968437011622605,0.9941179037987443
مینَتداری,0.9999999999999992,0.9999999999999992,0.9941504250408232,0.9977726293518853,0.9999999999999992,0.991242181754924,0.9951105118051751,0.9939179609406529,0.9874840796558766,0.9871095300301855,0.9926525290894589,0.9928199216441183,0.9922439868252462,0.996563238842089,0.9941447834663808,0.9951292725697819,0.9955042993109737,0.9933964265147811,0.9943475390320916,0.9954648599210524,0.9943475390320916,0.9968437011622605,0.9941179037987443
تشکّر,0.9941504250408232,0.9941504250408232,0.9999999999999998,0.9956395385154428,0.9941504250408232,0.9954471600255413,0.9916704683208428,0.9917124568620466,0.9820590289022735,0.9804371653258562,0.9961822919725674,0.995094859107814,0.9960659750433712,0.9932544051074969,0.9888824542744703,0.9950559587806456,0.9915819702020937,0.9917879182310584,0.9907141999776723,0.9954910632216286,0.9907141999776723,0.9934571668776594,0.9941818793109958
مینَتدار,0.9977726293518853,0.9977726293518853,0.9956395385154428,0.9999999999999997,0.9977726293518853,0.9931489773486615,0.9947723304018624,0.9937966873442586,0.9849669298902327,0.9829934088967174,0.9944259334380946,0.9956001073271316,0.9950061610576784,0.9961644197962822,0.9918158011505788,0.9965313463426464,0.9936817340524841,0.9932053471174926,0.9925792825792658,0.9966611801887508,0.9925792825792658,0.9965880936481589,0.9948840329940017
مینَتداری,0.9999999999999992,0.9999999999999992,0.9941504250408232,0.9977726293518853,0.9999999999999992,0.991242181754924,0.9951105118051751,0.9939179609406529,0.9874840796558766,0.9871095300301855,0.9926525290894589,0.9928199216441183,0.9922439868252462,0.996563238842089,0.9941447834663808,0.9951292725697819,0.9955042993109737,0.9933964265147811,0.9943475390320916,0.9954648599210524,0.9943475390320916,0.9968437011622605,0.9941179037987443
تشکّر آمیز,0.991242181754924,0.991242181754924,0.9954471600255413,0.9931489773486615,0.991242181754924,1.0000000000000002,0.9897376553971802,0.9899727465829532,0.9783714769856385,0.9765424160396066,0.993725124468575,0.9935003654875045,0.9940669905597145,0.9906291051596284,0.9862634290964932,0.9941701053030744,0.9892286050451576,0.9920389726230091,0.9885322388000923,0.9927301273552323,0.9885322388000923,0.9930026227501186,0.9939895537674199
قَدر دانماق,0.9951105118051751,0.9951105118051751,0.9916704683208428,0.9947723304018624,0.9951105118051751,0.9897376553971802,0.9999999999999996,0.9961566554001761,0.988496553837765,0.9868210194342524,0.991427897147447,0.9915562617406559,0.9908420269114976,0.9953455231940764,0.99607334146421,0.9939289386620391,0.9951096094875707,0.9940859627694579,0.99287534088377,0.9943286853135629,0.99287534088377,0.995270407538999,0.9933577891639335
قَدر دانلیق,0.9939179609406529,0.9939179609406529,0.9917124568620466,0.9937966873442586,0.9939179609406529,0.9899727465829532,0.9961566554001761,0.9999999999999996,0.984520892554477,0.9843994814827833,0.9915096693351932,0.9921558929280881,0.9905461355529427,0.9936737230416766,0.9939614111296701,0.9925231993015158,0.9940100696824296,0.9923205743392257,0.9924129005555302,0.992814430148888,0.9924129005555302,0.9941548415294337,0.993666646389546
بؤرجلو,0.9874840796558766,0.9874840796558766,0.9820590289022735,0.9849669298902327,0.9874840796558766,0.9783714769856385,0.988496553837765,0.984520892554477,1.0,0.9924764479495123,0.9819727328064155,0.9821385005198726,0.9802575853282216,0.9900241534833862,0.9892157459018995,0.9841554020870835,0.9876153558015367,0.9854342115284267,0.9866707062300881,0.9848401572381339,0.9866707062300881,0.9867081443257243,0.9837363142028398
بؤرجللیک,0.9871095300301855,0.9871095300301855,0.9804371653258562,0.9829934088967174,0.9871095300301855,0.9765424160396066,0.9868210194342524,0.9843994814827833,0.9924764479495123,0.9999999999999998,0.9788464214119564,0.9791674016403412,0.9772508454680708,0.9876101020058459,0.9883077552523811,0.9812816595855898,0.9871924502275821,0.9829656368350104,0.9882437877307704,0.9824773873884902,0.9882437877307704,0.9854288471193742,0.9816588105550225
وظیفه,0.9926525290894589,0.9926525290894589,0.9961822919725674,0.9944259334380946,0.9926525290894589,0.993725124468575,0.991427897147447,0.9915096693351932,0.9819727328064155,0.9788464214119564,1.0000000000000002,0.9953924960861623,0.9960058692479359,0.9926604004353288,0.9883161092045989,0.9947483454196455,0.9911427467845197,0.9923382287255935,0.988635877421632,0.9941108562021798,0.988635877421632,0.9924847467152091,0.9934751656201203
مجبور,0.9928199216441183,0.9928199216441183,0.995094859107814,0.9956001073271316,0.9928199216441183,0.9935003654875045,0.9915562617406559,0.9921558929280881,0.9821385005198726,0.9791674016403412,0.9953924960861623,1.0,0.99644116468622,0.9930651800330628,0.9883939174016158,0.9951377362939068,0.9906996161590108,0.9917170559984476,0.9882689191426036,0.9944494934183585,0.9882689191426036,0.993116234246946,0.9944681999889148
تعهد,0.9922439868252462,0.9922439868252462,0.9960659750433712,0.9950061610576784,0.9922439868252462,0.9940669905597145,0.9908420269114976,0.9905461355529427,0.9802575853282216,0.9772508454680708,0.9960058692479359,0.99644116468622,0.9999999999999988,0.9917539787258254,0.9869210282931256,0.9948451681014042,0.9899974511356415,0.9915022130219397,0.9879699421895118,0.9948125537214934,0.9879699421895118,0.9926083213370428,0.9939070330086239
بؤرجلی,0.996563238842089,0.996563238842089,0.9932544051074969,0.9961644197962822,0.996563238842089,0.9906291051596284,0.9953455231940764,0.9936737230416766,0.9900241534833862,0.9876101020058459,0.9926604004353288,0.9930651800330628,0.9917539787258254,0.9999999999999999,0.9940883423119647,0.9944597427676594,0.994350976829726,0.9929411239812267,0.9925011721939307,0.9950480813553939,0.9925011721939307,0.9956071080975477,0.9931014258859945
بؤرجی اولماق,0.9941447834663808,0.9941447834663808,0.9888824542744703,0.9918158011505788,0.9941447834663808,0.9862634290964932,0.99607334146421,0.9939614111296701,0.9892157459018995,0.9883077552523811,0.9883161092045989,0.9883939174016158,0.9869210282931256,0.9940883423119647,1.0000000000000002,0.9904463128065613,0.9947951580738768,0.9918367136418069,0.9927849349526648,0.991074142206051,0.9927849349526648,0.9934678188850302,0.9913076857607898
عذرخواه,0.9951292725697819,0.9951292725697819,0.9950559587806456,0.9965313463426464,0.9951292725697819,0.9941701053030744,0.9939289386620391,0.9925231993015158,0.9841554020870835,0.9812816595855898,0.9947483454196455,0.9951377362939068,0.9948451681014042,0.9944597427676594,0.9904463128065613,0.9999999999999997,0.9931980218479569,0.9960702306579281,0.9907029271928991,0.9960195261434269,0.9907029271928991,0.9956374254912169,0.9959534641264642
عذرخواهلیقلار,0.9955042993109737,0.9955042993109737,0.9915819702020937,0.9936817340524841,0.9955042993109737,0.9892286050451576,0.9951096094875707,0.9940100696824296,0.9876153558015367,0.9871924502275821,0.9911427467845197,0.9906996161590108,0.9899974511356415,0.994350976829726,0.9947951580738768,0.9931980218479569,0.9999999999999998,0.9944519642956022,0.993699292665084,0.9928337597586228,0.993699292665084,0.9948987515266299,0.9947976759191209
عذرخواهلیق,0.9933964265147811,0.9933964265147811,0.9917879182310584,0.9932053471174926,0.9933964265147811,0.9920389726230091,0.9940859627694579,0.9923205743392257,0.9854342115284267,0.9829656368350104,0.9923382287255935,0.9917170559984476,0.9915022130219397,0.9929411239812267,0.9918367136418069,0.9960702306579281,0.9944519642956022,0.9999999999999989,0.9904586122614372,0.9927156986912191,0.9904586122614372,0.9942776806704366,0.9953736661932816
باخیشلا,0.9943475390320916,0.9943475390320916,0.9907141999776723,0.9925792825792658,0.9943475390320916,0.9885322388000923,0.99287534088377,0.9924129005555302,0.9866707062300881,0.9882437877307704,0.988635877421632,0.9882689191426036,0.9879699421895118,0.9925011721939307,0.9927849349526648,0.9907029271928991,0.993699292665084,0.9904586122614372,0.9999999999999996,0.9916271768287641,0.9999999999999996,0.9954850015934319,0.9912604304009088
افسوس,0.9954648599210524,0.9954648599210524,0.9954910632216286,0.9966611801887508,0.9954648599210524,0.9927301273552323,0.9943286853135629,0.992814430148888,0.9848401572381339,0.9824773873884902,0.9941108562021798,0.9944494934183585,0.9948125537214934,0.9950480813553939,0.991074142206051,0.9960195261434269,0.9928337597586228,0.9927156986912191,0.9916271768287641,0.9999999999999998,0.9916271768287641,0.9950941422812047,0.9939587168206739
باخیشلا,0.9943475390320916,0.9943475390320916,0.9907141999776723,0.9925792825792658,0.9943475390320916,0.9885322388000923,0.99287534088377,0.9924129005555302,0.9866707062300881,0.9882437877307704,0.988635877421632,0.9882689191426036,0.9879699421895118,0.9925011721939307,0.9927849349526648,0.9907029271928991,0.993699292665084,0.9904586122614372,0.9999999999999996,0.9916271768287641,0.9999999999999997,0.9954850015934319,0.9912604304009088
منی باخیشلا,0.9968437011622605,0.9968437011622605,0.9934571668776594,0.9965880936481589,0.9968437011622605,0.9930026227501186,0.995270407538999,0.9941548415294337,0.9867081443257243,0.9854288471193742,0.9924847467152091,0.993116234246946,0.9926083213370428,0.9956071080975477,0.9934678188850302,0.9956374254912169,0.9948987515266299,0.9942776806704366,0.9954850015934319,0.9950941422812047,0.9954850015934319,0.9999999999999997,0.9949567766796884
عذرخواهی ائتمک,0.9941179037987443,0.9941179037987443,0.9941818793109958,0.9948840329940017,0.9941179037987443,0.9939895537674199,0.9933577891639335,0.993666646389546,0.9837363142028398,0.9816588105550225,0.9934751656201203,0.9944681999889148,0.9939070330086239,0.9931014258859945,0.9913076857607898,0.9959534641264642,0.9947976759191209,0.9953736661932816,0.9912604304009088,0.9939587168206739,0.9912604304009088,0.9949567766796884,0.9999999999999993
