,apreciar,apreciación,gratitud,agradecer,agradecido,agradecimiento,deuda,endeudado,obligación,obligado,compromiso,deber,debiendo,sentimiento de obligación,arrepentido,disculpándose,disculpas,disculparse,disculpa,disculpa,perdón,perdóname,arrepentimiento,lo siento
apreciar,0.9999999999999998,0.9852693840330049,0.9876424801967681,0.9864097606938396,0.9866761582810373,0.9833931155742458,0.9781330564399836,0.9833237599910674,0.9837219604736029,0.9823725376811666,0.9780593923705949,0.9862046802253007,0.9843691862840864,0.9846978184259236,0.984396731551817,0.9861198783059183,0.9848251022052928,0.9837214732446267,0.9830851060789283,0.9830851060789283,0.9862256030052197,0.9864604865074806,0.9853061550917034,0.9857581042990711
apreciación,0.9852693840330049,1.0000000000000007,0.9884872481167055,0.9880388777661301,0.9888918673954765,0.9896778310382363,0.9837359336964886,0.9882564776047932,0.9928028595666463,0.983459144472244,0.9801428971732515,0.991840698464913,0.9853384583712619,0.9953605319594743,0.9916239016509795,0.9888194222105315,0.9879666439875001,0.987286633721862,0.9856876232179149,0.9856876232179149,0.9918560116366886,0.988861386625,0.9946971176731998,0.9892894312811701
gratitud,0.9876424801967681,0.9884872481167055,0.9999999999999998,0.9925492708845298,0.992142292587076,0.9879519045412083,0.9818094762677526,0.9890548165014573,0.9896086697667057,0.9873142828932022,0.9819360722765552,0.992433263876588,0.9864361501425465,0.9896516358815153,0.9899729611215643,0.9918690168587827,0.990879317338408,0.9909485896732874,0.9887271900992454,0.9887271900992454,0.9910752262477623,0.9892409123949247,0.9890509269615754,0.9896327791362103
agradecer,0.9864097606938396,0.9880388777661301,0.9925492708845298,0.9999999999999999,0.9946735979901378,0.9898224447034148,0.9825047277781866,0.9866944085100571,0.9876908243198673,0.9863930933901077,0.9823439355700468,0.9928281592699741,0.9883399183711109,0.9902118028506414,0.9892353421936537,0.992238644606393,0.9898671666385513,0.9880033247173852,0.9858094053342212,0.9858094053342212,0.9927559368444636,0.9923217522460425,0.9890189052203234,0.9906435947536756
agradecido,0.9866761582810373,0.9888918673954765,0.992142292587076,0.9946735979901378,0.9999999999999996,0.9940186492640263,0.981492231225849,0.9890366781334039,0.9894715390950491,0.9897137795815335,0.9838021466889564,0.9915083255222953,0.988019390169456,0.9911137669106137,0.9906733418026276,0.9911645111982639,0.9889187855787137,0.9876855301948686,0.9861503502440139,0.9861503502440139,0.9916087622693083,0.9905719409202794,0.9891006851232671,0.988606084404692
agradecimiento,0.9833931155742458,0.9896778310382363,0.9879519045412083,0.9898224447034148,0.9940186492640263,1.0,0.97973247415387,0.9853383856399727,0.9917618552739896,0.9869820264761808,0.9855148882506486,0.9885627992067294,0.988433107614962,0.9930624794541759,0.9878850996804206,0.9864555064016616,0.9847580666673564,0.9837770258694148,0.9825717065019406,0.9825717065019406,0.9910886239956924,0.9903383745707868,0.9893919967520942,0.9862246937392765
deuda,0.9781330564399836,0.9837359336964886,0.9818094762677526,0.9825047277781866,0.981492231225849,0.97973247415387,1.0,0.9818412100753584,0.9827368021052042,0.9738902693824337,0.9684203358417967,0.9864012277179761,0.9753647912638893,0.982767163017843,0.9846464991568166,0.9855566529280276,0.9865092312473519,0.9839230581798476,0.9837253790176494,0.9837253790176494,0.9836252292255235,0.9807082962399298,0.9834814879029146,0.9862176872818589
endeudado,0.9833237599910674,0.9882564776047932,0.9890548165014573,0.9866944085100571,0.9890366781334039,0.9853383856399727,0.9818412100753584,0.9999999999999998,0.9876745681667641,0.9866305517917151,0.9774463803939272,0.9878326992204775,0.9826991682131808,0.9879989206339094,0.9903367810885441,0.9885166638611848,0.987650293195763,0.9870026884605306,0.9837112146113954,0.9837112146113954,0.988292287714486,0.9848395849639842,0.9898283322020512,0.9873979508491652
obligación,0.9837219604736029,0.9928028595666463,0.9896086697667057,0.9876908243198673,0.9894715390950491,0.9917618552739896,0.9827368021052042,0.9876745681667641,1.0,0.9872749638452194,0.9833313853792676,0.9916174760093754,0.986763098543899,0.9946160329604566,0.9883033554446774,0.9878788360379279,0.9865405030709735,0.9852126051893979,0.9844259422652979,0.9844259422652979,0.9909854559363462,0.9877481926324564,0.9918698280811019,0.9879220111489407
obligado,0.9823725376811666,0.983459144472244,0.9873142828932022,0.9863930933901077,0.9897137795815335,0.9869820264761808,0.9738902693824337,0.9866305517917151,0.9872749638452194,1.0000000000000002,0.9871844803883721,0.9851149373729049,0.9861215886745142,0.9868452546617368,0.9857352025199642,0.9844591436708695,0.9810234273839856,0.9817312072840902,0.97795945240412,0.97795945240412,0.9858758558997618,0.9843268043393865,0.9852822116143185,0.9828790808664183
compromiso,0.9780593923705949,0.9801428971732515,0.9819360722765552,0.9823439355700468,0.9838021466889564,0.9855148882506486,0.9684203358417967,0.9774463803939272,0.9833313853792676,0.9871844803883721,0.9999999999999993,0.9806706345123706,0.9908497787144043,0.9840794107556328,0.9778480051400915,0.9808258363602198,0.976428920732925,0.9767574230717274,0.9747540689945223,0.9747540689945223,0.9833860076318601,0.9853130882405435,0.9830428743075855,0.9780546469191119
deber,0.9862046802253007,0.991840698464913,0.992433263876588,0.9928281592699741,0.9915083255222953,0.9885627992067294,0.9864012277179761,0.9878326992204775,0.9916174760093754,0.9851149373729049,0.9806706345123706,0.9999999999999996,0.9851163585123668,0.992062666017783,0.9915173857817797,0.9927217383688076,0.9923290940320881,0.9906592988330843,0.9888064248375875,0.9888064248375875,0.9930190719778633,0.9895779694821837,0.991698187992983,0.9918401735775642
debiendo,0.9843691862840864,0.9853384583712619,0.9864361501425465,0.9883399183711109,0.988019390169456,0.988433107614962,0.9753647912638893,0.9826991682131808,0.986763098543899,0.9861215886745142,0.9908497787144043,0.9851163585123668,0.9999999999999996,0.9885970607256158,0.9838301161648804,0.9862518902695699,0.981971045024239,0.9816571943365283,0.9803661587741924,0.9803661587741924,0.9896205685807179,0.9927588295161828,0.9882137921328138,0.9851561026296004
sentimiento de obligación,0.9846978184259236,0.9953605319594743,0.9896516358815153,0.9902118028506414,0.9911137669106137,0.9930624794541759,0.982767163017843,0.9879989206339094,0.9946160329604566,0.9868452546617368,0.9840794107556328,0.992062666017783,0.9885970607256158,0.9999999999999994,0.991104232016301,0.9895249796071631,0.9877153087012434,0.9872482828989849,0.9852254947932281,0.9852254947932281,0.9938259371391289,0.9915277730099284,0.9939507293387092,0.9897645368530815
arrepentido,0.984396731551817,0.9916239016509795,0.9899729611215643,0.9892353421936537,0.9906733418026276,0.9878850996804206,0.9846464991568166,0.9903367810885441,0.9883033554446774,0.9857352025199642,0.9778480051400915,0.9915173857817797,0.9838301161648804,0.991104232016301,0.9999999999999983,0.9905812667653703,0.9902620471175632,0.9902975565191028,0.9872437896766026,0.9872437896766026,0.991500018782943,0.988625424295573,0.9937390245552356,0.9912384403282528
disculpándose,0.9861198783059183,0.9888194222105315,0.9918690168587827,0.992238644606393,0.9911645111982639,0.9864555064016616,0.9855566529280276,0.9885166638611848,0.9878788360379279,0.9844591436708695,0.9808258363602198,0.9927217383688076,0.9862518902695699,0.9895249796071631,0.9905812667653703,0.9999999999999998,0.9959937246180305,0.9937898758911257,0.9931621183170892,0.9931621183170892,0.9914362073424668,0.9899090332915255,0.9901835716177791,0.9914898844523561
disculpas,0.9848251022052928,0.9879666439875001,0.990879317338408,0.9898671666385513,0.9889187855787137,0.9847580666673564,0.9865092312473519,0.987650293195763,0.9865405030709735,0.9810234273839856,0.976428920732925,0.9923290940320881,0.981971045024239,0.9877153087012434,0.9902620471175632,0.9959937246180305,1.0,0.9963053589223875,0.9966858979811031,0.9966858979811031,0.9897639096891172,0.9870082392867557,0.9889627692543507,0.9920014387893804
disculparse,0.9837214732446267,0.987286633721862,0.9909485896732874,0.9880033247173852,0.9876855301948686,0.9837770258694148,0.9839230581798476,0.9870026884605306,0.9852126051893979,0.9817312072840902,0.9767574230717274,0.9906592988330843,0.9816571943365283,0.9872482828989849,0.9902975565191028,0.9937898758911257,0.9963053589223875,1.0,0.9962720730656125,0.9962720730656125,0.9883067291012075,0.9858169809624874,0.9883099272991389,0.9900024224250497
disculpa,0.9830851060789283,0.9856876232179149,0.9887271900992454,0.9858094053342212,0.9861503502440139,0.9825717065019406,0.9837253790176494,0.9837112146113954,0.9844259422652979,0.97795945240412,0.9747540689945223,0.9888064248375875,0.9803661587741924,0.9852254947932281,0.9872437896766026,0.9931621183170892,0.9966858979811031,0.9962720730656125,0.9999999999999996,0.9999999999999996,0.9865184212136734,0.9843504534022994,0.9860601342540711,0.9889979592376752
disculpa,0.9830851060789283,0.9856876232179149,0.9887271900992454,0.9858094053342212,0.9861503502440139,0.9825717065019406,0.9837253790176494,0.9837112146113954,0.9844259422652979,0.97795945240412,0.9747540689945223,0.9888064248375875,0.9803661587741924,0.9852254947932281,0.9872437896766026,0.9931621183170892,0.9966858979811031,0.9962720730656125,0.9999999999999996,0.9999999999999996,0.9865184212136734,0.9843504534022994,0.9860601342540711,0.9889979592376752
perdón,0.9862256030052197,0.9918560116366886,0.9910752262477623,0.9927559368444636,0.9916087622693083,0.9910886239956924,0.9836252292255235,0.988292287714486,0.9909854559363462,0.9858758558997618,0.9833860076318601,0.9930190719778633,0.9896205685807179,0.9938259371391289,0.991500018782943,0.9914362073424668,0.9897639096891172,0.9883067291012075,0.9865184212136734,0.9865184212136734,0.9999999999999999,0.9951476546654435,0.9940793042720606,0.9925357697216282
perdóname,0.9864604865074806,0.988861386625,0.9892409123949247,0.9923217522460425,0.9905719409202794,0.9903383745707868,0.9807082962399298,0.9848395849639842,0.9877481926324564,0.9843268043393865,0.9853130882405435,0.9895779694821837,0.9927588295161828,0.9915277730099284,0.988625424295573,0.9899090332915255,0.9870082392867557,0.9858169809624874,0.9843504534022994,0.9843504534022994,0.9951476546654435,0.9999999999999994,0.9912265265591222,0.9902033212640511
arrepentimiento,0.9853061550917034,0.9946971176731998,0.9890509269615754,0.9890189052203234,0.9891006851232671,0.9893919967520942,0.9834814879029146,0.9898283322020512,0.9918698280811019,0.9852822116143185,0.9830428743075855,0.991698187992983,0.9882137921328138,0.9939507293387092,0.9937390245552356,0.9901835716177791,0.9889627692543507,0.9883099272991389,0.9860601342540711,0.9860601342540711,0.9940793042720606,0.9912265265591222,1.0000000000000004,0.9921468581264823
lo siento,0.9857581042990711,0.9892894312811701,0.9896327791362103,0.9906435947536756,0.988606084404692,0.9862246937392765,0.9862176872818589,0.9873979508491652,0.9879220111489407,0.9828790808664183,0.9780546469191119,0.9918401735775642,0.9851561026296004,0.9897645368530815,0.9912384403282528,0.9914898844523561,0.9920014387893804,0.9900024224250497,0.9889979592376752,0.9889979592376752,0.9925357697216282,0.9902033212640511,0.9921468581264823,0.9999999999999998
