,ngaapresiasi,apresiasi,bersyukur,sukur,kasukuran,syukur,nuhun,bersyukur,kasukuran,nuhun pisan,kaduhung,kaduhung,kawajiban,kapaksa,kawajiban,kewajiban,bogohutang,boga hutang,nu bogohutang,nu kudu dibayar,hapunten,kasedih,hapunten,hampura abdi,menta hapunten,nu ngahapunten,paménta hapunten-hapunten,paménta hapunten
ngaapresiasi,0.9999999999999997,0.9918946778899101,0.9923685091191217,0.9931934771148111,0.9943303562345365,0.9930845025140493,0.9930368137817074,0.9923685091191217,0.9943303562345374,0.9950788744081146,0.9926440160104533,0.9926440160104533,0.993281494055584,0.9932667536271008,0.993281494055584,0.9905419737828517,0.9936498504221277,0.9934757472245137,0.9946719162354356,0.9859091325351059,0.990410739794113,0.9930720489113554,0.990410739794113,0.9927719946588679,0.9923156096222785,0.9931489246694013,0.9936635650021183,0.9933346256632462
apresiasi,0.9918946778899101,0.9999999999999992,0.9876785814932179,0.9911365892106246,0.9910631667944826,0.990326750706531,0.9926463659021615,0.9876785814932179,0.9910631667944828,0.9911376866174053,0.992529747698667,0.992529747698667,0.9908804672522381,0.9891490949647782,0.9908804672522381,0.9862905967831196,0.9883270791269753,0.9886319027158695,0.9922058971684579,0.9849401524118887,0.9921958684748888,0.9912046774386807,0.9921958684748888,0.9904184257151699,0.9919570499315751,0.990113561553625,0.9898340877151648,0.9891789284122914
bersyukur,0.9923685091191217,0.9876785814932179,1.0000000000000002,0.993873995679325,0.9926633939425188,0.9961009789834022,0.9923814540424477,1.0000000000000002,0.9926633939425189,0.9929663361822473,0.9935375368883633,0.9935375368883633,0.9922337093438415,0.9912216883447593,0.9922337093438415,0.9891237500926771,0.9924590992017279,0.993047983915091,0.99288197679403,0.9855148733333968,0.9901101413973437,0.9926495607503283,0.9901101413973437,0.9930818301315801,0.9911465733324686,0.9900982641494338,0.9924476920980656,0.9925385463237955
sukur,0.9931934771148111,0.9911365892106246,0.993873995679325,1.0000000000000004,0.9946145718926418,0.9956184170498756,0.9944856388727404,0.993873995679325,0.9946145718926414,0.9942605179274243,0.993906849569113,0.993906849569113,0.993367595106144,0.9937667284452585,0.993367595106144,0.9911308519566235,0.992902566949457,0.9929602000290065,0.9944658133855553,0.9870085974998893,0.9924145644023343,0.9943553797450471,0.9924145644023343,0.995246516777075,0.9924138926485637,0.99198260437598,0.9934621729231472,0.992422837566723
kasukuran,0.9943303562345365,0.9910631667944826,0.9926633939425188,0.9946145718926418,0.9999999999999997,0.9945870340427098,0.9951083573395885,0.9926633939425188,1.0,0.9946375856887613,0.9940923655961966,0.9940923655961966,0.9969013546363568,0.9948147215314413,0.9969013546363568,0.9918990581640973,0.9942543919213522,0.993276658180435,0.9936463332625961,0.9854873156142567,0.9924789359275416,0.9940204156943566,0.9924789359275416,0.9942009071902229,0.9932623681376795,0.9912544733178836,0.9946674082033857,0.9943653216688874
syukur,0.9930845025140493,0.990326750706531,0.9961009789834022,0.9956184170498756,0.9945870340427098,0.9999999999999991,0.9939183619680512,0.9961009789834022,0.9945870340427098,0.9932925318850617,0.9937072080342593,0.9937072080342593,0.9935837483358093,0.993193381292217,0.9935837483358093,0.9904328273765727,0.9927260658943119,0.9929280121286742,0.9930730051594321,0.9859721857570898,0.9915998773336182,0.9937511987212537,0.9915998773336182,0.9939285945127138,0.9917013753947087,0.9906378885947735,0.9934331090202864,0.9924630392568407
nuhun,0.9930368137817074,0.9926463659021615,0.9923814540424477,0.9944856388727404,0.9951083573395885,0.9939183619680512,1.0,0.9923814540424477,0.995108357339589,0.9948963574290163,0.9966696186524179,0.9966696186524179,0.994652024103837,0.9930122105810005,0.994652024103837,0.9897032708131683,0.992947393455801,0.9921687488392318,0.9949413593671951,0.9887985640456944,0.9939792078760288,0.9946999044440651,0.9939792078760288,0.9943139611320245,0.9938986590024556,0.9928275192345924,0.9935691844108684,0.9928617834082671
bersyukur,0.9923685091191217,0.9876785814932179,1.0000000000000002,0.993873995679325,0.9926633939425188,0.9961009789834022,0.9923814540424477,1.0000000000000002,0.9926633939425189,0.9929663361822473,0.9935375368883633,0.9935375368883633,0.9922337093438415,0.9912216883447593,0.9922337093438415,0.9891237500926771,0.9924590992017279,0.993047983915091,0.99288197679403,0.9855148733333968,0.9901101413973437,0.9926495607503283,0.9901101413973437,0.9930818301315801,0.9911465733324686,0.9900982641494338,0.9924476920980656,0.9925385463237955
kasukuran,0.9943303562345374,0.9910631667944828,0.9926633939425189,0.9946145718926414,1.0,0.9945870340427098,0.995108357339589,0.9926633939425189,0.9999999999999997,0.9946375856887596,0.9940923655961978,0.9940923655961978,0.9969013546363564,0.9948147215314418,0.9969013546363564,0.9918990581640961,0.9942543919213522,0.993276658180435,0.9936463332625961,0.9854873156142567,0.9924789359275416,0.9940204156943566,0.9924789359275416,0.9942009071902229,0.9932623681376795,0.9912544733178836,0.9946674082033857,0.9943653216688874
nuhun pisan,0.9950788744081146,0.9911376866174053,0.9929663361822473,0.9942605179274243,0.9946375856887613,0.9932925318850617,0.9948963574290163,0.9929663361822473,0.9946375856887596,0.9999999999999998,0.9938943429139815,0.9938943429139815,0.9939713296509716,0.9940718623534313,0.9939713296509716,0.9902407450239898,0.9949459463338993,0.9948517935752784,0.9961056641867391,0.9884382383236863,0.9918317574139848,0.9944097160460581,0.9918317574139848,0.9946487486328588,0.9943847857107165,0.9935982679953655,0.9951872888037147,0.995198247899171
kaduhung,0.9926440160104533,0.992529747698667,0.9935375368883633,0.993906849569113,0.9940923655961966,0.9937072080342593,0.9966696186524179,0.9935375368883633,0.9940923655961978,0.9938943429139815,0.9999999999999999,0.9999999999999999,0.9936994887493323,0.9917942284812675,0.9936994887493323,0.9885156729972076,0.9927660453797293,0.9937796188864543,0.9948603112661868,0.9885454717411858,0.9931409867276999,0.9949508594149978,0.9931409867276999,0.9948904672211669,0.9923087521609255,0.9928781028564513,0.9926157081051915,0.9918845660143917
kaduhung,0.9926440160104533,0.992529747698667,0.9935375368883633,0.993906849569113,0.9940923655961966,0.9937072080342593,0.9966696186524179,0.9935375368883633,0.9940923655961978,0.9938943429139815,0.9999999999999999,0.9999999999999999,0.9936994887493323,0.9917942284812675,0.9936994887493323,0.9885156729972076,0.9927660453797293,0.9937796188864543,0.9948603112661868,0.9885454717411858,0.9931409867276999,0.9949508594149978,0.9931409867276999,0.9948904672211669,0.9923087521609255,0.9928781028564513,0.9926157081051915,0.9918845660143917
kawajiban,0.993281494055584,0.9908804672522381,0.9922337093438415,0.993367595106144,0.9969013546363568,0.9935837483358093,0.994652024103837,0.9922337093438415,0.9969013546363564,0.9939713296509716,0.9936994887493323,0.9936994887493323,0.9999999999999996,0.9939463690688467,0.9999999999999996,0.9928023205352693,0.9945627376678532,0.992626826403171,0.9931586368200059,0.9839102318845709,0.9923898790125825,0.994086780893735,0.9923898790125825,0.9941226473157514,0.9925338870677952,0.9912250450312132,0.9937509214195372,0.9931826072130909
kapaksa,0.9932667536271008,0.9891490949647782,0.9912216883447593,0.9937667284452585,0.9948147215314413,0.993193381292217,0.9930122105810005,0.9912216883447593,0.9948147215314418,0.9940718623534313,0.9917942284812675,0.9917942284812675,0.9939463690688467,0.9999999999999996,0.9939463690688467,0.9895315082811406,0.9946597901315529,0.9923603816839017,0.9932869357404327,0.9842688411703765,0.99220720795545,0.9934972311851535,0.99220720795545,0.9946461092211826,0.9927585342769542,0.9907518868799046,0.9944959094690989,0.9935713898704084
kawajiban,0.993281494055584,0.9908804672522381,0.9922337093438415,0.993367595106144,0.9969013546363568,0.9935837483358093,0.994652024103837,0.9922337093438415,0.9969013546363564,0.9939713296509716,0.9936994887493323,0.9936994887493323,0.9999999999999996,0.9939463690688467,0.9999999999999996,0.9928023205352693,0.9945627376678532,0.992626826403171,0.9931586368200059,0.9839102318845709,0.9923898790125825,0.994086780893735,0.9923898790125825,0.9941226473157514,0.9925338870677952,0.9912250450312132,0.9937509214195372,0.9931826072130909
kewajiban,0.9905419737828517,0.9862905967831196,0.9891237500926771,0.9911308519566235,0.9918990581640973,0.9904328273765727,0.9897032708131683,0.9891237500926771,0.9918990581640961,0.9902407450239898,0.9885156729972076,0.9885156729972076,0.9928023205352693,0.9895315082811406,0.9928023205352693,0.9999999999999997,0.9908367352839557,0.9905023133547058,0.9897883609469662,0.9805724363716278,0.9875981608070724,0.9902266383441288,0.9875981608070724,0.9901038329581964,0.9893017235576467,0.9875644566788079,0.9916828122783619,0.9908190566713475
bogohutang,0.9936498504221277,0.9883270791269753,0.9924590992017279,0.992902566949457,0.9942543919213522,0.9927260658943119,0.992947393455801,0.9924590992017279,0.9942543919213522,0.9949459463338993,0.9927660453797293,0.9927660453797293,0.9945627376678532,0.9946597901315529,0.9945627376678532,0.9908367352839557,0.9999999999999999,0.9947405506762463,0.9949905515818194,0.9831739431847144,0.9908964862350768,0.994459876285574,0.9908964862350768,0.9945227095900828,0.9917436887320272,0.9910463907305497,0.9951280064454876,0.9940225268546654
boga hutang,0.9934757472245137,0.9886319027158695,0.993047983915091,0.9929602000290065,0.993276658180435,0.9929280121286742,0.9921687488392318,0.993047983915091,0.993276658180435,0.9948517935752784,0.9937796188864543,0.9937796188864543,0.992626826403171,0.9923603816839017,0.992626826403171,0.9905023133547058,0.9947405506762463,0.9999999999999996,0.9949315530537002,0.987890343432404,0.9896990548600836,0.9924308854737197,0.9896990548600836,0.9940126978888646,0.9911286522319281,0.992049470397224,0.9940785157862242,0.9931633259302641
nu bogohutang,0.9946719162354356,0.9922058971684579,0.99288197679403,0.9944658133855553,0.9936463332625961,0.9930730051594321,0.9949413593671951,0.99288197679403,0.9936463332625961,0.9961056641867391,0.9948603112661868,0.9948603112661868,0.9931586368200059,0.9932869357404327,0.9931586368200059,0.9897883609469662,0.9949905515818194,0.9949315530537002,0.9999999999999997,0.9914895738882633,0.9923190362879171,0.9937510064784612,0.9923190362879171,0.9938277824661228,0.9940448540051573,0.9947826946648445,0.9937603168543434,0.9934642002892402
nu kudu dibayar,0.9859091325351059,0.9849401524118887,0.9855148733333968,0.9870085974998893,0.9854873156142567,0.9859721857570898,0.9887985640456944,0.9855148733333968,0.9854873156142567,0.9884382383236863,0.9885454717411858,0.9885454717411858,0.9839102318845709,0.9842688411703765,0.9839102318845709,0.9805724363716278,0.9831739431847144,0.987890343432404,0.9914895738882633,0.9999999999999998,0.9851128825609796,0.984489996114308,0.9851128825609796,0.9859415787347059,0.9857179205544834,0.9905082232563543,0.9844353302158493,0.984742803602764
hapunten,0.990410739794113,0.9921958684748888,0.9901101413973437,0.9924145644023343,0.9924789359275416,0.9915998773336182,0.9939792078760288,0.9901101413973437,0.9924789359275416,0.9918317574139848,0.9931409867276999,0.9931409867276999,0.9923898790125825,0.99220720795545,0.9923898790125825,0.9875981608070724,0.9908964862350768,0.9896990548600836,0.9923190362879171,0.9851128825609796,1.0000000000000002,0.9926756477541052,1.0000000000000002,0.9931363933233791,0.9956079805899454,0.9912064639604654,0.9939960734312647,0.9935908391246847
