,kuthamini,uthamini,shukrani,kushukuru,mshukuru,deni,wajibu,mwajibika,hisia ya wajibu,samahani,samahani,nisamehe,samahani,nisamehe,huzuni,samahani,kwa kuomba msamaha,kuomba msamaha
kuthamini,0.9999999999999998,0.9734110063116967,0.9683275417107957,0.9709338977382244,0.971007670725441,0.96967241375072,0.9560405382902876,0.9712900638424387,0.9664135179564332,0.9719098015011949,0.9719098015011949,0.9692891228104821,0.9719098015011949,0.9692891228104821,0.9657236621910239,0.9719098015011949,0.9684346087715584,0.9734217555280531
uthamini,0.9734110063116967,0.9999999999999991,0.9937956447061917,0.9965196770033169,0.9964287224973294,0.9961818241545046,0.9736545080184064,0.9921568238373385,0.9879483495946089,0.9969880953858571,0.9969880953858571,0.9945581435505094,0.9969880953858571,0.9945581435505094,0.9904978425477985,0.9969880953858571,0.9925001792676135,0.9961476325957984
shukrani,0.9683275417107957,0.9937956447061917,0.9999999999999996,0.993208837308388,0.99361070018309,0.9947764988100168,0.9726137624829345,0.9887918177944315,0.9864233645853346,0.9948505702974573,0.9948505702974573,0.9921624505936023,0.9948505702974573,0.9921624505936023,0.9911043538682984,0.9948505702974573,0.990254485771486,0.9924123877406802
kushukuru,0.9709338977382244,0.9965196770033169,0.993208837308388,1.0000000000000002,0.998777794092936,0.9956536838483157,0.9760019277997606,0.9925577843755333,0.9895332968198028,0.9964940849340782,0.9964940849340782,0.9964117471868439,0.9964940849340782,0.9964117471868439,0.9912467650916489,0.9964940849340782,0.9930999369545362,0.9970703152529062
mshukuru,0.971007670725441,0.9964287224973294,0.99361070018309,0.998777794092936,0.9999999999999996,0.9958482642806785,0.9784246296858997,0.9940127153863504,0.9906866110329903,0.9964037061775959,0.9964037061775959,0.9958747737842116,0.9964037061775959,0.9958747737842116,0.9904758223253101,0.9964037061775959,0.9940301941909606,0.9971488825216349
deni,0.96967241375072,0.9961818241545046,0.9947764988100168,0.9956536838483157,0.9958482642806785,0.9999999999999998,0.9725090700317386,0.9904116980592448,0.9874544981162423,0.9974664815105044,0.9974664815105044,0.9946316004088904,0.9974664815105044,0.9946316004088904,0.991810588283745,0.9974664815105044,0.9921176430806838,0.994555072760702
wajibu,0.9560405382902876,0.9736545080184064,0.9726137624829345,0.9760019277997606,0.9784246296858997,0.9725090700317386,1.0,0.9826696469425171,0.9887881319882369,0.9730758416051358,0.9730758416051358,0.9737113725587695,0.9730758416051358,0.9737113725587695,0.9689367668750979,0.9730758416051358,0.9779629040361993,0.9784196226427361
mwajibika,0.9712900638424387,0.9921568238373385,0.9887918177944315,0.9925577843755333,0.9940127153863504,0.9904116980592448,0.9826696469425171,0.9999999999999997,0.992630446034585,0.9914204206521446,0.9914204206521446,0.9902711564979242,0.9914204206521446,0.9902711564979242,0.9850430861087756,0.9914204206521446,0.9947204088478871,0.9951767870030841
hisia ya wajibu,0.9664135179564332,0.9879483495946089,0.9864233645853346,0.9895332968198028,0.9906866110329903,0.9874544981162423,0.9887881319882369,0.992630446034585,0.9999999999999998,0.9877268459250883,0.9877268459250883,0.986266160980957,0.9877268459250883,0.986266160980957,0.9820417631752002,0.9877268459250883,0.9911637997994743,0.9909801506274317
samahani,0.9719098015011949,0.9969880953858571,0.9948505702974573,0.9964940849340782,0.9964037061775959,0.9974664815105044,0.9730758416051358,0.9914204206521446,0.9877268459250883,1.0,1.0,0.9954665982749878,1.0,0.9954665982749878,0.991170858030915,1.0,0.9930898471749777,0.9960495818627623
samahani,0.9719098015011949,0.9969880953858571,0.9948505702974573,0.9964940849340782,0.9964037061775959,0.9974664815105044,0.9730758416051358,0.9914204206521446,0.9877268459250883,1.0,1.0,0.9954665982749878,1.0,0.9954665982749878,0.991170858030915,1.0,0.9930898471749777,0.9960495818627623
nisamehe,0.9692891228104821,0.9945581435505094,0.9921624505936023,0.9964117471868439,0.9958747737842116,0.9946316004088904,0.9737113725587695,0.9902711564979242,0.986266160980957,0.9954665982749878,0.9954665982749878,0.9999999999999998,0.9954665982749878,0.9999999999999998,0.9893042709729104,0.9954665982749878,0.9909852436278582,0.9949911613071444
samahani,0.9719098015011949,0.9969880953858571,0.9948505702974573,0.9964940849340782,0.9964037061775959,0.9974664815105044,0.9730758416051358,0.9914204206521446,0.9877268459250883,1.0,1.0,0.9954665982749878,1.0,0.9954665982749878,0.991170858030915,1.0,0.9930898471749777,0.9960495818627623
nisamehe,0.9692891228104821,0.9945581435505094,0.9921624505936023,0.9964117471868439,0.9958747737842116,0.9946316004088904,0.9737113725587695,0.9902711564979242,0.986266160980957,0.9954665982749878,0.9954665982749878,0.9999999999999998,0.9954665982749878,0.9999999999999998,0.9893042709729104,0.9954665982749878,0.9909852436278582,0.9949911613071444
huzuni,0.9657236621910239,0.9904978425477985,0.9911043538682984,0.9912467650916489,0.9904758223253101,0.991810588283745,0.9689367668750979,0.9850430861087756,0.9820417631752002,0.991170858030915,0.991170858030915,0.9893042709729104,0.991170858030915,0.9893042709729104,0.9999999999999991,0.991170858030915,0.9874489726007777,0.9890548357528798
samahani,0.9719098015011949,0.9969880953858571,0.9948505702974573,0.9964940849340782,0.9964037061775959,0.9974664815105044,0.9730758416051358,0.9914204206521446,0.9877268459250883,1.0,1.0,0.9954665982749878,1.0,0.9954665982749878,0.991170858030915,1.0,0.9930898471749777,0.9960495818627623
kwa kuomba msamaha,0.9684346087715584,0.9925001792676135,0.990254485771486,0.9930999369545362,0.9940301941909606,0.9921176430806838,0.9779629040361993,0.9947204088478871,0.9911637997994743,0.9930898471749777,0.9930898471749777,0.9909852436278582,0.9930898471749777,0.9909852436278582,0.9874489726007777,0.9930898471749777,1.0000000000000007,0.9954226159764257
kuomba msamaha,0.9734217555280531,0.9961476325957984,0.9924123877406802,0.9970703152529062,0.9971488825216349,0.994555072760702,0.9784196226427361,0.9951767870030841,0.9909801506274317,0.9960495818627623,0.9960495818627623,0.9949911613071444,0.9960495818627623,0.9949911613071444,0.9890548357528798,0.9960495818627623,0.9954226159764257,0.9999999999999994
