,uppskatta,uppskattning,tacksam,tacksamhet,tacksamhet,tack,tacksam,tacksamhet,skuldsatt,skuldsättning,förpliktelse,förpliktad,åtagande,skyldig,vara skyldig,ursäktande,ursäkter,ursäkt,sorgsenhet,förlåt,förlåt mig,be om ursäkt,ursäkta mig
uppskatta,0.9999999999999996,0.9891823727122712,0.9727558206420667,0.971820127754504,0.971820127754504,0.9739351310803346,0.9727558206420667,0.971820127754504,0.9781674062310314,0.9767905003254433,0.9759069202854692,0.981203384787759,0.9793943264296116,0.9662139374154678,0.9748899194095303,0.9838956347060918,0.9796788471100606,0.979602616814076,0.9738927439422151,0.974965055604774,0.9726232408487548,0.9818834446296055,0.9753850373571831
uppskattning,0.9891823727122712,1.0,0.9504975055901077,0.9501218468730319,0.9501218468730319,0.9520506272934033,0.9504975055901077,0.9501218468730319,0.9574123593934976,0.9581056717658533,0.9549363920512547,0.9657401280726041,0.9593852823395581,0.9441452054488354,0.9550286623755639,0.966465691092213,0.958581366302206,0.9583313455370146,0.9519399797624216,0.9530865596033792,0.9504696353898031,0.9616132416397978,0.9530111926445942
tacksam,0.9727558206420667,0.9504975055901077,1.0,0.9888975844833747,0.9888975844833747,0.9961085407089538,1.0,0.9888975844833747,0.9924009522149586,0.98774012694207,0.9906138660425231,0.9840080040477784,0.9902524172662812,0.9887069534484271,0.9875561530569886,0.9881258585494634,0.9924567869095906,0.9933768936269244,0.9915173193213523,0.9947683076300642,0.9930193346351619,0.9885409924793576,0.9945273976503711
tacksamhet,0.971820127754504,0.9501218468730319,0.9888975844833747,0.9999999999999998,0.9999999999999998,0.9897429693081193,0.9888975844833747,0.9999999999999998,0.9879029008483421,0.9854560746998736,0.9856904718969941,0.9813876827689414,0.9919159222357832,0.9849772042267143,0.9832050782143082,0.9852289711877993,0.9887585994867298,0.9899030369073057,0.9873372447616002,0.9895535760292039,0.9863807580039323,0.9875088946547541,0.9878585841763746
tacksamhet,0.971820127754504,0.9501218468730319,0.9888975844833747,0.9999999999999998,0.9999999999999998,0.9897429693081193,0.9888975844833747,0.9999999999999998,0.9879029008483421,0.9854560746998736,0.9856904718969941,0.9813876827689414,0.9919159222357832,0.9849772042267143,0.9832050782143082,0.9852289711877993,0.9887585994867298,0.9899030369073057,0.9873372447616002,0.9895535760292039,0.9863807580039323,0.9875088946547541,0.9878585841763746
tack,0.9739351310803346,0.9520506272934033,0.9961085407089538,0.9897429693081193,0.9897429693081193,0.9999999999999991,0.9961085407089538,0.9897429693081193,0.9935516407916062,0.9893576452609674,0.9921120235363836,0.9849140321994657,0.9914314454675497,0.9906658621096082,0.9887571380920148,0.9895617730947089,0.9942444573137877,0.9944746831679624,0.9919351734193766,0.9958531319450536,0.9930110224692403,0.9907571168972059,0.9943123174591344
tacksam,0.9727558206420667,0.9504975055901077,1.0,0.9888975844833747,0.9888975844833747,0.9961085407089538,1.0,0.9888975844833747,0.9924009522149586,0.98774012694207,0.9906138660425231,0.9840080040477784,0.9902524172662812,0.9887069534484271,0.9875561530569886,0.9881258585494634,0.9924567869095906,0.9933768936269244,0.9915173193213523,0.9947683076300642,0.9930193346351619,0.9885409924793576,0.9945273976503711
tacksamhet,0.971820127754504,0.9501218468730319,0.9888975844833747,0.9999999999999998,0.9999999999999998,0.9897429693081193,0.9888975844833747,0.9999999999999998,0.9879029008483421,0.9854560746998736,0.9856904718969941,0.9813876827689414,0.9919159222357832,0.9849772042267143,0.9832050782143082,0.9852289711877993,0.9887585994867298,0.9899030369073057,0.9873372447616002,0.9895535760292039,0.9863807580039323,0.9875088946547541,0.9878585841763746
skuldsatt,0.9781674062310314,0.9574123593934976,0.9924009522149586,0.9879029008483421,0.9879029008483421,0.9935516407916062,0.9924009522149586,0.9879029008483421,0.999999999999999,0.9958267039940137,0.9946962393412764,0.9884794733035143,0.9914691439589721,0.9881726669139301,0.9917033610776235,0.9931101528099875,0.9945490725716526,0.9947201430477666,0.9939288833043024,0.9942876023746509,0.9922312625511233,0.9935328921273,0.9933009420838544
skuldsättning,0.9767905003254433,0.9581056717658533,0.98774012694207,0.9854560746998736,0.9854560746998736,0.9893576452609674,0.98774012694207,0.9854560746998736,0.9958267039940137,0.9999999999999993,0.9928863670504616,0.9855579788337464,0.9912021893407882,0.9830014078994739,0.9879761092009862,0.9932103846675803,0.9933193649471784,0.9938629506244606,0.9942061765172797,0.9916271666551136,0.9882215508612685,0.9932240361425502,0.989307147388206
