,pahalagahan,pagpapahalaga,mapagpasalamat,pasasalamat,pasasalamat,salamat,mapagpasalamat,pasasalamat,pagkakautang,obligasyon,napilitang,obligado,pananagutan,utang,may utang,utang na dapat bayaran,mapagpaumanhin,paumanhin,pasensya,paumanhin,pagkalungkot,patawad,humingi ng paumanhin,patawarin mo ako,mga paumanhin
pahalagahan,0.9999999999999997,0.9942464910349824,0.9952231799375176,0.995618416045188,0.995618416045188,0.9967074391747905,0.9952231799375176,0.995618416045188,0.9780365868173467,0.9891378584003409,0.9944102935464926,0.9819823639872508,0.9964553470779771,0.9909500539692442,0.992588437602455,0.9943125206937544,0.9967843544031979,0.9930437824248746,0.9960948010236245,0.9930437824248746,0.9905055854975617,0.9973238208540811,0.9922905648656876,0.9924840729661492,0.9919260615950414
pagpapahalaga,0.9942464910349824,0.9999999999999996,0.9924991084139945,0.9923370654706588,0.9923370654706588,0.9915553399701778,0.9924991084139945,0.9923370654706588,0.9796430379714092,0.9869172811528648,0.991791906714762,0.9778119801753066,0.9944166790908114,0.9872426344320288,0.9900204996199629,0.9921344583583497,0.9932599282828933,0.9864332560701293,0.9921871816622221,0.9864332560701293,0.9913200164619711,0.994020500344308,0.9930160668275557,0.988994292671276,0.9930207099805336
mapagpasalamat,0.9952231799375176,0.9924991084139945,0.9999999999999994,0.99528244537724,0.99528244537724,0.9939666815769199,0.9999999999999994,0.99528244537724,0.9791818853217283,0.988792359573575,0.9930606778016686,0.9786168914926935,0.9935139853807928,0.9903237346810723,0.9916181285221841,0.9922997512386754,0.9970377928362221,0.990185621576671,0.9936621042223677,0.990185621576671,0.9897513904527502,0.994348818056456,0.9915327770764679,0.9911241095951941,0.9912116555132066
pasasalamat,0.995618416045188,0.9923370654706588,0.99528244537724,0.9999999999999993,0.9999999999999993,0.9954411327540017,0.99528244537724,0.9999999999999993,0.9776317278007897,0.986628655416264,0.9929191985837899,0.9821238810796108,0.9935307274044398,0.9901319457861889,0.9916034884961713,0.9926453889318759,0.9954304125968052,0.9922735508761674,0.9944935927514673,0.9922735508761674,0.9893273349415471,0.9952704332421801,0.9896650799985649,0.9905863993315998,0.989905498193713
pasasalamat,0.995618416045188,0.9923370654706588,0.99528244537724,0.9999999999999993,0.9999999999999993,0.9954411327540017,0.99528244537724,0.9999999999999993,0.9776317278007897,0.986628655416264,0.9929191985837899,0.9821238810796108,0.9935307274044398,0.9901319457861889,0.9916034884961713,0.9926453889318759,0.9954304125968052,0.9922735508761674,0.9944935927514673,0.9922735508761674,0.9893273349415471,0.9952704332421801,0.9896650799985649,0.9905863993315998,0.989905498193713
salamat,0.9967074391747905,0.9915553399701778,0.9939666815769199,0.9954411327540017,0.9954411327540017,0.9999999999999998,0.9939666815769199,0.9954411327540017,0.9789647836974613,0.9877222476912948,0.9951464256182402,0.9860376281119727,0.9945104218097558,0.9927804427537726,0.9936210106398787,0.9946288003552252,0.9957699676116714,0.994702915902333,0.9972671251276297,0.994702915902333,0.989701318474307,0.9974769110318553,0.9902595004755144,0.9942169908937138,0.9901161269156649
mapagpasalamat,0.9952231799375176,0.9924991084139945,0.9999999999999994,0.99528244537724,0.99528244537724,0.9939666815769199,0.9999999999999994,0.99528244537724,0.9791818853217283,0.988792359573575,0.9930606778016686,0.9786168914926935,0.9935139853807928,0.9903237346810723,0.9916181285221841,0.9922997512386754,0.9970377928362221,0.990185621576671,0.9936621042223677,0.990185621576671,0.9897513904527502,0.994348818056456,0.9915327770764679,0.9911241095951941,0.9912116555132066
pasasalamat,0.995618416045188,0.9923370654706588,0.99528244537724,0.9999999999999993,0.9999999999999993,0.9954411327540017,0.99528244537724,0.9999999999999993,0.9776317278007897,0.986628655416264,0.9929191985837899,0.9821238810796108,0.9935307274044398,0.9901319457861889,0.9916034884961713,0.9926453889318759,0.9954304125968052,0.9922735508761674,0.9944935927514673,0.9922735508761674,0.9893273349415471,0.9952704332421801,0.9896650799985649,0.9905863993315998,0.989905498193713
pagkakautang,0.9780365868173467,0.9796430379714092,0.9791818853217283,0.9776317278007897,0.9776317278007897,0.9789647836974613,0.9791818853217283,0.9776317278007897,1.0000000000000002,0.973030738814385,0.9849480982254762,0.9705275853943037,0.9817591105945881,0.9771099560472145,0.9791040231959162,0.9795865806410797,0.9797836798893359,0.9771501753784106,0.9797967010689292,0.9771501753784106,0.9864404834669317,0.9797912601796774,0.9814946024409524,0.9798604943730952,0.9801579898739109
obligasyon,0.9891378584003409,0.9869172811528648,0.988792359573575,0.986628655416264,0.986628655416264,0.9877222476912948,0.988792359573575,0.986628655416264,0.973030738814385,0.9999999999999993,0.9886931481772597,0.9752310649010764,0.9897258166363295,0.9838646854627024,0.9852131982049284,0.9870424157768686,0.990709033568192,0.9850553900349839,0.9882862302551734,0.9850553900349839,0.9832130520545725,0.9882644941870525,0.9900561105882634,0.9850220642620603,0.9888870582859854
napilitang,0.9944102935464926,0.991791906714762,0.9930606778016686,0.9929191985837899,0.9929191985837899,0.9951464256182402,0.9930606778016686,0.9929191985837899,0.9849480982254762,0.9886931481772597,0.9999999999999992,0.9854731656221367,0.9940840639142352,0.9933892670942115,0.9942211526753473,0.9948886848826883,0.994528342431356,0.9929518322497637,0.9956297602597454,0.9929518322497637,0.9915095788036645,0.9953409464376284,0.991547271129003,0.9948520282490019,0.9906213843811824
obligado,0.9819823639872508,0.9778119801753066,0.9786168914926935,0.9821238810796108,0.9821238810796108,0.9860376281119727,0.9786168914926935,0.9821238810796108,0.9705275853943037,0.9752310649010764,0.9854731656221367,1.0000000000000002,0.9812545344427165,0.9836190683083604,0.9833906668004323,0.9833207663647354,0.9816823934636774,0.9875382705913552,0.9859248110376204,0.9875382705913552,0.9787664189354064,0.9848086103529052,0.9766408158512072,0.9843655593619115,0.9753266786227895
pananagutan,0.9964553470779771,0.9944166790908114,0.9935139853807928,0.9935307274044398,0.9935307274044398,0.9945104218097558,0.9935139853807928,0.9935307274044398,0.9817591105945881,0.9897258166363295,0.9940840639142352,0.9812545344427165,1.0000000000000002,0.9890994671758249,0.9908505636756834,0.9935508668294095,0.9954957392065887,0.9907370922570086,0.994076978861563,0.9907370922570086,0.9932027262656147,0.9952912380530917,0.9941111121000181,0.9908016139094105,0.9930134690867288
