,қадршиносӣ,сипосгузор,сипосгузорӣ,миннатдорӣ,ташаккур,миннатдор,миннатдорӣ,қадр кардан,қарздор,қарздории,мулзим,қарздор,қарздор будан,ӯҳдадорӣ (ūҳdadorī),ӯҳдадори́ (ūҳdadorī),узрхоҳона,узрхоҳона,узрҳо,узрҳо,узр,узр,бубахшед,бубахшед,мебахшед,афсӯс,афсӯс,мебахшед,маро бубахшед,маро бубахшед,узр пурсидан,узр пурсидан
қадршиносӣ,0.9999999999999998,0.9951339679701007,0.9955438575859441,0.9940262836594644,0.9929590187850387,0.9925532680018866,0.9940262836594644,0.9936941300386749,0.9942861874691465,0.9955060573415538,0.9941546728172235,0.9942861874691465,0.9937816200250332,0.9906266891426768,0.9906266891426768,0.9917230583244251,0.9917230583244251,0.9911230398556411,0.9911230398556411,0.9915969879867843,0.9915969879867843,0.9946310556011072,0.9946310556011072,0.9928076978525892,0.9954423709458549,0.9954423709458549,0.9928076978525892,0.99285140672327,0.99285140672327,0.9917287231550972,0.9917287231550972
сипосгузор,0.9951339679701007,0.9999999999999999,0.9981196036548858,0.9954777383289221,0.9945075926281133,0.9941246167059876,0.9954777383289221,0.9923784030085666,0.9915865288754899,0.9921121621231667,0.9939527328163846,0.9915865288754899,0.9904077350049098,0.9924249361439893,0.9924249361439893,0.9921107712893361,0.9921107712893361,0.9928237209979597,0.9928237209979597,0.9914558087928135,0.9914558087928135,0.9960851147463968,0.9960851147463968,0.994647476557657,0.9963522730164429,0.9963522730164429,0.994647476557657,0.9950368029873559,0.9950368029873559,0.9931237925787468,0.9931237925787468
сипосгузорӣ,0.9955438575859441,0.9981196036548858,0.9999999999999998,0.9962237334104342,0.9944037979465473,0.994285945571711,0.9962237334104342,0.9927240273331568,0.9929316829102119,0.9933336553773454,0.9936114791932121,0.9929316829102119,0.9904061473705723,0.9941102715547385,0.9941102715547385,0.9940774280894914,0.9940774280894914,0.994677016452148,0.994677016452148,0.9914757916441085,0.9914757916441085,0.9966374452294886,0.9966374452294886,0.9949217687596663,0.9965240422608447,0.9965240422608447,0.9949217687596663,0.9950606975870462,0.9950606975870462,0.9944602942855094,0.9944602942855094
миннатдорӣ,0.9940262836594644,0.9954777383289221,0.9962237334104342,0.9999999999999998,0.993060536729172,0.9959006359123591,0.9999999999999998,0.9918174084646078,0.9909989358973869,0.9917671571952398,0.991873282226613,0.9909989358973869,0.9905104871508563,0.9926689256148968,0.9926689256148968,0.9925742495756658,0.9925742495756658,0.9923555909810882,0.9923555909810882,0.9890179117358119,0.9890179117358119,0.9951777331960904,0.9951777331960904,0.9928611913915977,0.9947615025175959,0.9947615025175959,0.9928611913915977,0.993138504555819,0.993138504555819,0.9928980605709877,0.9928980605709877
ташаккур,0.9929590187850387,0.9945075926281133,0.9944037979465473,0.993060536729172,0.9999999999999998,0.99339410150627,0.993060536729172,0.9914045642086469,0.9942520496078814,0.9932491233685103,0.9913213994165931,0.9942520496078814,0.9897852098024615,0.9913177898519318,0.9913177898519318,0.9918954702325155,0.9918954702325155,0.9927000981954733,0.9927000981954733,0.988262464511993,0.988262464511993,0.9957928762607989,0.9957928762607989,0.9930656559751538,0.9935266070948041,0.9935266070948041,0.9930656559751538,0.9932024763863375,0.9932024763863375,0.9938714301514333,0.9938714301514333
миннатдор,0.9925532680018866,0.9941246167059876,0.994285945571711,0.9959006359123591,0.99339410150627,0.9999999999999996,0.9959006359123591,0.9899189068899605,0.9902849172822867,0.9904917271868815,0.9896971477792977,0.9902849172822867,0.9878488158012476,0.990101147620182,0.990101147620182,0.9911852941762462,0.9911852941762462,0.9910680464000299,0.9910680464000299,0.9878772848048127,0.9878772848048127,0.9933012773331662,0.9933012773331662,0.9908793689867502,0.9918466435322824,0.9918466435322824,0.9908793689867502,0.9909603963435563,0.9909603963435563,0.9911053117692215,0.9911053117692215
миннатдорӣ,0.9940262836594644,0.9954777383289221,0.9962237334104342,0.9999999999999998,0.993060536729172,0.9959006359123591,0.9999999999999998,0.9918174084646078,0.9909989358973869,0.9917671571952398,0.991873282226613,0.9909989358973869,0.9905104871508563,0.9926689256148968,0.9926689256148968,0.9925742495756658,0.9925742495756658,0.9923555909810882,0.9923555909810882,0.9890179117358119,0.9890179117358119,0.9951777331960904,0.9951777331960904,0.9928611913915977,0.9947615025175959,0.9947615025175959,0.9928611913915977,0.993138504555819,0.993138504555819,0.9928980605709877,0.9928980605709877
қадр кардан,0.9936941300386749,0.9923784030085666,0.9927240273331568,0.9918174084646078,0.9914045642086469,0.9899189068899605,0.9918174084646078,0.9999999999999992,0.9924731116359374,0.9922602226395193,0.9928973612255243,0.9924731116359374,0.9938177778839933,0.9901032958707998,0.9901032958707998,0.991010148660425,0.991010148660425,0.990479674472236,0.990479674472236,0.9885319982273983,0.9885319982273983,0.9928261172404821,0.9928261172404821,0.9915931236344436,0.99308634378134,0.99308634378134,0.9915931236344436,0.9914137222208155,0.9914137222208155,0.9924582757566165,0.9924582757566165
қарздор,0.9942861874691465,0.9915865288754899,0.9929316829102119,0.9909989358973869,0.9942520496078814,0.9902849172822867,0.9909989358973869,0.9924731116359374,0.9999999999999993,0.9979373780116071,0.990329759893289,0.9999999999999993,0.9937637426404635,0.9911912169654455,0.9911912169654455,0.9916082490572721,0.9916082490572725,0.9916997272889858,0.9916997272889858,0.9881313231974779,0.9881313231974779,0.9934201638784854,0.9934201638784854,0.9909723665295402,0.9920823499748345,0.9920823499748345,0.9909723665295402,0.9911310704443824,0.9911310704443824,0.9919364346430292,0.9919364346430292
қарздории,0.9955060573415538,0.9921121621231667,0.9933336553773454,0.9917671571952398,0.9932491233685103,0.9904917271868815,0.9917671571952398,0.9922602226395193,0.9979373780116071,0.9999999999999998,0.9909674454405781,0.9979373780116071,0.9929509468516731,0.9903105482567948,0.9903105482567948,0.9912296005634866,0.9912296005634872,0.9908583237852616,0.9908583237852616,0.98851878157391,0.98851878157391,0.9933160835170253,0.9933160835170253,0.9910814304710794,0.9926565963774278,0.9926565963774278,0.9910814304710794,0.990458489442899,0.990458489442899,0.9914795688270187,0.9914795688270187
