,மதிப்பளிக்கவும்,பாராட்டு,நன்றியுள்ள,நன்றி,நன்றியுள்ள,நன்றி உணர்வு,நன்றி உணர்வு,நன்றி உணர்வு,கடன்பாடு,கடமை,கடமைப்பட்ட,பொறுப்பு,கடன்,கடன் பட்டவர்,நீக்கமுடியாத கடன்,மன்னிப்புகள்,மன்னிப்பு,மன்னிக்கவும்,வருத்தம்,மன்னிக்கவும்,மன்னிப்பு கேட்பவன்,மன்னிப்பு கேட்க,என்னை மன்னியுங்கள்
மதிப்பளிக்கவும்,0.9999999999999999,0.9842339297796511,0.986142937791333,0.9946190704764417,0.986142937791333,0.9954073670321263,0.9954073670321263,0.9954073670321263,0.9937140629297554,0.99471035647642,0.9940580614627673,0.9954511289630752,0.9917020401491666,0.995340336689199,0.9947449431289324,0.9948734001466795,0.9948830291527562,0.9974693684480513,0.9941180441250139,0.9974693684480513,0.9946320685235371,0.9946689061689786,0.9936304172558713
பாராட்டு,0.9842339297796511,1.0000000000000002,0.9782155700679864,0.9850474639754188,0.9782155700679864,0.9833744318103605,0.9833744318103605,0.9833744318103605,0.9844250903181478,0.9858931085227968,0.9858489743385668,0.9869599287853251,0.9839547656621646,0.985347322072894,0.9838263831924579,0.98651563599874,0.986726627040448,0.9839278298079909,0.9845790276196229,0.9839278298079909,0.984999840002841,0.984238998792466,0.9829966656828308
நன்றியுள்ள,0.986142937791333,0.9782155700679864,0.9999999999999994,0.9899764289898677,0.9999999999999994,0.9844803491862117,0.9844803491862117,0.9844803491862117,0.9821503808981148,0.9829509082266464,0.9855080769325463,0.9858668114172897,0.9864569459263082,0.9881309922406638,0.9832798248710759,0.9861416163399135,0.9873241761520687,0.9875246113167038,0.9874852506624969,0.9875246113167038,0.9848302050276244,0.983002344171454,0.985406852928592
நன்றி,0.9946190704764417,0.9850474639754188,0.9899764289898677,0.9999999999999997,0.9899764289898677,0.9960090368783598,0.9960090368783598,0.9960090368783598,0.992182707958309,0.9943996611469067,0.9933289990403215,0.9950796503466486,0.9943652896336191,0.9951708976528906,0.9928988524319555,0.9946631336335175,0.9958567136210863,0.9957705423686409,0.9959947812333829,0.9957705423686409,0.9947485390630539,0.9944098715276685,0.9943656556696974
நன்றியுள்ள,0.986142937791333,0.9782155700679864,0.9999999999999994,0.9899764289898677,0.9999999999999994,0.9844803491862117,0.9844803491862117,0.9844803491862117,0.9821503808981148,0.9829509082266464,0.9855080769325463,0.9858668114172897,0.9864569459263082,0.9881309922406638,0.9832798248710759,0.9861416163399135,0.9873241761520687,0.9875246113167038,0.9874852506624969,0.9875246113167038,0.9848302050276244,0.983002344171454,0.985406852928592
நன்றி உணர்வு,0.9954073670321263,0.9833744318103605,0.9844803491862117,0.9960090368783598,0.9844803491862117,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9954910898086504,0.9966839375479143,0.9947430921222731,0.9956423837567131,0.9913646547284929,0.9955578745172743,0.9961624682443582,0.9954563701833686,0.9959861254484413,0.9950024110224313,0.995184494270505,0.9950024110224313,0.9966688804724861,0.9966568418815002,0.9957474004939747
நன்றி உணர்வு,0.9954073670321263,0.9833744318103605,0.9844803491862117,0.9960090368783598,0.9844803491862117,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9954910898086504,0.9966839375479143,0.9947430921222731,0.9956423837567131,0.9913646547284929,0.9955578745172743,0.9961624682443582,0.9954563701833686,0.9959861254484413,0.9950024110224313,0.995184494270505,0.9950024110224313,0.9966688804724861,0.9966568418815002,0.9957474004939747
நன்றி உணர்வு,0.9954073670321263,0.9833744318103605,0.9844803491862117,0.9960090368783598,0.9844803491862117,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9954910898086504,0.9966839375479143,0.9947430921222731,0.9956423837567131,0.9913646547284929,0.9955578745172743,0.9961624682443582,0.9954563701833686,0.9959861254484413,0.9950024110224313,0.995184494270505,0.9950024110224313,0.9966688804724861,0.9966568418815002,0.9957474004939747
கடன்பாடு,0.9937140629297554,0.9844250903181478,0.9821503808981148,0.992182707958309,0.9821503808981148,0.9954910898086504,0.9954910898086504,0.9954910898086504,0.9999999999999992,0.9974531913494323,0.9947457615497086,0.9951928048802658,0.9919481920010783,0.9950212232693361,0.9973081200676821,0.9954245388060241,0.9955152566153812,0.9925156547153535,0.9944593516919134,0.9925156547153535,0.9945086861218047,0.9946610463103939,0.9921722018019891
கடமை,0.99471035647642,0.9858931085227968,0.9829509082266464,0.9943996611469067,0.9829509082266464,0.9966839375479143,0.9966839375479143,0.9966839375479143,0.9974531913494323,0.9999999999999997,0.996795254496005,0.9964993132652031,0.9928231410175311,0.9950213122133811,0.9966305755415799,0.9969896686300836,0.9967777476383456,0.9938335455224961,0.9951175134886163,0.9938335455224961,0.9952612768168408,0.9958180411961555,0.9930078072981902
கடமைப்பட்ட,0.9940580614627673,0.9858489743385668,0.9855080769325463,0.9933289990403215,0.9855080769325463,0.9947430921222731,0.9947430921222731,0.9947430921222731,0.9947457615497086,0.996795254496005,1.0,0.9955294118420601,0.9917125216280074,0.9946011546855887,0.9947001670699461,0.9967237547047343,0.9963747554311082,0.9930559645126892,0.9940834960844358,0.9930559645126892,0.994053684548354,0.9939851927925817,0.9912868368287163
பொறுப்பு,0.9954511289630752,0.9869599287853251,0.9858668114172897,0.9950796503466486,0.9858668114172897,0.9956423837567131,0.9956423837567131,0.9956423837567131,0.9951928048802658,0.9964993132652031,0.9955294118420601,0.9999999999999993,0.9936310080321792,0.9963261158772239,0.9951437156238556,0.9966306152129099,0.9969796304109544,0.9943747360417987,0.995282311499002,0.9943747360417987,0.9951072780593697,0.9944110669720203,0.9929572546982257
கடன்,0.9917020401491666,0.9839547656621646,0.9864569459263082,0.9943652896336191,0.9864569459263082,0.9913646547284929,0.9913646547284929,0.9913646547284929,0.9919481920010783,0.9928231410175311,0.9917125216280074,0.9936310080321792,0.9999999999999989,0.9948312593876406,0.9921773222544363,0.992965953865956,0.9942984915251781,0.9921631037536324,0.9940133462145503,0.9921631037536324,0.9914154867321693,0.9913163439007902,0.9895420838921609
கடன் பட்டவர்,0.995340336689199,0.985347322072894,0.9881309922406638,0.9951708976528906,0.9881309922406638,0.9955578745172743,0.9955578745172743,0.9955578745172743,0.9950212232693361,0.9950213122133811,0.9946011546855887,0.9963261158772239,0.9948312593876406,0.9999999999999993,0.9960892985784716,0.995697862662741,0.9964648629869264,0.994678519206879,0.9959233983782274,0.994678519206879,0.9962846402076876,0.995167930659642,0.9938807318168199
