,бәяләү,бәяләү,рәхмәтле,рәхмәтлелек,рәхмәтлелек,рәхмәт,рәхмәтле,рәхмәтлелек,бурычлы,бурычлылык,бурыч,мәҗбүр,йөкләмә,бурычлы,бурычлы булу,үкенеч,гафу үтенүче,гафу үтенүләр,гафу үтенү,гафу үтенү,гафу итегез,мине гафу итегез,гафу ит
бәяләү,0.9999999999999993,0.9999999999999993,0.9944642960338271,0.9958158602289147,0.9958158602289147,0.9901845169742045,0.9944642960338271,0.9958158602289147,0.9903034286683029,0.9940391541954403,0.9850658740418518,0.9920661849542179,0.9972040088207206,0.9903034286683029,0.9940945038133447,0.9931985822426486,0.9947830032308739,0.9969896307825122,0.9941438387670349,0.9941438387670349,0.9925274140167074,0.9937614716688405,0.9919518378507453
бәяләү,0.9999999999999993,0.9999999999999993,0.9944642960338271,0.9958158602289147,0.9958158602289147,0.9901845169742045,0.9944642960338271,0.9958158602289147,0.9903034286683029,0.9940391541954403,0.9850658740418518,0.9920661849542179,0.9972040088207206,0.9903034286683029,0.9940945038133447,0.9931985822426486,0.9947830032308739,0.9969896307825122,0.9941438387670349,0.9941438387670349,0.9925274140167074,0.9937614716688405,0.9919518378507453
рәхмәтле,0.9944642960338271,0.9944642960338271,0.9999999999999998,0.99550908919082,0.99550908919082,0.992659445574047,0.9999999999999998,0.99550908919082,0.992171133726604,0.9915631485339709,0.9843174715785018,0.991113339563606,0.9957141939335461,0.992171133726604,0.9920377435583669,0.9935016742117315,0.9917317539661316,0.994760752272064,0.9905159942999399,0.9905159942999399,0.9917467252510253,0.9935526508365149,0.9925122089739765
рәхмәтлелек,0.9958158602289147,0.9958158602289147,0.99550908919082,0.9999999999999996,0.9999999999999996,0.9886735986662414,0.99550908919082,0.9999999999999996,0.9889020527042424,0.9936477536923579,0.9844873647658594,0.9910378122436075,0.9947248794691327,0.9889020527042424,0.9927598055316379,0.9920458251116844,0.9928813125949684,0.9971482260528098,0.9925838485991108,0.9925838485991108,0.9917720866260502,0.9928604846305715,0.9906771331971883
рәхмәтлелек,0.9958158602289147,0.9958158602289147,0.99550908919082,0.9999999999999996,0.9999999999999996,0.9886735986662414,0.99550908919082,0.9999999999999996,0.9889020527042424,0.9936477536923579,0.9844873647658594,0.9910378122436075,0.9947248794691327,0.9889020527042424,0.9927598055316379,0.9920458251116844,0.9928813125949684,0.9971482260528098,0.9925838485991108,0.9925838485991108,0.9917720866260502,0.9928604846305715,0.9906771331971883
рәхмәт,0.9901845169742045,0.9901845169742045,0.992659445574047,0.9886735986662414,0.9886735986662414,0.9999999999999998,0.992659445574047,0.9886735986662414,0.986568475031266,0.9862187914549063,0.9792898776088764,0.9886065288329806,0.9908234041510896,0.986568475031266,0.9863476051317316,0.988452110458851,0.9859803895017868,0.988770165627444,0.9850527460850421,0.9850527460850421,0.9854996450715988,0.9871449295780024,0.9887561830149308
рәхмәтле,0.9944642960338271,0.9944642960338271,0.9999999999999998,0.99550908919082,0.99550908919082,0.992659445574047,0.9999999999999998,0.99550908919082,0.992171133726604,0.9915631485339709,0.9843174715785018,0.991113339563606,0.9957141939335461,0.992171133726604,0.9920377435583669,0.9935016742117315,0.9917317539661316,0.994760752272064,0.9905159942999399,0.9905159942999399,0.9917467252510253,0.9935526508365149,0.9925122089739765
рәхмәтлелек,0.9958158602289147,0.9958158602289147,0.99550908919082,0.9999999999999996,0.9999999999999996,0.9886735986662414,0.99550908919082,0.9999999999999996,0.9889020527042424,0.9936477536923579,0.9844873647658594,0.9910378122436075,0.9947248794691327,0.9889020527042424,0.9927598055316379,0.9920458251116844,0.9928813125949684,0.9971482260528098,0.9925838485991108,0.9925838485991108,0.9917720866260502,0.9928604846305715,0.9906771331971883
бурычлы,0.9903034286683029,0.9903034286683029,0.992171133726604,0.9889020527042424,0.9889020527042424,0.986568475031266,0.992171133726604,0.9889020527042424,0.9999999999999992,0.9931664974317119,0.9879442112847739,0.9873770893464219,0.9910996911750597,0.9999999999999992,0.9934591942950636,0.991086699033805,0.9903470509732534,0.9905989170118799,0.9895417123088605,0.9895417123088605,0.9880752936469321,0.9894246990793335,0.9901512652686449
бурычлылык,0.9940391541954403,0.9940391541954403,0.9915631485339709,0.9936477536923579,0.9936477536923579,0.9862187914549063,0.9915631485339709,0.9936477536923579,0.9931664974317119,1.0,0.9884513422406545,0.9886178193517983,0.9924822101863655,0.9931664974317119,0.9967724596232215,0.9931660078816006,0.9953104191146007,0.9944426953419977,0.9948785199867921,0.9948785199867921,0.9881104536091068,0.9904409975356216,0.9907286523015333
бурыч,0.9850658740418518,0.9850658740418518,0.9843174715785018,0.9844873647658594,0.9844873647658594,0.9792898776088764,0.9843174715785018,0.9844873647658594,0.9879442112847739,0.9884513422406545,0.999999999999999,0.9835618309569636,0.9848315971379249,0.9879442112847739,0.9900369606132786,0.9865373241414928,0.9878821430481276,0.9860948510395153,0.9864146997399436,0.9864146997399436,0.9822183078838649,0.9837999332784394,0.9846197267501718
мәҗбүр,0.9920661849542179,0.9920661849542179,0.991113339563606,0.9910378122436075,0.9910378122436075,0.9886065288329806,0.991113339563606,0.9910378122436075,0.9873770893464219,0.9886178193517983,0.9835618309569636,1.0,0.9911757704582135,0.9873770893464219,0.9889635739461569,0.9882039334925601,0.9896069371792924,0.9916100169020698,0.9898723058419635,0.9898723058419635,0.9890958055431547,0.9888147208718808,0.989313878439668
йөкләмә,0.9972040088207206,0.9972040088207206,0.9957141939335461,0.9947248794691327,0.9947248794691327,0.9908234041510896,0.9957141939335461,0.9947248794691327,0.9910996911750597,0.9924822101863655,0.9848315971379249,0.9911757704582135,0.9999999999999997,0.9910996911750597,0.9932066262847428,0.9936267386554489,0.9938738249020087,0.9961019603324514,0.9924436114234892,0.9924436114234892,0.9930126502907223,0.9939506582828588,0.9919564225049189
бурычлы,0.9903034286683029,0.9903034286683029,0.992171133726604,0.9889020527042424,0.9889020527042424,0.986568475031266,0.992171133726604,0.9889020527042424,0.9999999999999992,0.9931664974317119,0.9879442112847739,0.9873770893464219,0.9910996911750597,0.9999999999999992,0.9934591942950636,0.991086699033805,0.9903470509732534,0.9905989170118799,0.9895417123088605,0.9895417123088605,0.9880752936469321,0.9894246990793335,0.9901512652686449
бурычлы булу,0.9940945038133447,0.9940945038133447,0.9920377435583669,0.9927598055316379,0.9927598055316379,0.9863476051317316,0.9920377435583669,0.9927598055316379,0.9934591942950636,0.9967724596232215,0.9900369606132786,0.9889635739461569,0.9932066262847428,0.9934591942950636,0.9999999999999992,0.9942770895362957,0.9958609473801026,0.9946708972048953,0.9957522950263278,0.9957522950263278,0.9898627222492186,0.9917840235156358,0.9914310132211739
үкенеч,0.9931985822426486,0.9931985822426486,0.9935016742117315,0.9920458251116844,0.9920458251116844,0.988452110458851,0.9935016742117315,0.9920458251116844,0.991086699033805,0.9931660078816006,0.9865373241414928,0.9882039334925601,0.9936267386554489,0.991086699033805,0.9942770895362957,0.9999999999999993,0.994744117656966,0.9935979466844883,0.9934543256660673,0.9934543256660673,0.989607211254045,0.9933827599269353,0.9915332658492885
гафу үтенүче,0.9947830032308739,0.9947830032308739,0.9917317539661316,0.9928813125949684,0.9928813125949684,0.9859803895017868,0.9917317539661316,0.9928813125949684,0.9903470509732534,0.9953104191146007,0.9878821430481276,0.9896069371792924,0.9938738249020087,0.9903470509732534,0.9958609473801026,0.994744117656966,0.9999999999999993,0.9953268764384146,0.9969154587487579,0.9969154587487579,0.989972691295439,0.992613494944429,0.991966896012514
гафу үтенүләр,0.9969896307825122,0.9969896307825122,0.994760752272064,0.9971482260528098,0.9971482260528098,0.988770165627444,0.994760752272064,0.9971482260528098,0.9905989170118799,0.9944426953419977,0.9860948510395153,0.9916100169020698,0.9961019603324514,0.9905989170118799,0.9946708972048953,0.9935979466844883,0.9953268764384146,0.9999999999999984,0.9956332954054619,0.9956332954054619,0.9937608863338383,0.9942794362754375,0.9927804239252704
гафу үтенү,0.9941438387670349,0.9941438387670349,0.9905159942999399,0.9925838485991108,0.9925838485991108,0.9850527460850421,0.9905159942999399,0.9925838485991108,0.9895417123088605,0.9948785199867921,0.9864146997399436,0.9898723058419635,0.9924436114234892,0.9895417123088605,0.9957522950263278,0.9934543256660673,0.9969154587487579,0.9956332954054619,0.9999999999999997,0.9999999999999997,0.989825842004289,0.9908010420253202,0.9909489856388218
гафу үтенү,0.9941438387670349,0.9941438387670349,0.9905159942999399,0.9925838485991108,0.9925838485991108,0.9850527460850421,0.9905159942999399,0.9925838485991108,0.9895417123088605,0.9948785199867921,0.9864146997399436,0.9898723058419635,0.9924436114234892,0.9895417123088605,0.9957522950263278,0.9934543256660673,0.9969154587487579,0.9956332954054619,0.9999999999999997,0.9999999999999997,0.989825842004289,0.9908010420253202,0.9909489856388218
гафу итегез,0.9925274140167074,0.9925274140167074,0.9917467252510253,0.9917720866260502,0.9917720866260502,0.9854996450715988,0.9917467252510253,0.9917720866260502,0.9880752936469321,0.9881104536091068,0.9822183078838649,0.9890958055431547,0.9930126502907223,0.9880752936469321,0.9898627222492186,0.989607211254045,0.989972691295439,0.9937608863338383,0.989825842004289,0.989825842004289,0.9999999999999992,0.9963505113004164,0.990277917985174
мине гафу итегез,0.9937614716688405,0.9937614716688405,0.9935526508365149,0.9928604846305715,0.9928604846305715,0.9871449295780024,0.9935526508365149,0.9928604846305715,0.9894246990793335,0.9904409975356216,0.9837999332784394,0.9888147208718808,0.9939506582828588,0.9894246990793335,0.9917840235156358,0.9933827599269353,0.992613494944429,0.9942794362754375,0.9908010420253202,0.9908010420253202,0.9963505113004164,0.9999999999999996,0.9915708016472746
гафу ит,0.9919518378507453,0.9919518378507453,0.9925122089739765,0.9906771331971883,0.9906771331971883,0.9887561830149308,0.9925122089739765,0.9906771331971883,0.9901512652686449,0.9907286523015333,0.9846197267501718,0.989313878439668,0.9919564225049189,0.9901512652686449,0.9914310132211739,0.9915332658492885,0.991966896012514,0.9927804239252704,0.9909489856388218,0.9909489856388218,0.990277917985174,0.9915708016472746,0.9999999999999998
