,ప్రశంసించు,ప్రశంస,కృతజ్ఞత,కృతజ్ఞత,ధన్యవాదాలు,కృతజ్ఞత,కృతజ్ఞత గల,కృతజ్ఞత గల,ఋణపడి,ఋణబాధ్యత,బాధ్యత,కృతజ్ఞత,పాఠకత్వం,బాధ్యత,అప్పు,ఋణంగా ఉండటం,బాధ్యత కలిగి,క్షమాపణలు,క్షమాపణ,క్షమించండి,విచారం,క్షమించండి,క్షమాపణ వ్యక్తం చేసే,క్షమాపణ కోరడం,నన్ను క్షమించండి
ప్రశంసించు,1.0000000000000002,0.9958478684654173,0.9956238926845987,0.9956238926845987,0.9940397320944682,0.9956238926845987,0.9958758489568516,0.9958758489568516,0.9949076478731278,0.9938042904864635,0.991960087032727,0.9956238926845984,0.9955192711079421,0.991960087032727,0.9957314993234404,0.9927289354763451,0.9942918818277866,0.9882091639779814,0.9952118735239043,0.996548093779581,0.9944386142579694,0.996548093779581,0.9946844180931038,0.994391937335455,0.9953660252004854
ప్రశంస,0.9958478684654173,0.9999999999999997,0.9949239431685573,0.9949239431685573,0.9938770710832532,0.9949239431685573,0.9948953608131513,0.9948953608131513,0.9943011952985308,0.9940061605788584,0.9928280874966474,0.994923943168557,0.9962176697551904,0.9928280874966474,0.9930715007567292,0.9919406286075726,0.994072221639549,0.9880222725128206,0.993993299802213,0.9926375025830142,0.9961891531070762,0.9926375025830142,0.9932422176049599,0.9950201396014356,0.9903082915516247
కృతజ్ఞత,0.9956238926845987,0.9949239431685573,0.9999999999999992,0.9999999999999992,0.9962115589667256,0.9999999999999992,0.9989809218142027,0.9989809218142027,0.9962904030852766,0.9966654526453298,0.9927398420780559,1.0,0.9964013133107231,0.9927398420780559,0.9956085035061117,0.9944662600717525,0.9944778889656954,0.9915435044003104,0.997778177160521,0.9944853619956443,0.9948416229320644,0.9944853619956443,0.9961145341323463,0.9957854550757832,0.9929128729400759
కృతజ్ఞత,0.9956238926845987,0.9949239431685573,0.9999999999999992,0.9999999999999992,0.9962115589667256,0.9999999999999992,0.9989809218142027,0.9989809218142027,0.9962904030852766,0.9966654526453298,0.9927398420780559,1.0,0.9964013133107231,0.9927398420780559,0.9956085035061117,0.9944662600717525,0.9944778889656954,0.9915435044003104,0.997778177160521,0.9944853619956443,0.9948416229320644,0.9944853619956443,0.9961145341323463,0.9957854550757832,0.9929128729400759
ధన్యవాదాలు,0.9940397320944682,0.9938770710832532,0.9962115589667256,0.9962115589667256,1.0000000000000002,0.9962115589667256,0.9951567650388665,0.9951567650388665,0.9953170156729565,0.9960042416723651,0.9920040642217884,0.9962115589667255,0.9949264678948849,0.9920040642217884,0.9926848406503753,0.9911754963838586,0.9917846659660725,0.9893815988864736,0.9942143982246433,0.9916321126803268,0.9948933385918993,0.9916321126803268,0.9918153465186883,0.9953565419533609,0.9890984916808283
కృతజ్ఞత,0.9956238926845987,0.9949239431685573,0.9999999999999992,0.9999999999999992,0.9962115589667256,0.9999999999999992,0.9989809218142027,0.9989809218142027,0.9962904030852766,0.9966654526453298,0.9927398420780559,1.0,0.9964013133107231,0.9927398420780559,0.9956085035061117,0.9944662600717525,0.9944778889656954,0.9915435044003104,0.997778177160521,0.9944853619956443,0.9948416229320644,0.9944853619956443,0.9961145341323463,0.9957854550757832,0.9929128729400759
కృతజ్ఞత గల,0.9958758489568516,0.9948953608131513,0.9989809218142027,0.9989809218142027,0.9951567650388665,0.9989809218142027,1.0,1.0,0.9959269683926895,0.9962478371538079,0.9930964750219623,0.9989809218142033,0.9964172810607498,0.9930964750219623,0.9961011400440196,0.9943955490426717,0.9948652823229593,0.9911432193535166,0.9975914645073003,0.9949728175861379,0.9944993895397134,0.9949728175861379,0.9962657642487471,0.995235170461565,0.9934136735236814
కృతజ్ఞత గల,0.9958758489568516,0.9948953608131513,0.9989809218142027,0.9989809218142027,0.9951567650388665,0.9989809218142027,1.0,1.0,0.9959269683926895,0.9962478371538079,0.9930964750219623,0.9989809218142033,0.9964172810607498,0.9930964750219623,0.9961011400440196,0.9943955490426717,0.9948652823229593,0.9911432193535166,0.9975914645073003,0.9949728175861379,0.9944993895397134,0.9949728175861379,0.9962657642487471,0.995235170461565,0.9934136735236814
ఋణపడి,0.9949076478731278,0.9943011952985308,0.9962904030852766,0.9962904030852766,0.9953170156729565,0.9962904030852766,0.9959269683926895,0.9959269683926895,0.9999999999999998,0.9962259986594761,0.991697881736954,0.996290403085276,0.996170205525381,0.991697881736954,0.9944678920332276,0.9940972544194453,0.9933491126019626,0.9897275085390377,0.9960056799941386,0.9939025542615999,0.9954052875285015,0.9939025542615999,0.9950772585685952,0.9958985456987742,0.9917770923529028
ఋణబాధ్యత,0.9938042904864635,0.9940061605788584,0.9966654526453298,0.9966654526453298,0.9960042416723651,0.9966654526453298,0.9962478371538079,0.9962478371538079,0.9962259986594761,1.0,0.9941966858474246,0.9966654526453299,0.9959482365782283,0.9941966858474246,0.9935769402358401,0.995152152187758,0.9946304137696967,0.9906645595673673,0.9955080912791743,0.9926305608087328,0.9945622301363953,0.9926305608087328,0.9944885683972762,0.9957891489252856,0.9908318147006742
బాధ్యత,0.991960087032727,0.9928280874966474,0.9927398420780559,0.9927398420780559,0.9920040642217884,0.9927398420780559,0.9930964750219623,0.9930964750219623,0.991697881736954,0.9941966858474246,0.9999999999999998,0.992739842078056,0.993832420112446,0.9999999999999998,0.9912035597536887,0.9894329622740363,0.9952069254313277,0.9878766195389341,0.9918581667309042,0.9906989210478006,0.9933517391969443,0.9906989210478006,0.9913131351383285,0.9924584421480711,0.9882891944620938
