,ชื่นชม,ความชื่นชม,ซาบซึ้งใจ,ความซาบซึ้งใจ,ความกตัญญู,ขอบคุณ,รู้สึกขอบคุณ,ความขอบคุณ,เป็นหนี้,ความเป็นหนี้,พันธะ,รู้สึกเป็นหนี้บุญคุณ,ข้อผูกพัน,ติดหนี้,หนี้ค้าง,ที่รู้สึกผิด,คำขอโทษ,ขอโทษ,คำขอโทษ,ขอโทษ,ยกโทษให้ฉัน,ความเสียใจ,ขอโทษ
ชื่นชม,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ความชื่นชม,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ซาบซึ้งใจ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ความซาบซึ้งใจ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ความกตัญญู,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ขอบคุณ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
รู้สึกขอบคุณ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ความขอบคุณ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
เป็นหนี้,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9999999999999996,0.9988825078649397,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9989635801666197,0.9978675639625896,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818,0.9914236199151818
ความเป็นหนี้,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9988825078649397,0.9999999999999997,0.9903669571392559,0.9903669571392559,0.9903669571392559,0.9985318936417565,0.9975541333997233,0.9903669571392559,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9903669571392558,0.9903669571392558
