,takdir,minnettar,minnettarlık,minnettarlık,teşekkür,minnettar,minnettarlık,takdir etmek,borçlu,borçluluk,yükümlülük,minnettar,zorunlu,taahhüt,borçlu,borçlu olmak,özürler,özür,affedersiniz,pardon,üzüntü,beni affedin,özür dileyen,özür dilemek,özür dilerim
takdir,0.9999999999999992,0.993260255501099,0.9941503187473999,0.9941503187473999,0.992524208650736,0.993260255501099,0.9941503187473999,0.9968123998091916,0.9932504376329969,0.9945019587383247,0.9936836854466068,0.9932602555010981,0.993362036751818,0.9959075911661864,0.9932504376329969,0.9906772781467631,0.9922230225664024,0.9947270819404563,0.9941195831813063,0.9941193752285779,0.9908325183588504,0.9930856684355924,0.9945879670538454,0.9941460000883797,0.9946853144322367
minnettar,0.993260255501099,0.9999999999999989,0.9929432505340297,0.9929432505340297,0.9956673692167508,0.9999999999999989,0.9929432505340297,0.992676813076526,0.9923282230447877,0.99236462269451,0.9914073342827073,0.9999999999999991,0.992306834289179,0.9937751789420315,0.9923282230447877,0.987911220088685,0.9907994867300929,0.9930672617699966,0.9924428592808361,0.9935509128280944,0.9870013583523749,0.9912363930837751,0.9919232443336083,0.9921186141523753,0.992440054672565
minnettarlık,0.9941503187473999,0.9929432505340297,0.999999999999999,0.999999999999999,0.9926432867576558,0.9929432505340297,0.999999999999999,0.9952561129577882,0.9933560529634619,0.9972925047863671,0.9966191922475423,0.9929432505340294,0.9947604445472975,0.9953284990464746,0.9933560529634619,0.993669555672268,0.9935090947095122,0.9917709260795605,0.9930651301487663,0.9924294787357202,0.9917429544864028,0.994212783734532,0.9948993216856649,0.9949617615655119,0.9939304996423984
minnettarlık,0.9941503187473999,0.9929432505340297,0.999999999999999,0.999999999999999,0.9926432867576558,0.9929432505340297,0.999999999999999,0.9952561129577882,0.9933560529634619,0.9972925047863671,0.9966191922475423,0.9929432505340294,0.9947604445472975,0.9953284990464746,0.9933560529634619,0.993669555672268,0.9935090947095122,0.9917709260795605,0.9930651301487663,0.9924294787357202,0.9917429544864028,0.994212783734532,0.9948993216856649,0.9949617615655119,0.9939304996423984
teşekkür,0.992524208650736,0.9956673692167508,0.9926432867576558,0.9926432867576558,0.999999999999999,0.9956673692167508,0.9926432867576558,0.9926123946132801,0.9908018209375374,0.9924353395039438,0.9919012054292172,0.9956673692167498,0.9921093141912479,0.993203500222296,0.9908018209375374,0.9897375154915194,0.9914036629216613,0.9934716287740724,0.9907397342152343,0.9927858508529476,0.9879095212584187,0.9908690555226799,0.9922049637288604,0.9920495622868946,0.9924323564477129
minnettar,0.993260255501099,0.9999999999999989,0.9929432505340297,0.9929432505340297,0.9956673692167508,0.9999999999999989,0.9929432505340297,0.992676813076526,0.9923282230447877,0.99236462269451,0.9914073342827073,0.9999999999999991,0.992306834289179,0.9937751789420315,0.9923282230447877,0.987911220088685,0.9907994867300929,0.9930672617699966,0.9924428592808361,0.9935509128280944,0.9870013583523749,0.9912363930837751,0.9919232443336083,0.9921186141523753,0.992440054672565
minnettarlık,0.9941503187473999,0.9929432505340297,0.999999999999999,0.999999999999999,0.9926432867576558,0.9929432505340297,0.999999999999999,0.9952561129577882,0.9933560529634619,0.9972925047863671,0.9966191922475423,0.9929432505340294,0.9947604445472975,0.9953284990464746,0.9933560529634619,0.993669555672268,0.9935090947095122,0.9917709260795605,0.9930651301487663,0.9924294787357202,0.9917429544864028,0.994212783734532,0.9948993216856649,0.9949617615655119,0.9939304996423984
takdir etmek,0.9968123998091916,0.992676813076526,0.9952561129577882,0.9952561129577882,0.9926123946132801,0.992676813076526,0.9952561129577882,0.9999999999999996,0.9930578754641111,0.9955123987803026,0.9950169029286795,0.9926768130765269,0.9935045449107264,0.9951660922063077,0.9930578754641111,0.9926706339818827,0.992686144744572,0.9938825873785277,0.993755512334041,0.9945643060332953,0.9918545684903763,0.9931870201834424,0.9958709748924461,0.9963268179629802,0.9953978042961469
borçlu,0.9932504376329969,0.9923282230447877,0.9933560529634619,0.9933560529634619,0.9908018209375374,0.9923282230447877,0.9933560529634619,0.9930578754641111,0.9999999999999998,0.995505687937481,0.9923262814637597,0.9923282230447878,0.9946838395947529,0.9949238167058777,0.9999999999999998,0.989644584791568,0.988824792255499,0.9914419976510546,0.9940769461119067,0.9928874048003801,0.989245873603733,0.9931049603500726,0.9912354623790096,0.9916428066062996,0.9916499241705422
borçluluk,0.9945019587383247,0.99236462269451,0.9972925047863671,0.9972925047863671,0.9924353395039438,0.99236462269451,0.9972925047863671,0.9955123987803026,0.995505687937481,0.9999999999999996,0.9980595535970203,0.9923646226945109,0.9966324769369063,0.9955628737221811,0.995505687937481,0.9936290801171175,0.9928784614813698,0.9930473900770856,0.9945566887190718,0.9935088694080815,0.9924089103584243,0.9938005780560264,0.9951905138995925,0.9951210131814775,0.9945433640928273
yükümlülük,0.9936836854466068,0.9914073342827073,0.9966191922475423,0.9966191922475423,0.9919012054292172,0.9914073342827073,0.9966191922475423,0.9950169029286795,0.9923262814637597,0.9980595535970203,0.9999999999999996,0.9914073342827081,0.9954804783034152,0.9946602242978897,0.9923262814637597,0.9928744032488125,0.9933040821722797,0.9927705362768803,0.9936277099151561,0.9927362071861561,0.9929512276635876,0.9917164584249173,0.9949027954994656,0.9945902865453625,0.9938385397961036
minnettar,0.9932602555010981,0.9999999999999991,0.9929432505340294,0.9929432505340294,0.9956673692167498,0.9999999999999991,0.9929432505340294,0.9926768130765269,0.9923282230447878,0.9923646226945109,0.9914073342827081,0.9999999999999989,0.9923068342891783,0.9937751789420315,0.9923282230447878,0.9879112200886855,0.9907994867300929,0.9930672617699966,0.9924428592808361,0.9935509128280944,0.9870013583523749,0.9912363930837751,0.9919232443336083,0.9921186141523753,0.992440054672565
zorunlu,0.993362036751818,0.992306834289179,0.9947604445472975,0.9947604445472975,0.9921093141912479,0.992306834289179,0.9947604445472975,0.9935045449107264,0.9946838395947529,0.9966324769369063,0.9954804783034152,0.9923068342891783,0.9999999999999998,0.9951621350699971,0.9946838395947529,0.9889732645549412,0.988946103026375,0.991672328498953,0.994526939279406,0.9923207558289858,0.9921639035719502,0.9937753614158236,0.9927673805886773,0.9924549548607409,0.9926843090215315
