,gadyr,minnetdar,minnetdarlyk,minnetdarlyk,taşekkür,minnetdar,minnetdarlyk,gadyr etmek,sag bol,karzly,karzlylyk,borç,borçly,minnetdar,borçnama,karzly,karzly bolmak,bagyşlaýjy,bagyşlamalar,bagyşlamak,bagyşlama,bagyşlaň,ökünç,bagyşlaň,meni bagyşlaň
gadyr,1.0000000000000002,0.9947454233862975,0.9938531207754535,0.9938531207754535,0.9949056715530858,0.9947454233862975,0.9938531207754535,0.9940841997161706,0.9905407661198223,0.986687835720895,0.9940095277715943,0.9928447341686898,0.9914910672681518,0.9947454233862979,0.993393685918893,0.986687835720895,0.9905300842098854,0.993247697299417,0.9929194462048029,0.9947493677760385,0.9940546030289713,0.9943168181101348,0.9935327473562361,0.9943168181101348,0.9929405794170757
minnetdar,0.9947454233862975,0.9999999999999998,0.9971188690803563,0.9971188690803563,0.9948949727584822,0.9999999999999998,0.9971188690803563,0.9943027793164304,0.9924259501951535,0.9861136390821079,0.992677987624691,0.9922170835126911,0.9904101677689002,0.9999999999999996,0.9929397872308148,0.9861136390821079,0.9895150580929029,0.9924750911069787,0.9942376510813485,0.9953847781088544,0.9939754904491146,0.9942736960346868,0.9934689671889761,0.9942736960346868,0.9941756757943268
minnetdarlyk,0.9938531207754535,0.9971188690803563,0.9999999999999998,0.9999999999999998,0.9950366226506223,0.9971188690803563,0.9999999999999998,0.99417585556881,0.9919617126982802,0.9872358322148945,0.994360495828655,0.9914158697169831,0.9909660893818703,0.9971188690803557,0.992449029651085,0.9872358322148945,0.990607052214641,0.9932894300928194,0.9934437844080478,0.9954280525319203,0.9941653921178282,0.994908895226894,0.9928509466356671,0.994908895226894,0.9944396009954989
minnetdarlyk,0.9938531207754535,0.9971188690803563,0.9999999999999998,0.9999999999999998,0.9950366226506223,0.9971188690803563,0.9999999999999998,0.99417585556881,0.9919617126982802,0.9872358322148945,0.994360495828655,0.9914158697169831,0.9909660893818703,0.9971188690803557,0.992449029651085,0.9872358322148945,0.990607052214641,0.9932894300928194,0.9934437844080478,0.9954280525319203,0.9941653921178282,0.994908895226894,0.9928509466356671,0.994908895226894,0.9944396009954989
taşekkür,0.9949056715530858,0.9948949727584822,0.9950366226506223,0.9950366226506223,0.9999999999999998,0.9948949727584822,0.9950366226506223,0.9951355861063991,0.9933486282687741,0.9898189198282655,0.9950521652800534,0.9934191907838891,0.9929959170671697,0.9948949727584814,0.9940992989473086,0.9898189198282655,0.9921571169046187,0.9948199285190704,0.9938021471673292,0.9963823486933838,0.9958601855501841,0.9961872701228267,0.994594139757861,0.9961872701228267,0.9951746920480912
minnetdar,0.9947454233862975,0.9999999999999998,0.9971188690803563,0.9971188690803563,0.9948949727584822,0.9999999999999998,0.9971188690803563,0.9943027793164304,0.9924259501951535,0.9861136390821079,0.992677987624691,0.9922170835126911,0.9904101677689002,0.9999999999999996,0.9929397872308148,0.9861136390821079,0.9895150580929029,0.9924750911069787,0.9942376510813485,0.9953847781088544,0.9939754904491146,0.9942736960346868,0.9934689671889761,0.9942736960346868,0.9941756757943268
minnetdarlyk,0.9938531207754535,0.9971188690803563,0.9999999999999998,0.9999999999999998,0.9950366226506223,0.9971188690803563,0.9999999999999998,0.99417585556881,0.9919617126982802,0.9872358322148945,0.994360495828655,0.9914158697169831,0.9909660893818703,0.9971188690803557,0.992449029651085,0.9872358322148945,0.990607052214641,0.9932894300928194,0.9934437844080478,0.9954280525319203,0.9941653921178282,0.994908895226894,0.9928509466356671,0.994908895226894,0.9944396009954989
gadyr etmek,0.9940841997161706,0.9943027793164304,0.99417585556881,0.99417585556881,0.9951355861063991,0.9943027793164304,0.99417585556881,0.9999999999999996,0.9932466571494704,0.9888282250544961,0.9947116511123281,0.9932737519689248,0.991710599798124,0.994302779316431,0.9919783616000815,0.9888282250544961,0.9901097063991074,0.9939612565717204,0.9927924725667328,0.9962644015485185,0.9957164734402956,0.995213270071024,0.9926558662487142,0.995213270071024,0.9958221093586366
sag bol,0.9905407661198223,0.9924259501951535,0.9919617126982802,0.9919617126982802,0.9933486282687741,0.9924259501951535,0.9919617126982802,0.9932466571494704,0.9999999999999996,0.9890021607668098,0.9925243992038509,0.9942291653294639,0.9912787985802582,0.9924259501951528,0.9917330976186408,0.9890021607668098,0.9897382280174599,0.9930249353094407,0.9893273288663319,0.9941092827324454,0.9945606768765922,0.9944203244513958,0.9916128315789485,0.9944203244513958,0.9956281072681985
karzly,0.986687835720895,0.9861136390821079,0.9872358322148945,0.9872358322148945,0.9898189198282655,0.9861136390821079,0.9872358322148945,0.9888282250544961,0.9890021607668098,1.0,0.9939092996787551,0.9913076390281171,0.9968930898081798,0.9861136390821085,0.9908931195146453,1.0,0.9940846243438501,0.9941297440712061,0.9857836097704603,0.9905152617400017,0.9929904343867015,0.9937400549100763,0.9870122318868575,0.9937400549100763,0.9895082062213685
