,цінувати,вдячність,оцінка,вдячна,вдячний,вдячність,вдячність,дякую,вдячна,вдячний,вдячність,заборгована,заборгований,заборгованість,зобов'язання,зобов'язана,зобов'язаний,обов'язок,винна,винний,бути винним,вибачливий,вибачення,вибачатися,вибачення,вибачте,жаль,вибач,пробачте мене
цінувати,0.9999999999999997,0.9945625721981568,0.992101416394453,0.9943397473092035,0.995048844143268,0.9945625721981568,0.9945625721981568,0.9943592829794007,0.9943397473092043,0.9950488441432688,0.9945625721981564,0.9917267664575958,0.9938172241125404,0.9941527532238268,0.9940381460513981,0.9919320865790195,0.9925305907157871,0.9917552443663882,0.991798510871899,0.9943373911703822,0.9954635086047751,0.9946143059771649,0.9948284767988427,0.9945151169433964,0.9948284767988427,0.9859035310910964,0.9928696864757367,0.9918383565832506,0.9919071984037159
вдячність,0.9945625721981568,0.9999999999999996,0.9922322274199904,0.9951014338245645,0.9963283442711789,0.9999999999999996,0.9999999999999996,0.993919435581978,0.9951014338245654,0.996328344271179,0.9999999999999989,0.9914613122745461,0.9935960750770482,0.995688257217018,0.9955519256769432,0.9902463695377913,0.9928308683078856,0.9931465642987837,0.9932124594710283,0.9938869798458775,0.9945862615926947,0.9948276894478336,0.994652416675042,0.9929150469056064,0.994652416675042,0.9847071262618388,0.9928197600331522,0.9907211551764642,0.9927886051654748
оцінка,0.992101416394453,0.9922322274199904,0.9999999999999994,0.9920133697451571,0.9919714855293507,0.9922322274199904,0.9922322274199904,0.9914933855854547,0.9920133697451574,0.9919714855293509,0.9922322274199901,0.991807224489522,0.9929046719062701,0.9936936504207886,0.993192638019047,0.989995486821752,0.9908031921524895,0.9894740361821236,0.9915156509198028,0.9924698325868423,0.9909787382419386,0.9922873051281867,0.9943446929587805,0.9907190075748519,0.9943446929587805,0.98555615965398,0.9889351768518533,0.9920988404864914,0.9879358039848226
вдячна,0.9943397473092035,0.9951014338245645,0.9920133697451571,0.9999999999999997,0.9977325460916803,0.9951014338245645,0.9951014338245645,0.9958686789644503,1.0,0.9977325460916794,0.9951014338245654,0.9942052441861378,0.9953356338330983,0.9935463669101074,0.993575870550412,0.9896949493445758,0.9919695033224556,0.9904671873189478,0.994731274093801,0.9957230173304981,0.9943444949042684,0.9954849092695808,0.9948572079553121,0.9926771025534487,0.9948572079553121,0.9845925926577866,0.9935536495765886,0.9910104958452195,0.9923909193823256
вдячний,0.995048844143268,0.9963283442711789,0.9919714855293507,0.9977325460916803,0.9999999999999984,0.9963283442711789,0.9963283442711789,0.9963781662557922,0.9977325460916794,0.9999999999999993,0.996328344271179,0.9925486886286814,0.9956262921949187,0.9933866016724845,0.9945763204164264,0.9906502098918617,0.9932223372408331,0.9920804305467823,0.9942302634213261,0.9962334556209737,0.9960511952727421,0.9969098461832004,0.9948210739805307,0.9934534842604557,0.9948210739805307,0.9846616154430167,0.9948750830406096,0.9912289668727207,0.9942608788294863
вдячність,0.9945625721981568,0.9999999999999996,0.9922322274199904,0.9951014338245645,0.9963283442711789,0.9999999999999996,0.9999999999999996,0.993919435581978,0.9951014338245654,0.996328344271179,0.9999999999999989,0.9914613122745461,0.9935960750770482,0.995688257217018,0.9955519256769432,0.9902463695377913,0.9928308683078856,0.9931465642987837,0.9932124594710283,0.9938869798458775,0.9945862615926947,0.9948276894478336,0.994652416675042,0.9929150469056064,0.994652416675042,0.9847071262618388,0.9928197600331522,0.9907211551764642,0.9927886051654748
вдячність,0.9945625721981568,0.9999999999999996,0.9922322274199904,0.9951014338245645,0.9963283442711789,0.9999999999999996,0.9999999999999996,0.993919435581978,0.9951014338245654,0.996328344271179,0.9999999999999989,0.9914613122745461,0.9935960750770482,0.995688257217018,0.9955519256769432,0.9902463695377913,0.9928308683078856,0.9931465642987837,0.9932124594710283,0.9938869798458775,0.9945862615926947,0.9948276894478336,0.994652416675042,0.9929150469056064,0.994652416675042,0.9847071262618388,0.9928197600331522,0.9907211551764642,0.9927886051654748
дякую,0.9943592829794007,0.993919435581978,0.9914933855854547,0.9958686789644503,0.9963781662557922,0.993919435581978,0.993919435581978,0.999999999999999,0.9958686789644499,0.9963781662557929,0.9939194355819775,0.9929574695209501,0.9946724618624976,0.9921139232649688,0.9941391913061147,0.9905165742471078,0.9930116627032521,0.991017458991746,0.9944762444077743,0.9956169247446301,0.994769401293774,0.9940350889712266,0.9949157412146135,0.9927948156206341,0.9949157412146135,0.9860491750024104,0.9959449180907585,0.9920416410153469,0.9942184483947515
вдячна,0.9943397473092043,0.9951014338245654,0.9920133697451574,1.0,0.9977325460916794,0.9951014338245654,0.9951014338245654,0.9958686789644499,0.9999999999999997,0.9977325460916803,0.9951014338245645,0.9942052441861378,0.9953356338330994,0.9935463669101066,0.9935758705504113,0.9896949493445754,0.9919695033224556,0.9904671873189478,0.994731274093801,0.9957230173304981,0.9943444949042684,0.9954849092695808,0.9948572079553121,0.9926771025534487,0.9948572079553121,0.9845925926577866,0.9935536495765886,0.9910104958452195,0.9923909193823256
вдячний,0.9950488441432688,0.996328344271179,0.9919714855293509,0.9977325460916794,0.9999999999999993,0.996328344271179,0.996328344271179,0.9963781662557929,0.9977325460916803,0.9999999999999984,0.9963283442711789,0.9925486886286828,0.995626292194919,0.9933866016724842,0.9945763204164257,0.9906502098918628,0.9932223372408331,0.9920804305467823,0.9942302634213261,0.9962334556209737,0.9960511952727421,0.9969098461832004,0.9948210739805307,0.9934534842604557,0.9948210739805307,0.9846616154430167,0.9948750830406096,0.9912289668727207,0.9942608788294863
