,wužiwać,wužitkowanje,wděčna,wděčny,wděčnost,wděčnost,dźakuju,wděčna,wděčny,wděčnost,zadłužena,zadłuženy,zadłuženstwo,zwjazanosć,zwjazana,zwjazany,zwjazek,dłužić,dłužna,dłužny,wotmołwujący,wotmołwy,wotmołwa,wotmołwijće,lítosć,přewiň,wotmołwić so,wotpušć mi
wužiwać,0.9999999999999997,0.9906020765718682,0.9947694111010956,0.9935903330233057,0.9942845712892672,0.9942845712892672,0.9929062316272642,0.9947694111010956,0.9935903330233053,0.9942845712892667,0.9922758047034731,0.9933246906425693,0.990120602143905,0.9897552121445782,0.9931693449145714,0.9880301646677554,0.9907606287442561,0.9942642633095276,0.9931602850758848,0.9915116324421072,0.9950445461818093,0.9906643982638442,0.9942985387309412,0.9915006158957762,0.995846743589332,0.9955826580486337,0.9926254451179942,0.9945530963582715
wužitkowanje,0.9906020765718682,0.9999999999999989,0.9885576517797938,0.985291267119079,0.989196512572472,0.989196512572472,0.9880528950911894,0.9885576517797938,0.9852912671190796,0.9891965125724721,0.9880867626403316,0.9871140869824926,0.9879137996161794,0.9878638943156756,0.9848501471147194,0.9815719801492255,0.9846736754251127,0.9856340338873644,0.9851101690191296,0.9836507210226606,0.9871299667254411,0.9883937633582695,0.9900262607560878,0.9888211594563137,0.9889279787385931,0.9885187209622949,0.9848457950383416,0.9862708760773159
wděčna,0.9947694111010956,0.9885576517797938,0.9999999999999996,0.9968286664385052,0.996299032360143,0.996299032360143,0.9894704723216561,0.9999999999999996,0.9968286664385061,0.9962990323601424,0.99543234662309,0.9951575396817502,0.9923913252196048,0.9933712048437334,0.9954549660284302,0.9900784362783225,0.9927374221867806,0.9948329639965359,0.9965186545889971,0.9944930719503785,0.9954544714058718,0.9907951112653927,0.994843329091554,0.9912390203234686,0.9958654905405372,0.9942371691592838,0.9931399280504879,0.9946176523719724
wděčny,0.9935903330233057,0.985291267119079,0.9968286664385052,0.9999999999999998,0.9945787955507773,0.9945787955507773,0.9883018024880359,0.9968286664385052,0.9999999999999993,0.9945787955507777,0.9923014712388701,0.9954342781072153,0.9902639410031048,0.989667994143466,0.9943025605843193,0.9897993145734045,0.9914621477596526,0.995216720374895,0.9956113510824217,0.9943573609144728,0.995486337469873,0.9895144426552229,0.99354276961022,0.9898716020668962,0.9955128548000964,0.9940674920330146,0.993201353460248,0.9941463425142558
wděčnost,0.9942845712892672,0.989196512572472,0.996299032360143,0.9945787955507773,0.9999999999999993,0.9999999999999993,0.9886619164837385,0.996299032360143,0.9945787955507777,0.9999999999999998,0.9916550868832046,0.9926375332947496,0.9926004537763853,0.9927545292855676,0.9912176519169668,0.985353725144503,0.9908938330706919,0.9920556598433111,0.9919998883740795,0.9898709589288688,0.9934073826896951,0.9896160238328139,0.9932716177960145,0.9904567065302041,0.9954136206384432,0.9938144504845859,0.9906514009195913,0.9937662305460746
wděčnost,0.9942845712892672,0.989196512572472,0.996299032360143,0.9945787955507773,0.9999999999999993,0.9999999999999993,0.9886619164837385,0.996299032360143,0.9945787955507777,0.9999999999999998,0.9916550868832046,0.9926375332947496,0.9926004537763853,0.9927545292855676,0.9912176519169668,0.985353725144503,0.9908938330706919,0.9920556598433111,0.9919998883740795,0.9898709589288688,0.9934073826896951,0.9896160238328139,0.9932716177960145,0.9904567065302041,0.9954136206384432,0.9938144504845859,0.9906514009195913,0.9937662305460746
dźakuju,0.9929062316272642,0.9880528950911894,0.9894704723216561,0.9883018024880359,0.9886619164837385,0.9886619164837385,1.0000000000000002,0.9894704723216561,0.988301802488036,0.9886619164837367,0.9880320784693,0.9889525487001195,0.9868790314984223,0.9848844229007034,0.9889286697358937,0.9843776124712241,0.9868582465098452,0.9907169183745234,0.9888191015988688,0.9875544502734774,0.9898561987089456,0.9904349466544143,0.9928372859282214,0.9904311627020153,0.9918748201073591,0.9916671433085752,0.9901352169713619,0.9892996589525755
wděčna,0.9947694111010956,0.9885576517797938,0.9999999999999996,0.9968286664385052,0.996299032360143,0.996299032360143,0.9894704723216561,0.9999999999999996,0.9968286664385061,0.9962990323601424,0.99543234662309,0.9951575396817502,0.9923913252196048,0.9933712048437334,0.9954549660284302,0.9900784362783225,0.9927374221867806,0.9948329639965359,0.9965186545889971,0.9944930719503785,0.9954544714058718,0.9907951112653927,0.994843329091554,0.9912390203234686,0.9958654905405372,0.9942371691592838,0.9931399280504879,0.9946176523719724
wděčny,0.9935903330233053,0.9852912671190796,0.9968286664385061,0.9999999999999993,0.9945787955507777,0.9945787955507777,0.988301802488036,0.9968286664385061,0.9999999999999998,0.9945787955507773,0.9923014712388696,0.9954342781072155,0.9902639410031049,0.9896679941434656,0.9943025605843192,0.9897993145734043,0.9914621477596526,0.995216720374895,0.9956113510824217,0.9943573609144728,0.995486337469873,0.9895144426552229,0.99354276961022,0.9898716020668962,0.9955128548000964,0.9940674920330146,0.993201353460248,0.9941463425142558
wděčnost,0.9942845712892667,0.9891965125724721,0.9962990323601424,0.9945787955507777,0.9999999999999998,0.9999999999999998,0.9886619164837367,0.9962990323601424,0.9945787955507773,0.9999999999999993,0.9916550868832045,0.9926375332947502,0.9926004537763842,0.9927545292855674,0.9912176519169664,0.9853537251445037,0.9908938330706919,0.9920556598433111,0.9919998883740795,0.9898709589288688,0.9934073826896951,0.9896160238328139,0.9932716177960145,0.9904567065302041,0.9954136206384432,0.9938144504845859,0.9906514009195913,0.9937662305460746
zadłužena,0.9922758047034731,0.9880867626403316,0.99543234662309,0.9923014712388701,0.9916550868832046,0.9916550868832046,0.9880320784693,0.99543234662309,0.9923014712388696,0.9916550868832045,0.9999999999999996,0.9968405870662356,0.992263430920733,0.9914171262602994,0.9936456570525604,0.9903785379361937,0.9899089322807607,0.9928385539877057,0.9945266460495743,0.9932810350044717,0.9935027551422014,0.9911447147986748,0.9940896724119892,0.9913230656421912,0.9926514673787498,0.9913538669198837,0.9914565618134951,0.9900444548906231
zadłuženy,0.9933246906425693,0.9871140869824926,0.9951575396817502,0.9954342781072153,0.9926375332947496,0.9926375332947496,0.9889525487001195,0.9951575396817502,0.9954342781072155,0.9926375332947502,0.9968405870662356,0.9999999999999999,0.9912358489898175,0.9894010786731575,0.9941128494298644,0.9911813211465798,0.9904327656528104,0.9950097565860742,0.9952082507448039,0.9947562630717959,0.9945844371423092,0.9917836644162661,0.9945111153764751,0.9917476668040035,0.9941662068355029,0.9932455810537196,0.9930187175683286,0.99163078600712
zadłuženstwo,0.990120602143905,0.9879137996161794,0.9923913252196048,0.9902639410031048,0.9926004537763853,0.9926004537763853,0.9868790314984223,0.9923913252196048,0.9902639410031049,0.9926004537763842,0.992263430920733,0.9912358489898175,0.9999999999999998,0.9931363197267753,0.9911725865489414,0.9879735704518162,0.9919025387004303,0.9898442333108474,0.990983264747428,0.9882247731974579,0.992445864904293,0.9903584812046121,0.9920898851320341,0.9918818802013505,0.9912308288501231,0.9889077964409367,0.9896765105928911,0.9888573368842037
zwjazanosć,0.9897552121445782,0.9878638943156756,0.9933712048437334,0.989667994143466,0.9927545292855676,0.9927545292855676,0.9848844229007034,0.9933712048437334,0.9896679941434656,0.9927545292855674,0.9914171262602994,0.9894010786731575,0.9931363197267753,0.999999999999999,0.9923883404607615,0.9893541256171441,0.9932637446289243,0.9896735026470024,0.9912014128816659,0.9891995051227052,0.9923049283986299,0.9886833504015303,0.990911060957317,0.9895686336985694,0.990483197319397,0.9884019517694796,0.9897057415691354,0.9879917725032129
zwjazana,0.9931693449145714,0.9848501471147194,0.9954549660284302,0.9943025605843193,0.9912176519169668,0.9912176519169668,0.9889286697358937,0.9954549660284302,0.9943025605843192,0.9912176519169664,0.9936456570525604,0.9941128494298644,0.9911725865489414,0.9923883404607615,0.9999999999999994,0.9957950081280075,0.9944309241002642,0.9957350111230673,0.9974280047005897,0.9951055195710677,0.9950020317818604,0.9913615192517659,0.9940635339883017,0.9918839965571072,0.9929204750901113,0.9923996899923336,0.9950706619412297,0.9900573801473095
zwjazany,0.9880301646677554,0.9815719801492255,0.9900784362783225,0.9897993145734045,0.985353725144503,0.985353725144503,0.9843776124712241,0.9900784362783225,0.9897993145734043,0.9853537251445037,0.9903785379361937,0.9911813211465798,0.9879735704518162,0.9893541256171441,0.9957950081280075,1.0,0.992515347417848,0.9915272608778641,0.9921942037024711,0.9932185429756688,0.9922700681165548,0.9880682107189894,0.9891851783789108,0.987950381994829,0.9874561069218486,0.9873578511792731,0.9902433528039085,0.9842416175569272
zwjazek,0.9907606287442561,0.9846736754251127,0.9927374221867806,0.9914621477596526,0.9908938330706919,0.9908938330706919,0.9868582465098452,0.9927374221867806,0.9914621477596526,0.9908938330706919,0.9899089322807607,0.9904327656528104,0.9919025387004303,0.9932637446289243,0.9944309241002642,0.992515347417848,1.0000000000000002,0.993733701977497,0.9926727259287412,0.9913696228028532,0.9929285804409046,0.9880016843648338,0.9902880186464146,0.9889393039161878,0.990929442032383,0.9899574627981785,0.9915127698327708,0.9885692445846445
dłužić,0.9942642633095276,0.9856340338873644,0.9948329639965359,0.995216720374895,0.9920556598433111,0.9920556598433111,0.9907169183745234,0.9948329639965359,0.995216720374895,0.9920556598433111,0.9928385539877057,0.9950097565860742,0.9898442333108474,0.9896735026470024,0.9957350111230673,0.9915272608778641,0.993733701977497,0.9999999999999999,0.9968473430584035,0.9955112685869725,0.9945519708734287,0.990764401741523,0.9940626048408414,0.9910994721597141,0.9944979509465876,0.9949265674421949,0.9949340181671458,0.9917305640114736
dłužna,0.9931602850758848,0.9851101690191296,0.9965186545889971,0.9956113510824217,0.9919998883740795,0.9919998883740795,0.9888191015988688,0.9965186545889971,0.9956113510824217,0.9919998883740795,0.9945266460495743,0.9952082507448039,0.990983264747428,0.9912014128816659,0.9974280047005897,0.9921942037024711,0.9926727259287412,0.9968473430584035,0.9999999999999998,0.997300969826533,0.9949629626656974,0.9907843008155766,0.994416512168045,0.99126782205601,0.9938255927985172,0.9934842383020843,0.9943758355508366,0.9917074729789586
dłužny,0.9915116324421072,0.9836507210226606,0.9944930719503785,0.9943573609144728,0.9898709589288688,0.9898709589288688,0.9875544502734774,0.9944930719503785,0.9943573609144728,0.9898709589288688,0.9932810350044717,0.9947562630717959,0.9882247731974579,0.9891995051227052,0.9951055195710677,0.9932185429756688,0.9913696228028532,0.9955112685869725,0.997300969826533,0.9999999999999996,0.9938857859844679,0.988498596142738,0.9921548022660642,0.9885684406592713,0.9923152619933026,0.9921938792659559,0.9925557397722071,0.9901435213955241
wotmołwujący,0.9950445461818093,0.9871299667254411,0.9954544714058718,0.995486337469873,0.9934073826896951,0.9934073826896951,0.9898561987089456,0.9954544714058718,0.995486337469873,0.9934073826896951,0.9935027551422014,0.9945844371423092,0.992445864904293,0.9923049283986299,0.9950020317818604,0.9922700681165548,0.9929285804409046,0.9945519708734287,0.9949629626656974,0.9938857859844679,0.9999999999999997,0.9936811707898977,0.9959488356225277,0.993704564604701,0.9947147027232078,0.9935657626771707,0.9941044940379506,0.9935115405424738
