,قەدىرلىمەك,قەدىرلىش,رەھمەتلىك,میننەتدارلىق,میننەتدارلىق,رەھمەت,رەھمەتلىك,میننەتدارلىق,قەرزدار,قەرزدارلىق,مەجبۇرىيەت,مەجبۇر,تەكلىپ,قەرزدار,قەرزدار بولماق,كەچۈرۈمچى,كەچۈرۈملەر,كەچۈرۈم,كەچۈرۈڭ,ئەپۇچانلىق,كەچۈرۈڭ,مەننى كەچۈرۈڭ,كەچۈرۈم سوراش
قەدىرلىمەك,0.999999999999999,0.9938354722237885,0.9983780111374791,0.9965217581014859,0.9965217581014859,0.9957094825248134,0.9983780111374791,0.9965217581014859,0.9966724452298484,0.9974426705935063,0.9899545414739861,0.9833971561987027,0.9917869360821825,0.9966724452298484,0.9950991547642449,0.9878993014645675,0.9878993014645675,0.9878993014645675,0.9878993014645675,0.9969476652483452,0.9878993014645675,0.9944873919535525,0.9867450388100695
قەدىرلىش,0.9938354722237885,0.9999999999999996,0.9921110571913148,0.9939631553361906,0.9939631553361906,0.9912252775064276,0.9921110571913148,0.9939631553361906,0.9929487747806179,0.993527775135859,0.9916693160172043,0.9868000085828715,0.9919007906693906,0.9929487747806179,0.9905039836430956,0.9818227339827171,0.9818227339827171,0.9818227339827171,0.9818227339827171,0.993678528630215,0.9818227339827171,0.9893609778602322,0.9840126463543472
رەھمەتلىك,0.9983780111374791,0.9921110571913148,0.9999999999999994,0.9950263005749429,0.9950263005749429,0.9965401366861575,0.9999999999999994,0.9950263005749429,0.9949576189028453,0.9955665505783794,0.9896138384157309,0.9827650092610531,0.9928003308430912,0.9949576189028453,0.993525925946664,0.9882963689079577,0.9882963689079577,0.9882963689079577,0.9882963689079577,0.9960207088564395,0.9882963689079577,0.9945289091576165,0.9863758700434877
میننەتدارلىق,0.9965217581014859,0.9939631553361906,0.9950263005749429,0.9999999999999996,0.9999999999999996,0.9942043747210036,0.9950263005749429,0.9999999999999996,0.9958107215007026,0.9980456012133403,0.990761311577608,0.9841557782434643,0.990973590951874,0.9958107215007026,0.995505508791088,0.9857374606848611,0.9857374606848611,0.9857374606848611,0.9857374606848611,0.9978188014944488,0.9857374606848611,0.9931211619446321,0.9861674643849534
میننەتدارلىق,0.9965217581014859,0.9939631553361906,0.9950263005749429,0.9999999999999996,0.9999999999999996,0.9942043747210036,0.9950263005749429,0.9999999999999996,0.9958107215007026,0.9980456012133403,0.990761311577608,0.9841557782434643,0.990973590951874,0.9958107215007026,0.995505508791088,0.9857374606848611,0.9857374606848611,0.9857374606848611,0.9857374606848611,0.9978188014944488,0.9857374606848611,0.9931211619446321,0.9861674643849534
رەھمەت,0.9957094825248134,0.9912252775064276,0.9965401366861575,0.9942043747210036,0.9942043747210036,0.9999999999999992,0.9965401366861575,0.9942043747210036,0.9947343507435713,0.9944323538112515,0.9922241643127002,0.9870043074659681,0.993943773691089,0.9947343507435713,0.9911199308959879,0.9884470691905184,0.9884470691905184,0.9884470691905184,0.9884470691905184,0.9956418550159253,0.9884470691905184,0.9955138338948812,0.9862408943737527
رەھمەتلىك,0.9983780111374791,0.9921110571913148,0.9999999999999994,0.9950263005749429,0.9950263005749429,0.9965401366861575,0.9999999999999994,0.9950263005749429,0.9949576189028453,0.9955665505783794,0.9896138384157309,0.9827650092610531,0.9928003308430912,0.9949576189028453,0.993525925946664,0.9882963689079577,0.9882963689079577,0.9882963689079577,0.9882963689079577,0.9960207088564395,0.9882963689079577,0.9945289091576165,0.9863758700434877
میننەتدارلىق,0.9965217581014859,0.9939631553361906,0.9950263005749429,0.9999999999999996,0.9999999999999996,0.9942043747210036,0.9950263005749429,0.9999999999999996,0.9958107215007026,0.9980456012133403,0.990761311577608,0.9841557782434643,0.990973590951874,0.9958107215007026,0.995505508791088,0.9857374606848611,0.9857374606848611,0.9857374606848611,0.9857374606848611,0.9978188014944488,0.9857374606848611,0.9931211619446321,0.9861674643849534
قەرزدار,0.9966724452298484,0.9929487747806179,0.9949576189028453,0.9958107215007026,0.9958107215007026,0.9947343507435713,0.9949576189028453,0.9958107215007026,0.9999999999999992,0.9981639547298555,0.987840272766245,0.9832160364207997,0.9893962867372594,0.9999999999999992,0.9957973415171326,0.9867652170949747,0.9867652170949757,0.9867652170949757,0.9867652170949757,0.9960515327837424,0.9867652170949757,0.9932490504753355,0.9867214400929017
قەرزدارلىق,0.9974426705935063,0.993527775135859,0.9955665505783794,0.9980456012133403,0.9980456012133403,0.9944323538112515,0.9955665505783794,0.9980456012133403,0.9981639547298555,1.0,0.9885796174993405,0.9830844797945664,0.9896332122191704,0.9981639547298555,0.9973916407791905,0.9868569098120994,0.9868569098120998,0.9868569098120998,0.9868569098120998,0.9980271676605882,0.9868569098120998,0.99324212266519,0.9860613205793165
مەجبۇرىيەت,0.9899545414739861,0.9916693160172043,0.9896138384157309,0.990761311577608,0.990761311577608,0.9922241643127002,0.9896138384157309,0.990761311577608,0.987840272766245,0.9885796174993405,0.9999999999999999,0.9931174675047812,0.9910800302253723,0.987840272766245,0.9847180239798952,0.9807465753380885,0.980746575338088,0.980746575338088,0.980746575338088,0.9905337667128509,0.980746575338088,0.9902187316890031,0.983106808366155
مەجبۇر,0.9833971561987027,0.9868000085828715,0.9827650092610531,0.9841557782434643,0.9841557782434643,0.9870043074659681,0.9827650092610531,0.9841557782434643,0.9832160364207997,0.9830844797945664,0.9931174675047812,0.9999999999999991,0.9852276238282146,0.9832160364207997,0.9779382704990547,0.9773720332042105,0.9773720332042102,0.9773720332042102,0.9773720332042102,0.985383636423381,0.9773720332042102,0.9863452071100027,0.9791398728219943
تەكلىپ,0.9917869360821825,0.9919007906693906,0.9928003308430912,0.990973590951874,0.990973590951874,0.993943773691089,0.9928003308430912,0.990973590951874,0.9893962867372594,0.9896332122191704,0.9910800302253723,0.9852276238282146,0.9999999999999998,0.9893962867372594,0.9854595489975579,0.9849839220949989,0.9849839220949991,0.9849839220949991,0.9849839220949991,0.9916655173727734,0.9849839220949991,0.9914834295709645,0.9829934233504697
قەرزدار,0.9966724452298484,0.9929487747806179,0.9949576189028453,0.9958107215007026,0.9958107215007026,0.9947343507435713,0.9949576189028453,0.9958107215007026,0.9999999999999992,0.9981639547298555,0.987840272766245,0.9832160364207997,0.9893962867372594,0.9999999999999992,0.9957973415171326,0.9867652170949747,0.9867652170949757,0.9867652170949757,0.9867652170949757,0.9960515327837424,0.9867652170949757,0.9932490504753355,0.9867214400929017
قەرزدار بولماق,0.9950991547642449,0.9905039836430956,0.993525925946664,0.995505508791088,0.995505508791088,0.9911199308959879,0.993525925946664,0.995505508791088,0.9957973415171326,0.9973916407791905,0.9847180239798952,0.9779382704990547,0.9854595489975579,0.9957973415171326,0.9999999999999994,0.9827940345606665,0.982794034560667,0.982794034560667,0.982794034560667,0.9950811442664055,0.982794034560667,0.9890076104997512,0.984122080881499
