,apresiar,apresiazion,grata,grato,gratitudin,gratitudin,grazie,grata,grato,gratitudin,inbità,inbitàda,inbitedura,obligazion,obligà,obligàda,obligamento,dever,devente,scusante,scuse,scusarse,scusa,scùsime,pardonime,despiaser,scùsa
apresiar,0.9999999999999991,0.9891447529935357,0.9911761803496271,0.9951598957926698,0.9852669204216207,0.9852669204216207,0.9836656187601068,0.9911761803496271,0.9951598957926694,0.9852669204216212,0.9911440612888963,0.9922284889402674,0.9909304855735442,0.9908251556048829,0.990446730087952,0.9930219144864115,0.9908839230097956,0.9951316383419214,0.9960056521398337,0.994676445467474,0.9940994408125503,0.995390700736716,0.9925181155559053,0.9954683056915262,0.9937564214583383,0.9937158641598279,0.9925181155559053
apresiazion,0.9891447529935357,0.9999999999999997,0.9863684965968412,0.9893655936706428,0.9848783939810251,0.9848783939810251,0.9774127706054998,0.9863684965968412,0.9893655936706423,0.9848783939810256,0.986050776180834,0.9896277086848396,0.9900454465610842,0.9935113156016366,0.9843359744046181,0.9882632117447889,0.9892577899816531,0.9875283390018966,0.9893231157819968,0.9896533188932886,0.9906252323794325,0.9910197389285923,0.989948692730141,0.9906268742764457,0.9897496637249291,0.9890404061899287,0.989948692730141
grata,0.9911761803496271,0.9863684965968412,0.9999999999999999,0.9949881435931824,0.9813036007201715,0.9813036007201715,0.9825727877621143,0.9999999999999999,0.9949881435931831,0.9813036007201728,0.9963060031083346,0.9930866438770204,0.9896222717236733,0.9906295297438644,0.9869801926917688,0.9906053792746711,0.9897074735933588,0.9918436794093302,0.9912728799974385,0.9922707936415757,0.9927532110627718,0.9924677120961495,0.9936362809893291,0.9917714235464888,0.9892343444984125,0.9914991949958292,0.9936362809893291
grato,0.9951598957926698,0.9893655936706428,0.9949881435931824,0.9999999999999986,0.9860927586807029,0.9860927586807029,0.9858870935332985,0.9949881435931824,0.9999999999999983,0.986092758680702,0.9925088562321189,0.9928438228238342,0.9929030857402774,0.9928504719600975,0.9906923816271673,0.9940720748065645,0.9936163254570838,0.9944702329832805,0.9968877841123367,0.9963509992274794,0.9953530731947449,0.9950673965444773,0.9952159443735744,0.9962441975550669,0.9946418140066381,0.9944839978784452,0.9952159443735744
gratitudin,0.9852669204216207,0.9848783939810251,0.9813036007201715,0.9860927586807029,0.9999999999999991,0.9999999999999991,0.9732422538797252,0.9813036007201715,0.986092758680702,0.9999999999999989,0.9822508797479163,0.9863973329812575,0.9900143083423468,0.9853913817467975,0.9812401980926236,0.9864240049138081,0.9880847845922414,0.983004247031261,0.9863943869959398,0.985868199944586,0.9875125750118592,0.9865904430822054,0.9859133627552827,0.9879868650899543,0.9892860766332559,0.9846582846606535,0.9859133627552827
gratitudin,0.9852669204216207,0.9848783939810251,0.9813036007201715,0.9860927586807029,0.9999999999999991,0.9999999999999991,0.9732422538797252,0.9813036007201715,0.986092758680702,0.9999999999999989,0.9822508797479163,0.9863973329812575,0.9900143083423468,0.9853913817467975,0.9812401980926236,0.9864240049138081,0.9880847845922414,0.983004247031261,0.9863943869959398,0.985868199944586,0.9875125750118592,0.9865904430822054,0.9859133627552827,0.9879868650899543,0.9892860766332559,0.9846582846606535,0.9859133627552827
grazie,0.9836656187601068,0.9774127706054998,0.9825727877621143,0.9858870935332985,0.9732422538797252,0.9732422538797252,0.9999999999999992,0.9825727877621143,0.9858870935332996,0.9732422538797253,0.9800314625571294,0.9805053956438224,0.9785826425633184,0.9792946868585686,0.9780114616150059,0.9811755765708131,0.9818170467405918,0.9817917555896941,0.9853884732553777,0.985412552035865,0.9817954875505939,0.9821154751245317,0.9825612366063565,0.9844746886985029,0.9820200187389688,0.9805250351331811,0.9825612366063565
grata,0.9911761803496271,0.9863684965968412,0.9999999999999999,0.9949881435931824,0.9813036007201715,0.9813036007201715,0.9825727877621143,0.9999999999999999,0.9949881435931831,0.9813036007201728,0.9963060031083346,0.9930866438770204,0.9896222717236733,0.9906295297438644,0.9869801926917688,0.9906053792746711,0.9897074735933588,0.9918436794093302,0.9912728799974385,0.9922707936415757,0.9927532110627718,0.9924677120961495,0.9936362809893291,0.9917714235464888,0.9892343444984125,0.9914991949958292,0.9936362809893291
grato,0.9951598957926694,0.9893655936706423,0.9949881435931831,0.9999999999999983,0.986092758680702,0.986092758680702,0.9858870935332996,0.9949881435931831,0.9999999999999986,0.9860927586807029,0.992508856232119,0.9928438228238345,0.9929030857402771,0.992850471960096,0.9906923816271683,0.994072074806565,0.9936163254570838,0.9944702329832805,0.9968877841123367,0.9963509992274794,0.9953530731947449,0.9950673965444773,0.9952159443735744,0.9962441975550669,0.9946418140066381,0.9944839978784452,0.9952159443735744
gratitudin,0.9852669204216212,0.9848783939810256,0.9813036007201728,0.986092758680702,0.9999999999999989,0.9999999999999989,0.9732422538797253,0.9813036007201728,0.9860927586807029,0.9999999999999991,0.9822508797479164,0.986397332981257,0.9900143083423469,0.9853913817467974,0.9812401980926245,0.986424004913807,0.9880847845922414,0.983004247031261,0.9863943869959398,0.985868199944586,0.9875125750118592,0.9865904430822054,0.9859133627552827,0.9879868650899543,0.9892860766332559,0.9846582846606535,0.9859133627552827
