,biết ơn,sự biết ơn,biết ơn,sự biết ơn,cảm ơn,đánh giá cao,sự đánh giá cao,lòng biết ơn,nợ,cam kết,cảm ơn,bị ép buộc,mắc nợ,sự mắc nợ,nghĩa vụ,đang nợ,hối lỗi,lời xin lỗi,những lời xin lỗi,tha lỗi cho tôi,sự hối tiếc,xin lỗi,xin lỗi,xin lỗi
biết ơn,0.9999999999999996,0.9921467999641128,0.9999999999999996,0.9921467999641128,0.9925244742055082,0.9916226587956521,0.9903254450867756,0.998652530561732,0.9878661171771046,0.9932379936050787,0.9925244742055077,0.9936496884700833,0.9918282818136711,0.9906689824584177,0.9944534532914046,0.9925593842738685,0.9879536060472077,0.9904629713786189,0.9919127235627487,0.9949865713172884,0.9916726110567284,0.9934392662307512,0.9934392662307512,0.9934392662307512
sự biết ơn,0.9921467999641128,0.9999999999999997,0.9921467999641128,0.9999999999999997,0.9863001303211192,0.9852879712534436,0.9862217002326634,0.9920167486911555,0.9780767500406387,0.9860945264119347,0.9863001303211191,0.9875777298550937,0.983488671635064,0.9869745438729458,0.9893369804994739,0.9875217376337518,0.9858833685857658,0.9854694445288541,0.9867427999956585,0.9891028795876854,0.990078989751116,0.9853775739402547,0.9853775739402547,0.9853775739402547
biết ơn,0.9999999999999996,0.9921467999641128,0.9999999999999996,0.9921467999641128,0.9925244742055082,0.9916226587956521,0.9903254450867756,0.998652530561732,0.9878661171771046,0.9932379936050787,0.9925244742055077,0.9936496884700833,0.9918282818136711,0.9906689824584177,0.9944534532914046,0.9925593842738685,0.9879536060472077,0.9904629713786189,0.9919127235627487,0.9949865713172884,0.9916726110567284,0.9934392662307512,0.9934392662307512,0.9934392662307512
sự biết ơn,0.9921467999641128,0.9999999999999997,0.9921467999641128,0.9999999999999997,0.9863001303211192,0.9852879712534436,0.9862217002326634,0.9920167486911555,0.9780767500406387,0.9860945264119347,0.9863001303211191,0.9875777298550937,0.983488671635064,0.9869745438729458,0.9893369804994739,0.9875217376337518,0.9858833685857658,0.9854694445288541,0.9867427999956585,0.9891028795876854,0.990078989751116,0.9853775739402547,0.9853775739402547,0.9853775739402547
cảm ơn,0.9925244742055082,0.9863001303211192,0.9925244742055082,0.9863001303211192,0.9999999999999999,0.9914158353191194,0.9902726016135281,0.9928882811043466,0.9890650334704418,0.9949786215388763,0.9999999999999996,0.9937712269349598,0.9935864182417441,0.9917722450364738,0.9922652342781836,0.9922421894483592,0.9864653553817725,0.9887202731225373,0.9876737003166818,0.9890313910905266,0.9892529600494627,0.9913801760450415,0.9913801760450415,0.9913801760450415
đánh giá cao,0.9916226587956521,0.9852879712534436,0.9916226587956521,0.9852879712534436,0.9914158353191194,1.0,0.9981613503478118,0.9924854771220445,0.9873216055321888,0.9929957898227243,0.9914158353191183,0.9939927421145436,0.991874885786683,0.9897959600028822,0.9921021746790407,0.9935894138174453,0.9886162211988933,0.9914653426999748,0.9898181511058296,0.9895565833264742,0.9918590546483328,0.991959162502313,0.991959162502313,0.991959162502313
sự đánh giá cao,0.9903254450867756,0.9862217002326634,0.9903254450867756,0.9862217002326634,0.9902726016135281,0.9981613503478118,0.9999999999999996,0.9912932579804296,0.9850759765006695,0.9920532220206785,0.990272601613528,0.992852815253256,0.9895902641664597,0.9890295979947389,0.9915256347917025,0.9930509529075954,0.9894179157043985,0.9908239670751646,0.9895712853478807,0.9889185127102446,0.9924855844185932,0.9901269730445273,0.9901269730445273,0.9901269730445273
lòng biết ơn,0.998652530561732,0.9920167486911555,0.998652530561732,0.9920167486911555,0.9928882811043466,0.9924854771220445,0.9912932579804296,1.0,0.9868781832602401,0.9933966014189234,0.9928882811043472,0.9939050508809494,0.9911589953194319,0.9903627595606892,0.994274026454964,0.9931599532907543,0.9887872595304457,0.991088567548045,0.9916033158548851,0.9947385392556006,0.9930901320325751,0.9931976749543165,0.9931976749543165,0.9931976749543165
nợ,0.9878661171771046,0.9780767500406387,0.9878661171771046,0.9780767500406387,0.9890650334704418,0.9873216055321888,0.9850759765006695,0.9868781832602401,0.9999999999999998,0.989572129022141,0.9890650334704424,0.9894128583119605,0.9943619164384555,0.9881886887292115,0.9895504716544419,0.9891366210966828,0.9805738349002948,0.9843411555249855,0.9850486184495917,0.9858783911412787,0.9830658658338155,0.9892243625569114,0.9892243625569114,0.9892243625569114
cam kết,0.9932379936050787,0.9860945264119347,0.9932379936050787,0.9860945264119347,0.9949786215388763,0.9929957898227243,0.9920532220206785,0.9933966014189234,0.989572129022141,0.9999999999999997,0.9949786215388767,0.9957858690784326,0.9939209870387404,0.992009279362407,0.9932133518279362,0.9934115733535894,0.9893113745370693,0.9901908763017403,0.9910804427457569,0.9913972939941621,0.9909981964775333,0.9943173004583112,0.9943173004583112,0.9943173004583112
cảm ơn,0.9925244742055077,0.9863001303211191,0.9925244742055077,0.9863001303211191,0.9999999999999996,0.9914158353191183,0.990272601613528,0.9928882811043472,0.9890650334704424,0.9949786215388767,0.9999999999999999,0.9937712269349595,0.9935864182417438,0.9917722450364731,0.9922652342781839,0.992242189448359,0.9864653553817725,0.9887202731225373,0.9876737003166818,0.9890313910905266,0.9892529600494627,0.9913801760450415,0.9913801760450415,0.9913801760450415
bị ép buộc,0.9936496884700833,0.9875777298550937,0.9936496884700833,0.9875777298550937,0.9937712269349598,0.9939927421145436,0.992852815253256,0.9939050508809494,0.9894128583119605,0.9957858690784326,0.9937712269349595,1.0,0.9937344532234687,0.9923749992901922,0.993353425186258,0.9948603998029236,0.9897545500450134,0.9926114422919109,0.9915297444328081,0.9917309346093874,0.9917004508669606,0.9942785569507574,0.9942785569507574,0.9942785569507574
mắc nợ,0.9918282818136711,0.983488671635064,0.9918282818136711,0.983488671635064,0.9935864182417441,0.991874885786683,0.9895902641664597,0.9911589953194319,0.9943619164384555,0.9939209870387404,0.9935864182417438,0.9937344532234687,0.9999999999999997,0.9942683332723614,0.9930710391770894,0.9935627134071963,0.9859502080158473,0.9898077468430194,0.9895619615548087,0.9897367054104063,0.9880880250842581,0.9935437566745986,0.9935437566745986,0.9935437566745986
sự mắc nợ,0.9906689824584177,0.9869745438729458,0.9906689824584177,0.9869745438729458,0.9917722450364738,0.9897959600028822,0.9890295979947389,0.9903627595606892,0.9881886887292115,0.992009279362407,0.9917722450364731,0.9923749992901922,0.9942683332723614,0.9999999999999998,0.9901916139158276,0.990902509200477,0.9842603443017697,0.9879647006822464,0.987990792781115,0.9894656551290355,0.9879223184805715,0.9907056954422869,0.9907056954422869,0.9907056954422869
nghĩa vụ,0.9944534532914046,0.9893369804994739,0.9944534532914046,0.9893369804994739,0.9922652342781836,0.9921021746790407,0.9915256347917025,0.994274026454964,0.9895504716544419,0.9932133518279362,0.9922652342781839,0.993353425186258,0.9930710391770894,0.9901916139158276,0.9999999999999997,0.9943064177414039,0.9914450807958151,0.9920700076666944,0.9924666691668897,0.993198606220109,0.993225449688634,0.9942575146531298,0.9942575146531298,0.9942575146531298
đang nợ,0.9925593842738685,0.9875217376337518,0.9925593842738685,0.9875217376337518,0.9922421894483592,0.9935894138174453,0.9930509529075954,0.9931599532907543,0.9891366210966828,0.9934115733535894,0.992242189448359,0.9948603998029236,0.9935627134071963,0.990902509200477,0.9943064177414039,0.9999999999999994,0.9912815016995769,0.9929807741668323,0.9903860635969176,0.9909056996110749,0.9932889408376347,0.9929275687988102,0.9929275687988102,0.9929275687988102
hối lỗi,0.9879536060472077,0.9858833685857658,0.9879536060472077,0.9858833685857658,0.9864653553817725,0.9886162211988933,0.9894179157043985,0.9887872595304457,0.9805738349002948,0.9893113745370693,0.9864653553817725,0.9897545500450134,0.9859502080158473,0.9842603443017697,0.9914450807958151,0.9912815016995769,0.9999999999999998,0.9923424761066939,0.9894097557021434,0.9890199814421766,0.99540702193026,0.9902626136887869,0.9902626136887869,0.9902626136887869
