,löfikön,löfük,danöl,danöfik,danöf,danön,danöl,danöfik,delöl,delönav,mut,mutöl,mutam,delön,delöl,pardonik,pardons,pardonön,pardon,pardonobi,sorg,pardon,pardon osi
löfikön,0.9999999999999993,0.9968593238850313,0.99363989699383,0.9966459518853442,0.9910654755130717,0.993437190321094,0.99363989699383,0.9966459518853442,0.9894334866136717,0.9930524553832636,0.9875362164029485,0.9953307686685515,0.9932492596720958,0.9912987735851682,0.9894334866136717,0.9944370964528011,0.9935630580935171,0.9935501792310935,0.9919156108774531,0.9944848697086265,0.9941497331391673,0.9919156108774531,0.9931269002724035
löfük,0.9968593238850313,1.0,0.9957824873689832,0.99622765809978,0.9924181209642281,0.9958804635407424,0.9957824873689832,0.99622765809978,0.9929977862615661,0.9952924741513627,0.9916224127358879,0.997434453716382,0.9958769717578605,0.994122066475713,0.9929977862615661,0.9952370733707946,0.9944324997600944,0.9937469728779271,0.9942195827910182,0.9955689637631072,0.9958056183055248,0.9942195827910182,0.9950448809186483
danöl,0.99363989699383,0.9957824873689832,0.9999999999999996,0.996250845386471,0.9970667942653555,0.9990620747648354,0.9999999999999996,0.996250845386471,0.9934896929164444,0.9956551331203638,0.9899299986138032,0.9958200527271305,0.9933992577997086,0.9952540600296828,0.9934896929164444,0.9944749527904303,0.9937743643074188,0.9931362751276344,0.9937845179455601,0.9951678507540143,0.9936222343160174,0.9937845179455601,0.9948091039958931
danöfik,0.9966459518853442,0.99622765809978,0.996250845386471,0.9999999999999998,0.9952631723390184,0.995966947732414,0.996250845386471,0.9999999999999998,0.9910583768575738,0.994221133963697,0.9888851928912201,0.9952989317226535,0.9939498089492586,0.9926536609983418,0.9910583768575738,0.9950765044292081,0.994485526498354,0.9933214547339658,0.9923899302634562,0.9951930672650146,0.9940833941523054,0.9923899302634562,0.9939190923054865
danöf,0.9910654755130717,0.9924181209642281,0.9970667942653555,0.9952631723390184,1.0,0.9969601899568783,0.9970667942653555,0.9952631723390184,0.9888803233213107,0.9917655355268346,0.9857674497386205,0.9916482326965683,0.9898247737398693,0.9915411911925368,0.9888803233213107,0.9908488335083306,0.9909554663699582,0.9899004785167501,0.9894082745064646,0.9917696051571777,0.9902195395954332,0.9894082745064646,0.9909798583060999
danön,0.993437190321094,0.9958804635407424,0.9990620747648354,0.995966947732414,0.9969601899568783,0.9999999999999997,0.9990620747648354,0.995966947732414,0.9930453054104876,0.9949657263650449,0.990344173890036,0.9955143140424975,0.9937767383273483,0.9954220708190479,0.9930453054104876,0.9938322109808579,0.993823299480444,0.9933169673996064,0.994050774432827,0.9949052320919203,0.9936480196820611,0.994050774432827,0.9949140698390251
danöl,0.99363989699383,0.9957824873689832,0.9999999999999996,0.996250845386471,0.9970667942653555,0.9990620747648354,0.9999999999999996,0.996250845386471,0.9934896929164444,0.9956551331203638,0.9899299986138032,0.9958200527271305,0.9933992577997086,0.9952540600296828,0.9934896929164444,0.9944749527904303,0.9937743643074188,0.9931362751276344,0.9937845179455601,0.9951678507540143,0.9936222343160174,0.9937845179455601,0.9948091039958931
danöfik,0.9966459518853442,0.99622765809978,0.996250845386471,0.9999999999999998,0.9952631723390184,0.995966947732414,0.996250845386471,0.9999999999999998,0.9910583768575738,0.994221133963697,0.9888851928912201,0.9952989317226535,0.9939498089492586,0.9926536609983418,0.9910583768575738,0.9950765044292081,0.994485526498354,0.9933214547339658,0.9923899302634562,0.9951930672650146,0.9940833941523054,0.9923899302634562,0.9939190923054865
delöl,0.9894334866136717,0.9929977862615661,0.9934896929164444,0.9910583768575738,0.9888803233213107,0.9930453054104876,0.9934896929164444,0.9910583768575738,0.999999999999999,0.9965935464926909,0.9898162412387171,0.9945659837592418,0.9932852498081441,0.997319161488446,0.999999999999999,0.9935254146039214,0.9916070990106433,0.9907883895476575,0.9926131532170327,0.9922158113160056,0.9938126420981284,0.9926131532170327,0.9934189451989709
delönav,0.9930524553832636,0.9952924741513627,0.9956551331203638,0.994221133963697,0.9917655355268346,0.9949657263650449,0.9956551331203638,0.994221133963697,0.9965935464926909,0.9999999999999993,0.9899717848874323,0.9960614454302027,0.9942970707758512,0.9977274454659388,0.9965935464926909,0.9958409563343813,0.9944028931559619,0.9933667292859282,0.9940828146925949,0.9955869190195348,0.9943125714819874,0.9940828146925949,0.995037389511143
mut,0.9875362164029485,0.9916224127358879,0.9899299986138032,0.9888851928912201,0.9857674497386205,0.990344173890036,0.9899299986138032,0.9888851928912201,0.9898162412387171,0.9899717848874323,0.9999999999999999,0.9924224121420133,0.9930548841935405,0.9900405123739822,0.9898162412387171,0.989791830609435,0.989994246206288,0.9884406612741296,0.9912955308018919,0.9892194940757822,0.9912314367290229,0.9912955308018919,0.992179047375704
mutöl,0.9953307686685515,0.997434453716382,0.9958200527271305,0.9952989317226535,0.9916482326965683,0.9955143140424975,0.9958200527271305,0.9952989317226535,0.9945659837592418,0.9960614454302027,0.9924224121420133,0.9999999999999998,0.9966674353417138,0.9953321291639113,0.9945659837592418,0.9952681740950606,0.9941087948949822,0.9934628903152286,0.994834571063871,0.9958567199618463,0.9950464587954593,0.994834571063871,0.9953868579006137
